PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount,MS,MS_Uncertainty,MS_StationCount
1561049,1980-07-05T15:54:44Z,-44.33,0.0,167.89,0.1,12.0,0.0,ML,,,,3.8,0.3,6,,,,,,
1561050,1980-07-05T17:56:20Z,-40.4,0.0,176.74,0.1,11.0,5.0,ML,,,,4.0,0.2,9,,,,,,
1561051,1980-07-05T19:39:41Z,-36.98,0.1,177.44,0.1,208.0,8.0,ML,,,,4.3,0.2,7,,,,,,
1683281,1980-07-05T19:58:31Z,-41.22,0.0,174.41,0.0,63.0,1.0,ML,,,,2.4,0.3,4,,,,,,
1583753,1980-07-06T03:23:35Z,-43.66,0.0,169.65,0.0,5.0,0.0,ML,,,,3.1,0.1,5,,,,,,
1683282,1980-07-06T07:54:56Z,-41.22,0.0,175.2,0.0,27.0,1.0,ML,,,,1.6,0.1,8,,,,,,
1561054,1980-07-06T12:13:39Z,-37.4,0.0,177.44,0.0,149.0,6.0,ML,,,,4.5,0.2,6,,,,,,
1683283,1980-07-06T18:52:04Z,-41.37,0.0,175.03,0.0,25.0,0.0,ML,,,,1.6,0.2,6,,,,,,
1683284,1980-07-06T21:08:51Z,-41.39,0.0,174.55,0.0,32.0,1.0,ML,,,,1.5,0.3,5,,,,,,
1583754,1980-07-06T22:48:57Z,-43.92,0.0,170.3,0.0,6.0,2.0,ML,,,,1.8,0.3,4,,,,,,
1561056,1980-07-07T08:13:44Z,-39.88,0.0,175.67,0.0,12.0,0.0,ML,,,,3.7,0.3,9,,,,,,
1683285,1980-07-07T10:02:37Z,-40.99,0.0,175.58,0.0,26.0,2.0,ML,,,,1.9,0.2,6,,,,,,
1561057,1980-07-07T10:25:42Z,-46.39,0.0,165.95,0.1,12.0,0.0,ML,,,,4.2,0.2,4,,,,,,
1683286,1980-07-07T11:42:54Z,-40.96,0.0,175.31,0.0,22.0,1.0,ML,,,,1.6,0.2,5,,,,,,
1561059,1980-07-07T17:36:17Z,-39.5,0.0,175.57,0.0,12.0,0.0,ML,,,,4.1,0.2,9,,,,,,
1683287,1980-07-08T03:34:00Z,-41.15,0.0,174.96,0.0,1.0,1.0,ML,,,,1.4,0.2,5,,,,,,
1683288,1980-07-08T12:38:51Z,-41.49,0.0,173.93,0.0,44.0,1.0,ML,,,,2.8,0.1,3,,,,,,
1561060,1980-07-09T01:21:07Z,-40.87,0.0,173.38,0.1,159.0,7.0,ML,,,,4.1,0.1,3,,,,,,
1683289,1980-07-09T06:58:03Z,-41.63,0.0,174.22,0.0,24.0,2.0,ML,,,,2.1,0.1,6,,,,,,
1683290,1980-07-09T08:18:26Z,-41.53,0.0,174.12,0.0,34.0,1.0,ML,,,,2.6,0.1,3,2.4,nan,1,,,
1583755,1980-07-09T10:43:41Z,-44.16,0.0,169.92,0.0,10.0,1.0,ML,,,,2.2,0.2,4,,,,,,
1683291,1980-07-09T12:09:20Z,-41.17,0.0,174.77,0.0,30.0,1.0,ML,,,,1.7,0.2,5,,,,,,
1561061,1980-07-09T15:39:04Z,-39.22,0.0,175.1,0.1,142.0,8.0,ML,,,,3.7,0.3,6,,,,,,
1583756,1980-07-09T16:59:20Z,-44.14,0.0,170.23,0.0,8.0,0.0,ML,,,,1.8,0.1,4,,,,,,
