PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
2650488,1926-01-04T00:00:00Z,-41.3,0.0,174.8,0.0,33.0,0.0,Mw,4.9,nan,0,,,
2178116,1926-03-18T13:28:00Z,-41.0,0.0,175.0,0.0,25.0,0.0,M,,,,5.5,nan,0
