PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
59006,1987-07-01T04:22:42Z,-42.69,0.0,171.71,0.0,12.0,0.0,ML,,,,,,,4.1,0.3,24,,,
59376,1987-07-01T06:00:26Z,-40.79,0.0,174.36,0.0,71.0,1.0,ML,,,,,,,3.2,0.1,9,,,
59008,1987-07-01T07:53:01Z,-41.26,0.0,172.67,0.0,193.0,6.0,ML,,,,,,,4.3,0.2,8,,,
59394,1987-07-01T10:05:04Z,-41.25,0.0,175.18,0.0,26.0,1.0,ML,,,,,,,1.7,0.1,7,,,
59395,1987-07-01T10:30:45Z,-41.14,0.0,173.71,0.1,74.0,5.0,ML,,,,,,,3.2,0.1,8,,,
59115,1987-07-01T15:03:13Z,-38.59,0.0,177.09,0.1,115.0,4.0,ML,,,,,,,3.1,0.1,2,,,
60500,1987-07-01T15:03:43Z,-40.0,0.1,174.63,0.0,102.0,7.0,ML,,,,,,,3.1,0.2,9,,,
59397,1987-07-01T15:42:41Z,-40.89,0.0,174.71,0.0,68.0,3.0,ML,,,,,,,2.7,0.2,6,,,
59399,1987-07-01T18:31:30Z,-41.03,0.0,174.52,0.0,56.0,1.0,ML,,,,,,,2.9,0.2,7,,,
59402,1987-07-01T20:35:57Z,-40.78,0.0,175.35,0.0,24.0,1.0,ML,,,,,,,2.1,0.0,2,,,
59116,1987-07-01T20:51:38Z,-40.02,0.0,176.74,0.0,55.0,3.0,ML,,,,,,,3.4,0.2,10,,,
59412,1987-07-02T03:52:45Z,-40.81,0.0,174.67,0.0,43.0,1.0,ML,,,,,,,2.6,0.1,5,,,
59413,1987-07-02T07:45:59Z,-40.46,0.0,174.34,0.0,22.0,3.0,ML,,,,,,,2.8,0.1,7,,,
59414,1987-07-02T07:49:39Z,-40.57,0.0,174.1,0.1,53.0,10.0,ML,,,,,,,3.2,0.1,9,,,
59415,1987-07-02T10:32:22Z,-41.63,0.0,174.66,0.0,33.0,1.0,ML,,,,,,,3.2,0.1,8,,,
59417,1987-07-02T14:46:43Z,-38.75,0.0,175.97,0.0,139.0,5.0,ML,,,,,,,3.6,0.2,9,,,
59419,1987-07-02T16:19:21Z,-40.58,0.0,175.81,0.0,67.0,5.0,ML,,,,,,,2.6,0.2,7,,,
59423,1987-07-02T17:40:33Z,-36.62,0.1,177.81,0.0,138.0,8.0,ML,,,,,,,4.2,0.1,12,,,
59425,1987-07-02T19:21:14Z,-41.33,0.0,174.99,0.0,28.0,1.0,ML,,,,,,,2.1,0.2,9,,,
59117,1987-07-02T22:50:13Z,-39.63,0.0,177.05,0.0,27.0,1.0,ML,,,,,,,2.7,0.2,4,,,
59627,1987-07-03T02:17:45Z,-37.59,0.0,176.93,0.0,5.0,0.0,ML,,,,,,,3.2,0.2,4,,,
59119,1987-07-03T02:55:05Z,-38.51,0.0,175.62,0.1,125.0,10.0,ML,,,,,,,3.6,0.1,12,,,
59027,1987-07-03T03:19:43Z,-44.68,0.1,168.5,0.1,99.0,8.0,ML,,,,,,,2.8,0.1,8,,,
59628,1987-07-03T04:12:08Z,-37.96,0.0,176.92,0.0,5.0,0.0,ML,,,,,,,2.6,0.2,5,2.5,0.2,2
59120,1987-07-03T04:15:52Z,-37.44,0.1,177.21,0.1,187.0,13.0,ML,,,,,,,4.1,0.3,14,,,
59428,1987-07-03T05:22:44Z,-41.58,0.0,174.66,0.0,30.0,1.0,ML,,,,,,,1.9,0.1,4,,,
59429,1987-07-03T05:26:41Z,-40.67,0.1,175.95,0.1,43.0,12.0,ML,,,,,,,2.2,0.1,4,,,
59430,1987-07-03T06:12:55Z,-40.81,0.0,174.86,0.1,41.0,5.0,ML,,,,,,,2.2,0.2,6,,,
59431,1987-07-03T06:50:45Z,-35.48,0.1,-179.35,0.1,33.0,0.0,ML,,,,,,,4.5,0.2,16,,,
60723,1987-07-03T07:43:36Z,-35.97,0.2,179.94,0.5,33.0,0.0,ML,,,,,,,4.4,0.3,9,,,
59433,1987-07-03T12:25:07Z,-41.02,0.0,174.49,0.0,11.0,1.0,ML,,,,,,,2.5,0.1,6,,,
59435,1987-07-03T15:34:27Z,-41.76,0.0,174.1,0.0,14.0,1.0,ML,,,,,,,2.2,0.0,5,,,
59121,1987-07-03T17:29:54Z,-39.06,0.1,177.84,0.1,33.0,0.0,ML,,,,,,,2.7,nan,1,,,
59036,1987-07-03T22:58:27Z,-41.27,0.0,178.59,0.1,33.0,0.0,Mw,5.0,nan,0,5.1,nan,0,5.0,0.2,18,,,
59437,1987-07-04T03:27:43Z,-40.96,0.0,175.47,0.0,17.0,5.0,ML,,,,,,,1.9,0.2,4,,,
59629,1987-07-04T03:29:54Z,-38.7,0.1,176.17,0.1,5.0,0.0,ML,,,,,,,1.1,nan,1,2.2,0.0,2
59439,1987-07-04T08:29:58Z,-41.38,0.0,175.1,0.0,24.0,0.0,ML,,,,,,,2.6,0.1,9,,,
59440,1987-07-04T08:31:29Z,-41.17,0.0,175.03,0.0,28.0,0.0,ML,,,,,,,2.0,0.2,4,,,
59443,1987-07-04T14:48:42Z,-41.15,0.0,175.77,0.0,42.0,1.0,ML,,,,,,,2.8,0.2,9,,,
59447,1987-07-04T21:17:51Z,-41.44,0.0,173.65,0.0,93.0,1.0,ML,,,,,,,2.7,0.2,7,,,
59448,1987-07-04T21:36:15Z,-40.54,0.1,174.63,0.0,27.0,3.0,ML,,,,,,,2.3,0.1,7,,,
59039,1987-07-04T21:50:59Z,-40.5,0.0,175.62,0.0,30.0,3.0,ML,,,,,,,2.8,0.3,9,,,
59449,1987-07-04T22:03:56Z,-41.1,0.0,174.65,0.0,31.0,1.0,ML,,,,,,,2.3,0.1,8,,,
59632,1987-07-04T23:45:49Z,-38.08,0.0,176.59,0.0,5.0,0.0,ML,,,,,,,2.9,0.2,6,2.9,0.1,3
59633,1987-07-05T00:41:55Z,-39.39,0.1,175.7,0.1,5.0,0.0,ML,,,,,,,2.1,nan,1,,,
