PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2013p000097,2013-01-01T00:51:42Z,-39.36,1.9,173.68,1.7,9.0,1.0,M,,,,2.7,0.3,10,2.5,nan,10,,,,2.5,0.3,10
2013p000119,2013-01-01T01:03:40Z,-38.56,4.6,178.68,9.9,33.0,0.0,M,,,,2.5,0.2,19,2.5,nan,19,,,,2.5,0.2,19
2013p000273,2013-01-01T02:25:53Z,-38.38,2.4,175.88,2.4,154.0,5.0,M,,,,,,,2.6,nan,42,,,,2.6,0.5,42
2013p000530,2013-01-01T04:42:30Z,-39.34,1.5,173.69,1.3,10.0,1.0,M,,,,3.1,0.2,17,2.8,nan,18,,,,2.8,0.3,18
2013p000645,2013-01-01T05:43:50Z,-39.97,0.7,176.59,1.0,26.0,2.0,M,,,,2.8,0.2,15,2.5,nan,18,,,,2.5,0.3,18
2013p000698,2013-01-01T06:12:07Z,-37.81,2.3,176.4,1.6,173.0,4.0,M,,,,,,,2.8,nan,49,,,,2.8,0.6,49
2013p000734,2013-01-01T06:31:15Z,-41.27,2.4,172.76,4.1,148.0,4.0,M,,,,,,,2.7,nan,15,,,,2.7,0.2,15
2013p000983,2013-01-01T08:43:51Z,-44.47,4.3,168.08,3.5,5.0,0.0,M,,,,4.2,0.1,18,4.1,nan,22,,,,4.1,0.2,22
2013p001332,2013-01-01T11:49:51Z,-39.34,1.4,173.7,1.6,10.0,1.0,M,,,,2.9,0.2,16,2.5,nan,14,,,,2.5,0.3,14
2013p001414,2013-01-01T12:33:32Z,-37.55,9.7,-179.72,6.4,33.0,0.0,M,,,,3.8,0.2,19,3.5,nan,23,,,,3.5,0.2,23
2013p001490,2013-01-01T13:14:12Z,-37.17,9.3,179.28,11.2,12.0,0.0,M,,,,3.1,0.2,19,2.7,nan,14,,,,2.7,0.2,14
2013p001800,2013-01-01T15:59:15Z,-39.38,1.1,177.51,1.8,29.0,4.0,M,,,,2.5,0.2,17,2.3,nan,19,,,,2.3,0.4,19
2013p002071,2013-01-01T18:24:00Z,-38.87,0.6,175.69,1.0,9.0,1.0,M,,,,2.3,0.3,12,1.9,nan,13,,,,1.9,0.4,13
2013p002141,2013-01-01T19:00:56Z,-46.26,7.2,168.88,2.8,12.0,0.0,M,,,,3.0,0.1,8,2.9,nan,9,,,,2.9,0.3,9
2013p002448,2013-01-01T21:45:28Z,-38.88,5.4,175.67,5.0,5.0,3.0,M,,,,1.4,0.4,4,1.1,nan,5,,,,1.1,0.3,5
2013p002547,2013-01-01T22:37:26Z,-43.49,1.0,172.8,1.2,10.0,2.0,M,,,,2.9,0.3,11,2.7,nan,11,,,,2.7,0.4,11
2013p002698,2013-01-01T23:57:47Z,-46.0,4.4,170.35,7.7,5.0,2.0,M,,,,2.9,0.3,6,2.8,nan,6,,,,2.8,0.5,6
2013p002755,2013-01-02T00:28:13Z,-39.34,1.4,173.69,1.3,9.0,1.0,M,,,,3.6,0.2,22,3.3,nan,28,,,,3.3,0.3,28
2013p002785,2013-01-02T00:44:09Z,-42.99,1.6,171.56,1.5,9.0,1.0,M,,,,2.6,0.2,6,2.4,nan,5,,,,2.4,0.3,5
2013p002979,2013-01-02T02:27:19Z,-38.88,0.6,175.7,0.9,8.0,1.0,M,,,,2.0,0.4,8,1.7,nan,9,,,,1.7,0.6,9
2013p003452,2013-01-02T06:39:41Z,-38.04,4.6,176.33,3.1,166.0,6.0,M,,,,,,,2.3,nan,11,,,,2.3,0.4,11
2013p003617,2013-01-02T08:07:34Z,-39.52,1.0,176.61,1.6,67.0,2.0,M,,,,3.6,0.3,19,3.3,nan,34,,,,3.3,0.4,34
