PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2017p000026,2017-01-01T00:13:48Z,-37.09,4.7,179.08,8.3,10.0,0.0,M,,,,,,,3.9,0.3,24,3.6,nan,21,,,,3.6,0.2,21
2017p000152,2017-01-01T01:21:29Z,-42.49,2.0,173.41,2.7,10.0,2.0,M,,,,,,,3.4,0.2,18,3.3,nan,18,,,,3.3,0.1,18
2017p000229,2017-01-01T02:02:15Z,-42.73,2.2,172.79,2.6,11.0,3.0,M,,,,,,,3.3,0.1,19,3.3,nan,38,,,,3.3,0.5,38
2017p000252,2017-01-01T02:14:26Z,-42.33,2.4,173.64,3.8,21.0,3.0,M,,,,,,,3.1,0.1,22,3.1,nan,32,,,,3.1,0.4,32
2017p000407,2017-01-01T03:37:20Z,-41.65,2.6,174.29,2.2,11.0,3.0,M,,,,,,,3.3,0.2,18,3.3,nan,39,,,,3.3,0.4,39
2017p000456,2017-01-01T04:03:01Z,-42.28,2.3,173.91,3.1,11.0,3.0,M,,,,,,,3.2,0.2,25,3.0,nan,17,,,,3.0,0.2,17
2017p000880,2017-01-01T07:49:03Z,-39.47,5.8,175.74,5.5,10.0,9.0,M,,,,,,,1.6,0.2,8,1.2,nan,4,,,,1.2,0.4,4
2017p000905,2017-01-01T08:02:18Z,-39.33,2.4,177.02,3.0,21.0,4.0,M,,,,,,,2.7,0.2,25,2.4,nan,18,,,,2.4,0.2,18
2017p000906,2017-01-01T08:02:20Z,-41.72,4.3,174.33,2.7,11.0,4.0,M,,,,,,,2.5,0.2,12,2.2,nan,7,,,,2.2,0.2,7
2017p001224,2017-01-01T10:52:23Z,-41.56,2.3,174.45,1.5,10.0,2.0,M,,,,,,,4.5,0.2,31,4.3,nan,121,,,,4.3,0.4,121
2017p001285,2017-01-01T11:24:55Z,-41.14,4.6,173.79,5.1,76.0,6.0,M,,,,,,,3.2,0.2,17,3.4,nan,76,,,,3.4,0.5,76
2017p001355,2017-01-01T12:02:22Z,-42.54,4.4,173.23,4.3,3.0,4.0,M,,,,,,,2.6,0.3,11,2.4,nan,2,,,,2.4,0.4,2
2017p001562,2017-01-01T13:52:18Z,-41.54,2.7,174.45,1.6,9.0,3.0,M,,,,,,,3.3,0.1,17,3.3,nan,59,,,,3.3,0.4,59
2017p001676,2017-01-01T14:53:06Z,-41.97,4.7,173.73,4.0,5.0,5.0,M,,,,,,,2.5,0.4,9,2.1,nan,3,,,,2.1,0.3,3
2017p001679,2017-01-01T14:54:46Z,-36.58,9.0,-179.86,11.7,108.0,22.0,M,,,,,,,4.1,0.2,31,3.9,nan,54,,,,3.9,0.3,54
2017p001686,2017-01-01T14:58:28Z,-41.61,3.2,173.23,2.4,3.0,3.0,M,,,,,,,2.6,0.3,11,2.4,nan,7,,,,2.4,0.3,7
2017p001764,2017-01-01T15:40:03Z,-42.0,3.1,173.76,3.1,6.0,5.0,M,,,,,,,2.6,0.2,8,2.2,nan,9,,,,2.2,0.6,9
2017p001765,2017-01-01T15:40:40Z,-42.4,4.1,173.96,5.1,8.0,6.0,M,,,,,,,3.0,0.3,19,2.7,nan,9,,,,2.7,0.3,9
2017p001957,2017-01-01T17:23:00Z,-41.65,2.9,174.33,2.0,10.0,3.0,M,,,,,,,3.3,0.1,19,3.3,nan,64,,,,3.3,0.4,64
2017p002090,2017-01-01T18:33:52Z,-42.62,3.0,173.05,3.6,6.0,6.0,M,,,,,,,2.7,0.2,9,2.4,nan,2,,,,2.4,0.0,2
2017p002213,2017-01-01T19:39:11Z,-41.62,2.6,174.23,2.1,17.0,3.0,M,,,,,,,3.4,0.1,21,3.1,nan,21,,,,3.1,0.2,21
2017p002229,2017-01-01T19:48:07Z,-42.57,3.3,173.21,4.2,12.0,4.0,M,,,,,,,2.9,0.2,19,2.8,nan,9,,,,2.8,0.3,9
2017p002231,2017-01-01T19:48:55Z,-38.96,2.3,174.69,2.8,25.0,4.0,M,,,,,,,3.8,0.2,34,3.4,nan,95,,,,3.4,0.4,95
2017p002448,2017-01-01T21:44:27Z,-42.43,4.0,173.52,4.7,3.0,4.0,M,,,,,,,3.0,0.5,6,2.6,nan,12,,,,2.6,0.4,12
2017p002449,2017-01-01T21:45:20Z,-41.66,3.8,174.12,2.8,11.0,6.0,M,,,,,,,2.9,0.2,10,2.6,nan,8,,,,2.6,0.2,8
2017p002698,2017-01-01T23:57:47Z,-42.22,2.0,173.22,3.1,5.0,0.0,M,,,,,,,2.8,0.5,6,2.7,nan,15,,,,2.7,0.4,15
2017p002727,2017-01-02T00:13:27Z,-45.63,3.6,167.05,5.3,13.0,6.0,M,,,,,,,3.6,0.3,6,3.4,nan,5,,,,3.4,0.3,5
2017p002830,2017-01-02T01:08:07Z,-42.37,6.6,173.75,9.4,5.0,5.0,M,,,,,,,2.8,0.2,8,2.5,nan,7,,,,2.5,0.2,7
2017p002847,2017-01-02T01:17:23Z,-42.39,4.2,173.84,6.2,5.0,0.0,M,,,,,,,2.5,0.3,6,2.3,nan,6,,,,2.3,0.4,6
2017p003057,2017-01-02T03:08:47Z,-42.54,3.2,173.44,4.7,11.0,4.0,M,,,,,,,4.0,0.2,18,3.8,nan,18,,,,3.8,0.1,18
2017p003278,2017-01-02T05:07:02Z,-42.31,3.6,173.85,4.5,7.0,4.0,M,,,,,,,2.5,0.4,8,2.5,nan,4,,,,2.5,0.4,4
2017p003337,2017-01-02T05:38:31Z,-38.83,3.2,175.72,4.3,7.0,4.0,M,,,,,,,1.5,0.3,8,1.0,nan,2,,,,1.0,0.0,2
