PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount
1546408,1961-01-10T08:16:42Z,-41.17,0.1,176.22,0.1,33.0,0.0,ML,4.1,0.3,2
1546410,1961-01-18T04:55:46Z,-35.54,0.3,179.02,0.2,12.0,0.0,ML,5.2,0.4,6
1546413,1961-01-25T04:28:36Z,-38.63,0.1,176.14,0.1,137.0,19.0,ML,4.6,0.3,2
1546414,1961-01-25T10:46:50Z,-44.3,0.1,168.06,0.2,12.0,0.0,ML,4.2,0.2,2
1546415,1961-01-31T01:29:24Z,-37.83,0.1,177.48,0.1,12.0,0.0,ML,5.0,0.1,5
1546416,1961-02-01T01:49:13Z,-38.1,0.0,176.7,0.0,12.0,0.0,ML,3.3,0.1,1
1546417,1961-02-03T12:33:29Z,-37.66,0.0,175.97,0.1,309.0,6.0,ML,6.0,0.2,2
1546418,1961-02-04T19:40:31Z,-40.59,0.1,176.51,0.3,33.0,0.0,ML,3.8,0.3,2
1546419,1961-02-05T10:42:52Z,-38.1,0.0,176.3,0.0,12.0,0.0,ML,3.3,nan,1
1546420,1961-02-08T00:41:20Z,-38.6,0.1,175.76,0.1,166.0,13.0,ML,3.9,0.1,2
1546421,1961-02-08T12:12:17Z,-36.94,0.3,177.89,0.9,258.0,52.0,ML,4.2,nan,1
1546422,1961-02-09T22:30:08Z,-36.97,0.1,177.06,0.3,270.0,15.0,ML,5.0,0.1,2
1546423,1961-02-11T19:23:24Z,-38.3,0.0,176.19,0.1,170.0,8.0,ML,4.2,0.1,2
1546425,1961-02-15T12:04:25Z,-40.64,0.1,175.75,0.2,12.0,0.0,ML,3.9,0.5,2
1546426,1961-02-16T05:45:38Z,-41.24,0.1,172.49,0.2,12.0,0.0,ML,3.7,0.2,3
1546427,1961-02-18T01:11:57Z,-40.72,0.1,176.17,0.3,12.0,0.0,ML,3.7,0.5,2
1546428,1961-02-19T09:45:35Z,-44.59,0.2,165.81,0.5,12.0,0.0,ML,4.5,0.4,4
1546429,1961-02-19T14:26:48Z,-40.94,0.1,175.72,0.1,12.0,0.0,ML,3.7,0.4,2
1546430,1961-02-21T09:59:13Z,-42.92,0.1,167.65,0.1,12.0,0.0,ML,4.2,0.2,2
1546431,1961-02-22T06:09:23Z,-41.57,0.0,173.7,0.0,12.0,0.0,ML,3.4,0.1,4
1546432,1961-02-23T06:58:54Z,-41.09,0.1,172.86,0.1,12.0,0.0,ML,3.4,0.1,3
1546433,1961-02-23T08:42:11Z,-40.77,0.1,177.1,0.2,12.0,0.0,ML,4.2,0.2,5
1546434,1961-02-24T02:19:23Z,-38.53,0.1,177.04,0.1,12.0,0.0,ML,4.2,0.3,6
1546435,1961-02-25T00:40:50Z,-38.38,0.0,176.05,0.2,163.0,9.0,ML,4.0,nan,1
1546437,1961-02-27T10:35:34Z,-39.24,0.0,175.41,0.1,101.0,4.0,ML,3.4,0.2,2
1546438,1961-02-27T23:59:22Z,-38.32,0.0,175.76,0.1,235.0,9.0,ML,4.3,0.1,2
1546439,1961-03-02T21:13:28Z,-41.86,0.1,174.49,0.1,33.0,0.0,ML,4.2,0.1,4
1546440,1961-03-03T05:02:34Z,-39.18,0.1,174.8,0.1,220.0,15.0,ML,4.2,0.4,2
1546441,1961-03-04T23:13:54Z,-39.66,0.0,176.6,0.1,12.0,0.0,ML,4.0,0.2,6
1546442,1961-03-11T09:56:41Z,-41.57,0.1,174.62,0.1,12.0,0.0,ML,4.1,0.4,4
1546443,1961-03-11T16:40:41Z,-44.67,0.1,167.96,0.1,12.0,0.0,ML,4.0,0.2,2
1546445,1961-03-15T23:12:37Z,-39.1,0.1,178.22,0.3,12.0,0.0,ML,4.8,0.3,5
1546446,1961-03-18T18:30:34Z,-41.03,0.0,174.31,0.0,12.0,0.0,ML,5.3,0.5,5
1546447,1961-03-20T06:07:44Z,-40.38,0.1,174.4,0.1,12.0,0.0,ML,4.8,0.4,5
1546448,1961-03-22T01:33:06Z,-43.83,0.3,166.99,0.3,12.0,0.0,ML,4.8,0.8,2
1546449,1961-03-22T07:36:39Z,-41.56,0.0,172.54,0.0,132.0,6.0,ML,4.1,nan,1
1546450,1961-03-25T20:31:27Z,-41.2,0.1,172.3,0.1,12.0,0.0,ML,4.1,0.5,3
