PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mb,Mb_Uncertainty,Mb_StationCount,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,Md,Md_Uncertainty,Md_StationCount
1563076,1982-07-04T18:17:36Z,-40.73,0.0,178.43,0.1,33.0,0.0,ML,,,,,,,3.5,0.2,9,,,,,,
1563077,1982-07-04T18:20:16Z,-36.98,0.1,179.57,0.1,33.0,0.0,ML,,,,,,,4.0,0.3,9,,,,,,
1563078,1982-07-04T21:13:19Z,-44.11,0.0,168.81,0.0,12.0,0.0,ML,,,,,,,3.8,0.3,7,,,,,,
1685844,1982-07-05T01:21:40Z,-40.92,0.0,174.92,0.0,33.0,0.0,ML,,,,,,,1.8,0.2,5,,,,,,
1685845,1982-07-05T06:16:36Z,-40.99,0.0,175.1,0.0,35.0,0.0,ML,,,,,,,1.6,0.4,3,,,,,,
1685846,1982-07-05T07:19:08Z,-41.21,0.0,174.95,0.0,23.0,1.0,ML,,,,,,,1.5,0.2,6,,,,,,
1563080,1982-07-05T11:42:11Z,-39.7,0.0,174.28,0.1,201.0,6.0,ML,,,,,,,4.0,0.2,5,,,,,,
1563081,1982-07-05T13:24:49Z,-40.58,0.0,174.29,0.0,100.0,6.0,ML,,,,,,,4.0,0.2,5,,,,,,
1685848,1982-07-05T13:37:21Z,-41.32,0.0,174.88,0.0,35.0,0.0,ML,,,,,,,2.1,0.2,8,,,,,,
1685849,1982-07-05T16:55:30Z,-41.16,0.0,175.73,0.0,24.0,1.0,ML,,,,,,,2.6,0.4,2,,,,2.5,0.1,4
1685850,1982-07-05T18:25:26Z,-41.18,0.0,174.49,0.0,35.0,4.0,ML,,,,,,,1.5,0.2,5,,,,,,
1685851,1982-07-05T18:33:25Z,-40.97,0.0,175.5,0.0,24.0,1.0,ML,,,,,,,1.7,0.3,3,,,,,,
1563082,1982-07-05T19:16:51Z,-39.07,0.0,174.95,0.1,199.0,6.0,ML,,,,,,,3.9,0.4,4,,,,,,
1685852,1982-07-05T19:45:17Z,-41.09,0.0,175.2,0.0,29.0,2.0,ML,,,,,,,1.3,0.1,4,,,,,,
1685853,1982-07-05T22:47:54Z,-41.15,0.0,173.83,0.0,82.0,4.0,ML,,,,,,,3.5,nan,2,,,,3.3,0.2,3
1685854,1982-07-06T16:43:28Z,-41.41,0.0,174.99,0.0,26.0,1.0,ML,,,,,,,1.7,0.2,7,,,,,,
1685855,1982-07-06T17:12:33Z,-41.06,0.0,175.37,0.0,28.0,3.0,ML,,,,,,,1.7,0.2,4,,,,,,
1685856,1982-07-06T18:42:29Z,-40.86,0.0,174.76,0.0,50.0,0.0,ML,,,,,,,2.0,0.2,4,,,,,,
1584354,1982-07-06T19:39:18Z,-44.35,0.0,169.56,0.0,7.0,2.0,ML,,,,,,,2.0,0.1,5,,,,,,
1685857,1982-07-06T20:11:43Z,-41.04,0.0,174.76,0.0,29.0,1.0,ML,,,,,,,2.1,0.1,5,,,,,,
1685858,1982-07-06T20:21:43Z,-40.91,0.0,175.02,0.0,27.0,0.0,ML,,,,,,,2.4,nan,1,,,,2.8,0.2,3
1685859,1982-07-06T23:07:11Z,-41.65,0.0,174.39,0.0,3.0,5.0,ML,,,,,,,2.0,0.2,4,,,,,,
1685860,1982-07-06T23:39:05Z,-41.64,0.0,174.55,0.0,50.0,2.0,ML,,,,,,,2.3,0.2,7,,,,,,
1685861,1982-07-07T03:38:14Z,-40.92,0.0,175.48,0.0,27.0,3.0,ML,,,,,,,1.6,0.2,4,,,,,,
1563084,1982-07-07T05:44:06Z,-40.72,0.0,177.94,0.0,12.0,0.0,ML,,,,,,,3.8,0.2,10,,,,,,
1563085,1982-07-07T05:58:21Z,-40.79,0.0,178.0,0.1,12.0,0.0,ML,,,,,,,4.2,0.2,11,,,,,,
1563086,1982-07-07T06:36:15Z,-40.75,0.0,178.05,0.0,12.0,0.0,ML,,,,,,,3.6,0.2,10,,,,,,
1563087,1982-07-07T07:23:59Z,-40.78,0.0,178.16,0.1,12.0,0.0,ML,,,,,,,3.8,0.2,9,,,,,,
1685862,1982-07-07T08:06:02Z,-40.87,0.0,174.96,0.0,42.0,2.0,ML,,,,,,,2.6,nan,1,,,,2.7,0.2,5
1685863,1982-07-07T08:38:04Z,-40.88,0.0,174.76,0.0,10.0,1.0,ML,,,,,,,1.6,0.1,6,,,,,,
1563088,1982-07-07T09:44:43Z,-40.86,0.0,178.1,0.0,12.0,0.0,ML,,,,,,,3.6,0.2,7,,,,,,
1563092,1982-07-07T11:36:10Z,-40.03,0.0,174.92,0.0,12.0,0.0,ML,,,,,,,3.6,0.3,7,,,,,,
1685864,1982-07-07T18:17:16Z,-41.31,0.0,175.7,0.0,17.0,0.0,ML,,,,,,,2.0,0.2,8,,,,,,
1685865,1982-07-07T18:20:39Z,-41.31,0.0,175.71,0.0,17.0,2.0,ML,,,,,,,1.8,0.1,5,,,,,,
1685866,1982-07-07T18:56:47Z,-41.06,0.0,174.29,0.0,71.0,1.0,ML,,,,,,,2.0,0.3,6,,,,,,
1685867,1982-07-07T21:14:18Z,-41.5,0.0,174.38,0.0,32.0,1.0,ML,,,,,,,2.3,0.2,9,,,,,,
1563094,1982-07-07T21:24:35Z,-40.97,0.1,178.27,0.1,12.0,0.0,ML,,,,,,,3.8,0.2,9,,,,,,
1685868,1982-07-08T00:53:05Z,-41.17,0.0,175.1,0.0,23.0,2.0,ML,,,,,,,1.5,0.2,5,,,,,,
1584355,1982-07-08T03:26:32Z,-44.15,0.0,170.03,0.0,7.0,2.0,ML,,,,,,,1.4,0.2,4,,,,,,
1563095,1982-07-08T05:10:20Z,-38.41,0.0,176.37,0.0,12.0,0.0,ML,,,,,,,2.6,0.4,3,,,,,,
1563096,1982-07-08T05:11:57Z,-38.39,0.0,176.33,0.0,12.0,0.0,ML,,,,,,,2.4,0.3,3,,,,,,
1563097,1982-07-08T06:50:58Z,-40.84,0.1,177.06,0.1,33.0,0.0,ML,,,,,,,3.9,0.3,8,,,,,,
1685869,1982-07-08T09:07:40Z,-41.36,0.0,173.84,0.0,62.0,2.0,ML,,,,,,,2.0,0.1,5,,,,,,
1563099,1982-07-08T18:18:22Z,-40.53,0.0,174.79,0.1,12.0,0.0,ML,,,,,,,3.4,0.3,4,,,,,,
1584356,1982-07-08T23:50:36Z,-44.44,0.0,170.1,0.0,7.0,1.0,ML,,,,,,,1.7,0.1,5,,,,,,
1584357,1982-07-09T03:10:59Z,-44.44,0.0,170.1,0.0,6.0,0.0,ML,,,,,,,1.9,0.1,7,,,,,,
1685871,1982-07-09T03:21:03Z,-40.79,0.0,175.25,0.0,31.0,9.0,ML,,,,,,,1.9,0.2,4,,,,,,
1685872,1982-07-09T12:45:11Z,-41.27,0.0,174.98,0.0,27.0,1.0,ML,,,,,,,1.4,0.2,4,,,,,,
1685873,1982-07-09T12:49:17Z,-41.35,0.0,174.52,0.0,58.0,1.0,ML,,,,,,,1.9,0.3,6,,,,,,
1685874,1982-07-09T14:51:01Z,-41.6,0.0,174.68,0.0,30.0,0.0,ML,,,,,,,1.8,0.2,6,,,,,,
1563100,1982-07-09T23:21:34Z,-37.54,0.1,177.09,0.0,150.0,10.0,ML,,,,,,,3.6,0.4,4,,,,,,
1685875,1982-07-09T23:25:00Z,-40.93,0.0,175.41,0.0,25.0,4.0,ML,,,,,,,2.1,0.2,5,,,,,,
1685876,1982-07-10T02:06:20Z,-41.13,0.0,175.07,0.0,22.0,1.0,ML,,,,,,,2.7,nan,1,,,,2.8,0.1,3
1685877,1982-07-10T02:35:30Z,-41.13,0.0,175.07,0.0,21.0,1.0,ML,,,,,,,1.6,0.1,6,,,,,,
1563101,1982-07-10T08:36:17Z,-38.81,0.1,175.69,0.1,171.0,17.0,ML,,,,,,,3.3,0.4,4,,,,,,
1685878,1982-07-10T09:33:23Z,-41.24,0.0,174.57,0.0,44.0,3.0,ML,,,,,,,1.8,0.2,6,,,,,,
1563102,1982-07-10T17:06:11Z,-44.24,0.0,168.6,0.0,12.0,0.0,ML,,,,,,,3.9,0.3,6,,,,,,
1685879,1982-07-10T20:45:14Z,-41.13,0.0,175.73,0.0,18.0,2.0,ML,,,,,,,2.1,0.2,6,,,,,,
1685880,1982-07-10T21:27:56Z,-41.02,0.0,174.79,0.0,58.0,2.0,ML,,,,,,,1.9,0.1,7,,,,,,
1685881,1982-07-11T01:03:28Z,-41.03,0.0,174.39,0.0,65.0,2.0,ML,,,,,,,2.4,0.2,6,,,,,,
1563103,1982-07-11T02:23:17Z,-38.2,0.0,176.7,0.0,12.0,0.0,ML,,,,,,,2.6,nan,1,,,,,,
1685882,1982-07-11T07:49:29Z,-40.78,0.0,175.02,0.0,35.0,0.0,ML,,,,,,,1.9,0.2,6,,,,,,
1685883,1982-07-11T13:35:15Z,-41.35,0.0,174.91,0.0,28.0,0.0,ML,,,,,,,2.0,0.1,8,,,,,,
1685884,1982-07-11T14:18:18Z,-41.06,0.0,174.82,0.0,30.0,2.0,ML,,,,,,,1.7,0.1,8,,,,,,
1563104,1982-07-11T22:23:00Z,-40.6,0.1,178.3,0.1,12.0,0.0,ML,,,,,,,3.7,0.2,9,,,,,,
1685885,1982-07-12T03:35:20Z,-41.64,0.0,175.31,0.0,11.0,2.0,ML,,,,,,,1.7,0.2,5,,,,,,
1563105,1982-07-12T05:17:50Z,-40.19,0.0,175.35,0.0,12.0,0.0,ML,,,,,,,3.6,0.3,10,,,,,,
1685886,1982-07-12T14:22:41Z,-40.93,0.0,174.59,0.0,57.0,3.0,ML,,,,,,,2.0,0.3,4,,,,,,
1685887,1982-07-12T14:46:04Z,-40.94,0.0,174.5,0.0,67.0,2.0,ML,,,,,,,2.2,0.2,6,,,,,,
1685888,1982-07-12T15:32:21Z,-41.39,0.0,174.35,0.0,30.0,1.0,ML,,,,,,,2.1,0.2,6,,,,,,
1685889,1982-07-12T18:12:30Z,-40.99,0.0,174.92,0.0,14.0,0.0,ML,,,,,,,1.6,0.1,3,,,,,,
1563106,1982-07-12T22:29:01Z,-39.58,0.0,174.23,0.1,264.0,6.0,ML,,,,,,,4.5,0.2,7,,,,,,
1563107,1982-07-12T23:39:05Z,-42.87,0.1,170.89,0.1,12.0,0.0,ML,,,,,,,3.8,0.3,10,,,,,,
1584358,1982-07-13T02:05:30Z,-43.82,0.0,170.79,0.0,1.0,4.0,ML,,,,,,,2.9,0.1,4,,,,,,
1685890,1982-07-13T03:41:41Z,-40.81,0.0,175.0,0.0,37.0,0.0,ML,,,,,,,1.7,0.2,3,,,,,,
1685891,1982-07-13T04:39:46Z,-41.03,0.0,175.39,0.0,7.0,2.0,ML,,,,,,,1.4,0.3,5,,,,,,
1685892,1982-07-13T10:31:21Z,-41.39,0.0,174.66,0.0,18.0,2.0,ML,,,,,,,1.5,0.2,7,,,,,,
1563108,1982-07-13T23:16:14Z,-37.96,0.1,179.42,0.1,12.0,0.0,ML,,,,,,,4.4,0.2,14,,,,,,
1685893,1982-07-14T00:34:55Z,-41.16,0.0,174.37,0.0,37.0,5.0,ML,,,,,,,2.1,0.3,6,,,,,,
1685894,1982-07-14T03:24:48Z,-41.02,0.0,174.63,0.0,50.0,1.0,ML,,,,,,,1.9,0.2,3,,,,,,
1685895,1982-07-14T04:15:16Z,-41.4,0.0,174.69,0.0,20.0,2.0,ML,,,,,,,1.6,0.2,6,,,,,,
1685896,1982-07-14T05:17:25Z,-41.34,0.1,174.13,0.1,38.0,6.0,ML,,,,,,,2.0,0.2,5,,,,,,
1685897,1982-07-14T05:32:15Z,-40.95,0.0,175.69,0.0,28.0,1.0,ML,,,,,,,2.0,0.2,6,,,,,,
1563109,1982-07-14T08:10:43Z,-40.46,0.0,175.42,0.0,33.0,0.0,ML,,,,,,,4.3,0.3,12,,,,,,
1563110,1982-07-14T14:48:20Z,-42.61,0.0,171.83,0.0,12.0,0.0,ML,,,,,,,4.4,0.3,15,,,,,,
1685898,1982-07-14T18:42:38Z,-41.09,0.0,175.3,0.0,26.0,1.0,ML,,,,,,,1.8,0.2,5,,,,,,
1685899,1982-07-15T00:41:12Z,-40.52,0.0,174.82,0.0,37.0,3.0,ML,,,,,,,1.9,0.2,5,,,,,,
1685900,1982-07-15T02:09:27Z,-41.55,0.0,175.21,0.0,26.0,1.0,ML,,,,,,,2.4,0.2,4,,,,,,
1685901,1982-07-15T04:13:41Z,-41.45,0.0,174.56,0.0,31.0,1.0,ML,,,,,,,2.4,0.1,6,,,,,,
1563111,1982-07-15T08:45:42Z,-37.01,0.1,178.0,0.1,33.0,0.0,ML,,,,,,,3.8,0.2,11,,,,,,
1685902,1982-07-15T09:21:03Z,-40.71,0.0,175.36,0.0,31.0,2.0,ML,,,,,,,2.2,0.1,5,,,,,,
1685903,1982-07-15T09:40:09Z,-41.55,0.0,174.27,0.0,17.0,3.0,ML,,,,,,,2.2,0.1,5,,,,,,
1584359,1982-07-15T16:18:14Z,-43.74,0.0,169.63,0.0,0.0,4.0,ML,,,,,,,2.4,0.1,3,,,,,,
1685904,1982-07-15T23:11:07Z,-41.1,0.0,175.08,0.0,22.0,2.0,ML,,,,,,,1.6,0.1,5,,,,,,
1685905,1982-07-16T02:15:54Z,-41.48,0.0,174.47,0.0,33.0,1.0,ML,,,,,,,2.5,0.1,4,,,,,,
1685906,1982-07-16T08:14:18Z,-40.63,0.0,174.57,0.0,42.0,4.0,ML,,,,,,,2.6,0.1,5,,,,,,
1685907,1982-07-16T09:23:29Z,-41.1,0.0,175.31,0.0,26.0,1.0,ML,,,,,,,1.8,0.1,4,,,,,,
1685908,1982-07-16T11:17:51Z,-41.58,0.0,174.44,0.0,21.0,4.0,ML,,,,,,,2.2,0.2,6,,,,,,
1563114,1982-07-16T14:45:13Z,-35.52,0.1,178.57,0.1,33.0,0.0,ML,,,,,,,4.7,0.3,10,,,,,,
1685909,1982-07-16T14:56:04Z,-41.5,0.1,174.09,0.1,30.0,0.0,ML,,,,,,,2.0,0.3,5,,,,,,
1685910,1982-07-16T16:42:01Z,-40.93,0.0,174.92,0.0,33.0,2.0,ML,,,,,,,1.5,0.1,4,,,,,,
1685911,1982-07-16T19:31:29Z,-41.35,0.0,175.08,0.0,25.0,0.0,ML,,,,,,,1.7,0.4,3,,,,,,
1685912,1982-07-16T19:31:30Z,-41.35,0.0,175.08,0.0,25.0,0.0,ML,,,,,,,2.0,0.3,4,,,,,,
1685913,1982-07-16T22:42:10Z,-41.65,0.0,175.48,0.0,20.0,2.0,ML,,,,,,,2.5,0.1,4,,,,,,
1685914,1982-07-17T00:15:45Z,-41.18,0.0,175.05,0.0,5.0,0.0,ML,,,,,,,1.6,0.2,4,,,,,,
1685915,1982-07-17T01:44:27Z,-40.99,0.0,175.44,0.0,24.0,2.0,ML,,,,,,,1.8,0.2,6,,,,,,
1563116,1982-07-17T02:32:01Z,-39.39,0.0,173.79,0.0,12.0,0.0,ML,,,,,,,3.4,0.4,5,,,,,,
1685916,1982-07-17T04:13:06Z,-41.18,0.0,175.07,0.0,9.0,2.0,ML,,,,,,,1.6,0.2,4,,,,,,
1685917,1982-07-17T08:52:34Z,-40.69,0.0,174.91,0.0,20.0,2.0,ML,,,,,,,2.1,0.1,4,,,,,,
1685918,1982-07-17T09:05:08Z,-41.29,0.0,174.33,0.0,35.0,1.0,ML,,,,,,,2.2,0.1,4,,,,,,
1563117,1982-07-17T09:44:00Z,-43.59,0.0,171.54,0.0,33.0,0.0,ML,,,,,,,3.7,0.2,6,,,,,,
1685919,1982-07-17T12:20:22Z,-40.9,0.0,175.15,0.0,36.0,0.0,ML,,,,,,,1.9,0.1,4,,,,,,
1563118,1982-07-17T18:55:48Z,-36.4,0.1,177.43,0.2,277.0,10.0,ML,,,,,,,4.5,0.3,5,,,,,,
1685920,1982-07-18T05:34:18Z,-40.85,0.0,175.11,0.0,30.0,1.0,ML,,,,,,,2.2,0.1,6,,,,,,
1685921,1982-07-18T05:35:08Z,-40.84,0.0,175.07,0.0,36.0,0.0,ML,,,,,,,2.0,0.2,3,,,,,,
1563120,1982-07-18T06:46:12Z,-39.11,0.1,175.8,0.1,74.0,6.0,ML,,,,,,,3.5,0.1,3,,,,,,
1563121,1982-07-18T06:46:35Z,-37.55,0.0,177.13,0.0,1.0,0.0,ML,,,,,,,3.4,0.5,4,,,,,,
1685922,1982-07-18T12:03:13Z,-41.23,0.0,175.05,0.0,21.0,2.0,ML,,,,,,,1.5,0.2,6,,,,,,
1685923,1982-07-18T13:27:03Z,-41.58,0.0,174.27,0.0,4.0,6.0,ML,,,,,,,2.3,0.2,5,,,,,,
1685924,1982-07-18T18:22:44Z,-40.77,0.0,174.82,0.0,22.0,0.0,ML,,,,,,,1.6,0.1,4,,,,,,
1563122,1982-07-18T20:27:28Z,-40.77,0.1,178.3,0.1,33.0,0.0,ML,,,,,,,3.9,0.2,8,,,,,,
1685925,1982-07-18T20:51:38Z,-41.28,0.0,175.0,0.0,21.0,1.0,ML,,,,,,,1.8,0.1,4,,,,,,
1563123,1982-07-18T21:43:27Z,-39.39,0.0,174.26,0.1,212.0,5.0,ML,,,,,,,4.7,0.2,5,,,,,,
1685926,1982-07-18T21:57:23Z,-40.61,0.0,174.65,0.0,24.0,1.0,ML,,,,,,,2.7,0.1,4,,,,,,
1563124,1982-07-19T02:23:01Z,-36.6,0.1,178.23,0.1,144.0,10.0,ML,,,,,,,3.9,0.1,4,,,,,,
1685927,1982-07-19T03:09:57Z,-41.52,0.0,174.4,0.0,25.0,1.0,ML,,,,,,,2.1,0.2,6,,,,,,
1685928,1982-07-19T05:16:30Z,-41.57,0.0,174.5,0.0,5.0,0.0,ML,,,,,,,1.7,0.2,7,,,,,,
1685929,1982-07-19T08:49:18Z,-40.87,0.0,174.55,0.1,5.0,0.0,ML,,,,,,,1.8,0.2,5,,,,,,
1685930,1982-07-19T22:21:24Z,-40.84,0.0,174.9,0.0,62.0,3.0,ML,,,,,,,1.9,0.2,3,,,,,,
1685931,1982-07-20T01:46:58Z,-41.13,0.0,174.02,0.0,60.0,0.0,ML,,,,,,,2.3,0.2,3,,,,,,
1685932,1982-07-20T04:24:41Z,-41.65,0.0,174.38,0.0,51.0,3.0,ML,,,,,,,2.4,0.1,5,,,,,,
1685933,1982-07-20T07:11:55Z,-40.98,0.0,174.74,0.0,35.0,0.0,ML,,,,,,,2.3,nan,1,,,,2.6,0.1,4
1685934,1982-07-20T08:05:06Z,-41.38,0.0,175.02,0.0,24.0,2.0,ML,,,,,,,1.5,0.3,7,,,,,,
1563125,1982-07-20T15:16:44Z,-41.31,0.0,172.96,0.1,136.0,5.0,ML,,,,,,,4.2,0.3,4,,,,,,
1685935,1982-07-21T00:15:57Z,-41.36,0.0,175.83,0.0,5.0,0.0,ML,,,,,,,2.0,0.2,4,,,,,,
1563127,1982-07-21T03:33:02Z,-44.02,0.0,168.78,0.1,5.0,0.0,ML,,,,,,,4.8,0.6,8,,,,,,
1685936,1982-07-22T00:28:46Z,-41.44,0.1,173.8,0.1,61.0,4.0,ML,,,,,,,2.6,0.1,3,,,,,,
1685937,1982-07-22T13:27:58Z,-40.97,0.0,174.96,0.0,46.0,2.0,ML,,,,,,,1.9,0.2,6,,,,,,
1563128,1982-07-22T18:44:43Z,-39.08,0.1,175.14,0.1,215.0,10.0,ML,,,,,,,4.1,0.3,5,,,,,,
1563129,1982-07-23T05:06:41Z,-47.72,0.1,165.64,0.1,33.0,0.0,ML,,,,,,,3.4,0.2,3,,,,,,
1563130,1982-07-23T05:33:58Z,-38.25,0.0,177.67,0.0,12.0,0.0,ML,,,,,,,3.4,0.2,4,,,,,,
1584360,1982-07-23T06:49:21Z,-44.6,0.0,169.52,0.0,2.0,6.0,ML,,,,,,,2.2,nan,1,,,,,,
1685938,1982-07-23T07:28:59Z,-40.51,0.0,174.33,0.0,66.0,2.0,ML,,,,,,,3.1,nan,1,,,,3.5,nan,3
1685939,1982-07-23T08:47:20Z,-41.09,0.0,175.39,0.0,25.0,0.0,ML,,,,,,,1.7,0.3,5,,,,,,
1685940,1982-07-23T11:38:48Z,-41.01,0.0,174.98,0.0,50.0,3.0,ML,,,,,,,2.1,0.1,8,,,,,,
1685941,1982-07-23T14:16:17Z,-41.28,0.0,175.29,0.0,25.0,1.0,ML,,,,,,,1.8,0.1,6,,,,,,
1563131,1982-07-23T14:19:34Z,-39.22,0.0,175.4,0.1,130.0,6.0,ML,,,,,,,3.7,0.3,5,,,,,,
1685942,1982-07-24T04:43:20Z,-41.62,0.1,174.44,0.0,13.0,4.0,ML,,,,,,,1.9,0.1,6,,,,,,
1685943,1982-07-24T07:02:26Z,-41.45,0.0,175.03,0.0,26.0,1.0,ML,,,,,,,2.1,0.2,8,,,,,,
1685944,1982-07-24T13:32:34Z,-40.73,0.0,174.51,0.0,11.0,2.0,ML,,,,,,,1.6,0.2,4,,,,,,
1685945,1982-07-24T14:25:30Z,-41.16,0.0,174.61,0.0,34.0,0.0,ML,,,,,,,2.1,0.1,7,,,,,,
1685946,1982-07-24T14:41:05Z,-40.66,0.0,175.03,0.0,32.0,0.0,ML,,,,,,,2.1,0.2,6,,,,,,
1563135,1982-07-24T18:44:30Z,-44.32,0.0,169.79,0.0,2.0,4.0,ML,,,,,,,4.3,0.4,9,,,,,,
