PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLh,MLh_Uncertainty,MLh_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mBc,mBc_Uncertainty,mBc_StationCount,mb,mb_Uncertainty,mb_StationCount,Mw(mBc),Mw(mBc)_Uncertainty,Mw(mBc)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2012p001012,2012-01-01T08:59:38Z,-38.42,2.6,176.2,2.4,4.0,2.0,M,,,,0.8,0.2,6,1.4,0.2,6,1.1,nan,6,,,,,,,,,,,,,,,,,,,1.1,0.2,6
2012p001024,2012-01-01T09:05:48Z,-43.53,1.8,172.77,2.6,5.0,2.0,M,,,,3.6,0.4,4,4.1,0.4,65,3.7,nan,4,,,,4.6,0.3,2,,,,,,,,,,,,,3.7,0.5,4
2012p001039,2012-01-01T09:13:39Z,-43.46,2.5,172.82,4.2,5.0,0.0,M,,,,2.8,0.4,4,1.9,0.6,4,2.0,nan,4,,,,2.4,0.4,3,,,,,,,,,,,,,2.0,0.5,4
2012p001056,2012-01-01T09:23:28Z,-40.66,5.8,175.47,5.2,26.0,6.0,M,,,,1.6,0.3,7,1.6,0.4,7,1.4,nan,7,,,,2.0,0.2,6,,,,,,,,,,,,,1.4,0.4,7
2012p001068,2012-01-01T09:29:21Z,-43.5,1.9,172.86,3.0,5.0,0.0,M,,,,2.9,0.5,5,2.1,0.5,5,2.1,nan,5,,,,2.6,0.1,2,,,,,,,,,,,,,2.1,0.5,5
2012p001081,2012-01-01T09:36:17Z,-40.68,4.7,175.47,2.5,24.0,4.0,M,,,,1.4,0.2,6,1.4,0.3,6,1.2,nan,6,,,,1.9,0.2,7,,,,,,,,,,,,,1.2,0.3,6
2012p001174,2012-01-01T10:25:32Z,-43.49,2.1,172.81,2.9,5.0,0.0,M,,,,2.7,0.6,4,2.1,0.5,4,2.0,nan,4,,,,2.7,0.1,2,,,,,,,,,,,,,2.0,0.5,4
2012p001265,2012-01-01T11:14:12Z,-39.28,3.8,175.07,2.1,17.0,4.0,M,,,,2.3,0.7,8,2.1,0.3,8,1.9,nan,8,,,,2.4,0.3,8,,,,,,,,,,,,,1.9,0.4,8
2012p001274,2012-01-01T11:19:07Z,-38.47,9.3,175.69,11.0,193.0,10.0,M,,,,,,,,,,2.3,nan,13,,,,,,,,,,,,,,,,,,,2.3,0.3,13
2012p001350,2012-01-01T11:58:59Z,-33.72,7.1,-177.92,9.1,21.0,9.0,M,5.0,0.0,4,4.3,0.3,7,5.2,0.2,5,4.7,nan,7,4.3,0.4,4,5.3,0.3,5,4.1,0.1,7,5.0,0.0,6,5.0,0.2,7,4.0,0.4,6,4.9,nan,1
2012p001354,2012-01-01T12:01:42Z,-41.58,3.7,174.88,2.4,18.0,4.0,M,,,,1.7,0.3,8,2.0,0.4,10,1.9,nan,8,,,,2.5,0.3,7,,,,,,,,,,,,,1.9,0.4,8
2012p001391,2012-01-01T12:21:11Z,-36.56,6.9,177.75,6.3,188.0,6.0,M,,,,,,,,,,3.1,nan,21,,,,,,,,,,,,,,,,,,,3.1,0.2,21
2012p001403,2012-01-01T12:27:57Z,-43.46,2.5,172.83,3.1,9.0,4.0,MLv,,,,4.9,0.5,2,5.0,0.7,2,5.1,nan,96,,,,5.6,nan,1,,,,,,,,,,,,,5.1,0.4,96
2012p001410,2012-01-01T12:31:27Z,-43.45,1.9,172.82,2.8,5.0,0.0,MLv,,,,3.9,0.4,3,4.2,0.6,3,4.4,nan,56,,,,4.7,0.4,2,,,,,,,,,,,,,4.4,0.4,56
2012p001427,2012-01-01T12:40:38Z,-43.5,4.6,172.8,4.9,15.0,8.0,M,,,,3.2,0.5,6,2.3,0.5,6,2.3,nan,6,,,,2.7,0.2,5,,,,,,,,,,,,,2.3,0.6,6
2012p001430,2012-01-01T12:42:18Z,-43.45,2.3,172.83,3.5,5.0,0.0,M,,,,2.9,0.4,4,2.7,0.6,4,2.5,nan,4,,,,3.2,0.3,3,,,,,,,,,,,,,2.5,0.6,4
2012p001435,2012-01-01T12:44:44Z,-43.46,2.2,172.83,3.4,5.0,0.0,M,,,,3.2,0.5,7,2.6,0.4,7,2.5,nan,7,,,,2.9,0.2,6,3.5,nan,1,,,,,,,,,,2.5,0.5,7
2012p001443,2012-01-01T12:49:02Z,-43.44,4.0,172.86,4.8,2.0,5.0,M,,,,2.9,0.4,4,2.5,0.4,4,2.4,nan,4,,,,2.9,0.3,3,,,,,,,,,,,,,2.4,0.5,4
2012p001463,2012-01-01T12:59:43Z,-40.82,3.9,173.24,2.4,98.0,4.0,M,,,,,,,,,,2.1,nan,6,,,,,,,,,,,,,,,,,,,2.1,0.2,6
2012p001475,2012-01-01T13:05:54Z,-43.46,2.9,172.81,3.2,8.0,4.0,M,,,,3.1,0.5,6,2.6,0.4,6,2.4,nan,6,,,,2.9,0.2,5,,,,,,,,,,,,,2.4,0.4,6
2012p001489,2012-01-01T13:13:33Z,-40.14,1.6,174.78,3.3,12.0,0.0,M,,,,2.3,0.3,13,2.4,0.2,13,2.2,nan,13,,,,2.5,0.2,13,,,,,,,,,,,,,2.2,0.2,13
2012p001496,2012-01-01T13:17:13Z,-43.45,1.8,172.82,2.6,5.0,0.0,M,,,,2.9,0.4,5,2.2,0.6,4,2.1,nan,5,,,,2.6,0.1,3,,,,,,,,,,,,,2.1,0.4,5
2012p001501,2012-01-01T13:20:19Z,-43.44,1.8,172.82,2.2,5.0,0.0,M,,,,3.3,0.3,7,3.3,0.3,7,3.3,nan,20,,,,3.5,0.3,6,,,,,,,,,,,,,3.1,0.3,7
2012p001521,2012-01-01T13:30:51Z,-43.46,1.7,172.82,2.8,5.0,0.0,MLv,,,,2.8,0.4,4,2.8,0.5,14,2.8,nan,14,,,,3.0,0.2,3,,,,,,,,,,,,,2.8,0.3,14
2012p001562,2012-01-01T13:53:19Z,-43.44,1.8,172.82,3.1,5.0,0.0,ML,,,,,,,2.6,0.4,4,,,,,,,3.0,0.0,3,,,,,,,,,,,,,,,
2012p001573,2012-01-01T13:58:20Z,-37.01,6.9,177.15,6.3,177.0,7.0,M,,,,,,,,,,2.5,nan,10,,,,,,,,,,,,,,,,,,,2.5,0.1,10
2012p001582,2012-01-01T14:03:01Z,-43.5,1.6,172.74,2.4,5.0,0.0,M,,,,2.6,0.6,4,1.9,0.6,4,1.8,nan,4,,,,2.6,0.1,2,,,,,,,,,,,,,1.8,0.5,4
