PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1545772,1958-07-05T09:31:09Z,-38.47,0.0,176.85,0.1,124.0,9.0,ML,3.9,0.3,2,,,
1545773,1958-07-08T15:33:53Z,-38.95,0.0,175.33,0.1,159.0,7.0,ML,4.2,nan,2,,,
1545774,1958-07-11T17:09:21Z,-38.0,0.0,177.0,0.0,33.0,0.0,ML,3.5,0.1,1,,,
1545775,1958-07-14T00:56:50Z,-38.57,0.0,175.77,0.1,173.0,8.0,ML,4.2,0.3,2,,,
1545776,1958-07-15T11:58:57Z,-42.1,0.0,172.84,0.0,12.0,0.0,ML,4.5,0.3,4,,,
1545777,1958-07-29T08:55:48Z,-38.5,0.0,175.84,0.1,167.0,9.0,ML,4.2,0.4,2,,,
1545778,1958-07-29T22:21:19Z,-40.64,0.1,176.53,0.2,12.0,0.0,ML,5.2,0.4,4,,,
1545779,1958-08-02T12:18:22Z,-39.0,0.0,176.0,0.0,12.0,0.0,ML,3.1,nan,1,,,
1545781,1958-08-05T12:38:34Z,-43.07,0.1,170.47,0.1,33.0,0.0,ML,4.1,0.2,3,,,
1545782,1958-08-09T02:11:16Z,-37.2,0.1,177.14,0.3,33.0,0.0,ML,5.0,0.2,4,,,
1545783,1958-08-11T14:35:41Z,-40.16,0.0,174.24,0.1,33.0,0.0,ML,4.3,0.3,3,,,
1545784,1958-08-11T22:16:13Z,-39.11,0.0,174.85,0.1,214.0,8.0,ML,5.2,nan,2,,,
1545785,1958-08-15T12:11:16Z,-38.75,0.1,175.3,0.1,176.0,13.0,ML,4.4,0.3,2,,,
1545787,1958-08-23T16:14:02Z,-41.54,0.1,173.02,0.1,33.0,0.0,ML,3.6,0.3,3,,,
1545788,1958-08-25T17:03:47Z,-36.07,0.4,-179.54,0.8,33.0,0.0,ML,4.4,0.1,2,,,
1545789,1958-08-27T07:48:14Z,-39.26,0.1,174.66,0.1,33.0,0.0,ML,4.0,0.3,3,,,
1545791,1958-09-02T02:55:40Z,-41.41,0.1,171.63,0.1,33.0,0.0,ML,4.3,0.1,3,,,
1545792,1958-09-02T11:18:03Z,-41.18,0.0,175.74,0.0,33.0,0.0,ML,2.9,nan,1,,,
1545793,1958-09-02T22:11:07Z,-35.08,0.2,178.58,0.4,282.0,20.0,ML,5.3,nan,1,,,
1545794,1958-09-05T10:58:05Z,-40.37,0.2,176.59,0.3,33.0,0.0,ML,4.1,0.6,2,,,
1545796,1958-09-08T19:24:28Z,-38.11,0.2,177.42,0.6,12.0,0.0,ML,4.4,0.5,4,,,
1545797,1958-09-10T16:07:28Z,-38.45,0.3,177.44,0.9,12.0,0.0,ML,2.8,0.6,2,,,
1545798,1958-09-12T01:04:22Z,-37.45,0.5,177.72,0.9,12.0,0.0,ML,4.0,0.2,2,,,
1545800,1958-09-17T14:10:59Z,-41.39,0.0,173.11,0.0,86.0,5.0,ML,4.7,nan,1,,,
1545801,1958-09-18T05:12:39Z,-37.99,0.0,176.12,0.1,200.0,9.0,ML,5.2,0.1,2,,,
1545802,1958-09-22T05:37:30Z,-40.83,0.1,174.4,0.1,12.0,0.0,ML,4.3,0.2,3,,,
1545804,1958-09-25T11:56:30Z,-40.29,0.1,173.43,0.1,173.0,19.0,ML,4.4,nan,2,,,
1545805,1958-09-26T12:25:50Z,-38.87,0.1,176.16,0.1,131.0,11.0,ML,4.2,nan,2,,,
1545806,1958-09-27T00:33:25Z,-41.52,0.1,174.02,0.1,33.0,0.0,ML,4.0,nan,2,,,
1545807,1958-09-30T18:38:48Z,-38.4,0.0,176.26,0.1,164.0,10.0,ML,5.5,nan,1,,,
1545808,1958-10-02T06:45:37Z,-38.87,0.1,178.12,0.1,12.0,0.0,ML,3.7,nan,2,,,
1545809,1958-10-07T07:37:55Z,-39.15,0.0,174.9,0.1,219.0,9.0,ML,5.2,0.1,2,,,
1545810,1958-10-14T01:11:17Z,-37.03,0.1,178.08,0.6,33.0,0.0,ML,4.5,0.2,3,,,
2183130,1958-10-21T18:08:00Z,-46.1,0.0,167.7,0.0,25.0,0.0,M,,,,4.5,nan,0
1545812,1958-10-23T17:23:20Z,-37.3,0.0,173.32,0.0,33.0,0.0,ML,4.0,nan,1,,,
1545813,1958-10-26T03:18:51Z,-39.0,0.1,173.58,0.1,33.0,0.0,ML,4.2,0.2,4,,,
1545814,1958-10-29T15:13:33Z,-41.05,0.2,176.4,0.3,33.0,0.0,ML,3.7,0.3,2,,,
1545815,1958-10-31T23:42:54Z,-38.21,0.1,175.97,0.1,178.0,20.0,ML,4.4,0.8,2,,,
1545816,1958-11-06T14:36:42Z,-40.56,0.1,176.44,0.1,12.0,0.0,ML,4.1,0.6,4,,,
1545817,1958-11-08T13:20:12Z,-40.01,0.1,174.38,0.1,128.0,12.0,ML,4.8,0.1,2,,,
1545818,1958-11-08T20:21:45Z,-41.45,0.2,174.75,0.1,33.0,0.0,ML,4.3,0.2,2,,,
1545819,1958-11-08T21:05:08Z,-39.2,0.0,175.32,0.1,144.0,10.0,ML,4.6,nan,2,,,
1545820,1958-11-10T14:55:20Z,-39.15,0.1,174.79,0.2,219.0,29.0,ML,4.2,0.3,2,,,
1545821,1958-11-14T21:44:17Z,-41.02,0.0,172.83,0.1,12.0,0.0,ML,3.9,0.2,4,,,
1545823,1958-11-20T16:22:56Z,-42.48,0.1,171.0,0.1,12.0,0.0,ML,3.4,0.2,3,,,
1545824,1958-11-20T21:56:13Z,-41.71,0.0,174.01,0.0,33.0,0.0,ML,4.0,0.4,5,,,
1545825,1958-11-21T23:19:21Z,-41.77,0.0,171.24,0.1,12.0,0.0,ML,4.4,0.2,4,,,
1545826,1958-11-23T09:24:13Z,-39.16,0.0,175.39,0.0,12.0,0.0,ML,3.9,0.1,3,,,
1545827,1958-11-23T10:00:10Z,-40.02,0.1,174.38,0.1,142.0,20.0,ML,4.3,0.1,2,,,
1545828,1958-11-23T12:56:45Z,-37.96,0.1,175.73,0.1,218.0,10.0,ML,4.3,nan,2,,,
1545829,1958-11-24T08:47:34Z,-38.93,0.0,175.12,0.1,178.0,15.0,ML,3.9,0.1,2,,,
1545830,1958-11-28T11:01:55Z,-38.14,0.1,176.09,0.1,211.0,9.0,ML,4.0,0.2,2,,,
1545831,1958-12-01T12:26:13Z,-38.01,0.0,176.02,0.1,242.0,8.0,ML,3.9,0.2,2,,,
1545833,1958-12-04T20:20:26Z,-38.59,0.0,175.75,0.1,149.0,5.0,ML,4.5,0.4,2,,,
1545836,1958-12-10T07:03:03Z,-37.27,0.2,176.72,0.4,285.0,26.0,ML,6.1,nan,1,,,
1545837,1958-12-12T21:06:39Z,-37.74,0.0,175.41,0.0,33.0,0.0,ML,4.1,nan,1,,,
1545838,1958-12-14T13:24:19Z,-39.16,0.1,175.47,0.2,12.0,0.0,ML,3.6,nan,1,,,
1545839,1958-12-17T03:30:30Z,-40.6,0.2,175.38,0.3,33.0,0.0,ML,3.9,0.3,3,,,
1545840,1958-12-20T21:07:08Z,-41.32,0.0,172.85,0.0,128.0,5.0,ML,4.1,nan,1,,,
1545841,1958-12-21T13:51:32Z,-42.75,0.2,170.39,0.5,12.0,0.0,ML,4.6,0.6,2,,,
1545842,1958-12-21T19:20:42Z,-45.04,0.1,167.33,0.1,33.0,0.0,ML,4.6,0.3,4,,,
1545847,1958-12-30T17:45:16Z,-37.78,0.1,176.84,0.2,33.0,0.0,ML,4.2,0.2,2,,,
