PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,M,M_Uncertainty,M_StationCount
2178256,1937-10-23T16:53:00Z,-37.9,0.0,177.8,0.0,80.0,0.0,M,6.2,nan,0
2178257,1937-10-25T10:33:00Z,-37.9,0.0,177.8,0.0,80.0,0.0,M,6.0,nan,0
