PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,M,M_Uncertainty,M_StationCount
2178432,1941-01-09T02:39:24Z,-38.1,0.0,177.2,0.0,12.0,0.0,MS,4.8,nan,0,5.2,nan,0
2178434,1941-01-09T17:04:08Z,-38.0,0.0,176.8,0.0,25.0,0.0,M,,,,3.4,nan,0
2178435,1941-01-11T13:36:00Z,-38.0,0.0,177.3,0.0,25.0,0.0,M,,,,4.5,nan,0
2178436,1941-01-12T03:30:00Z,-45.5,0.0,168.5,0.0,100.0,0.0,M,,,,4.7,nan,0
2178437,1941-01-12T14:03:06Z,-41.5,0.0,178.5,0.0,100.0,0.0,M,,,,4.8,nan,0
2178438,1941-01-17T17:38:15Z,-39.2,0.0,175.2,0.0,33.0,0.0,M,,,,3.8,nan,0
2178439,1941-01-18T20:38:53Z,-41.2,0.0,172.2,0.0,33.0,0.0,M,,,,4.3,nan,0
2178440,1941-01-25T21:50:00Z,-40.5,0.0,175.7,0.0,25.0,0.0,M,,,,4.5,nan,0
2178441,1941-01-27T04:50:23Z,-41.8,0.0,172.2,0.0,33.0,0.0,M,,,,4.0,nan,0
2178442,1941-01-31T06:09:00Z,-41.0,0.0,172.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178443,1941-02-06T18:20:33Z,-43.0,0.0,171.3,0.0,12.0,0.0,M,,,,5.2,nan,0
2178444,1941-02-06T18:26:00Z,-43.2,0.0,171.5,0.0,25.0,0.0,M,,,,3.3,nan,0
2178445,1941-02-06T18:34:00Z,-43.0,0.0,171.2,0.0,25.0,0.0,M,,,,3.0,nan,0
2178446,1941-02-06T19:57:54Z,-43.2,0.0,171.5,0.0,25.0,0.0,M,,,,3.5,nan,0
2178447,1941-02-07T18:19:48Z,-43.2,0.0,171.5,0.0,25.0,0.0,M,,,,3.3,nan,0
