PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1546660,1961-07-02T08:47:00Z,-35.38,0.1,178.06,0.2,205.0,43.0,ML,,,,4.3,0.3,2,,,,,,
1546661,1961-07-04T08:23:31Z,-44.46,0.0,168.12,0.1,12.0,0.0,ML,,,,5.1,0.4,6,,,,,,
1546662,1961-07-04T08:27:11Z,-44.42,0.1,168.0,0.3,12.0,0.0,ML,,,,4.6,0.2,3,,,,,,
1546663,1961-07-04T20:50:54Z,-39.1,0.1,174.45,0.1,192.0,8.0,ML,,,,4.0,nan,1,,,,,,
1546664,1961-07-07T17:38:32Z,-40.36,0.1,173.81,0.1,208.0,10.0,ML,,,,4.7,0.2,2,,,,,,
1546665,1961-07-09T14:05:35Z,-40.52,0.1,173.94,0.1,12.0,0.0,ML,,,,4.4,0.3,6,,,,,,
1546666,1961-07-10T16:30:18Z,-38.09,0.0,177.67,0.1,12.0,0.0,ML,,,,3.0,0.3,2,,,,,,
1546667,1961-07-11T10:52:07Z,-38.76,0.1,178.17,0.3,12.0,0.0,ML,,,,3.9,0.2,3,,,,,,
1546669,1961-07-18T14:32:44Z,-39.25,0.0,174.84,0.0,12.0,0.0,ML,,,,3.3,nan,2,,,,,,
1546670,1961-07-21T21:12:42Z,-40.11,0.1,177.44,0.2,12.0,0.0,ML,,,,4.0,0.3,3,,,,,,
1546671,1961-07-21T23:04:58Z,-43.76,0.3,169.46,0.5,12.0,0.0,ML,,,,4.0,nan,1,,,,,,
1546673,1961-07-22T15:27:00Z,-44.43,0.1,167.65,0.2,12.0,0.0,ML,,,,4.2,0.6,2,,,,,,
1546674,1961-07-22T17:08:27Z,-39.43,0.0,173.14,0.1,33.0,0.0,ML,,,,3.6,0.8,4,,,,,,
1546675,1961-07-23T16:27:25Z,-41.53,0.1,171.98,0.2,12.0,0.0,ML,,,,3.6,0.1,2,,,,,,
1546676,1961-07-24T05:13:04Z,-40.85,0.0,174.94,0.1,33.0,0.0,ML,,,,3.7,0.2,2,,,,,,
1546677,1961-07-24T16:11:42Z,-40.61,0.0,174.9,0.1,12.0,0.0,ML,,,,5.0,0.5,4,,,,,,
1546678,1961-07-24T20:15:50Z,-40.63,0.1,174.59,0.1,12.0,0.0,ML,,,,3.9,0.1,3,,,,,,
1546679,1961-07-25T19:59:26Z,-41.12,0.1,176.29,0.1,12.0,0.0,ML,,,,4.8,0.3,4,,,,,,
1546680,1961-07-26T09:19:06Z,-37.54,0.1,176.96,0.2,173.0,30.0,ML,,,,5.8,0.3,2,,,,,,
1546681,1961-07-27T13:50:14Z,-35.93,0.3,179.14,0.7,12.0,0.0,ML,,,,4.7,0.2,4,,,,,,
1546682,1961-07-27T14:50:28Z,-35.89,0.1,-179.79,0.5,12.0,0.0,ML,,,,4.9,0.2,4,,,,,,
1546683,1961-07-27T15:33:59Z,-35.79,0.2,178.94,0.7,12.0,0.0,ML,,,,5.0,0.3,6,,,,,,
1546685,1961-07-30T12:51:25Z,-41.05,0.0,173.92,0.0,12.0,0.0,ML,,,,3.9,0.1,3,,,,,,
1546688,1961-08-02T18:45:34Z,-37.73,0.0,177.67,0.1,12.0,0.0,ML,,,,4.1,0.4,6,,,,,,
1546690,1961-08-07T00:02:57Z,-39.14,0.1,176.79,0.1,12.0,0.0,ML,,,,3.9,0.4,6,,,,,,
1546691,1961-08-09T04:09:56Z,-39.9,0.1,177.01,0.1,33.0,0.0,ML,,,,3.3,0.1,2,,,,,,
1546692,1961-08-10T19:17:15Z,-40.81,0.1,175.82,0.1,12.0,0.0,ML,,,,4.6,0.3,5,,,,,,
1546694,1961-08-12T17:10:42Z,-41.2,0.1,175.77,0.1,12.0,0.0,ML,,,,4.8,0.2,6,,,,,,
1546695,1961-08-12T21:32:45Z,-40.94,0.2,175.19,0.4,12.0,0.0,ML,,,,4.0,0.4,5,,,,,,
2183133,1961-08-13T14:55:00Z,-40.0,0.0,176.6,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
1546696,1961-08-15T08:47:13Z,-41.53,0.0,174.4,0.0,12.0,0.0,ML,,,,3.8,0.3,5,,,,,,
1546697,1961-08-17T13:23:03Z,-38.87,0.1,175.8,0.1,141.0,21.0,ML,,,,3.7,0.2,2,,,,,,
1546699,1961-08-20T03:35:24Z,-41.87,0.1,174.27,0.1,33.0,0.0,ML,,,,3.7,0.6,5,,,,,,
1546700,1961-08-20T16:48:42Z,-39.48,0.1,176.72,0.2,33.0,0.0,ML,,,,3.3,nan,1,,,,,,
1546701,1961-08-20T18:09:12Z,-38.25,0.2,177.77,0.3,321.0,31.0,ML,,,,4.0,nan,1,,,,,,
1546702,1961-08-21T01:46:54Z,-39.05,0.1,179.66,0.1,33.0,0.0,ML,,,,4.5,0.3,5,,,,,,
1546703,1961-08-22T03:18:09Z,-40.77,0.1,175.65,0.1,12.0,0.0,ML,,,,3.9,0.2,5,,,,,,
1546704,1961-08-22T04:12:54Z,-39.07,0.1,174.77,0.1,213.0,13.0,ML,,,,4.4,0.2,2,,,,,,
1546705,1961-08-24T03:52:24Z,-36.86,0.2,177.7,0.8,252.0,25.0,ML,,,,4.3,0.2,2,,,,,,
1546706,1961-08-27T11:47:18Z,-38.8,0.1,175.05,0.1,219.0,9.0,ML,,,,4.1,0.2,2,,,,,,
1546707,1961-08-27T16:23:35Z,-39.36,0.0,174.9,0.1,150.0,5.0,ML,,,,3.7,nan,1,,,,,,
1546708,1961-09-03T20:45:18Z,-37.88,0.1,176.31,0.2,300.0,12.0,ML,,,,4.2,0.3,2,,,,,,
1546709,1961-09-04T04:07:05Z,-38.51,0.1,175.68,0.2,160.0,20.0,ML,,,,4.2,0.1,2,,,,,,
1546710,1961-09-05T13:27:52Z,-44.8,0.0,168.68,0.6,12.0,0.0,ML,,,,3.6,nan,1,,,,,,
1546711,1961-09-09T07:43:04Z,-42.52,0.1,172.92,0.1,12.0,0.0,ML,,,,3.6,0.3,4,,,,,,
1546712,1961-09-11T01:36:27Z,-37.26,0.1,176.94,0.1,291.0,7.0,ML,,,,4.9,0.1,2,,,,,,
1546713,1961-09-11T15:34:52Z,-38.16,0.1,177.97,0.4,12.0,0.0,ML,,,,4.1,0.1,3,,,,,,
1546714,1961-09-15T20:49:02Z,-38.8,0.1,175.93,0.2,12.0,0.0,ML,,,,3.8,nan,1,,,,,,
1546715,1961-09-15T20:56:34Z,-38.82,0.1,176.08,0.1,12.0,0.0,ML,,,,4.2,0.1,3,,,,,,
1546716,1961-09-15T20:58:27Z,-38.79,0.1,175.89,0.1,12.0,0.0,ML,,,,4.1,nan,1,,,,,,
1546717,1961-09-15T21:27:30Z,-37.1,0.1,177.25,0.2,203.0,19.0,ML,,,,4.9,0.3,2,,,,,,
1546718,1961-09-16T00:55:29Z,-38.98,0.0,176.16,0.1,109.0,8.0,ML,,,,4.4,0.1,2,,,,,,
1546719,1961-09-17T08:01:47Z,-39.2,0.0,174.71,0.1,172.0,7.0,ML,,,,3.8,nan,2,,,,,,
1546720,1961-09-18T00:09:31Z,-43.91,0.1,168.99,0.2,12.0,0.0,ML,,,,5.3,0.4,4,,,,,,
1546721,1961-09-18T09:23:43Z,-45.75,0.3,167.02,0.2,12.0,0.0,ML,,,,4.5,0.2,5,,,,,,
1546722,1961-09-19T07:54:12Z,-39.19,0.1,174.81,0.1,222.0,12.0,ML,,,,4.4,0.2,2,,,,,,
1546723,1961-09-22T11:24:03Z,-41.79,0.1,174.33,0.1,12.0,0.0,ML,,,,4.0,0.3,4,,,,,,
1546724,1961-09-25T14:11:00Z,-37.3,0.1,176.76,0.1,273.0,16.0,ML,,,,5.2,0.2,2,,,,,,
1546725,1961-09-25T14:36:55Z,-36.96,0.1,176.99,0.3,12.0,0.0,ML,,,,4.0,0.3,3,,,,,,
1546726,1961-09-26T08:00:42Z,-37.68,0.1,177.44,0.1,154.0,10.0,ML,,,,4.5,0.1,2,,,,,,
1546727,1961-09-26T15:24:51Z,-40.31,0.1,176.13,0.2,12.0,0.0,ML,,,,3.8,0.1,4,,,,,,
1546728,1961-09-28T02:24:29Z,-38.26,0.0,178.86,0.1,118.0,8.0,ML,,,,4.4,0.1,2,,,,,,
1546729,1961-09-30T17:27:33Z,-40.37,0.1,175.68,0.4,12.0,0.0,ML,,,,3.5,0.6,2,,,,,,
1546748,1961-10-03T13:52:30Z,-37.44,0.1,179.59,0.2,12.0,0.0,ML,,,,3.8,0.1,1,,,,,,
1546749,1961-10-04T16:06:00Z,-38.46,0.0,176.07,0.1,168.0,10.0,ML,,,,3.7,0.3,2,,,,,,
1546750,1961-10-08T02:56:41Z,-38.27,0.1,176.75,0.4,159.0,17.0,ML,,,,4.5,nan,1,,,,,,
1546751,1961-10-08T12:54:58Z,-40.17,0.1,175.06,0.2,33.0,0.0,ML,,,,4.2,0.3,6,,,,,,
1546752,1961-10-09T10:08:51Z,-35.51,0.1,179.07,0.2,210.0,29.0,ML,,,,4.5,0.2,2,,,,,,
1546754,1961-10-15T03:54:00Z,-37.55,0.0,176.82,0.0,85.0,2.0,ML,,,,4.0,nan,1,,,,,,
1546755,1961-10-20T07:44:22Z,-39.56,0.0,174.2,0.1,197.0,6.0,ML,,,,5.0,0.1,2,,,,,,
1546756,1961-10-20T08:26:10Z,-39.61,0.1,174.34,0.1,199.0,11.0,ML,,,,4.2,0.1,2,,,,,,
1546757,1961-10-21T18:21:24Z,-38.84,0.1,175.44,0.3,248.0,21.0,ML,,,,4.0,0.2,2,,,,,,
1546758,1961-10-23T16:16:35Z,-38.66,0.1,176.47,0.1,161.0,12.0,ML,,,,4.3,0.2,2,,,,,,
1546759,1961-10-24T10:37:38Z,-37.36,0.2,176.6,0.2,240.0,32.0,ML,,,,4.1,0.2,2,,,,,,
1546761,1961-10-27T16:43:21Z,-38.31,0.0,176.42,0.0,33.0,0.0,ML,,,,3.8,0.2,1,,,,,,
1546762,1961-10-27T23:15:46Z,-38.29,0.3,175.24,0.3,177.0,53.0,ML,,,,4.3,0.3,2,,,,,,
1546763,1961-10-29T17:57:23Z,-40.14,0.0,174.52,0.0,100.0,7.0,ML,,,,4.9,0.4,2,,,,,,
1546764,1961-10-30T11:19:42Z,-40.58,0.1,173.3,0.1,167.0,17.0,ML,,,,4.4,nan,1,,,,,,
1546765,1961-10-30T12:20:02Z,-40.12,0.0,175.0,0.1,33.0,0.0,ML,,,,3.8,0.1,4,,,,,,
1546767,1961-11-12T10:15:19Z,-44.93,0.1,167.53,0.1,12.0,0.0,ML,,,,4.9,0.3,6,,,,,,
1546769,1961-11-15T01:55:41Z,-38.13,0.1,177.55,0.3,33.0,0.0,ML,,,,4.4,0.3,4,,,,,,
1546770,1961-11-15T10:20:01Z,-44.63,0.1,167.64,0.3,12.0,0.0,ML,,,,4.8,0.3,5,,,,,,
