PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1684536,1981-07-01T00:39:50Z,-40.5,0.0,174.69,0.0,11.0,1.0,ML,,,,2.0,0.1,5,,,
1584090,1981-07-01T01:16:37Z,-44.37,0.0,169.53,0.0,5.0,2.0,ML,,,,3.0,0.2,5,,,
1584091,1981-07-01T01:19:25Z,-44.36,0.0,169.56,0.1,5.0,2.0,ML,,,,2.2,0.1,7,,,
1684537,1981-07-01T01:25:05Z,-40.96,0.0,175.07,0.0,51.0,1.0,ML,,,,2.1,0.2,5,,,
1684538,1981-07-01T02:42:01Z,-41.28,0.0,175.21,0.0,20.0,1.0,ML,,,,1.7,0.1,7,,,
1684539,1981-07-01T11:32:36Z,-41.58,0.0,174.14,0.0,15.0,2.0,ML,,,,2.0,0.2,5,,,
1684540,1981-07-01T17:22:41Z,-41.26,0.0,174.1,0.0,46.0,1.0,ML,,,,2.1,0.1,4,,,
1584092,1981-07-01T19:21:12Z,-43.73,0.0,170.57,0.0,1.0,5.0,ML,,,,2.3,0.1,6,,,
1684541,1981-07-01T20:53:50Z,-41.29,0.0,175.26,0.0,27.0,2.0,ML,,,,1.9,0.2,4,,,
1684542,1981-07-01T21:02:15Z,-41.26,0.0,175.02,0.0,23.0,0.0,ML,,,,1.6,0.3,5,,,
1561985,1981-07-02T01:19:35Z,-45.11,0.0,167.71,0.0,113.0,2.0,ML,,,,3.5,0.3,3,,,
1561989,1981-07-02T16:02:05Z,-37.55,0.1,176.42,0.1,238.0,15.0,ML,,,,3.9,0.4,4,,,
1684543,1981-07-02T17:03:21Z,-41.41,0.0,174.94,0.0,28.0,1.0,ML,,,,1.7,0.2,6,,,
1584093,1981-07-02T19:31:18Z,-43.72,0.0,169.7,0.0,2.0,0.0,ML,,,,2.9,0.2,6,,,
1561993,1981-07-03T12:11:46Z,-35.46,0.1,178.83,0.3,251.0,24.0,ML,,,,4.2,0.1,4,,,
1684544,1981-07-03T16:43:38Z,-41.34,0.0,174.81,0.0,27.0,1.0,ML,,,,1.7,0.1,6,,,
1684545,1981-07-03T17:54:46Z,-41.09,0.0,175.27,0.0,24.0,1.0,ML,,,,1.7,0.2,6,,,
1584094,1981-07-04T01:12:12Z,-44.36,0.0,169.55,0.0,6.0,1.0,ML,,,,3.0,0.0,3,,,
1584095,1981-07-04T01:37:40Z,-44.36,0.0,169.56,0.0,5.0,1.0,ML,,,,2.6,0.1,7,,,
1561997,1981-07-04T13:35:38Z,-44.09,0.1,168.97,0.1,12.0,0.0,ML,,,,3.7,0.2,5,,,
1684546,1981-07-04T18:22:04Z,-41.65,0.0,174.94,0.0,28.0,1.0,ML,,,,2.2,0.2,5,,,
1561998,1981-07-04T20:53:22Z,-38.43,0.1,175.91,0.1,234.0,16.0,ML,,,,3.9,0.2,3,,,
1684547,1981-07-04T21:45:37Z,-41.02,0.0,175.36,0.0,28.0,6.0,ML,,,,1.8,0.1,3,,,
1684548,1981-07-04T23:19:16Z,-41.15,0.0,174.17,0.0,53.0,2.0,ML,,,,3.1,0.1,3,3.2,0.1,4
1684549,1981-07-04T23:34:08Z,-41.1,0.0,174.09,0.0,49.0,3.0,ML,,,,2.2,0.2,4,,,
1584096,1981-07-05T10:46:40Z,-44.35,0.0,169.53,0.0,4.0,2.0,ML,,,,3.4,0.2,4,,,
1561999,1981-07-05T13:34:25Z,-37.52,0.1,177.14,0.1,12.0,0.0,ML,,,,4.4,0.2,3,,,
1562000,1981-07-05T13:36:22Z,-37.48,0.1,177.21,0.1,12.0,0.0,ML,,,,3.2,0.4,3,,,
1584097,1981-07-05T13:38:46Z,-43.98,0.0,170.35,0.0,4.0,3.0,ML,,,,1.8,0.2,7,,,
1584098,1981-07-05T17:03:41Z,-44.35,0.0,169.51,0.0,6.0,1.0,ML,,,,2.2,0.1,6,,,
1584099,1981-07-06T01:26:50Z,-44.35,0.0,169.5,0.0,5.0,1.0,ML,,,,1.8,0.2,7,,,
1684550,1981-07-06T02:19:17Z,-41.06,0.0,175.28,0.0,13.0,2.0,ML,,,,2.1,0.3,5,,,
1562001,1981-07-06T14:17:19Z,-38.91,0.0,178.55,0.1,33.0,0.0,ML,,,,3.3,0.1,3,,,
1684551,1981-07-06T15:55:45Z,-41.73,0.0,174.42,0.0,32.0,2.0,ML,,,,2.1,0.2,4,,,
1562002,1981-07-06T17:26:21Z,-36.83,0.0,177.5,0.1,195.0,6.0,ML,,,,4.9,0.2,6,,,
1684552,1981-07-06T19:38:27Z,-41.11,0.0,174.58,0.0,35.0,0.0,ML,,,,1.6,0.2,5,,,
1562003,1981-07-07T04:06:01Z,-37.06,0.1,177.05,0.1,242.0,9.0,ML,,,,4.5,0.2,4,,,
1562004,1981-07-07T05:07:19Z,-40.94,0.0,174.74,0.1,70.0,9.0,ML,,,,4.4,0.2,2,,,
1684554,1981-07-07T07:54:29Z,-40.94,0.0,175.55,0.0,27.0,1.0,ML,,,,2.2,0.2,7,,,
1562005,1981-07-07T11:23:00Z,-41.66,0.1,171.89,0.1,12.0,0.0,ML,,,,3.4,0.2,3,,,
1584100,1981-07-07T12:44:10Z,-44.36,0.0,169.54,0.0,7.0,1.0,ML,,,,1.9,0.2,6,,,
1684555,1981-07-07T15:19:00Z,-41.28,0.0,175.26,0.0,26.0,3.0,ML,,,,1.6,0.3,6,,,
1684556,1981-07-07T16:32:51Z,-41.65,0.0,174.94,0.0,27.0,2.0,ML,,,,2.2,0.2,6,,,
1684557,1981-07-07T17:37:00Z,-41.67,0.0,174.94,0.0,27.0,1.0,ML,,,,1.8,0.2,7,,,
1562006,1981-07-07T19:22:28Z,-44.91,0.0,169.83,0.0,12.0,0.0,ML,,,,3.2,0.2,4,,,
1584101,1981-07-08T00:10:33Z,-43.69,0.0,170.7,0.0,4.0,1.0,ML,,,,2.2,0.1,6,,,
1584102,1981-07-08T01:03:03Z,-44.38,0.0,170.31,0.0,6.0,0.0,ML,,,,1.8,0.1,7,,,
1562007,1981-07-08T04:57:06Z,-45.08,0.0,167.31,0.0,51.0,7.0,ML,,,,3.5,0.1,2,,,
1584103,1981-07-08T09:53:50Z,-44.1,0.0,170.57,0.0,8.0,1.0,ML,,,,1.8,0.0,5,,,
1584104,1981-07-08T12:11:48Z,-44.09,0.0,170.61,0.0,8.0,1.0,ML,,,,2.7,0.1,5,,,
1684558,1981-07-08T16:45:57Z,-40.98,0.0,174.94,0.0,47.0,1.0,ML,,,,2.0,0.2,6,,,
1584105,1981-07-08T17:13:43Z,-44.1,0.0,170.57,0.0,8.0,1.0,ML,,,,1.8,0.1,6,,,
1584106,1981-07-08T18:58:58Z,-44.35,0.0,169.51,0.0,5.0,2.0,ML,,,,1.7,0.2,4,,,
1584107,1981-07-08T19:01:03Z,-44.1,0.0,170.62,0.0,8.0,0.0,ML,,,,1.6,0.1,5,,,
1562008,1981-07-08T21:37:42Z,-45.12,0.0,166.98,0.1,12.0,0.0,ML,,,,3.3,0.2,2,,,
1684559,1981-07-08T22:32:53Z,-40.93,0.0,175.56,0.0,27.0,1.0,ML,,,,2.0,0.3,4,,,
1684560,1981-07-08T22:49:56Z,-40.82,0.0,175.11,0.0,29.0,1.0,ML,,,,2.4,0.2,6,,,
1584108,1981-07-09T03:02:43Z,-44.37,0.0,169.55,0.0,7.0,1.0,ML,,,,2.1,0.1,8,,,
1584109,1981-07-09T03:41:19Z,-43.62,0.0,170.62,0.0,5.0,2.0,ML,,,,2.5,0.2,9,,,
1584110,1981-07-09T06:45:00Z,-44.37,0.0,169.53,0.0,7.0,2.0,ML,,,,1.7,0.1,6,,,
1684561,1981-07-09T07:54:07Z,-40.92,0.0,175.71,0.0,31.0,1.0,ML,,,,2.2,0.3,6,,,
1562009,1981-07-09T12:53:47Z,-46.89,0.0,165.72,0.1,33.0,0.0,ML,,,,3.5,0.4,4,,,
1684562,1981-07-09T13:19:03Z,-41.21,0.0,174.55,0.0,39.0,2.0,ML,,,,2.1,0.2,6,,,
1684563,1981-07-09T13:32:13Z,-41.34,0.0,175.13,0.0,24.0,1.0,ML,,,,1.6,0.2,5,,,
1684564,1981-07-09T17:30:26Z,-41.56,0.0,174.15,0.1,25.0,5.0,ML,,,,2.0,0.3,5,,,
1562010,1981-07-09T21:56:26Z,-36.72,0.1,177.57,0.1,237.0,7.0,ML,,,,4.7,0.3,5,,,
1684565,1981-07-10T00:27:31Z,-41.23,0.0,174.85,0.0,31.0,1.0,ML,,,,1.7,0.1,7,,,
1684566,1981-07-10T05:54:03Z,-40.69,0.0,175.87,0.0,31.0,2.0,ML,,,,2.6,0.2,5,,,
1562011,1981-07-10T19:50:28Z,-40.52,0.1,178.57,0.1,33.0,0.0,ML,,,,4.1,0.4,6,,,
1562012,1981-07-11T00:33:29Z,-35.6,0.1,179.63,0.1,33.0,0.0,ML,,,,4.9,0.3,9,,,
1562013,1981-07-11T02:06:17Z,-38.94,0.0,175.46,0.0,12.0,0.0,ML,,,,3.7,0.3,7,,,
1684567,1981-07-11T11:12:41Z,-41.49,0.0,174.26,0.0,21.0,2.0,ML,,,,2.5,0.1,6,,,
1562014,1981-07-11T11:31:57Z,-41.55,0.0,174.24,0.0,12.0,0.0,ML,,,,3.4,0.3,3,,,
1562015,1981-07-11T11:32:24Z,-41.45,0.0,174.24,0.0,12.0,0.0,ML,,,,3.1,0.4,3,,,
1684569,1981-07-11T15:07:54Z,-41.26,0.0,175.24,0.0,23.0,1.0,ML,,,,2.1,0.1,7,,,
1562016,1981-07-11T16:29:57Z,-38.21,0.1,176.16,0.1,158.0,10.0,ML,,,,3.5,0.4,3,,,
1684570,1981-07-11T19:06:46Z,-41.16,0.0,175.13,0.0,27.0,1.0,ML,,,,1.8,0.1,6,,,
1684571,1981-07-11T19:57:09Z,-40.86,0.0,174.72,0.0,11.0,1.0,ML,,,,2.2,0.2,8,,,
1684572,1981-07-11T19:57:42Z,-40.87,0.0,174.72,0.0,10.0,1.0,ML,,,,2.4,0.3,6,,,
1684573,1981-07-12T01:15:48Z,-41.5,0.0,174.27,0.0,21.0,3.0,ML,,,,1.9,0.2,5,,,
1684574,1981-07-12T04:02:28Z,-40.72,0.0,174.97,0.0,41.0,2.0,ML,,,,2.2,0.1,5,,,
1562017,1981-07-12T08:58:58Z,-38.57,0.0,178.81,0.1,33.0,0.0,ML,,,,3.6,0.3,4,,,
1684575,1981-07-12T11:05:01Z,-41.42,0.0,175.47,0.0,17.0,1.0,ML,,,,1.7,0.3,6,,,
1684576,1981-07-12T19:46:42Z,-40.93,0.0,175.11,0.0,34.0,1.0,ML,,,,2.1,0.1,3,,,
1684577,1981-07-12T20:59:43Z,-40.94,0.0,175.12,0.0,29.0,1.0,ML,,,,2.1,0.1,5,,,
1684578,1981-07-12T23:51:21Z,-40.93,0.0,174.83,0.0,33.0,2.0,ML,,,,1.6,0.2,4,,,
1562018,1981-07-13T04:02:59Z,-40.38,0.0,174.01,0.1,112.0,11.0,ML,,,,3.7,0.2,3,,,
1684579,1981-07-13T07:05:32Z,-40.93,0.0,175.11,0.0,34.0,3.0,ML,,,,1.8,0.1,4,,,
1584111,1981-07-13T07:56:06Z,-44.31,0.0,169.54,0.0,14.0,5.0,ML,,,,2.0,0.1,6,,,
1684580,1981-07-13T09:25:05Z,-40.95,0.0,175.1,0.0,35.0,2.0,ML,,,,1.7,0.2,3,,,
1684581,1981-07-13T09:33:57Z,-40.94,0.0,175.14,0.0,28.0,3.0,ML,,,,2.0,0.1,8,,,
1684582,1981-07-13T11:06:24Z,-40.93,0.0,175.12,0.0,32.0,1.0,ML,,,,1.9,0.1,7,,,
1684583,1981-07-13T13:25:42Z,-40.99,0.0,174.51,0.0,8.0,2.0,ML,,,,1.5,0.1,7,,,
1562019,1981-07-13T18:05:15Z,-37.69,0.1,176.73,0.1,118.0,16.0,ML,,,,3.3,0.2,3,,,
1684584,1981-07-13T18:54:43Z,-41.55,0.0,175.24,0.0,25.0,0.0,ML,,,,1.9,0.2,6,,,
1562020,1981-07-13T23:49:09Z,-39.88,0.0,175.14,0.0,64.0,7.0,ML,,,,3.6,0.1,2,,,
1684585,1981-07-14T00:51:00Z,-40.89,0.0,174.75,0.0,12.0,2.0,ML,,,,1.7,0.1,7,,,
1562021,1981-07-14T01:02:37Z,-42.32,0.1,177.78,0.1,33.0,0.0,ML,,,,4.2,0.2,6,,,
1684586,1981-07-14T03:01:42Z,-40.77,0.0,175.14,0.0,31.0,2.0,ML,,,,2.3,0.1,8,,,
1584112,1981-07-14T04:57:46Z,-44.31,0.0,169.4,0.1,2.0,5.0,ML,,,,2.6,0.2,7,,,
1684587,1981-07-14T07:31:25Z,-41.36,0.0,175.11,0.0,25.0,1.0,ML,,,,1.6,0.2,10,,,
1684588,1981-07-14T16:09:33Z,-40.93,0.0,175.12,0.0,34.0,4.0,ML,,,,1.9,0.1,4,,,
1684589,1981-07-14T16:57:50Z,-40.92,0.0,175.46,0.0,22.0,1.0,ML,,,,2.0,0.1,9,,,
1684590,1981-07-14T17:13:26Z,-41.55,0.0,175.51,0.0,26.0,1.0,ML,,,,1.8,0.3,5,,,
1684591,1981-07-14T22:32:56Z,-40.97,0.0,175.59,0.0,30.0,2.0,ML,,,,2.2,0.1,7,,,
1684592,1981-07-15T03:04:24Z,-41.06,0.1,174.35,0.0,71.0,3.0,ML,,,,2.0,0.1,4,,,
1684593,1981-07-15T04:00:08Z,-41.29,0.0,175.15,0.0,24.0,0.0,ML,,,,1.7,0.2,6,,,
1684594,1981-07-15T05:01:59Z,-40.87,0.0,174.72,0.0,13.0,1.0,ML,,,,1.9,0.2,6,,,
1562023,1981-07-15T07:14:55Z,-42.09,0.0,173.73,0.0,18.0,3.0,ML,,,,3.3,0.1,3,,,
1684595,1981-07-15T19:29:21Z,-40.9,0.0,174.58,0.0,40.0,2.0,ML,,,,2.0,0.1,4,,,
1684596,1981-07-15T23:31:53Z,-41.47,0.0,174.39,0.0,17.0,5.0,ML,,,,1.7,0.2,5,,,
1684597,1981-07-16T04:20:54Z,-40.45,0.0,174.86,0.0,12.0,2.0,ML,,,,2.9,nan,1,2.9,0.1,7
1584113,1981-07-16T10:45:49Z,-43.6,0.0,170.53,0.0,1.0,2.0,ML,,,,2.1,0.2,4,,,
1684598,1981-07-16T11:33:47Z,-41.02,0.0,174.54,0.0,40.0,3.0,ML,,,,2.1,0.1,7,,,
