PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount
1410766,1999-07-01T00:04:57Z,-41.32,0.1,173.15,0.0,130.0,6.0,ML,,,,3.4,0.2,3
1410770,1999-07-01T00:45:53Z,-39.34,0.0,175.5,0.0,75.0,1.0,ML,,,,3.0,nan,1
1410772,1999-07-01T01:23:00Z,-39.98,0.0,176.74,0.0,29.0,1.0,ML,,,,3.2,0.7,5
1410824,1999-07-01T04:14:44Z,-37.88,0.0,175.96,0.0,25.0,1.0,ML,,,,2.5,nan,1
1410825,1999-07-01T04:40:34Z,-40.13,0.0,174.96,0.0,20.0,4.0,ML,,,,2.5,0.2,7
1410826,1999-07-01T04:58:29Z,-39.24,0.0,175.19,0.0,12.0,0.0,ML,,,,1.6,0.1,3
1410832,1999-07-01T06:21:05Z,-39.44,0.0,175.73,0.0,13.0,2.0,ML,,,,2.8,0.3,16
1410833,1999-07-01T06:31:19Z,-41.08,0.0,174.75,0.0,29.0,1.0,ML,,,,2.3,0.2,7
1410835,1999-07-01T06:53:46Z,-36.51,0.0,179.71,0.1,33.0,0.0,ML,,,,4.2,0.3,16
1413677,1999-07-01T10:47:26Z,-38.83,0.0,176.02,0.0,5.0,0.0,ML,,,,2.1,0.3,6
1415411,1999-07-01T12:05:41Z,-44.68,0.1,168.65,0.0,5.0,0.0,ML,,,,2.3,0.3,4
1412922,1999-07-01T15:57:15Z,-39.33,0.0,173.78,0.0,14.0,2.0,ML,,,,1.3,0.3,2
1413679,1999-07-01T16:55:48Z,-39.17,0.0,175.91,0.0,12.0,0.0,ML,,,,1.8,0.3,3
1415705,1999-07-01T18:16:19Z,-39.21,0.0,179.08,0.1,12.0,0.0,ML,,,,4.0,0.3,21
1410843,1999-07-01T18:56:06Z,-39.32,0.0,175.17,0.0,5.0,0.0,ML,,,,2.4,0.1,5
1410845,1999-07-01T20:04:38Z,-40.42,0.0,174.0,0.0,98.0,3.0,ML,,,,3.7,0.4,15
1413680,1999-07-01T20:19:35Z,-38.86,0.0,175.71,0.0,5.0,0.0,ML,,,,2.1,0.3,3
1410850,1999-07-01T21:28:11Z,-41.19,0.0,174.64,0.0,33.0,1.0,ML,,,,2.8,0.2,10
1413683,1999-07-01T22:28:46Z,-38.87,0.0,175.71,0.0,5.0,0.0,ML,,,,1.9,0.2,3
1410860,1999-07-01T22:50:49Z,-41.78,0.0,173.66,0.0,63.0,2.0,ML,,,,2.7,0.2,8
1415678,1999-07-01T23:56:56Z,-45.86,0.1,166.08,0.1,5.0,0.0,ML,,,,3.1,0.2,4
1410883,1999-07-02T03:06:08Z,-37.32,0.0,177.55,0.0,94.0,2.0,ML,,,,4.1,0.3,16
1410894,1999-07-02T04:42:18Z,-39.8,0.0,177.03,0.0,50.0,3.0,ML,,,,3.6,0.2,11
1415712,1999-07-02T06:49:17Z,-38.01,0.0,178.53,0.0,49.0,1.0,ML,,,,3.0,0.1,3
1410913,1999-07-02T13:45:23Z,-40.15,0.0,173.86,0.0,156.0,3.0,ML,,,,3.6,0.3,6
1410930,1999-07-02T22:03:25Z,-41.63,0.0,174.0,0.0,14.0,2.0,ML,,,,2.0,0.3,4
1410931,1999-07-02T22:11:42Z,-39.01,0.0,175.08,0.0,228.0,3.0,ML,,,,3.7,0.3,10
1410934,1999-07-02T22:22:46Z,-41.96,0.0,178.28,0.0,33.0,0.0,ML,,,,3.5,0.2,6
1415459,1999-07-02T23:56:10Z,-45.1,0.0,167.63,0.0,116.0,2.0,ML,,,,2.8,0.1,4
1410943,1999-07-03T02:03:00Z,-41.14,0.0,174.53,0.0,54.0,1.0,ML,,,,2.4,0.3,3
1413691,1999-07-03T06:20:22Z,-38.81,0.0,177.71,0.0,67.0,4.0,ML,,,,4.3,0.2,4
1410983,1999-07-03T10:24:08Z,-41.62,0.0,174.09,0.0,5.0,0.0,ML,,,,2.6,0.2,9
1410988,1999-07-03T13:15:47Z,-41.06,0.0,172.45,0.0,5.0,0.0,ML,,,,2.6,0.3,2
