PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1563607,1983-01-11T12:21:46Z,-38.57,0.0,177.58,0.1,62.0,8.0,ML,,,,3.9,0.3,9,,,
1563609,1983-01-12T00:19:49Z,-40.75,0.0,174.61,0.0,33.0,0.0,ML,,,,4.5,0.3,15,,,
1686710,1983-01-12T02:04:40Z,-40.65,0.0,174.58,0.0,43.0,1.0,ML,,,,2.4,0.1,7,,,
1563611,1983-01-12T19:01:48Z,-40.06,0.0,175.22,0.1,12.0,0.0,ML,,,,3.4,0.4,8,,,
1563612,1983-01-13T00:12:36Z,-42.56,0.1,173.9,0.0,5.0,0.0,ML,,,,3.8,0.4,5,,,
1563613,1983-01-13T11:42:25Z,-38.15,0.1,176.57,0.1,142.0,7.0,ML,,,,3.6,0.4,7,,,
1584481,1983-01-13T23:13:43Z,-43.68,0.0,169.8,0.0,0.0,4.0,ML,,,,1.8,0.1,4,,,
1563614,1983-01-14T02:47:48Z,-37.58,0.0,176.5,0.1,219.0,6.0,ML,,,,3.8,0.4,4,,,
1563615,1983-01-14T03:43:43Z,-43.0,0.0,171.41,0.1,12.0,0.0,ML,,,,3.5,0.2,6,,,
1686711,1983-01-14T07:42:06Z,-41.24,0.0,175.26,0.0,26.0,1.0,ML,,,,2.4,nan,1,2.4,0.1,3
1686712,1983-01-14T18:39:41Z,-41.6,0.0,174.66,0.0,32.0,0.0,ML,,,,2.2,0.2,5,,,
1563617,1983-01-14T23:04:48Z,-43.66,0.1,170.63,0.1,12.0,0.0,ML,,,,3.4,0.3,7,,,
1563618,1983-01-15T03:55:19Z,-40.11,0.0,174.99,0.0,45.0,8.0,ML,,,,3.2,0.1,2,,,
1563619,1983-01-15T06:19:50Z,-37.77,0.1,176.58,0.1,268.0,7.0,ML,,,,4.0,0.4,5,,,
1686713,1983-01-15T15:26:59Z,-41.09,0.0,174.86,0.0,28.0,1.0,ML,,,,2.7,nan,1,2.8,0.1,2
1686714,1983-01-16T00:01:29Z,-41.18,0.0,174.05,0.0,57.0,1.0,ML,,,,2.5,0.1,3,,,
1563621,1983-01-16T17:17:53Z,-43.26,0.0,171.06,0.0,33.0,0.0,ML,,,,3.7,0.2,6,,,
1686715,1983-01-17T00:28:37Z,-41.57,0.0,174.76,0.0,27.0,1.0,ML,,,,2.3,0.2,7,,,
1686716,1983-01-17T16:21:14Z,-41.16,0.0,175.49,0.0,17.0,2.0,ML,,,,2.1,0.2,5,,,
1563622,1983-01-17T17:18:42Z,-39.43,0.0,174.87,0.0,139.0,5.0,ML,,,,3.6,0.3,5,,,
1584482,1983-01-17T17:41:42Z,-44.32,0.0,169.87,0.0,7.0,2.0,ML,,,,1.7,0.1,5,,,
1686717,1983-01-17T18:25:20Z,-41.19,0.0,174.71,0.0,56.0,1.0,ML,,,,2.6,0.1,4,2.2,nan,1
1686718,1983-01-17T19:29:19Z,-41.17,0.0,173.96,0.0,61.0,1.0,ML,,,,2.4,0.1,6,,,
1563623,1983-01-18T01:05:37Z,-43.0,0.0,171.53,0.1,33.0,0.0,ML,,,,4.1,0.4,7,,,
1686719,1983-01-18T06:28:49Z,-41.81,0.0,174.88,0.0,32.0,1.0,ML,,,,3.2,nan,1,3.2,0.1,3
1584483,1983-01-18T10:55:24Z,-44.3,0.0,169.83,0.0,10.0,4.0,ML,,,,1.8,0.2,4,,,
1563624,1983-01-18T12:54:21Z,-40.25,0.0,174.55,0.0,21.0,4.0,ML,,,,3.9,0.3,9,,,
