PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1585392,1942-07-05T12:41:47Z,-41.25,0.1,175.9,0.1,12.0,0.0,ML,,,,4.2,0.1,2,,,,,,
1585393,1942-07-06T21:43:49Z,-41.72,0.0,172.95,0.1,12.0,0.0,ML,,,,3.9,0.1,3,,,,,,
1585394,1942-07-07T15:50:53Z,-41.3,0.0,174.25,0.0,12.0,0.0,ML,,,,2.0,nan,1,,,,,,
1585395,1942-07-08T04:21:16Z,-40.1,0.0,173.76,0.2,12.0,0.0,ML,,,,4.2,0.1,2,,,,,,
1585396,1942-07-09T17:39:32Z,-40.82,0.0,175.44,0.1,12.0,0.0,ML,,,,3.9,nan,1,,,,,,
1584849,1942-07-10T04:44:01Z,-40.9,0.0,175.5,0.2,12.0,0.0,ML,,,,4.5,nan,1,,,,,,
1585398,1942-07-12T15:29:02Z,-41.3,0.0,175.7,0.0,12.0,0.0,ML,,,,4.0,0.1,2,,,,,,
1585399,1942-07-12T23:19:18Z,-41.5,0.2,173.64,0.2,12.0,0.0,ML,,,,4.5,0.1,2,,,,,,
1585400,1942-07-13T23:57:53Z,-41.1,0.1,175.88,0.2,12.0,0.0,ML,,,,4.0,0.5,2,,,,,,
1585401,1942-07-14T05:10:07Z,-39.03,0.0,175.3,0.0,12.0,0.0,ML,,,,4.5,nan,2,,,,,,
1585402,1942-07-18T06:05:43Z,-41.07,0.0,175.8,0.0,12.0,0.0,ML,,,,4.5,nan,2,,,,,,
1585403,1942-07-19T00:13:08Z,-41.13,0.1,176.01,0.1,12.0,0.0,ML,,,,3.7,0.1,2,,,,,,
1585404,1942-07-19T00:33:40Z,-41.0,0.0,175.7,0.0,12.0,0.0,ML,,,,3.1,nan,2,,,,,,
1585405,1942-07-20T09:15:35Z,-41.59,0.1,175.49,0.1,12.0,0.0,ML,,,,3.7,0.3,2,,,,,,
1585406,1942-07-24T07:00:55Z,-42.11,0.0,172.07,0.1,12.0,0.0,ML,,,,4.2,0.5,3,,,,,,
1585407,1942-07-24T17:10:46Z,-41.12,0.0,175.54,0.1,12.0,0.0,ML,,,,4.1,0.3,2,,,,,,
1584850,1942-07-26T07:43:28Z,-40.52,0.1,174.83,0.3,62.0,30.0,ML,,,,4.9,nan,1,,,,,,
1585409,1942-07-29T14:15:04Z,-39.2,0.1,177.81,0.1,12.0,0.0,ML,,,,4.6,nan,2,,,,,,
1585410,1942-07-30T17:34:27Z,-40.94,0.0,175.52,0.2,33.0,0.0,ML,,,,4.5,0.1,2,,,,,,
1584852,1942-08-01T04:47:46Z,-40.5,0.0,176.1,0.0,12.0,0.0,Mw,5.3,nan,0,5.8,0.3,3,5.6,nan,0,,,
1584853,1942-08-01T05:45:15Z,-40.5,0.0,176.1,0.0,12.0,0.0,ML,,,,3.8,0.2,2,,,,,,
1584854,1942-08-01T12:34:08Z,-41.01,0.0,175.52,0.1,40.0,0.0,Mw,7.0,nan,0,,,,6.8,nan,0,,,
1585413,1942-08-01T19:39:54Z,-41.4,0.0,175.6,0.0,12.0,0.0,ML,,,,4.0,0.1,2,,,,,,
1585414,1942-08-03T10:05:19Z,-41.04,0.0,175.58,0.1,33.0,0.0,ML,,,,4.4,0.2,3,,,,,,
1585415,1942-08-03T20:05:16Z,-41.38,0.1,175.99,0.1,33.0,0.0,ML,,,,4.3,0.2,2,,,,,,
1585416,1942-08-04T05:21:26Z,-41.0,0.0,172.7,0.0,12.0,0.0,ML,,,,3.5,nan,1,,,,,,
1585417,1942-08-05T00:22:49Z,-41.52,0.0,176.02,0.0,33.0,0.0,ML,,,,4.0,0.4,2,,,,,,
1585418,1942-08-05T08:01:28Z,-41.16,0.0,175.85,0.0,33.0,0.0,ML,,,,4.2,0.4,2,,,,,,
1585419,1942-08-05T14:58:20Z,-41.04,0.0,175.75,0.1,33.0,0.0,ML,,,,4.5,0.2,2,,,,,,
1585420,1942-08-08T09:23:11Z,-38.75,0.1,176.24,0.1,175.0,12.0,ML,,,,4.5,0.2,2,,,,,,
1585421,1942-08-09T17:47:01Z,-41.17,0.0,175.63,0.1,33.0,0.0,ML,,,,3.9,0.1,2,,,,,,
1585422,1942-08-10T13:45:45Z,-39.7,0.1,178.95,0.2,33.0,0.0,ML,,,,4.5,0.3,3,,,,,,
1585423,1942-08-15T07:07:19Z,-41.22,0.1,175.75,0.3,12.0,0.0,ML,,,,3.8,0.1,2,,,,,,
1585424,1942-08-15T19:30:38Z,-41.05,0.0,175.67,0.1,12.0,0.0,ML,,,,3.7,0.1,2,,,,,,
1585425,1942-08-18T10:57:54Z,-41.09,0.0,175.67,0.1,12.0,0.0,ML,,,,4.0,0.1,2,,,,,,
1585426,1942-08-18T16:41:42Z,-41.86,0.0,173.58,0.1,12.0,0.0,ML,,,,4.0,0.4,3,,,,,,
1585427,1942-08-21T01:55:56Z,-40.3,0.0,173.55,0.2,12.0,0.0,ML,,,,4.8,0.2,2,,,,,,
1585428,1942-08-21T05:03:57Z,-40.78,0.0,174.87,0.1,33.0,0.0,ML,,,,4.7,0.3,3,,,,,,
1585429,1942-08-21T09:46:45Z,-41.08,0.0,175.9,0.0,12.0,0.0,ML,,,,4.8,0.5,2,,,,,,
1585430,1942-08-22T08:33:47Z,-41.44,0.1,173.92,0.1,12.0,0.0,ML,,,,4.2,0.2,2,,,,,,
1585431,1942-08-27T16:10:36Z,-41.02,0.0,175.36,0.1,12.0,0.0,ML,,,,3.8,0.3,2,,,,,,
1585432,1942-08-28T18:32:41Z,-38.76,0.1,175.29,0.1,12.0,0.0,ML,,,,4.5,0.4,3,,,,,,
1585433,1942-08-28T18:38:21Z,-39.0,0.0,175.0,0.0,12.0,0.0,ML,,,,3.7,0.3,2,,,,,,
1585434,1942-09-01T09:56:15Z,-41.14,0.0,175.64,0.0,33.0,0.0,ML,,,,4.6,0.2,3,,,,,,
1585435,1942-09-02T17:33:52Z,-41.71,0.0,172.84,0.0,12.0,0.0,ML,,,,4.2,0.3,3,,,,,,
