PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mb,mb_Uncertainty,mb_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2016p496489,2016-07-02T16:49:27Z,-38.82,3.0,177.58,2.8,25.0,4.0,M,,,,,,,2.5,0.2,14,2.1,nan,13,,,,,,,,,,2.1,0.2,13
2016p497152,2016-07-02T22:43:06Z,-40.05,2.9,176.63,3.4,38.0,5.0,M,,,,,,,3.0,0.2,13,2.6,nan,12,,,,,,,,,,2.6,0.3,12
2016p497243,2016-07-02T23:31:14Z,-38.0,7.0,-179.98,4.2,0.0,0.0,M,,,,,,,3.4,0.2,20,3.1,nan,16,,,,,,,,,,3.1,0.2,16
2016p497302,2016-07-03T00:02:34Z,-41.22,2.5,172.59,3.0,3.0,3.0,M,,,,,,,2.5,0.2,12,2.2,nan,6,,,,,,,,,,2.2,0.1,6
2016p497316,2016-07-03T00:10:35Z,-38.89,3.9,175.84,3.5,6.0,6.0,M,,,,,,,2.2,0.2,19,1.9,nan,18,,,,,,,,,,1.9,0.1,18
2016p497319,2016-07-03T00:11:43Z,-38.89,3.1,175.81,2.5,4.0,3.0,M,,,,,,,2.2,0.2,25,1.9,nan,22,,,,,,,,,,1.9,0.3,22
2016p497530,2016-07-03T02:04:26Z,-44.48,2.7,169.38,2.9,5.0,0.0,M,,,,,,,3.2,0.2,12,3.1,nan,13,,,,,,,,,,3.1,0.2,13
2016p497558,2016-07-03T02:19:31Z,-38.9,2.6,175.8,2.6,10.0,2.0,M,,,,,,,1.7,0.1,12,1.4,nan,12,,,,,,,,,,1.4,0.2,12
2016p497761,2016-07-03T04:07:07Z,-38.89,6.5,175.81,6.3,7.0,8.0,M,,,,,,,1.7,0.1,12,1.5,nan,11,,,,,,,,,,1.5,0.2,11
2016p497766,2016-07-03T04:10:14Z,-38.89,5.0,175.8,5.2,6.0,7.0,M,,,,,,,1.5,0.1,12,1.2,nan,10,,,,,,,,,,1.2,0.2,10
2016p498034,2016-07-03T06:32:30Z,-39.26,4.4,177.77,4.1,22.0,5.0,M,,,,,,,2.8,0.3,19,2.4,nan,16,,,,,,,,,,2.4,0.2,16
2016p498086,2016-07-03T07:00:09Z,-35.59,11.1,178.97,19.6,33.0,0.0,M,,,,,,,3.6,0.3,14,3.3,nan,12,,,,,,,,,,3.3,0.2,12
2016p498235,2016-07-03T08:19:50Z,-38.21,3.0,177.33,2.2,35.0,4.0,M,,,,,,,2.9,0.3,32,2.6,nan,30,,,,,,,,,,2.6,0.2,30
2016p498389,2016-07-03T09:42:06Z,-37.74,5.0,176.62,5.2,122.0,10.0,M,,,,,,,2.3,0.3,19,2.1,nan,11,,,,,,,,,,2.1,0.2,11
2016p498423,2016-07-03T09:59:53Z,-44.98,4.7,167.64,5.6,83.0,9.0,M,,,,,,,2.8,0.3,9,2.2,nan,2,,,,,,,,,,2.2,0.4,2
2016p498667,2016-07-03T12:10:11Z,-39.22,3.8,175.39,4.1,13.0,6.0,M,,,,,,,1.2,0.3,16,0.9,nan,13,,,,,,,,,,0.9,0.2,13
2016p498668,2016-07-03T12:10:26Z,-41.3,3.3,172.67,5.4,117.0,6.0,M,,,,,,,,,,1.9,nan,4,,,,,,,,,,1.9,0.8,4
2016p498809,2016-07-03T13:25:37Z,-36.25,4.8,178.56,7.5,12.0,0.0,M,,,,,,,3.4,0.2,31,3.2,nan,26,,,,,,,,,,3.2,0.1,26
2016p499001,2016-07-03T15:07:56Z,-38.61,4.4,174.58,3.7,15.0,7.0,M,,,,,,,3.1,0.2,10,2.8,nan,10,,,,,,,,,,2.8,0.2,10
