PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1547909,1964-07-01T05:20:03Z,-38.64,0.2,178.66,0.3,79.0,25.0,ML,4.5,0.1,2,,,
1547910,1964-07-01T10:44:17Z,-38.95,0.1,177.88,0.1,33.0,0.0,ML,3.5,0.4,2,,,
1547911,1964-07-03T18:25:21Z,-38.72,0.0,176.08,0.1,12.0,0.0,ML,2.7,0.6,4,,,
1547912,1964-07-05T14:48:33Z,-38.1,0.1,176.08,0.1,217.0,11.0,ML,3.9,0.3,4,,,
1547913,1964-07-07T03:55:39Z,-44.21,0.0,168.6,0.1,33.0,0.0,ML,3.8,0.2,4,,,
1547915,1964-07-07T22:30:58Z,-40.58,0.0,176.68,0.1,12.0,0.0,ML,4.0,0.3,9,,,
1547916,1964-07-08T06:26:08Z,-37.59,0.1,176.33,0.1,215.0,17.0,ML,3.8,0.5,4,,,
1547917,1964-07-10T12:34:45Z,-41.82,0.1,171.45,0.1,33.0,0.0,ML,3.3,0.1,4,,,
1547918,1964-07-10T12:56:27Z,-38.77,0.1,175.49,0.1,180.0,11.0,ML,4.2,0.4,4,,,
1547919,1964-07-12T17:47:00Z,-39.16,0.1,175.03,0.1,220.0,13.0,ML,4.1,0.2,4,,,
1547920,1964-07-14T01:10:58Z,-40.43,0.1,-179.89,0.1,33.0,0.0,ML,4.0,0.3,8,,,
1547922,1964-07-16T02:52:57Z,-40.76,0.1,176.04,0.1,33.0,0.0,ML,4.0,0.3,7,,,
2183205,1964-07-16T11:37:00Z,-38.3,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
1547923,1964-07-16T13:26:07Z,-38.28,0.1,176.09,0.1,33.0,0.0,ML,3.7,0.3,4,,,
2183206,1964-07-16T13:40:00Z,-38.3,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2183207,1964-07-16T16:27:00Z,-38.3,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
