PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1681723,1979-07-06T18:25:28Z,-41.0,0.0,174.84,0.0,34.0,4.0,ML,,,,,,,1.2,0.1,5,,,
1681724,1979-07-06T18:56:44Z,-41.23,0.0,175.22,0.0,26.0,1.0,ML,,,,,,,1.6,0.2,6,,,
1681725,1979-07-07T00:51:56Z,-41.09,0.0,175.46,0.0,25.0,0.0,ML,,,,,,,2.3,0.2,3,,,
1681726,1979-07-07T05:18:54Z,-41.36,0.0,175.33,0.0,14.0,2.0,ML,,,,,,,1.3,0.3,6,,,
1583383,1979-07-07T06:31:19Z,-44.48,0.0,169.76,0.0,8.0,0.0,ML,,,,,,,2.1,0.2,5,,,
1681727,1979-07-07T07:03:20Z,-40.97,0.0,174.54,0.0,61.0,2.0,ML,,,,,,,1.9,0.3,5,,,
1681728,1979-07-07T09:11:30Z,-40.99,0.0,175.6,0.0,22.0,3.0,ML,,,,,,,1.9,0.2,6,,,
1681729,1979-07-07T11:39:56Z,-41.09,0.0,174.2,0.0,64.0,1.0,ML,,,,,,,2.4,0.3,5,,,
1681730,1979-07-07T14:32:54Z,-41.38,0.0,175.09,0.0,24.0,1.0,ML,,,,,,,1.1,0.3,3,,,
1681731,1979-07-07T14:54:32Z,-41.3,0.0,175.12,0.0,21.0,0.0,ML,,,,,,,1.4,0.2,4,,,
1681732,1979-07-07T15:08:34Z,-41.08,0.0,174.57,0.0,33.0,1.0,ML,,,,,,,2.2,0.2,5,,,
1681733,1979-07-07T15:14:46Z,-41.36,0.0,174.29,0.0,34.0,0.0,ML,,,,,,,1.8,0.3,4,,,
1681734,1979-07-07T18:26:37Z,-41.1,0.0,174.74,0.0,57.0,2.0,ML,,,,,,,1.1,0.2,4,,,
1681735,1979-07-07T18:52:41Z,-40.99,0.0,174.41,0.0,66.0,4.0,ML,,,,,,,1.8,0.1,5,,,
1681736,1979-07-07T19:50:55Z,-41.43,0.0,174.77,0.0,27.0,0.0,ML,,,,,,,1.5,0.3,7,,,
1681737,1979-07-07T20:59:27Z,-41.28,0.0,174.92,0.0,24.0,1.0,ML,,,,,,,1.1,0.1,6,,,
1681738,1979-07-07T20:59:45Z,-41.23,0.0,175.05,0.0,22.0,3.0,ML,,,,,,,1.0,0.3,3,,,
1681739,1979-07-08T06:11:24Z,-40.91,0.0,175.0,0.0,30.0,1.0,ML,,,,,,,2.5,0.1,2,2.4,nan,2
1681740,1979-07-08T08:55:09Z,-40.88,0.0,175.15,0.0,31.0,1.0,ML,,,,,,,1.7,0.3,4,,,
1681741,1979-07-08T10:18:03Z,-41.01,0.0,174.68,0.0,36.0,1.0,ML,,,,,,,1.9,0.2,6,,,
1681742,1979-07-08T15:08:08Z,-40.81,0.0,174.61,0.0,55.0,0.0,ML,,,,,,,2.7,nan,1,2.6,0.2,6
1681743,1979-07-08T16:29:31Z,-41.1,0.0,175.51,0.0,14.0,1.0,ML,,,,,,,1.6,0.2,4,,,
1681744,1979-07-08T23:08:23Z,-40.87,0.0,174.5,0.0,61.0,1.0,ML,,,,,,,2.1,0.2,5,,,
1681745,1979-07-09T02:07:28Z,-40.98,0.0,174.46,0.0,44.0,2.0,ML,,,,,,,1.9,0.2,4,,,
1681746,1979-07-09T09:51:17Z,-41.07,0.0,174.4,0.0,69.0,1.0,ML,,,,,,,2.0,0.1,4,,,
1560124,1979-07-09T12:21:42Z,-41.59,0.1,174.97,0.1,33.0,0.0,ML,,,,,,,3.8,0.1,8,,,
1681748,1979-07-09T12:31:23Z,-41.47,0.0,174.94,0.0,42.0,1.0,ML,,,,,,,2.2,0.1,5,,,
1560125,1979-07-09T13:35:33Z,-37.77,0.1,179.13,0.1,33.0,0.0,ML,,,,,,,3.3,0.1,5,,,
1583384,1979-07-09T18:43:20Z,-44.41,0.0,169.69,0.0,7.0,0.0,ML,,,,,,,1.6,0.0,3,,,
1560126,1979-07-09T20:20:36Z,-40.85,0.0,173.26,0.0,33.0,0.0,ML,,,,,,,3.7,0.2,7,,,
1681749,1979-07-10T02:05:51Z,-41.11,0.0,174.72,0.0,29.0,1.0,ML,,,,,,,1.4,0.1,6,,,
1560127,1979-07-10T09:24:02Z,-44.99,0.0,167.65,0.1,107.0,6.0,ML,,,,,,,3.2,0.2,5,,,
1560128,1979-07-10T10:28:16Z,-45.0,0.1,167.67,0.1,99.0,11.0,ML,,,,,,,3.0,0.2,5,,,
1681750,1979-07-10T11:33:31Z,-41.12,0.0,174.72,0.0,31.0,2.0,ML,,,,,,,2.2,0.1,2,2.2,nan,1
1583385,1979-07-10T11:54:26Z,-44.38,0.0,169.56,0.0,12.0,6.0,ML,,,,,,,1.6,0.1,4,,,
1681751,1979-07-10T12:07:30Z,-41.05,0.0,174.74,0.0,32.0,3.0,ML,,,,,,,1.6,0.1,6,,,
1681752,1979-07-10T14:28:19Z,-41.11,0.0,174.72,0.0,29.0,1.0,ML,,,,,,,1.2,0.1,6,,,
1560129,1979-07-10T19:40:26Z,-45.0,0.0,167.66,0.1,92.0,7.0,ML,,,,,,,3.3,0.2,5,,,
1560130,1979-07-10T19:59:03Z,-37.67,0.1,176.22,0.1,236.0,11.0,ML,,,,,,,3.9,0.2,7,,,
1681753,1979-07-11T05:22:31Z,-40.95,0.0,175.18,0.0,25.0,1.0,ML,,,,,,,1.6,0.1,4,,,
1681754,1979-07-11T16:50:07Z,-40.99,0.0,175.38,0.0,19.0,3.0,ML,,,,,,,1.3,0.3,4,,,
1560131,1979-07-11T20:53:29Z,-36.07,0.3,178.61,0.5,285.0,29.0,ML,,,,,,,4.1,0.3,4,,,
1681755,1979-07-12T00:57:17Z,-41.31,0.0,174.63,0.0,31.0,1.0,ML,,,,,,,2.2,0.1,7,,,
1583386,1979-07-12T01:44:10Z,-43.95,0.0,170.44,0.1,10.0,2.0,ML,,,,,,,1.7,0.2,4,,,
1681756,1979-07-12T05:27:57Z,-41.63,0.0,174.17,0.0,30.0,1.0,ML,,,,,,,2.1,0.2,5,,,
1681757,1979-07-12T06:09:00Z,-40.56,0.0,174.79,0.0,27.0,2.0,ML,,,,,,,2.3,0.2,7,,,
1681758,1979-07-12T06:33:08Z,-41.3,0.0,174.26,0.1,19.0,3.0,ML,,,,,,,1.6,0.1,4,,,
1560132,1979-07-12T09:05:32Z,-38.7,0.0,176.11,0.0,12.0,0.0,ML,,,,,,,2.8,0.1,3,,,
1681759,1979-07-12T11:59:16Z,-41.01,0.0,175.54,0.0,25.0,0.0,ML,,,,,,,2.1,0.2,6,,,
1681760,1979-07-12T12:54:07Z,-40.71,0.0,175.37,0.0,23.0,2.0,ML,,,,,,,1.6,0.1,4,,,
1681761,1979-07-12T13:04:04Z,-41.05,0.0,174.45,0.0,38.0,2.0,ML,,,,,,,2.5,0.1,4,2.4,0.2,3
1681762,1979-07-12T14:04:11Z,-41.4,0.0,175.06,0.0,25.0,1.0,Md,,,,,,,,,,3.0,0.1,6
1681763,1979-07-12T14:19:37Z,-41.7,0.0,174.49,0.0,31.0,1.0,ML,,,,,,,2.3,0.2,8,,,
