PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1582017,1976-01-01T03:27:31Z,-44.39,0.0,170.25,0.0,9.0,1.0,ML,,,,1.9,0.2,5,,,
1582018,1976-01-01T03:38:22Z,-44.28,0.0,169.77,0.0,9.0,1.0,ML,,,,1.3,0.1,4,,,
1557058,1976-01-01T05:42:06Z,-40.09,0.0,174.91,0.1,12.0,0.0,ML,,,,3.7,0.2,10,,,
1557059,1976-01-01T12:43:12Z,-42.61,0.0,172.66,0.0,12.0,0.0,ML,,,,3.7,0.2,11,,,
1582019,1976-01-01T21:45:36Z,-44.27,0.0,169.76,0.0,3.0,32.0,ML,,,,1.7,0.1,5,,,
1557061,1976-01-02T19:36:55Z,-39.66,0.1,177.2,0.1,12.0,0.0,ML,,,,3.3,0.3,7,,,
1557062,1976-01-03T07:09:21Z,-45.24,0.0,167.37,0.1,33.0,0.0,ML,,,,4.4,0.3,8,,,
1557064,1976-01-05T02:34:20Z,-40.38,0.0,176.55,0.1,12.0,0.0,ML,,,,3.3,0.3,10,,,
1582020,1976-01-05T20:44:26Z,-43.69,0.0,169.7,0.0,1.0,0.0,ML,,,,1.9,0.3,2,,,
1557065,1976-01-07T02:15:36Z,-45.36,0.0,167.38,0.1,100.0,5.0,ML,,,,4.3,0.4,8,,,
1557066,1976-01-07T06:59:02Z,-47.6,0.1,165.24,0.2,12.0,0.0,ML,,,,5.5,0.3,15,,,
1557067,1976-01-07T12:08:18Z,-38.23,0.0,176.03,0.0,168.0,0.0,ML,,,,3.5,0.3,7,,,
1557068,1976-01-09T17:37:42Z,-38.46,0.0,176.55,0.1,139.0,7.0,ML,,,,4.9,0.4,5,,,
1557069,1976-01-10T08:57:37Z,-37.48,0.1,176.66,0.1,265.0,7.0,ML,,,,4.2,0.2,6,,,
1582021,1976-01-10T19:53:48Z,-44.12,0.0,170.02,0.0,8.0,1.0,ML,,,,1.3,0.1,4,,,
1582022,1976-01-11T09:14:31Z,-44.22,0.0,170.34,0.0,8.0,5.0,ML,,,,1.5,0.1,4,,,
1557070,1976-01-11T14:45:50Z,-39.98,0.0,176.58,0.1,68.0,11.0,ML,,,,4.0,0.3,8,,,
1557071,1976-01-11T18:22:54Z,-42.74,0.0,171.56,0.1,12.0,0.0,ML,,,,4.4,0.3,8,,,
1557072,1976-01-12T06:56:53Z,-37.33,0.0,176.96,0.1,269.0,7.0,ML,,,,4.9,0.2,5,,,
1557073,1976-01-13T06:51:03Z,-38.54,0.1,175.78,0.1,171.0,16.0,ML,,,,3.6,0.3,5,,,
1582023,1976-01-13T09:44:26Z,-43.66,0.0,170.33,0.0,2.0,6.0,ML,,,,1.7,0.3,2,,,
1557074,1976-01-13T13:19:56Z,-37.96,0.1,176.34,0.1,167.0,7.0,ML,,,,3.7,0.3,5,,,
1557075,1976-01-14T03:02:31Z,-37.32,0.1,177.01,0.1,276.0,7.0,ML,,,,4.2,0.3,6,,,
1557076,1976-01-14T09:49:34Z,-38.8,0.1,175.92,0.1,175.0,19.0,ML,,,,3.6,0.4,5,,,
1582024,1976-01-15T00:35:53Z,-44.63,0.0,170.05,0.0,2.0,0.0,ML,,,,1.4,0.2,5,,,
1582025,1976-01-15T07:32:27Z,-44.43,0.0,169.92,0.0,7.0,0.0,ML,,,,1.7,0.2,7,,,
1582026,1976-01-15T10:50:26Z,-44.57,0.0,170.05,0.0,4.0,0.0,ML,,,,1.5,0.3,5,,,
1557078,1976-01-15T14:32:08Z,-43.08,0.0,170.95,0.0,12.0,0.0,ML,,,,4.0,0.3,10,,,
1557081,1976-01-16T21:31:43Z,-40.88,0.0,172.22,0.1,12.0,0.0,ML,,,,4.2,0.3,9,,,
1557082,1976-01-17T00:23:28Z,-37.38,0.0,176.79,0.1,12.0,0.0,ML,,,,3.9,0.2,7,,,
1557083,1976-01-17T00:38:58Z,-34.13,0.1,177.38,0.2,33.0,0.0,ML,,,,5.5,0.3,6,,,
1557084,1976-01-17T04:31:57Z,-37.8,0.1,176.36,0.1,175.0,12.0,ML,,,,4.1,0.2,6,,,
1557086,1976-01-18T09:27:56Z,-45.67,0.1,166.48,0.1,12.0,0.0,ML,,,,4.8,0.3,8,,,
1557087,1976-01-18T09:30:11Z,-45.67,0.0,166.48,0.0,12.0,0.0,ML,,,,4.4,0.2,2,,,
1557088,1976-01-18T09:48:13Z,-45.59,0.0,166.49,0.1,12.0,0.0,ML,,,,4.2,0.3,7,,,
1557089,1976-01-18T09:55:46Z,-45.67,0.0,166.48,0.0,12.0,0.0,ML,,,,3.6,0.3,5,,,
1557090,1976-01-18T09:55:57Z,-45.67,0.0,166.48,0.0,12.0,0.0,ML,,,,3.7,0.2,6,,,
1557091,1976-01-18T09:56:06Z,-45.67,0.0,166.48,0.0,12.0,0.0,ML,,,,3.9,0.3,7,,,
1557092,1976-01-18T10:06:41Z,-45.69,0.0,166.34,0.1,12.0,0.0,ML,,,,4.0,0.2,7,,,
1557095,1976-01-18T14:27:51Z,-36.74,0.1,178.74,0.1,158.0,17.0,ML,,,,5.0,0.3,5,,,
1582027,1976-01-19T00:11:42Z,-44.21,0.0,170.33,0.0,0.0,1.0,ML,,,,1.4,0.1,7,,,
1557100,1976-01-19T01:24:42Z,-45.46,0.1,166.15,0.2,12.0,0.0,ML,,,,4.4,0.2,5,,,
1557101,1976-01-19T01:34:30Z,-45.46,0.1,165.88,0.2,33.0,0.0,ML,,,,4.1,0.1,5,,,
1557103,1976-01-19T04:19:07Z,-38.65,0.1,175.98,0.1,216.0,11.0,ML,,,,4.0,0.3,6,,,
1582028,1976-01-20T01:26:35Z,-44.28,0.0,170.11,0.0,15.0,0.0,ML,,,,1.2,0.3,2,,,
1557105,1976-01-20T07:02:51Z,-45.46,0.1,165.86,0.1,12.0,0.0,ML,,,,4.4,0.2,6,,,
1557107,1976-01-20T16:27:08Z,-36.65,0.1,177.68,0.1,33.0,0.0,ML,,,,4.1,0.3,9,,,
1557108,1976-01-21T08:03:30Z,-38.0,0.0,177.0,0.0,0.0,0.0,ML,,,,2.8,nan,0,,,
1557110,1976-01-21T16:18:08Z,-37.43,0.0,177.19,0.1,160.0,7.0,ML,,,,4.0,0.3,7,,,
1557111,1976-01-22T03:57:24Z,-36.96,0.1,178.29,0.1,101.0,15.0,ML,,,,5.5,0.1,2,,,
1582029,1976-01-22T14:03:04Z,-44.48,0.0,169.43,0.1,0.0,5.0,ML,,,,3.0,0.1,4,,,
1582030,1976-01-22T21:20:45Z,-43.98,0.0,170.52,0.0,8.0,0.0,ML,,,,1.6,0.3,3,,,
1557112,1976-01-22T22:13:45Z,-39.99,0.0,176.78,0.1,41.0,8.0,ML,,,,3.8,0.3,8,,,
1557114,1976-01-23T03:25:00Z,-37.76,0.0,175.88,0.1,276.0,8.0,ML,,,,4.3,0.2,7,,,
1557115,1976-01-23T09:03:22Z,-37.46,0.1,177.57,0.1,100.0,8.0,ML,,,,3.8,0.3,7,,,
1582031,1976-01-23T11:39:22Z,-44.44,0.0,169.93,0.0,7.0,6.0,ML,,,,1.7,0.2,4,,,
1557116,1976-01-23T13:07:06Z,-37.84,0.0,178.38,0.1,33.0,0.0,ML,,,,4.7,0.2,8,,,
1557117,1976-01-23T15:40:13Z,-38.38,0.0,175.86,0.1,157.0,9.0,ML,,,,3.9,0.3,7,,,
1557118,1976-01-23T18:18:19Z,-38.63,0.1,175.43,0.1,207.0,11.0,ML,,,,4.1,0.2,7,,,
1557120,1976-01-24T07:19:58Z,-37.25,0.1,176.89,0.1,297.0,11.0,ML,,,,3.9,0.3,6,,,
1557121,1976-01-24T07:55:07Z,-36.89,0.1,176.73,0.2,290.0,12.0,ML,,,,4.0,0.3,6,,,
1557123,1976-01-25T11:34:52Z,-41.79,0.0,174.59,0.1,33.0,0.0,ML,,,,4.3,0.2,15,,,
1557124,1976-01-25T18:29:06Z,-39.57,0.0,175.67,0.0,12.0,0.0,ML,,,,3.4,0.2,9,,,
1582032,1976-01-25T19:00:45Z,-44.13,0.0,169.9,0.0,9.0,0.0,ML,,,,1.3,0.1,7,,,
1557125,1976-01-27T11:20:12Z,-37.71,0.0,177.5,0.1,12.0,0.0,ML,,,,4.0,0.2,9,,,
1557126,1976-01-27T15:03:36Z,-38.09,0.1,175.98,0.1,202.0,10.0,ML,,,,3.8,0.2,6,,,
1557127,1976-01-28T09:16:02Z,-39.99,0.0,176.76,0.1,12.0,0.0,ML,,,,3.8,0.2,10,,,
1557128,1976-01-28T23:56:49Z,-45.55,0.0,167.37,0.1,12.0,0.0,ML,,,,3.5,0.3,3,,,
1557129,1976-01-28T23:59:18Z,-45.8,0.0,166.5,0.1,12.0,0.0,ML,,,,4.2,0.2,5,,,
1557130,1976-01-29T00:12:58Z,-37.66,0.0,176.36,0.1,223.0,7.0,ML,,,,3.8,0.3,3,,,
1582033,1976-01-29T23:05:48Z,-43.84,0.0,169.67,0.1,2.0,8.0,ML,,,,1.8,0.2,5,,,
1582034,1976-01-29T23:27:07Z,-43.36,0.3,170.99,0.3,12.0,0.0,ML,,,,3.7,0.2,6,,,
