PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1585273,1942-01-15T23:56:28Z,-40.31,0.0,173.07,0.0,12.0,0.0,ML,,,,4.8,0.4,3,,,,,,
2178585,1942-01-17T02:21:00Z,-43.5,0.0,171.5,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
2178586,1942-01-19T13:40:00Z,-44.5,0.0,169.0,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
1585274,1942-01-21T11:39:02Z,-39.43,0.1,175.94,0.1,12.0,0.0,ML,,,,4.8,0.1,3,,,,,,
1585275,1942-01-22T13:20:15Z,-39.48,0.0,176.29,0.0,12.0,0.0,ML,,,,4.5,0.2,3,,,,,,
1585276,1942-01-29T03:26:45Z,-39.16,0.0,175.43,0.1,12.0,0.0,ML,,,,4.2,0.1,2,,,,,,
1585277,1942-01-29T20:30:38Z,-37.56,0.1,179.89,0.1,12.0,0.0,ML,,,,5.4,0.3,3,,,,,,
1585279,1942-02-02T14:24:25Z,-42.64,0.1,173.86,0.1,12.0,0.0,ML,,,,4.5,0.2,3,,,,,,
1585280,1942-02-02T16:43:16Z,-35.46,0.2,179.47,0.1,12.0,0.0,ML,,,,5.2,0.2,2,,,,,,
1585281,1942-02-04T10:22:15Z,-42.65,0.2,174.12,0.4,12.0,0.0,ML,,,,3.9,0.1,2,,,,,,
1585282,1942-02-06T07:33:02Z,-37.99,0.1,177.46,0.1,250.0,0.0,ML,,,,5.4,nan,1,,,,,,
2178596,1942-02-08T14:30:00Z,-41.0,0.0,172.7,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
1585283,1942-02-08T16:15:55Z,-41.7,0.1,172.59,0.1,33.0,0.0,ML,,,,4.2,0.5,3,,,,,,
1585284,1942-02-08T19:05:18Z,-41.04,0.0,172.53,0.1,12.0,0.0,ML,,,,4.0,0.2,2,,,,,,
1585285,1942-02-08T19:08:30Z,-41.07,0.1,172.64,0.1,12.0,0.0,ML,,,,3.6,0.2,2,,,,,,
2178600,1942-02-14T11:15:00Z,-38.0,0.0,177.0,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
1585286,1942-02-15T07:19:30Z,-37.52,0.1,178.41,0.1,33.0,0.0,ML,,,,4.9,0.4,3,,,,,,
1585287,1942-02-16T10:04:02Z,-38.73,0.1,177.96,0.1,33.0,0.0,ML,,,,4.8,nan,1,,,,,,
2178602,1942-02-21T11:00:00Z,-38.0,0.0,177.0,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
1585288,1942-02-21T22:23:54Z,-38.95,0.1,173.99,0.1,0.0,0.0,ML,,,,4.7,0.2,2,,,,,,
1585289,1942-02-22T12:18:17Z,-38.32,0.0,177.42,0.0,12.0,0.0,ML,,,,4.0,0.2,2,,,,,,
1585290,1942-02-22T13:04:28Z,-38.45,0.3,177.41,0.9,12.0,0.0,ML,,,,4.2,nan,2,,,,,,
1585291,1942-02-24T16:12:31Z,-39.78,0.0,174.13,0.1,113.0,8.0,ML,,,,4.5,nan,1,,,,,,
1585292,1942-03-02T16:34:37Z,-37.31,0.1,177.43,0.1,12.0,0.0,ML,,,,4.8,0.4,2,,,,,,
2178608,1942-03-03T05:30:00Z,-38.5,0.0,177.5,0.0,25.0,0.0,M,,,,,,,,,,4.5,nan,0
1585294,1942-03-03T20:36:30Z,-41.92,0.0,172.39,0.0,12.0,0.0,ML,,,,3.8,0.5,3,,,,,,
1585295,1942-03-05T00:19:55Z,-40.38,0.0,174.8,0.0,12.0,0.0,ML,,,,3.6,0.4,2,,,,,,
1585296,1942-03-05T21:21:26Z,-39.21,0.0,174.91,0.1,12.0,0.0,ML,,,,4.0,nan,2,,,,,,
1585297,1942-03-06T16:52:52Z,-40.48,0.0,172.8,0.1,12.0,0.0,ML,,,,3.7,0.6,2,,,,,,
1585298,1942-03-10T21:55:27Z,-41.36,0.0,172.98,0.0,12.0,0.0,ML,,,,3.8,0.1,3,,,,,,
1585300,1942-03-16T14:45:08Z,-42.0,0.0,175.0,0.0,12.0,0.0,ML,,,,3.8,0.3,2,,,,,,
1585301,1942-03-18T01:29:39Z,-38.85,0.2,175.51,0.6,223.0,36.0,ML,,,,5.1,nan,1,,,,,,
1585302,1942-03-18T08:57:37Z,-40.32,0.0,174.77,0.2,0.0,0.0,ML,,,,3.5,0.1,2,,,,,,
1585303,1942-03-20T08:46:04Z,-39.77,0.0,176.51,0.1,12.0,0.0,ML,,,,4.0,0.3,3,,,,,,
1585304,1942-03-22T15:28:43Z,-38.8,0.0,176.5,0.0,33.0,0.0,ML,,,,3.9,nan,1,,,,,,
1585305,1942-03-22T16:26:28Z,-38.67,0.0,176.19,0.1,12.0,0.0,ML,,,,4.1,0.1,2,,,,,,
