PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount
1543895,1950-07-02T10:12:59Z,-42.1,0.1,173.69,0.1,12.0,0.0,ML,,,,3.1,nan,0
1543896,1950-07-02T18:51:33Z,-41.64,0.2,178.5,0.3,12.0,0.0,ML,,,,3.9,nan,0
1543897,1950-07-03T12:19:50Z,-41.19,0.1,173.7,0.1,12.0,0.0,ML,,,,4.0,0.8,3
1543898,1950-07-03T12:36:18Z,-40.63,0.2,173.88,0.1,12.0,0.0,ML,,,,4.1,nan,0
1543899,1950-07-04T22:01:07Z,-39.93,0.0,173.92,0.1,128.0,12.0,ML,,,,3.7,nan,0
1543900,1950-07-05T19:37:50Z,-39.14,0.1,179.7,0.1,12.0,0.0,ML,,,,4.5,0.2,2
1543901,1950-07-06T05:17:41Z,-40.85,0.1,172.61,0.1,12.0,0.0,ML,,,,3.3,nan,0
1543902,1950-07-06T19:26:19Z,-38.2,0.3,177.05,0.3,12.0,0.0,ML,,,,4.0,nan,0
1543904,1950-07-09T01:01:03Z,-39.48,0.1,175.75,0.1,12.0,0.0,ML,,,,3.9,0.3,4
1543905,1950-07-13T12:54:13Z,-41.18,0.1,172.0,0.1,12.0,0.0,ML,,,,3.8,0.2,3
1543906,1950-07-15T06:50:36Z,-41.02,0.1,174.48,0.1,12.0,0.0,ML,,,,3.6,0.2,2
1543907,1950-07-16T01:42:01Z,-41.24,0.1,173.87,0.0,57.0,11.0,ML,,,,3.3,nan,0
1543908,1950-07-17T03:02:49Z,-39.81,0.0,176.97,0.0,12.0,0.0,ML,,,,4.5,0.2,7
1543909,1950-07-18T02:45:50Z,-40.85,0.0,172.33,0.1,0.0,0.0,ML,,,,3.9,0.6,4
1543910,1950-07-18T12:31:20Z,-40.66,0.0,175.32,0.0,5.0,0.0,ML,,,,4.1,0.2,4
1543911,1950-07-21T04:46:55Z,-39.73,0.0,174.19,0.1,207.0,8.0,ML,,,,5.5,0.1,2
1543912,1950-07-22T07:48:19Z,-41.71,0.1,174.29,0.1,12.0,0.0,ML,,,,3.9,0.3,3
1543913,1950-07-22T08:24:46Z,-38.89,0.1,175.62,0.1,12.0,0.0,ML,,,,4.3,0.2,3
1543914,1950-07-22T12:19:18Z,-39.05,0.0,176.58,0.0,12.0,0.0,ML,,,,3.7,0.2,4
1543915,1950-07-23T06:06:50Z,-41.28,0.1,175.65,0.1,12.0,0.0,ML,,,,3.6,0.5,2
1543916,1950-07-24T21:04:39Z,-39.49,0.1,174.63,0.1,161.0,27.0,ML,,,,4.4,nan,0
1543917,1950-07-25T07:17:15Z,-42.15,0.0,173.5,0.0,29.0,8.0,ML,,,,4.1,0.4,4
1543918,1950-07-28T05:17:18Z,-39.59,0.0,175.7,0.1,12.0,0.0,ML,,,,5.3,0.3,6
1543919,1950-07-28T12:41:07Z,-39.87,0.0,175.01,0.1,12.0,0.0,ML,,,,4.4,0.4,5
1543920,1950-07-28T13:26:51Z,-39.87,0.0,175.47,0.0,12.0,0.0,ML,,,,4.0,0.2,4
1543921,1950-07-28T18:59:00Z,-40.92,0.2,175.84,0.2,12.0,0.0,ML,,,,3.9,0.2,2
1543922,1950-08-02T10:05:09Z,-37.59,0.0,175.65,0.1,12.0,0.0,ML,,,,3.7,nan,0
1543923,1950-08-04T18:28:18Z,-38.92,0.0,176.06,0.1,12.0,0.0,ML,,,,4.3,0.2,3
1543924,1950-08-05T09:17:00Z,-49.06,0.1,164.06,0.0,33.0,0.0,ML,,,,6.5,0.3,7
1543925,1950-08-06T00:53:56Z,-39.04,0.0,177.6,0.1,12.0,0.0,ML,,,,4.0,nan,2
1543926,1950-08-09T22:44:12Z,-39.37,0.1,177.18,0.3,12.0,0.0,ML,,,,3.8,nan,0
1543927,1950-08-10T18:12:59Z,-38.0,0.0,177.75,0.0,12.0,0.0,ML,,,,3.9,0.4,2
1543928,1950-08-11T01:44:04Z,-41.29,0.0,172.26,0.1,12.0,0.0,ML,,,,3.7,0.3,3
1543929,1950-08-11T03:10:48Z,-42.15,0.0,173.61,0.1,12.0,0.0,ML,,,,3.9,0.3,4
1543930,1950-08-11T07:16:54Z,-39.12,0.1,177.81,0.1,5.0,0.0,ML,,,,4.2,nan,3
1543931,1950-08-12T00:43:37Z,-36.98,0.1,177.25,0.3,253.0,15.0,ML,,,,4.7,nan,2
1543933,1950-08-15T08:46:37Z,-39.74,0.0,174.59,0.0,33.0,0.0,ML,,,,4.4,0.6,3
1543934,1950-08-20T14:57:47Z,-38.75,0.0,174.75,0.0,12.0,0.0,ML,,,,4.3,0.1,2
1543935,1950-08-22T06:16:31Z,-38.0,0.0,178.5,0.0,12.0,0.0,ML,,,,4.0,0.4,2
1543936,1950-08-28T00:38:03Z,-43.12,0.4,165.68,0.3,12.0,0.0,ML,,,,4.9,0.2,4
1543937,1950-08-28T10:09:01Z,-38.54,0.0,176.03,0.0,12.0,0.0,ML,,,,3.4,nan,0
1543938,1950-08-28T10:19:03Z,-38.54,0.1,176.35,0.1,163.0,15.0,ML,,,,3.9,nan,0
1543939,1950-08-30T07:40:21Z,-44.26,0.2,166.45,0.2,33.0,0.0,ML,,,,4.9,0.4,3
1543940,1950-08-31T22:49:08Z,-38.3,0.0,178.28,0.0,84.0,1.0,ML,,,,4.8,0.2,2
1543941,1950-09-01T00:18:11Z,-39.05,0.0,175.42,0.1,168.0,9.0,ML,,,,5.8,0.1,2
1543942,1950-09-01T19:13:52Z,-41.2,0.0,175.68,0.0,27.0,0.0,ML,,,,4.4,0.1,4
1543943,1950-09-03T09:19:41Z,-38.32,0.1,175.74,0.1,33.0,0.0,ML,,,,4.4,0.4,3
1543944,1950-09-05T02:04:01Z,-39.66,0.0,179.52,0.1,33.0,0.0,ML,,,,5.8,0.1,3
1543945,1950-09-05T05:38:41Z,-39.55,0.1,179.26,0.1,33.0,0.0,ML,,,,4.9,0.3,6
1543946,1950-09-05T15:34:17Z,-40.22,0.0,174.86,0.1,33.0,0.0,ML,,,,3.9,0.1,2
1543947,1950-09-06T14:02:38Z,-39.43,0.1,175.28,0.1,122.0,18.0,ML,,,,3.9,0.4,2
1543948,1950-09-07T11:16:30Z,-38.89,0.3,175.52,0.2,202.0,39.0,ML,,,,4.2,nan,0
1543950,1950-09-12T01:57:18Z,-38.85,0.3,177.09,0.4,33.0,0.0,ML,,,,5.0,1.1,2
1543951,1950-09-12T07:15:13Z,-35.64,0.6,178.1,0.7,33.0,0.0,ML,,,,4.8,0.1,2
1543952,1950-09-14T04:51:17Z,-41.61,0.0,173.7,0.0,12.0,0.0,ML,,,,3.5,nan,2
1543953,1950-09-15T01:54:11Z,-38.25,0.0,177.5,0.0,12.0,0.0,ML,,,,3.9,nan,0
1543954,1950-09-17T16:48:09Z,-40.86,0.1,177.7,0.1,12.0,0.0,ML,,,,4.5,0.3,4
1543955,1950-09-17T17:40:39Z,-40.13,0.1,177.19,0.3,12.0,0.0,ML,,,,4.4,0.4,3
1543956,1950-09-18T19:15:42Z,-41.44,0.1,172.74,0.2,147.0,25.0,ML,,,,3.9,nan,0
1543957,1950-09-19T16:05:01Z,-40.99,0.1,172.53,0.0,4.0,4.0,ML,,,,3.4,nan,0
1543958,1950-09-21T08:41:16Z,-40.85,0.0,172.89,0.1,0.0,6.0,ML,,,,4.2,0.2,4
1543959,1950-09-22T20:28:37Z,-38.22,0.1,177.77,0.1,107.0,11.0,ML,,,,4.0,0.1,2
1543960,1950-09-23T18:24:58Z,-41.6,0.0,176.05,0.1,33.0,0.0,ML,,,,3.7,nan,0
1543961,1950-09-26T13:24:08Z,-39.61,0.1,174.23,0.1,239.0,15.0,ML,,,,4.7,0.4,2
1543963,1950-09-30T00:02:38Z,-41.55,0.0,174.01,0.0,33.0,0.0,ML,,,,4.6,0.3,2
1543965,1950-10-08T07:02:41Z,-40.73,0.0,173.52,0.0,33.0,0.0,ML,,,,3.9,0.3,2
1543966,1950-10-09T16:37:06Z,-38.0,0.0,176.0,0.0,33.0,0.0,ML,,,,3.9,nan,0
1543967,1950-10-09T20:25:00Z,-38.0,0.0,176.0,0.0,33.0,0.0,ML,,,,3.8,nan,0
1543968,1950-10-10T10:22:52Z,-38.24,0.2,177.13,0.2,12.0,0.0,ML,,,,3.6,nan,0
1543969,1950-10-10T18:42:23Z,-45.02,0.1,166.98,0.1,33.0,0.0,MS,5.1,nan,0,5.8,0.4,5
1543970,1950-10-13T12:43:12Z,-40.66,0.0,175.18,0.3,12.0,0.0,ML,,,,4.3,0.4,2
1543971,1950-10-13T19:07:28Z,-39.83,0.0,173.88,0.0,186.0,1.0,ML,,,,4.1,nan,0
1543972,1950-10-15T13:46:24Z,-40.25,0.0,174.0,0.0,12.0,0.0,ML,,,,3.7,nan,0
1543973,1950-10-18T03:47:29Z,-39.45,0.0,174.71,0.0,12.0,0.0,ML,,,,3.9,0.5,2
1543974,1950-10-18T09:01:24Z,-40.34,0.0,173.93,0.1,33.0,0.0,ML,,,,4.2,0.4,3
1543975,1950-10-18T17:01:49Z,-41.41,0.1,171.83,0.1,33.0,0.0,ML,,,,4.0,0.4,2
1543976,1950-10-18T17:24:04Z,-39.89,0.1,177.35,0.1,12.0,0.0,ML,,,,4.2,0.1,2
1543978,1950-10-20T07:35:04Z,-42.92,0.1,173.53,0.1,33.0,0.0,ML,,,,3.6,0.5,3
1543979,1950-10-22T19:46:56Z,-40.51,0.0,173.04,0.0,12.0,0.0,ML,,,,3.6,nan,2
1543983,1950-10-28T05:08:20Z,-38.25,0.0,178.25,0.0,12.0,0.0,ML,,,,4.3,nan,0
1543985,1950-10-28T16:16:14Z,-38.71,0.0,177.28,0.0,102.0,1.0,ML,,,,4.3,nan,0
1543986,1950-10-29T07:57:57Z,-40.92,0.1,173.97,0.1,33.0,0.0,ML,,,,2.8,nan,0
1543987,1950-11-01T09:13:41Z,-40.43,0.0,173.94,0.0,12.0,0.0,ML,,,,3.3,nan,0
1543988,1950-11-01T13:56:18Z,-41.44,0.1,173.14,0.1,12.0,0.0,ML,,,,3.2,nan,0
1543989,1950-11-04T08:42:14Z,-40.42,0.1,177.06,0.1,33.0,0.0,ML,,,,4.5,0.4,4
1543990,1950-11-05T09:51:22Z,-38.48,0.3,176.45,0.2,33.0,0.0,ML,,,,3.9,0.9,2
1543991,1950-11-06T21:03:08Z,-37.3,0.1,174.95,0.1,12.0,0.0,ML,,,,4.8,0.3,3
1543992,1950-11-08T02:39:31Z,-40.11,0.1,172.42,0.1,12.0,0.0,ML,,,,4.0,nan,0
1543993,1950-11-08T18:42:03Z,-40.83,0.0,173.6,0.0,12.0,0.0,ML,,,,3.4,nan,0
1543994,1950-11-09T06:20:16Z,-35.13,0.2,177.67,0.4,33.0,0.0,ML,,,,5.4,nan,0
1543996,1950-11-10T08:30:33Z,-38.27,0.1,177.75,0.1,125.0,9.0,ML,,,,4.7,0.2,2
1543997,1950-11-10T09:29:00Z,-41.06,0.0,173.5,0.0,33.0,0.0,ML,,,,4.0,0.2,2
1543998,1950-11-11T08:36:39Z,-40.35,0.0,173.29,0.1,149.0,12.0,ML,,,,4.4,nan,0
1543999,1950-11-11T14:49:50Z,-44.22,0.1,169.6,0.2,12.0,0.0,ML,,,,4.5,0.1,2
1544000,1950-11-12T13:43:54Z,-38.0,0.0,177.0,0.0,33.0,0.0,ML,,,,3.8,nan,0
1544001,1950-11-13T10:21:13Z,-41.2,0.1,174.72,0.1,33.0,0.0,ML,,,,4.9,0.1,3
1544003,1950-11-19T19:52:05Z,-40.42,0.0,177.74,0.1,33.0,0.0,ML,,,,4.5,0.4,3
1544004,1950-11-25T19:32:22Z,-40.58,0.0,173.04,0.1,158.0,13.0,ML,,,,4.6,nan,0
1544005,1950-11-26T13:27:07Z,-39.65,0.1,175.84,0.1,12.0,0.0,ML,,,,3.9,0.6,2
1544006,1950-11-26T13:49:59Z,-38.75,0.1,176.24,0.1,206.0,5.0,ML,,,,4.7,nan,2
1544007,1950-11-27T16:59:07Z,-42.86,0.0,172.84,0.1,12.0,0.0,ML,,,,3.7,0.4,3
1544008,1950-11-30T07:20:27Z,-39.34,0.1,175.92,0.1,12.0,0.0,ML,,,,4.3,0.7,3
1544009,1950-11-30T18:57:18Z,-40.91,0.2,172.6,0.1,12.0,0.0,ML,,,,3.9,nan,0
1544010,1950-12-01T19:16:23Z,-41.31,0.0,172.64,0.1,158.0,11.0,ML,,,,4.1,nan,0
1544011,1950-12-04T16:54:20Z,-44.92,0.0,167.96,0.0,175.0,5.0,ML,,,,5.8,nan,0
1544012,1950-12-10T05:39:18Z,-40.18,0.2,172.72,0.2,12.0,0.0,ML,,,,3.6,nan,0
1544014,1950-12-10T15:50:10Z,-38.53,0.1,175.84,0.1,167.0,17.0,ML,,,,4.8,0.1,2
1544015,1950-12-11T23:05:07Z,-40.35,0.1,173.4,0.1,181.0,17.0,ML,,,,4.3,nan,0
1544016,1950-12-13T17:50:34Z,-40.57,0.0,174.97,0.0,33.0,0.0,ML,,,,3.8,nan,0
1544017,1950-12-14T19:32:32Z,-40.12,0.0,175.39,0.0,33.0,0.0,ML,,,,3.5,nan,0
1544018,1950-12-16T09:54:30Z,-40.6,0.0,175.1,0.0,72.0,3.0,ML,,,,4.5,nan,0
1544019,1950-12-17T11:40:05Z,-38.86,0.1,176.5,0.1,136.0,18.0,ML,,,,4.6,nan,0
1544020,1950-12-18T06:07:47Z,-40.61,0.0,173.26,0.1,12.0,0.0,ML,,,,3.9,0.2,2
1544021,1950-12-21T10:55:16Z,-40.95,0.0,172.38,0.1,12.0,0.0,ML,,,,4.7,0.3,4
1544022,1950-12-21T11:07:03Z,-40.36,0.1,176.04,0.2,12.0,0.0,ML,,,,4.4,0.7,3
1544023,1950-12-23T09:39:00Z,-41.88,0.0,172.76,0.0,12.0,0.0,ML,,,,4.9,0.2,3
1544024,1950-12-27T03:45:47Z,-41.16,0.0,176.15,0.1,12.0,0.0,ML,,,,4.3,0.3,2
1544025,1950-12-29T06:08:20Z,-39.96,0.0,173.63,0.1,12.0,0.0,ML,,,,4.5,0.3,2
