PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1545256,1955-07-04T03:36:12Z,-38.74,0.1,175.21,0.1,241.0,12.0,ML,4.3,0.1,2,,,
1545257,1955-07-05T06:59:56Z,-37.77,0.1,176.21,0.2,299.0,11.0,ML,5.6,0.1,2,,,
1545259,1955-07-10T06:32:41Z,-39.0,0.1,178.1,0.3,12.0,0.0,ML,5.1,0.1,4,,,
1545260,1955-07-10T16:46:39Z,-38.4,0.0,176.28,0.1,135.0,11.0,ML,4.2,0.1,2,,,
1545261,1955-07-12T14:04:12Z,-39.0,0.0,174.0,0.0,33.0,0.0,ML,3.4,nan,1,,,
1545262,1955-07-12T16:36:48Z,-40.32,0.0,175.17,0.0,12.0,0.0,ML,4.0,0.4,3,,,
1545263,1955-07-18T02:09:09Z,-38.67,0.1,175.73,0.1,165.0,19.0,ML,5.7,nan,2,,,
1545264,1955-07-19T13:21:32Z,-38.5,0.1,175.8,0.1,193.0,9.0,ML,4.0,0.1,2,,,
1545265,1955-07-20T02:33:22Z,-40.18,0.1,178.23,0.2,12.0,0.0,ML,5.3,0.1,6,,,
1545266,1955-07-21T05:35:42Z,-38.72,0.1,175.78,0.1,160.0,12.0,ML,4.2,0.1,2,,,
1545267,1955-07-22T19:24:05Z,-38.32,0.1,176.03,0.1,222.0,13.0,ML,4.6,nan,2,,,
1545268,1955-07-24T23:43:49Z,-45.24,0.2,166.65,0.2,12.0,0.0,ML,4.8,0.3,5,,,
1545270,1955-07-26T14:08:15Z,-39.53,0.0,174.22,0.1,136.0,12.0,ML,4.8,0.3,2,,,
1545271,1955-07-27T19:34:33Z,-37.96,0.1,176.24,0.1,277.0,6.0,ML,4.7,0.1,2,,,
1545272,1955-07-29T07:17:39Z,-38.3,0.1,176.13,0.1,192.0,9.0,ML,4.2,0.4,2,,,
1545273,1955-07-29T14:49:48Z,-38.09,0.2,176.56,0.2,189.0,16.0,ML,5.0,0.1,2,,,
1545274,1955-07-30T14:40:34Z,-38.45,0.0,176.03,0.1,155.0,5.0,ML,4.6,nan,2,,,
1545275,1955-07-30T23:49:29Z,-39.31,0.2,173.65,0.2,33.0,0.0,ML,4.0,1.0,6,,,
