PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2014p000334,2014-01-01T02:58:21Z,-38.38,1.1,177.18,1.0,43.0,2.0,M,,,,3.6,0.2,35,3.4,nan,86,,,,3.4,0.4,86
2014p000365,2014-01-01T03:14:30Z,-43.64,1.0,172.38,1.0,8.0,2.0,M,,,,2.3,0.5,7,2.3,nan,7,,,,2.3,0.5,7
2014p000409,2014-01-01T03:37:56Z,-45.17,2.7,167.1,3.5,9.0,4.0,M,,,,2.8,0.3,7,2.8,nan,7,,,,2.8,0.4,7
2014p000544,2014-01-01T04:50:12Z,-41.7,1.0,174.13,0.7,13.0,1.0,M,,,,3.0,0.2,17,2.8,nan,25,,,,2.8,0.4,25
2014p001333,2014-01-01T11:50:15Z,-33.77,6.6,178.63,15.8,30.0,12.0,M,4.3,nan,1,4.3,0.3,16,4.1,nan,16,3.4,0.4,1,4.1,0.3,16
2014p001398,2014-01-01T12:25:00Z,-38.38,1.1,178.28,1.8,30.0,3.0,M,,,,3.5,0.2,13,3.1,nan,13,,,,3.1,0.2,13
2014p001442,2014-01-01T12:48:50Z,-38.61,1.2,176.73,1.9,59.0,2.0,M,,,,2.1,0.2,19,1.9,nan,26,,,,1.9,0.4,26
2014p001588,2014-01-01T14:06:15Z,-43.63,1.7,172.49,1.4,9.0,2.0,M,,,,2.0,0.4,5,2.2,nan,3,,,,2.2,0.1,3
2014p001738,2014-01-01T15:26:24Z,-40.8,0.8,175.23,1.1,36.0,1.0,ML,,,,4.1,0.3,18,,,,,,,3.8,0.3,97
2014p002094,2014-01-01T18:35:43Z,-36.41,14.8,177.31,5.3,282.0,24.0,M,,,,,,,3.2,nan,28,,,,3.2,0.3,28
2014p002100,2014-01-01T18:38:58Z,-40.24,0.9,175.75,2.2,34.0,2.0,M,,,,2.8,0.3,12,2.5,nan,39,,,,2.5,0.3,39
2014p003061,2014-01-02T03:10:56Z,-45.11,2.5,167.62,3.9,127.0,4.0,M,,,,,,,3.2,nan,9,,,,3.2,0.4,9
2014p003100,2014-01-02T03:31:41Z,-39.9,0.8,176.87,1.6,45.0,2.0,M,,,,2.8,0.2,21,2.6,nan,21,,,,2.6,0.2,21
2014p003363,2014-01-02T05:51:09Z,-33.69,17.4,-179.31,24.6,207.0,29.0,M,4.6,0.3,7,4.5,0.3,12,4.2,nan,13,3.9,0.4,7,4.5,0.1,13
2014p003913,2014-01-02T10:44:40Z,-34.15,24.3,-178.42,19.9,265.0,36.0,M,4.4,0.5,3,,,,4.2,nan,10,3.6,0.5,3,4.2,0.1,10
2014p004358,2014-01-02T14:41:54Z,-37.82,6.4,175.96,7.0,301.0,10.0,M,,,,2.4,0.2,7,2.4,nan,14,,,,2.4,0.3,14
2014p004454,2014-01-02T15:33:30Z,-38.15,1.6,176.31,1.4,157.0,3.0,M,,,,,,,3.0,nan,65,,,,3.0,0.4,65
2014p004664,2014-01-02T17:25:28Z,-37.53,3.9,176.57,2.8,196.0,5.0,M,,,,,,,2.7,nan,24,,,,2.7,0.3,24
2014p004933,2014-01-02T19:49:23Z,-38.08,1.2,176.49,2.1,13.0,2.0,M,,,,2.9,0.2,6,2.8,nan,6,,,,2.8,0.2,6
2014p004940,2014-01-02T19:52:19Z,-38.08,0.6,176.5,0.7,8.0,1.0,M,,,,2.3,0.3,10,2.1,nan,10,,,,2.1,0.3,10
2014p005091,2014-01-02T21:12:37Z,-39.66,2.1,174.42,3.5,136.0,5.0,M,,,,,,,2.7,nan,19,,,,2.7,0.3,19
2014p005349,2014-01-02T23:30:09Z,-41.0,1.3,174.47,1.5,51.0,2.0,M,,,,3.2,0.1,16,3.0,nan,16,,,,3.0,0.2,16
2014p005569,2014-01-03T01:27:12Z,-38.09,4.3,176.49,2.8,5.0,0.0,M,,,,2.0,0.2,9,1.9,nan,12,,,,1.9,0.4,12
2014p005879,2014-01-03T04:12:37Z,-43.59,2.5,172.57,2.8,5.0,4.0,M,,,,2.8,0.2,7,2.7,nan,7,,,,2.7,0.3,7
2014p006661,2014-01-03T11:08:59Z,-41.22,1.9,172.82,3.1,151.0,4.0,M,,,,,,,3.1,nan,22,,,,3.1,0.4,22
2014p006761,2014-01-03T12:02:25Z,-41.89,1.9,171.65,3.0,11.0,3.0,ML,,,,3.1,0.2,11,,,,,,,2.9,0.3,10
2014p008025,2014-01-03T23:15:57Z,-37.1,16.0,178.64,10.2,33.0,0.0,M,,,,3.3,0.3,14,3.1,nan,27,,,,3.1,0.2,27
2014p008043,2014-01-03T23:25:45Z,-46.51,7.4,166.24,7.2,12.0,0.0,ML,,,,3.8,0.2,9,,,,,,,3.7,0.3,9
2014p008065,2014-01-03T23:37:24Z,-46.24,5.9,166.02,5.2,12.0,0.0,MLv,,,,3.9,0.2,10,3.7,nan,10,,,,3.7,0.3,10
2014p008157,2014-01-04T00:26:22Z,-37.0,7.4,177.34,9.1,170.0,7.0,M,,,,,,,2.8,nan,12,,,,2.8,0.3,12
2014p008487,2014-01-04T03:22:02Z,-44.22,2.8,168.43,2.5,5.0,0.0,M,,,,2.8,0.2,6,2.8,nan,6,,,,2.8,0.3,6
2014p008685,2014-01-04T05:06:39Z,-37.8,8.4,176.44,19.6,245.0,13.0,M,,,,,,,3.3,nan,13,,,,3.3,0.2,13
2014p008683,2014-01-04T05:06:42Z,-37.64,4.4,176.31,4.7,215.0,6.0,M,,,,,,,2.7,nan,24,,,,2.7,0.2,24
2014p008743,2014-01-04T05:38:36Z,-40.24,1.2,176.1,1.9,58.0,2.0,M,,,,3.2,0.2,30,2.9,nan,30,,,,2.9,0.2,30
2014p008826,2014-01-04T06:22:30Z,-46.21,8.7,165.9,6.0,12.0,0.0,M,,,,3.6,0.4,4,3.3,nan,5,,,,3.3,0.2,5
2014p009341,2014-01-04T10:57:25Z,-38.64,1.3,175.68,1.4,162.0,3.0,M,,,,,,,3.5,nan,75,,,,3.5,0.3,75
2014p009531,2014-01-04T12:38:36Z,-41.78,1.3,174.01,1.0,11.0,2.0,M,,,,3.8,0.2,16,3.5,nan,16,,,,3.5,0.2,16
2014p009624,2014-01-04T13:27:47Z,-38.05,4.7,176.15,11.5,175.0,8.0,M,,,,,,,2.5,nan,10,,,,2.5,0.4,10
2014p009774,2014-01-04T14:48:04Z,-44.55,5.9,167.02,10.8,5.0,0.0,M,,,,3.0,0.2,6,2.9,nan,6,,,,2.9,0.1,6
2014p009962,2014-01-04T16:28:04Z,-41.64,1.1,174.26,0.8,17.0,2.0,M,,,,2.8,0.2,13,2.6,nan,13,,,,2.6,0.1,13
2014p009987,2014-01-04T16:41:08Z,-41.71,1.2,174.12,1.1,12.0,2.0,M,,,,3.2,0.2,15,2.9,nan,15,,,,2.9,0.2,15
2014p010024,2014-01-04T17:01:04Z,-40.24,8.7,174.32,5.6,33.0,0.0,M,,,,3.0,0.2,18,2.7,nan,18,,,,2.7,0.2,18
2014p010052,2014-01-04T17:15:56Z,-38.61,3.3,175.56,10.8,157.0,11.0,M,,,,,,,2.7,nan,19,,,,2.7,0.3,19
2014p010144,2014-01-04T18:05:21Z,-41.51,2.7,174.6,1.7,27.0,10.0,M,,,,2.1,0.2,4,1.8,nan,4,,,,1.8,0.2,4
2014p010270,2014-01-04T19:12:09Z,-41.8,1.6,174.01,0.9,6.0,2.0,M,,,,2.7,0.2,13,2.6,nan,13,,,,2.6,0.2,13
2014p010411,2014-01-04T20:27:13Z,-36.62,10.2,177.51,7.2,213.0,10.0,M,,,,,,,3.1,nan,11,,,,3.1,0.4,11
2014p010544,2014-01-04T21:38:13Z,-40.11,1.4,174.81,1.9,25.0,4.0,M,,,,3.0,0.2,18,2.8,nan,18,,,,2.8,0.2,18
2014p010761,2014-01-04T23:33:41Z,-39.09,1.2,177.78,1.9,23.0,6.0,M,,,,3.3,0.3,15,3.0,nan,15,,,,3.0,0.2,15
2014p010836,2014-01-05T00:13:55Z,-37.19,5.2,177.44,4.7,118.0,6.0,M,,,,,,,2.7,nan,13,,,,2.7,0.3,13
2014p010934,2014-01-05T01:06:11Z,-37.17,10.3,176.67,15.5,182.0,13.0,M,,,,,,,2.7,nan,5,,,,2.7,0.2,5
2014p011602,2014-01-05T07:01:50Z,-41.46,0.8,174.26,1.0,14.0,3.0,ML,,,,3.1,0.1,9,,,,,,,3.0,0.4,13
2014p011877,2014-01-05T09:28:36Z,-45.38,8.7,167.0,5.6,12.0,0.0,ML,,,,3.6,0.2,9,,,,,,,3.5,0.2,8
2014p011940,2014-01-05T10:01:57Z,-41.9,2.1,174.08,2.7,25.0,5.0,M,,,,2.9,0.1,13,2.7,nan,22,,,,2.7,0.3,22
2014p012090,2014-01-05T11:21:46Z,-35.5,8.7,-179.64,12.1,33.0,0.0,M,,,,3.9,0.1,13,3.6,nan,8,,,,3.6,0.3,8
2014p012256,2014-01-05T12:50:22Z,-39.42,4.0,174.33,15.9,212.0,12.0,M,,,,,,,2.5,nan,6,,,,2.5,0.4,6
2014p012325,2014-01-05T13:26:57Z,-37.46,9.8,-179.21,4.9,33.0,0.0,MLv,,,,,,,3.5,nan,8,,,,3.5,0.2,8
2014p012337,2014-01-05T13:33:06Z,-34.97,30.6,178.64,321.9,288.0,17.0,M,,,,,,,3.9,nan,21,,,,3.9,0.3,21
2014p012422,2014-01-05T14:18:12Z,-35.68,10.7,-179.5,14.0,33.0,0.0,M,,,,4.0,0.2,11,3.7,nan,11,,,,3.7,0.2,11
2014p012762,2014-01-05T17:19:55Z,-43.34,1.1,171.97,1.2,11.0,2.0,ML,,,,3.1,0.3,7,,,,,,,3.1,0.3,10
2014p012763,2014-01-05T17:20:35Z,-41.6,1.2,174.29,0.9,17.0,3.0,ML,,,,2.4,0.2,8,,,,,,,2.1,0.2,9
2014p013024,2014-01-05T19:39:09Z,-40.27,2.3,173.51,3.2,200.0,6.0,MLv,,,,,,,,,,,,,3.8,0.3,85
2014p013131,2014-01-05T20:36:37Z,-38.58,0.6,176.18,0.6,7.0,1.0,M,,,,2.2,0.2,6,1.8,nan,8,,,,1.8,0.3,8
2014p013486,2014-01-05T23:45:39Z,-43.66,1.1,172.36,1.0,8.0,2.0,M,,,,3.2,0.2,7,3.1,nan,14,,,,3.1,0.3,14
2014p013535,2014-01-06T00:11:51Z,-41.71,1.1,174.15,0.9,15.0,2.0,M,,,,3.3,0.1,14,3.1,nan,39,,,,3.0,0.1,17
2014p013937,2014-01-06T03:46:08Z,-38.52,1.4,175.92,1.5,6.0,3.0,M,,,,3.0,0.2,27,2.7,nan,27,,,,2.7,0.2,27
2014p014082,2014-01-06T05:03:00Z,-37.15,5.6,177.29,9.6,140.0,7.0,M,,,,,,,2.5,nan,13,,,,2.5,0.3,13
2014p014131,2014-01-06T05:28:42Z,-35.76,10.5,178.34,16.7,235.0,14.0,M,,,,4.1,0.2,3,3.7,nan,23,,,,3.7,0.2,23
2014p014270,2014-01-06T06:43:06Z,-35.43,8.8,-179.87,14.0,33.0,0.0,M,,,,4.6,0.2,10,4.3,nan,10,,,,4.3,0.1,10
2014p014319,2014-01-06T07:09:38Z,-38.14,0.6,176.68,0.9,11.0,2.0,M,,,,2.2,0.2,7,1.9,nan,7,,,,1.9,0.2,7
2014p014626,2014-01-06T09:53:03Z,-40.94,0.7,176.05,1.2,25.0,2.0,M,,,,3.4,0.2,19,3.0,nan,19,,,,3.0,0.1,19
2014p014644,2014-01-06T10:02:41Z,-43.49,1.0,172.75,0.8,14.0,2.0,M,,,,2.5,0.2,7,2.4,nan,7,,,,2.4,0.3,7
2014p014816,2014-01-06T11:34:24Z,-40.83,0.6,175.51,0.9,24.0,1.0,M,,,,1.7,0.2,8,1.4,nan,8,,,,1.4,0.2,8
2014p014835,2014-01-06T11:44:35Z,-45.04,2.4,167.54,3.3,80.0,5.0,M,,,,2.9,0.2,8,2.8,nan,8,,,,2.8,0.3,8
2014p015136,2014-01-06T14:24:31Z,-40.96,1.3,174.43,1.8,47.0,3.0,M,,,,2.8,0.1,18,2.6,nan,18,,,,2.6,0.1,18
2014p015876,2014-01-06T20:59:14Z,-43.38,2.0,170.65,2.8,5.0,0.0,M,,,,2.7,0.3,7,2.7,nan,7,,,,2.7,0.3,7
2014p016093,2014-01-06T22:54:43Z,-40.76,1.0,176.57,2.7,19.0,3.0,M,,,,3.8,0.3,31,3.5,nan,31,,,,3.5,0.3,31
2014p016814,2014-01-07T05:18:36Z,-39.62,0.9,176.91,1.4,40.0,2.0,M,,,,3.1,0.2,31,2.9,nan,31,,,,2.9,0.3,31
