PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1683847,1981-01-01T01:52:02Z,-40.89,0.0,175.01,0.0,33.0,2.0,ML,,,,,,,1.9,0.2,7,,,
1583875,1981-01-01T02:38:41Z,-43.76,0.0,169.61,0.0,2.0,2.0,ML,,,,,,,2.9,0.2,4,,,
1683848,1981-01-01T04:30:17Z,-41.35,0.0,174.73,0.0,46.0,6.0,ML,,,,,,,1.9,0.1,6,,,
1561466,1981-01-01T05:42:10Z,-39.27,0.0,174.99,0.0,33.0,0.0,ML,,,,,,,3.5,0.3,5,,,
1583876,1981-01-01T06:10:02Z,-44.04,0.0,169.51,0.0,2.0,2.0,ML,,,,,,,2.3,0.1,7,,,
1683849,1981-01-01T10:33:19Z,-40.86,0.0,175.0,0.0,36.0,1.0,ML,,,,,,,2.3,0.2,7,,,
1683850,1981-01-01T13:43:10Z,-40.96,0.0,174.23,0.0,13.0,0.0,ML,,,,,,,1.8,0.1,4,,,
1683851,1981-01-01T14:50:49Z,-41.49,0.0,175.59,0.0,27.0,1.0,ML,,,,,,,2.0,0.2,7,,,
1683852,1981-01-01T18:04:43Z,-40.87,0.0,175.09,0.0,34.0,2.0,ML,,,,,,,1.9,0.2,5,,,
1561468,1981-01-01T23:22:11Z,-40.73,0.0,174.53,0.0,26.0,0.0,ML,,,,,,,3.9,0.3,5,,,
1683854,1981-01-02T00:42:39Z,-40.72,0.0,174.49,0.0,17.0,4.0,ML,,,,,,,2.4,nan,3,,,
1683855,1981-01-02T06:30:01Z,-41.5,0.0,174.92,0.0,45.0,0.0,ML,,,,,,,2.1,0.2,5,,,
1583877,1981-01-02T11:15:45Z,-44.07,0.0,170.61,0.0,4.0,6.0,ML,,,,,,,2.2,0.1,6,,,
1561471,1981-01-02T13:32:12Z,-42.57,0.0,174.0,0.0,4.0,2.0,ML,,,,,,,3.7,0.3,4,,,
1683856,1981-01-02T17:57:15Z,-41.1,0.0,175.23,0.0,28.0,1.0,ML,,,,,,,2.0,0.1,5,,,
1683857,1981-01-03T07:18:55Z,-40.86,0.0,174.87,0.0,70.0,4.0,ML,,,,,,,2.4,0.1,6,,,
1683858,1981-01-03T17:00:57Z,-41.06,0.0,175.22,0.0,20.0,0.0,ML,,,,,,,1.5,0.3,3,,,
1683859,1981-01-03T17:59:13Z,-41.54,0.0,174.5,0.0,23.0,3.0,ML,,,,,,,1.7,0.2,5,,,
1683860,1981-01-03T20:25:59Z,-41.11,0.0,175.46,0.0,25.0,0.0,ML,,,,,,,1.6,0.2,4,,,
1683861,1981-01-03T22:37:14Z,-40.76,0.0,175.01,0.0,39.0,2.0,ML,,,,,,,1.9,0.3,5,,,
1561474,1981-01-04T04:41:16Z,-39.63,0.0,176.29,0.0,57.0,8.0,ML,,,,,,,3.7,0.3,5,,,
1583878,1981-01-04T04:43:59Z,-43.75,0.0,169.62,0.0,0.0,2.0,ML,,,,,,,2.8,0.2,7,,,
1561475,1981-01-04T05:35:00Z,-37.91,0.1,177.43,0.0,66.0,14.0,ML,,,,,,,3.4,0.2,3,,,
1561476,1981-01-04T10:21:19Z,-36.92,0.0,177.55,0.0,185.0,3.0,ML,,,,,,,3.7,0.3,3,,,
1561477,1981-01-05T02:22:26Z,-38.56,0.1,176.11,0.1,135.0,12.0,ML,,,,,,,3.5,0.4,2,,,
1561478,1981-01-05T14:48:20Z,-42.87,0.0,171.6,0.0,7.0,2.0,ML,,,,,,,3.2,0.2,4,,,
1561479,1981-01-05T17:34:52Z,-39.68,0.0,176.98,0.0,31.0,3.0,ML,,,,,,,3.9,0.3,6,,,
1683862,1981-01-05T21:47:30Z,-41.44,0.0,174.58,0.0,55.0,1.0,ML,,,,,,,1.8,0.1,3,,,
1583879,1981-01-06T05:17:20Z,-43.7,0.0,169.7,0.0,2.0,0.0,ML,,,,,,,2.3,0.1,7,,,
1683863,1981-01-06T09:14:37Z,-40.58,0.0,174.92,0.0,6.0,4.0,Md,,,,,,,,,,3.4,0.2,5
1561480,1981-01-06T13:08:54Z,-36.82,0.1,177.68,0.1,248.0,9.0,ML,,,,,,,4.0,0.2,4,,,
1561482,1981-01-06T18:33:25Z,-43.64,0.0,169.88,0.1,5.0,4.0,ML,,,,,,,3.9,0.2,3,,,
1683864,1981-01-06T19:52:22Z,-40.91,0.0,175.93,0.0,34.0,1.0,ML,,,,,,,2.6,0.1,4,,,
1683865,1981-01-06T20:44:58Z,-41.16,0.0,175.21,0.0,24.0,0.0,ML,,,,,,,1.9,0.2,6,,,
1583881,1981-01-06T22:17:02Z,-43.63,0.0,169.84,0.0,5.0,0.0,ML,,,,,,,2.5,0.2,3,,,
1683866,1981-01-07T03:45:13Z,-40.75,0.0,174.52,0.0,14.0,1.0,ML,,,,,,,3.0,0.1,2,3.4,0.1,3
1683867,1981-01-07T07:48:02Z,-40.56,0.0,174.98,0.0,32.0,1.0,ML,,,,,,,3.4,nan,2,3.4,0.1,3
1683868,1981-01-07T08:14:07Z,-40.89,0.0,175.02,0.0,30.0,1.0,ML,,,,,,,2.3,0.3,3,,,
1561485,1981-01-07T09:54:46Z,-35.96,0.6,178.56,0.8,318.0,41.0,ML,,,,,,,4.1,0.3,3,,,
1561486,1981-01-07T15:21:00Z,-38.34,0.1,175.97,0.1,195.0,10.0,ML,,,,,,,4.0,0.3,4,,,
1683869,1981-01-07T15:45:29Z,-41.35,0.0,175.11,0.0,26.0,1.0,ML,,,,,,,1.7,0.1,5,,,
1683870,1981-01-07T17:36:24Z,-41.04,0.0,174.84,0.0,28.0,1.0,ML,,,,,,,1.8,0.2,5,,,
1561487,1981-01-07T22:06:29Z,-39.29,0.1,173.76,0.1,12.0,0.0,ML,,,,,,,3.3,0.2,2,,,
1683871,1981-01-07T23:25:51Z,-41.11,0.0,175.09,0.0,21.0,1.0,ML,,,,,,,1.8,0.2,6,,,
1683872,1981-01-08T00:24:02Z,-41.02,0.0,175.07,0.0,29.0,1.0,ML,,,,,,,2.1,0.2,4,,,
1583882,1981-01-08T02:16:59Z,-44.0,0.0,169.66,0.0,4.0,2.0,ML,,,,,,,1.9,0.1,6,,,
1683873,1981-01-08T08:10:16Z,-41.71,0.0,174.61,0.0,28.0,4.0,ML,,,,,,,2.0,0.4,3,,,
1683874,1981-01-08T14:49:14Z,-40.73,0.0,174.51,0.0,15.0,1.0,ML,,,,,,,2.1,0.1,4,,,
1583883,1981-01-08T20:19:32Z,-43.86,0.0,169.55,0.0,2.0,0.0,ML,,,,,,,2.3,0.1,5,,,
1683875,1981-01-08T22:06:22Z,-41.05,0.0,175.29,0.0,28.0,2.0,ML,,,,,,,1.9,0.2,5,,,
1683876,1981-01-09T01:42:20Z,-41.29,0.0,175.28,0.0,28.0,1.0,ML,,,,,,,1.9,0.2,7,,,
1683877,1981-01-09T10:42:41Z,-40.84,0.0,174.75,0.0,16.0,0.0,ML,,,,,,,1.5,0.1,3,,,
1561489,1981-01-09T11:09:13Z,-38.29,0.0,176.3,0.1,158.0,6.0,ML,,,,,,,4.3,0.3,6,,,
1561490,1981-01-09T12:10:02Z,-38.54,0.0,175.77,0.1,168.0,9.0,ML,,,,,,,4.0,0.4,5,,,
1561491,1981-01-09T12:50:22Z,-38.15,0.1,176.06,0.1,194.0,9.0,ML,,,,,,,3.7,0.4,5,,,
1683878,1981-01-10T10:41:31Z,-40.84,0.0,174.24,0.0,54.0,4.0,ML,,,,,,,2.2,0.1,5,,,
1583884,1981-01-10T16:25:15Z,-44.23,0.0,169.95,0.0,9.0,0.0,ML,,,,,,,1.4,0.2,5,,,
1583885,1981-01-10T16:41:09Z,-44.0,0.0,170.4,0.0,5.0,1.0,ML,,,,,,,1.9,0.1,7,,,
1683879,1981-01-10T19:03:02Z,-41.54,0.0,173.96,0.0,25.0,0.0,ML,,,,,,,2.1,0.1,6,,,
1583886,1981-01-10T22:01:28Z,-44.47,0.0,170.44,0.0,5.0,0.0,ML,,,,,,,1.6,0.1,3,,,
1583887,1981-01-11T09:03:01Z,-43.64,0.0,170.52,0.0,6.0,1.0,ML,,,,,,,2.0,0.2,6,,,
1683880,1981-01-11T09:35:53Z,-41.59,0.0,174.51,0.0,30.0,1.0,ML,,,,,,,2.0,0.1,4,,,
1683881,1981-01-11T12:25:02Z,-41.28,0.0,174.43,0.0,19.0,3.0,ML,,,,,,,1.7,0.2,5,,,
1683882,1981-01-12T01:03:28Z,-41.49,0.0,174.49,0.0,22.0,3.0,ML,,,,,,,2.2,0.2,4,,,
1683883,1981-01-12T21:06:25Z,-41.29,0.0,175.31,0.0,27.0,1.0,ML,,,,,,,2.1,0.1,6,,,
1683884,1981-01-13T07:25:28Z,-40.7,0.0,174.5,0.0,17.0,6.0,ML,,,,,,,2.0,0.1,3,,,
1683885,1981-01-13T07:54:33Z,-41.42,0.0,174.07,0.0,40.0,0.0,ML,,,,,,,1.9,0.1,5,,,
1583888,1981-01-13T09:15:18Z,-44.27,0.0,169.92,0.0,10.0,2.0,ML,,,,,,,2.0,0.1,4,,,
1683886,1981-01-13T10:21:24Z,-41.38,0.0,174.26,0.0,25.0,1.0,ML,,,,,,,2.9,0.1,3,2.7,nan,1
1683887,1981-01-13T10:26:56Z,-41.4,0.0,174.26,0.0,25.0,0.0,ML,,,,,,,1.7,0.1,5,,,
1683888,1981-01-13T11:59:43Z,-41.34,0.0,174.95,0.0,10.0,1.0,ML,,,,,,,1.7,0.2,5,,,
1683889,1981-01-13T14:14:39Z,-40.55,0.0,175.01,0.0,31.0,2.0,ML,,,,,,,2.2,0.2,5,,,
1561494,1981-01-13T22:05:35Z,-37.82,0.0,178.73,0.1,44.0,5.0,ML,,,,,,,4.0,0.3,2,,,
1583889,1981-01-14T02:56:40Z,-43.98,0.0,170.4,0.0,6.0,1.0,ML,,,,,,,1.9,0.1,7,,,
1683890,1981-01-14T03:22:20Z,-41.13,0.0,174.76,0.0,34.0,0.0,ML,,,,,,,2.0,0.2,5,,,
1561495,1981-01-14T11:04:00Z,-40.23,0.0,173.48,0.1,171.0,6.0,ML,,,,,,,4.1,0.3,4,,,
1683891,1981-01-14T13:19:30Z,-41.03,0.0,175.37,0.0,27.0,2.0,ML,,,,,,,1.9,0.2,5,,,
1683892,1981-01-14T16:19:07Z,-41.44,0.0,174.98,0.0,23.0,1.0,ML,,,,,,,2.0,0.1,7,,,
1683893,1981-01-15T03:19:59Z,-41.08,0.0,174.06,0.0,58.0,0.0,ML,,,,,,,2.0,0.1,4,,,
1583890,1981-01-15T06:10:21Z,-44.01,0.0,169.78,0.0,11.0,7.0,ML,,,,,,,1.5,0.1,5,,,
1683894,1981-01-15T17:58:52Z,-41.25,0.0,175.03,0.0,20.0,1.0,ML,,,,,,,2.1,0.1,6,,,
1683895,1981-01-16T01:31:25Z,-41.64,0.0,173.75,0.0,68.0,4.0,ML,,,,,,,3.6,nan,1,3.2,0.1,4
1683896,1981-01-16T03:30:54Z,-40.67,0.0,175.16,0.0,34.0,1.0,ML,,,,,,,2.0,0.3,5,,,
1683897,1981-01-16T04:52:36Z,-41.35,0.0,175.07,0.0,28.0,1.0,ML,,,,,,,1.9,0.2,8,,,
1683898,1981-01-16T09:48:05Z,-41.61,0.0,174.26,0.0,20.0,3.0,ML,,,,,,,2.4,0.2,5,2.4,nan,1
1683899,1981-01-17T01:25:15Z,-40.89,0.0,174.98,0.1,35.0,3.0,ML,,,,,,,2.0,0.3,7,,,
1583891,1981-01-17T02:30:12Z,-43.98,0.0,169.56,0.0,4.0,0.0,ML,,,,,,,2.1,0.1,6,,,
1583892,1981-01-17T02:43:57Z,-43.98,0.0,169.56,0.0,4.0,2.0,ML,,,,,,,2.3,0.1,6,,,
1561497,1981-01-17T02:53:55Z,-42.98,0.0,172.44,0.0,12.0,0.0,ML,,,,,,,3.8,0.2,8,,,
1561498,1981-01-17T08:26:47Z,-36.08,0.0,174.16,0.1,12.0,0.0,ML,,,,,,,2.2,0.4,2,,,
