PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount
1542434,1944-01-05T18:15:08Z,-38.17,0.1,178.54,0.1,117.0,12.0,ML,4.3,nan,0
1542435,1944-01-06T09:43:25Z,-41.59,0.0,173.0,0.1,33.0,0.0,ML,4.1,nan,0
1542436,1944-01-06T15:42:33Z,-43.5,0.1,171.12,0.2,12.0,0.0,ML,4.0,nan,0
1542437,1944-01-09T20:01:46Z,-39.92,0.0,176.46,0.0,12.0,0.0,ML,3.3,nan,0
1542438,1944-01-10T04:39:14Z,-39.02,0.0,175.81,0.0,12.0,0.0,ML,4.6,0.3,3
1542439,1944-01-10T04:43:57Z,-38.97,0.1,176.02,0.1,12.0,0.0,ML,3.9,nan,0
1542440,1944-01-12T13:54:05Z,-41.08,0.0,173.99,0.1,12.0,0.0,ML,4.3,nan,0
1542441,1944-01-13T22:19:21Z,-41.13,0.0,176.1,0.1,12.0,0.0,ML,4.8,0.3,3
1542442,1944-01-14T00:08:34Z,-39.75,0.0,177.75,0.2,12.0,0.0,ML,3.8,nan,0
1542443,1944-01-18T11:51:49Z,-42.26,0.0,172.77,0.0,12.0,0.0,ML,3.7,nan,0
1542444,1944-01-28T09:58:14Z,-43.58,0.2,173.18,0.4,12.0,0.0,ML,3.9,nan,0
1542445,1944-01-28T14:47:52Z,-41.25,0.0,176.52,0.0,12.0,0.0,ML,4.3,0.3,3
1542446,1944-01-29T06:39:56Z,-39.7,0.0,175.7,0.0,12.0,0.0,ML,4.4,0.1,3
1542447,1944-01-29T09:25:40Z,-41.1,0.1,176.13,0.1,12.0,0.0,ML,3.4,nan,0
1542448,1944-01-30T03:51:21Z,-41.18,0.1,174.04,0.1,12.0,0.0,ML,3.3,nan,0
1542449,1944-01-31T02:51:41Z,-41.1,0.1,174.0,0.1,12.0,0.0,ML,4.2,0.1,2
1542450,1944-01-31T21:28:51Z,-41.41,0.0,172.93,0.1,12.0,0.0,ML,4.2,0.1,2
1542451,1944-02-02T12:02:54Z,-40.95,0.0,173.79,0.1,12.0,0.0,ML,4.2,0.1,2
1542452,1944-02-06T02:25:07Z,-42.11,0.0,170.92,0.1,12.0,0.0,ML,3.9,0.4,2
1542453,1944-02-07T17:46:25Z,-41.13,0.1,173.67,0.1,108.0,10.0,ML,5.4,0.6,2
1542454,1944-02-12T05:29:27Z,-44.5,0.0,168.0,0.0,12.0,0.0,ML,4.3,nan,0
1542455,1944-02-13T04:04:21Z,-41.47,0.0,172.77,0.0,12.0,0.0,ML,4.1,0.3,2
1542456,1944-02-15T00:38:12Z,-38.55,0.0,176.33,0.0,180.0,3.0,ML,4.8,0.3,2
1542457,1944-02-16T02:12:59Z,-39.49,0.0,176.26,0.0,12.0,0.0,ML,3.5,nan,0
1542458,1944-02-19T17:23:06Z,-39.42,0.0,176.21,0.0,12.0,0.0,ML,4.8,0.2,4
1542459,1944-02-25T03:29:55Z,-40.29,0.0,176.03,0.1,12.0,0.0,ML,4.0,0.1,3
1542460,1944-02-26T23:28:47Z,-40.53,0.1,172.24,0.1,12.0,0.0,ML,4.3,0.3,3
1542461,1944-02-27T06:42:56Z,-40.66,0.0,176.11,0.0,12.0,0.0,ML,4.5,0.3,2
1542462,1944-03-14T11:24:17Z,-37.07,0.1,-179.84,0.1,12.0,0.0,ML,5.3,0.3,3
1542463,1944-03-15T12:16:35Z,-40.93,0.0,173.0,0.0,12.0,0.0,ML,3.9,0.1,2
1542464,1944-03-16T04:17:35Z,-40.41,0.0,172.8,0.1,12.0,0.0,ML,4.6,0.5,3
1542465,1944-03-18T23:43:21Z,-41.02,0.0,172.9,0.1,12.0,0.0,ML,3.9,0.2,2
1542466,1944-03-19T01:28:17Z,-38.8,0.1,176.76,0.1,12.0,0.0,ML,4.6,nan,0
1542467,1944-03-20T09:50:18Z,-39.07,0.0,175.56,0.0,12.0,0.0,ML,4.7,0.2,2
1542468,1944-03-20T09:51:59Z,-38.8,0.0,176.0,0.0,12.0,0.0,ML,4.5,nan,0
1542469,1944-03-20T14:01:04Z,-38.8,0.0,176.0,0.0,12.0,0.0,ML,4.3,nan,0
1542470,1944-03-26T17:53:19Z,-46.5,0.0,167.5,0.0,12.0,0.0,ML,5.2,0.1,2
1542471,1944-03-27T15:23:43Z,-41.64,0.0,172.99,0.0,12.0,0.0,ML,4.5,0.2,3
1542473,1944-03-30T09:55:24Z,-37.99,0.0,177.0,0.1,235.0,5.0,ML,5.0,0.1,2
1542474,1944-04-03T15:59:17Z,-38.1,0.1,175.92,0.2,213.0,14.0,ML,5.4,nan,0
1542475,1944-04-08T06:18:33Z,-39.63,0.0,174.65,0.0,12.0,0.0,ML,5.1,nan,0
1542476,1944-04-08T06:43:35Z,-41.51,0.0,175.3,0.1,12.0,0.0,ML,3.9,0.4,2
1542477,1944-04-13T09:41:57Z,-40.28,0.0,174.8,0.1,12.0,0.0,ML,4.2,0.8,2
1542478,1944-04-15T19:57:46Z,-38.89,0.0,175.94,0.0,12.0,0.0,ML,4.6,0.2,3
1542479,1944-04-17T19:47:27Z,-40.76,0.1,177.34,0.1,12.0,0.0,ML,4.0,nan,0
1542480,1944-04-19T03:05:04Z,-39.67,0.1,178.51,0.1,12.0,0.0,ML,4.7,nan,0
1542481,1944-04-21T03:46:33Z,-40.92,0.0,175.06,0.0,12.0,0.0,ML,4.0,nan,0
1542483,1944-04-22T14:02:26Z,-42.45,0.1,175.8,0.1,12.0,0.0,ML,4.9,0.4,3
1542484,1944-04-23T06:36:10Z,-41.0,0.0,175.7,0.0,12.0,0.0,ML,2.8,nan,0
1542485,1944-04-24T10:13:58Z,-42.07,0.0,173.01,0.1,12.0,0.0,ML,4.0,0.1,2
1542486,1944-04-29T11:30:04Z,-42.0,0.0,175.0,0.0,12.0,0.0,ML,3.7,nan,0
1542487,1944-04-30T09:08:41Z,-39.67,0.0,179.4,0.1,12.0,0.0,ML,4.5,nan,0
1542488,1944-05-09T13:25:39Z,-38.98,0.0,176.84,0.0,12.0,0.0,ML,4.2,0.1,2
1542489,1944-05-14T05:57:09Z,-40.38,0.1,172.99,0.1,33.0,0.0,ML,4.7,0.2,4
1542490,1944-05-16T07:24:34Z,-40.79,0.0,172.88,0.0,12.0,0.0,ML,4.5,0.4,2
1542491,1944-05-17T08:53:25Z,-41.56,0.1,176.01,0.1,12.0,0.0,ML,3.5,nan,0
1542492,1944-05-20T18:39:39Z,-40.19,0.0,174.0,0.0,165.0,1.0,ML,4.2,nan,0
1542493,1944-05-21T12:13:41Z,-38.17,0.1,176.65,0.1,213.0,10.0,ML,5.3,0.1,2
1542494,1944-05-25T06:08:22Z,-38.15,0.1,179.62,0.1,12.0,0.0,ML,4.2,nan,0
1542495,1944-05-29T13:04:15Z,-42.07,0.0,173.46,0.1,12.0,0.0,ML,4.0,0.4,2
1542496,1944-05-30T05:19:23Z,-39.2,0.0,175.61,0.0,12.0,0.0,ML,5.2,0.2,5
1542497,1944-05-30T11:15:18Z,-40.47,0.0,173.96,0.1,33.0,0.0,ML,3.7,0.1,2
1542498,1944-05-31T08:02:04Z,-39.71,0.0,176.72,0.1,12.0,0.0,ML,4.2,nan,0
1542499,1944-06-03T04:00:53Z,-41.68,0.0,173.34,0.0,12.0,0.0,ML,4.2,0.4,2
1542500,1944-06-07T10:22:49Z,-38.66,0.1,177.47,0.2,82.0,13.0,ML,3.4,nan,0
1542501,1944-06-07T17:15:15Z,-39.81,0.1,174.56,0.1,108.0,16.0,ML,4.3,0.1,2
1542502,1944-06-09T03:04:15Z,-41.04,0.1,173.33,0.1,12.0,0.0,ML,3.5,nan,0
1542503,1944-06-09T15:39:11Z,-40.7,0.0,175.18,0.0,12.0,0.0,ML,4.3,nan,0
1542504,1944-06-11T00:55:51Z,-41.22,0.0,172.48,0.0,12.0,0.0,ML,3.6,nan,0
1542505,1944-06-16T06:39:38Z,-41.43,0.0,173.72,0.0,100.0,0.0,ML,3.6,nan,0
1542506,1944-06-17T04:46:54Z,-39.87,0.0,177.13,0.0,12.0,0.0,ML,3.8,nan,0
1542508,1944-06-21T22:57:32Z,-41.0,0.0,172.5,0.0,12.0,0.0,ML,3.3,nan,0
1542509,1944-06-23T08:45:37Z,-41.59,0.1,175.64,0.1,12.0,0.0,ML,3.8,nan,0
1542510,1944-06-26T20:16:51Z,-39.03,0.1,176.84,0.1,12.0,0.0,ML,5.1,0.4,5
1542511,1944-06-27T12:08:52Z,-38.38,0.1,176.87,0.1,12.0,0.0,ML,4.2,0.2,2
1542512,1944-06-28T13:14:05Z,-39.25,0.1,175.37,0.1,226.0,10.0,ML,6.2,0.1,2
1542513,1944-06-29T22:16:08Z,-39.06,0.1,177.31,0.2,12.0,0.0,ML,4.3,0.3,2
