PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1682568,1980-01-01T07:04:05Z,-41.29,0.0,175.24,0.0,26.0,1.0,ML,,,,2.6,0.2,3,2.7,0.2,7
1682569,1980-01-01T07:06:53Z,-41.28,0.0,175.26,0.0,27.0,1.0,ML,,,,1.4,0.3,6,,,
1682570,1980-01-01T09:27:04Z,-40.49,0.0,174.67,0.0,73.0,1.0,ML,,,,3.2,nan,2,3.3,0.2,10
1682571,1980-01-01T11:05:37Z,-41.04,0.0,174.67,0.0,58.0,2.0,ML,,,,1.8,0.2,6,,,
1560660,1980-01-01T18:28:10Z,-37.63,0.1,176.38,0.1,210.0,21.0,ML,,,,4.2,0.1,2,,,
1560661,1980-01-01T20:20:54Z,-40.29,0.1,173.43,0.1,212.0,7.0,ML,,,,4.5,0.3,4,,,
1682572,1980-01-01T20:59:41Z,-41.46,0.0,174.4,0.0,22.0,1.0,ML,,,,2.1,0.2,7,,,
1682573,1980-01-02T04:54:12Z,-41.29,0.0,174.87,0.0,28.0,0.0,ML,,,,2.0,0.1,9,,,
1682574,1980-01-02T18:08:33Z,-41.09,0.0,175.38,0.0,11.0,1.0,ML,,,,1.8,0.2,5,,,
1560662,1980-01-02T18:24:15Z,-38.48,0.0,176.75,0.0,5.0,0.0,ML,,,,3.4,0.2,7,,,
1682575,1980-01-02T21:28:55Z,-41.25,0.0,175.25,0.0,26.0,2.0,ML,,,,2.1,0.2,4,,,
1583540,1980-01-03T17:49:43Z,-44.15,0.0,170.07,0.0,3.0,2.0,ML,,,,2.1,0.2,6,,,
1583541,1980-01-03T21:21:55Z,-44.1,0.0,169.88,0.0,9.0,1.0,ML,,,,2.1,0.1,6,,,
1682576,1980-01-04T01:21:41Z,-40.91,0.0,175.24,0.0,24.0,1.0,ML,,,,2.8,0.1,2,2.5,0.1,2
1560663,1980-01-04T01:28:26Z,-36.66,0.0,177.45,0.1,221.0,6.0,ML,,,,4.8,0.3,6,,,
1682577,1980-01-04T01:38:40Z,-40.83,0.0,174.84,0.0,38.0,3.0,ML,,,,2.1,0.2,5,,,
1560664,1980-01-04T02:29:14Z,-38.71,0.0,175.94,0.0,138.0,6.0,ML,,,,4.0,0.3,5,,,
1682578,1980-01-04T06:43:21Z,-40.98,0.0,175.13,0.0,29.0,1.0,ML,,,,2.0,0.1,4,,,
1682579,1980-01-04T10:20:53Z,-41.62,0.0,174.23,0.0,23.0,1.0,ML,,,,3.2,nan,2,3.6,0.1,4
1583542,1980-01-04T18:52:16Z,-44.2,0.0,169.84,0.0,9.0,1.0,ML,,,,2.4,0.1,6,,,
1583543,1980-01-04T20:32:56Z,-44.33,0.0,169.57,0.0,7.0,1.0,ML,,,,3.3,0.1,3,,,
1682580,1980-01-04T22:43:00Z,-40.99,0.0,174.84,0.0,45.0,2.0,ML,,,,1.8,0.2,6,,,
1583544,1980-01-05T06:59:31Z,-44.32,0.0,169.57,0.0,6.0,1.0,ML,,,,2.1,0.1,5,,,
1682581,1980-01-05T08:51:13Z,-41.23,0.0,175.05,0.0,21.0,1.0,ML,,,,1.7,0.2,5,,,
1682582,1980-01-05T09:02:28Z,-41.37,0.0,175.08,0.0,26.0,1.0,ML,,,,1.5,0.3,7,,,
1560665,1980-01-05T12:15:15Z,-46.69,0.1,165.62,0.1,12.0,0.0,ML,,,,3.9,0.2,5,,,
1682583,1980-01-05T13:55:14Z,-40.94,0.0,174.94,0.0,30.0,2.0,ML,,,,1.6,0.3,6,,,
1560666,1980-01-05T19:10:01Z,-38.7,0.0,175.61,0.0,146.0,7.0,ML,,,,3.5,0.3,5,,,
1682584,1980-01-05T22:20:42Z,-41.25,0.0,175.18,0.0,25.0,0.0,ML,,,,2.4,0.2,4,2.4,0.1,2
