PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1688079,1986-01-14T00:11:22Z,-40.56,0.0,174.65,0.0,41.0,4.0,ML,3.1,0.3,2,2.8,nan,1
1567756,1986-01-14T01:29:40Z,-43.84,0.1,168.83,0.0,33.0,0.0,ML,3.5,0.2,4,,,
1688080,1986-01-14T13:57:53Z,-41.51,0.0,174.21,0.0,3.0,3.0,ML,2.1,0.3,6,2.3,nan,1
1567757,1986-01-14T17:26:22Z,-37.62,0.0,177.2,0.0,5.0,5.0,ML,3.6,0.3,3,,,
1688081,1986-01-15T12:44:42Z,-41.37,0.0,175.11,0.0,28.0,1.0,ML,2.2,0.2,7,,,
1688082,1986-01-16T08:50:23Z,-40.99,0.0,175.62,0.0,29.0,1.0,ML,2.4,0.2,6,2.5,nan,1
1567759,1986-01-16T16:56:19Z,-47.69,0.1,165.45,0.1,33.0,0.0,ML,3.9,0.1,2,,,
1688083,1986-01-16T18:33:16Z,-41.38,0.0,174.54,0.0,58.0,1.0,ML,2.3,0.1,8,,,
1567760,1986-01-16T20:37:50Z,-40.81,0.0,175.14,0.0,25.0,2.0,ML,3.9,0.3,5,,,
1567761,1986-01-16T21:28:20Z,-38.13,0.0,176.3,0.0,1.0,0.0,ML,2.6,nan,1,,,
1567763,1986-01-17T14:12:39Z,-35.6,0.1,179.28,0.2,33.0,0.0,ML,4.5,0.2,5,,,
1567764,1986-01-17T20:46:00Z,-36.87,0.1,177.43,0.1,179.0,10.0,ML,4.2,0.1,2,,,
1688085,1986-01-17T22:38:25Z,-40.96,0.0,175.66,0.0,24.0,2.0,ML,2.1,0.3,5,,,
1688086,1986-01-18T00:33:13Z,-40.72,0.0,174.99,0.0,38.0,5.0,ML,2.3,0.3,7,2.1,nan,1
1567765,1986-01-18T11:40:18Z,-45.28,0.0,166.65,0.1,12.0,0.0,ML,3.5,0.2,3,,,
1688087,1986-01-19T04:10:38Z,-41.25,0.0,175.17,0.0,25.0,1.0,ML,2.5,0.3,4,,,
1688088,1986-01-19T05:52:15Z,-41.39,0.0,174.98,0.0,28.0,0.0,ML,3.3,0.1,2,3.1,0.1,3
1567766,1986-01-19T07:52:11Z,-45.39,0.0,167.21,0.1,78.0,11.0,ML,3.4,0.2,3,,,
1567767,1986-01-19T10:28:53Z,-45.28,0.0,166.91,0.1,12.0,0.0,ML,3.4,0.3,4,,,
1688089,1986-01-19T10:43:12Z,-41.71,0.0,174.49,0.0,31.0,1.0,ML,2.6,0.3,7,2.6,nan,2
1567768,1986-01-20T06:34:53Z,-47.97,0.0,166.04,0.1,33.0,0.0,ML,4.4,0.2,4,,,
1688090,1986-01-20T11:52:56Z,-40.88,0.0,174.73,0.0,13.0,1.0,ML,2.5,0.2,4,2.5,nan,2
1688091,1986-01-20T13:23:00Z,-41.61,0.0,174.66,0.0,50.0,2.0,ML,2.5,0.3,8,2.3,nan,1
1567769,1986-01-20T19:03:58Z,-47.97,0.0,165.96,0.1,33.0,0.0,ML,4.3,0.2,4,,,
1688092,1986-01-20T23:29:41Z,-41.27,0.0,174.43,0.0,60.0,1.0,ML,3.4,0.3,2,3.1,0.3,2
1567771,1986-01-21T01:18:08Z,-38.33,0.0,176.04,0.1,203.0,6.0,ML,4.7,0.2,2,,,
1688093,1986-01-21T08:11:25Z,-40.91,0.0,174.61,0.0,51.0,1.0,ML,2.6,0.1,5,2.7,0.1,2
1567772,1986-01-21T14:22:17Z,-46.14,0.0,165.95,0.1,12.0,0.0,ML,4.2,0.2,3,,,
1688094,1986-01-22T18:02:31Z,-40.68,0.0,174.75,0.0,25.0,1.0,ML,2.1,0.1,6,,,
1688095,1986-01-22T22:32:29Z,-41.2,0.0,174.58,0.0,57.0,0.0,ML,2.7,nan,3,2.6,nan,1
1567773,1986-01-23T01:44:22Z,-40.19,0.0,174.95,0.0,12.0,0.0,ML,4.2,0.3,5,,,
1567774,1986-01-23T06:35:03Z,-47.16,0.1,165.17,0.1,33.0,0.0,ML,4.2,0.1,3,,,
1567775,1986-01-23T14:10:04Z,-37.33,0.1,179.61,0.1,33.0,0.0,ML,3.8,0.2,4,,,
1567776,1986-01-24T16:25:03Z,-45.02,0.1,167.66,0.1,123.0,8.0,ML,3.4,0.2,2,,,
1567777,1986-01-24T19:02:02Z,-44.92,0.0,167.67,0.1,101.0,5.0,ML,4.1,0.2,2,,,
1567778,1986-01-25T03:53:41Z,-37.98,0.1,176.6,0.1,12.0,0.0,ML,3.5,0.4,3,,,
1567779,1986-01-25T04:19:36Z,-37.99,0.1,176.59,0.0,12.0,0.0,ML,3.6,0.4,3,,,
1567780,1986-01-25T11:41:03Z,-37.11,0.1,177.33,0.1,147.0,16.0,ML,4.1,0.2,3,,,
1567781,1986-01-25T17:30:38Z,-38.29,0.1,176.08,0.1,198.0,6.0,ML,4.1,0.1,3,,,
1688096,1986-01-26T16:51:59Z,-41.31,0.0,174.28,0.0,35.0,1.0,ML,2.8,0.2,4,,,
1567782,1986-01-27T03:28:41Z,-39.62,0.0,174.35,0.1,275.0,7.0,ML,4.0,0.2,3,,,
1688098,1986-01-27T11:07:27Z,-42.03,0.1,175.21,0.0,34.0,10.0,ML,3.0,0.3,3,3.1,nan,1
1567784,1986-01-27T16:35:28Z,-42.2,0.0,172.72,0.0,5.0,0.0,ML,3.9,0.2,5,,,
1688099,1986-01-29T03:32:12Z,-41.8,0.0,174.32,0.0,30.0,2.0,ML,2.8,0.4,5,2.7,nan,1
1567785,1986-01-29T19:12:02Z,-37.71,0.0,178.78,0.1,32.0,1.0,ML,3.8,0.2,2,,,
1567786,1986-01-29T20:44:44Z,-37.82,0.1,178.66,0.2,26.0,7.0,ML,3.9,0.1,1,,,
1567787,1986-01-29T22:22:52Z,-37.79,0.0,178.67,0.0,28.0,0.0,ML,3.7,0.2,2,,,
1567788,1986-01-30T09:01:58Z,-40.81,0.0,174.23,0.0,67.0,11.0,ML,3.4,0.1,2,,,
1688101,1986-01-30T14:52:58Z,-41.2,0.0,173.79,0.0,75.0,2.0,ML,2.6,0.2,4,2.4,0.1,2
1567789,1986-02-01T04:59:45Z,-37.8,0.0,178.66,0.1,33.0,0.0,ML,4.0,0.1,4,,,
1567790,1986-02-01T11:05:06Z,-35.91,0.2,179.47,0.2,33.0,0.0,ML,4.5,0.4,3,,,
1567791,1986-02-01T18:27:04Z,-44.19,0.0,169.65,0.0,12.0,0.0,ML,3.4,0.3,3,,,
1567792,1986-02-02T13:42:54Z,-40.39,0.0,173.54,0.1,163.0,8.0,ML,4.0,0.1,3,,,
1567793,1986-02-02T16:39:41Z,-45.17,0.1,167.27,0.1,81.0,14.0,ML,3.5,0.1,2,,,
1567794,1986-02-03T00:25:34Z,-45.07,0.0,167.57,0.0,100.0,3.0,ML,3.5,0.3,3,,,
1688102,1986-02-03T13:27:31Z,-41.22,0.0,174.55,0.0,58.0,1.0,ML,2.4,0.2,7,,,
1567795,1986-02-04T00:34:50Z,-38.36,0.1,176.94,0.1,98.0,17.0,ML,3.5,0.2,1,,,
1567796,1986-02-04T14:35:17Z,-44.54,0.0,170.11,0.0,9.0,4.0,ML,3.4,0.5,2,,,
1688103,1986-02-05T06:56:16Z,-41.45,0.0,173.93,0.0,44.0,2.0,ML,3.1,0.2,3,3.0,0.2,3
1567797,1986-02-05T15:33:20Z,-38.96,0.0,175.46,0.1,129.0,7.0,ML,3.6,0.2,4,,,
1567798,1986-02-05T21:53:50Z,-39.21,0.0,176.2,0.0,90.0,5.0,ML,3.7,0.3,5,,,
1567799,1986-02-05T21:57:31Z,-45.92,0.1,165.68,0.1,33.0,0.0,ML,4.1,0.1,2,,,
1688104,1986-02-06T05:12:13Z,-40.84,0.0,175.07,0.0,32.0,1.0,ML,2.7,0.2,7,2.6,0.2,3
1567800,1986-02-06T11:03:44Z,-35.63,0.1,178.84,0.1,229.0,9.0,ML,4.3,0.3,4,,,
