PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
2178090,1913-02-22T01:06:00Z,-41.8,0.0,171.6,0.0,12.0,0.0,Mw,5.0,nan,0,5.3,nan,0
2178091,1913-04-12T07:42:00Z,-41.0,0.0,175.7,0.0,12.0,0.0,Mw,,,,5.6,nan,0
