PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount
2650489,1926-10-17T00:46:00Z,-39.0,0.0,176.4,0.0,80.0,0.0,Mw,6.0,nan,0
2178117,1926-11-11T22:51:00Z,-37.65,0.0,175.55,0.0,5.0,0.0,Mw,4.6,nan,0
