PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1554364,1972-07-01T07:40:16Z,-37.52,0.0,175.82,0.1,12.0,0.0,ML,4.0,0.4,8,,,
1554365,1972-07-01T08:11:52Z,-37.52,0.0,175.7,0.1,12.0,0.0,ML,4.1,0.4,9,,,
1554366,1972-07-01T08:22:01Z,-39.96,0.0,176.59,0.1,33.0,0.0,ML,3.4,0.4,9,,,
1554368,1972-07-02T05:37:52Z,-45.64,0.1,166.45,0.2,33.0,0.0,ML,4.0,0.2,8,,,
1554369,1972-07-02T17:53:02Z,-38.36,0.1,178.7,0.3,12.0,0.0,ML,4.0,0.2,8,,,
1554370,1972-07-02T20:13:24Z,-45.05,0.1,167.53,0.1,33.0,0.0,ML,4.7,0.3,8,,,
1554371,1972-07-03T07:34:17Z,-41.85,0.1,174.32,0.1,12.0,0.0,ML,4.4,0.3,12,,,
1554372,1972-07-03T21:39:37Z,-40.24,0.0,173.8,0.0,12.0,0.0,ML,3.5,0.4,8,,,
1554373,1972-07-04T06:02:00Z,-41.25,0.0,174.75,0.0,12.0,0.0,ML,3.1,0.4,2,,,
1554374,1972-07-04T08:32:31Z,-40.36,0.0,174.16,0.0,33.0,0.0,ML,3.5,0.3,8,,,
1554375,1972-07-04T11:12:04Z,-41.91,0.1,173.89,0.0,12.0,0.0,ML,3.5,0.5,9,,,
1554376,1972-07-04T12:52:18Z,-38.33,0.0,176.08,0.1,172.0,9.0,ML,4.7,0.3,4,,,
1554377,1972-07-04T18:15:30Z,-38.25,0.1,176.02,0.1,181.0,18.0,ML,3.9,0.4,6,,,
1554378,1972-07-06T16:24:51Z,-38.27,0.1,175.83,0.1,174.0,14.0,ML,3.5,0.2,5,,,
1554379,1972-07-06T16:34:09Z,-38.3,0.1,175.89,0.1,172.0,14.0,ML,3.7,0.2,4,,,
1554380,1972-07-07T05:59:46Z,-40.13,0.0,174.89,0.0,12.0,0.0,ML,3.6,0.3,9,,,
1554383,1972-07-08T05:41:09Z,-38.17,0.0,176.31,0.1,169.0,6.0,ML,3.9,0.3,7,,,
1554384,1972-07-10T09:52:57Z,-41.36,0.0,172.46,0.1,12.0,0.0,ML,4.2,0.4,16,,,
1554385,1972-07-10T09:53:50Z,-41.36,0.0,172.38,0.1,12.0,0.0,ML,4.4,0.4,18,,,
1554386,1972-07-11T00:46:50Z,-37.23,0.1,178.01,0.1,12.0,0.0,ML,5.0,0.2,11,,,
1554387,1972-07-11T01:39:23Z,-41.58,0.0,175.29,0.0,12.0,0.0,ML,3.4,0.2,3,,,
1554389,1972-07-11T08:38:34Z,-38.1,0.1,177.24,0.0,65.0,8.0,ML,3.8,0.2,4,,,
1554390,1972-07-12T13:23:13Z,-45.32,0.0,167.12,0.2,12.0,0.0,ML,4.1,0.2,8,,,
1554391,1972-07-13T00:26:55Z,-44.93,0.0,167.65,0.1,92.0,8.0,ML,3.4,0.3,7,,,
1554392,1972-07-13T05:05:31Z,-38.95,0.0,175.65,0.1,12.0,0.0,ML,3.9,0.4,6,,,
1554393,1972-07-14T16:20:12Z,-43.07,0.0,170.87,0.0,12.0,0.0,ML,3.7,0.3,9,,,
1554394,1972-07-14T20:30:50Z,-38.38,0.0,176.03,0.1,164.0,17.0,ML,3.7,0.5,7,,,
1554395,1972-07-14T23:50:05Z,-38.17,0.0,176.19,0.0,196.0,6.0,ML,4.9,0.2,8,,,
1554396,1972-07-15T09:06:00Z,-37.34,0.1,178.09,0.0,33.0,0.0,ML,3.6,0.3,9,,,
1554397,1972-07-15T15:14:24Z,-38.21,0.0,176.77,0.0,12.0,0.0,ML,3.7,0.3,9,,,
1554399,1972-07-17T10:40:30Z,-35.86,0.1,178.1,0.1,253.0,9.0,ML,4.0,0.2,5,,,
1554400,1972-07-18T17:16:14Z,-37.09,0.1,176.76,0.1,255.0,10.0,ML,4.5,0.3,7,,,
1554401,1972-07-22T08:18:37Z,-40.57,0.0,174.4,0.0,12.0,0.0,ML,3.6,0.3,10,,,
1554403,1972-07-24T21:50:53Z,-39.97,0.0,175.73,0.0,74.0,5.0,ML,3.7,0.3,5,,,
1554404,1972-07-25T03:26:09Z,-38.53,0.1,176.38,0.1,12.0,0.0,ML,2.6,0.3,4,,,
1554406,1972-07-26T12:49:53Z,-38.7,0.0,175.71,0.1,172.0,9.0,ML,4.1,0.4,5,,,
1554407,1972-07-27T12:25:47Z,-38.31,0.0,178.35,0.1,33.0,0.0,ML,4.2,0.3,15,,,
1554408,1972-07-27T18:28:17Z,-38.26,0.0,175.79,0.0,198.0,5.0,ML,4.6,0.3,7,,,
1554409,1972-07-28T12:39:38Z,-36.97,0.0,176.98,0.1,234.0,13.0,ML,3.9,0.4,4,,,
1554410,1972-07-28T13:14:59Z,-37.21,0.1,176.8,0.1,230.0,13.0,ML,4.3,0.5,6,,,
1554411,1972-07-28T20:45:38Z,-45.09,0.1,167.47,0.1,96.0,13.0,ML,4.5,0.4,5,,,
1554412,1972-07-30T12:55:21Z,-37.12,0.1,176.99,0.1,308.0,16.0,ML,4.2,0.3,6,,,
1554413,1972-07-30T23:39:08Z,-40.77,0.0,175.92,0.1,33.0,0.0,ML,5.0,0.3,14,,,
1554415,1972-08-01T13:43:54Z,-38.17,0.1,176.42,0.1,12.0,0.0,ML,3.1,0.3,6,,,
1554416,1972-08-03T10:41:42Z,-38.25,0.0,176.05,0.1,180.0,7.0,ML,4.0,0.4,5,,,
