PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Mb,Mb_Uncertainty,Mb_StationCount
2676647,2007-01-01T00:20:12Z,-38.91,0.0,178.03,0.0,30.0,1.0,ML,,,,2.1,0.2,2,,,
2676657,2007-01-01T00:58:55Z,-37.88,0.0,176.78,0.0,12.0,0.0,ML,,,,1.7,nan,1,,,
2676664,2007-01-01T01:25:12Z,-36.22,0.0,-179.92,0.0,12.0,0.0,ML,,,,3.7,0.1,4,,,
2676674,2007-01-01T02:01:49Z,-37.73,0.0,178.27,0.0,60.0,1.0,ML,,,,2.5,0.1,3,,,
2676729,2007-01-01T05:14:54Z,-37.59,0.1,177.22,0.0,118.0,6.0,ML,,,,2.7,0.1,3,,,
2676732,2007-01-01T05:22:10Z,-41.29,0.0,174.84,0.0,26.0,2.0,ML,,,,1.9,0.1,5,,,
2676739,2007-01-01T05:50:09Z,-40.92,0.0,175.62,0.0,12.0,0.0,ML,,,,1.9,0.2,5,,,
2676746,2007-01-01T06:07:54Z,-39.63,0.0,176.02,0.0,33.0,0.0,ML,,,,1.9,0.1,5,,,
2918973,2007-01-01T06:08:19Z,-40.11,0.0,174.94,0.0,53.0,6.0,ML,,,,2.3,0.2,5,,,
2676759,2007-01-01T06:51:38Z,-44.57,0.0,167.47,0.0,12.0,0.0,ML,,,,2.6,0.2,10,,,
2676790,2007-01-01T08:30:12Z,-39.47,0.0,175.68,0.0,18.0,1.0,ML,,,,2.3,0.1,16,,,
2676806,2007-01-01T09:25:56Z,-37.18,0.0,177.42,0.0,5.0,0.0,ML,,,,2.7,0.1,5,,,
2676814,2007-01-01T09:46:52Z,-41.82,0.0,174.12,0.0,17.0,2.0,ML,,,,2.1,0.2,9,,,
2676823,2007-01-01T10:24:53Z,-45.15,0.0,166.93,0.0,23.0,2.0,ML,,,,2.1,0.1,4,,,
2676830,2007-01-01T10:49:20Z,-45.2,0.0,166.79,0.0,21.0,2.0,ML,,,,2.4,0.2,4,,,
2676838,2007-01-01T11:15:58Z,-35.48,0.1,179.52,0.3,271.0,10.0,ML,,,,3.6,0.2,8,,,
2676848,2007-01-01T11:44:05Z,-39.46,0.0,175.71,0.0,14.0,1.0,ML,,,,2.2,0.1,11,,,
2676853,2007-01-01T12:07:00Z,-40.86,0.0,174.29,0.0,48.0,3.0,ML,,,,2.3,0.2,9,,,
2676869,2007-01-01T13:01:06Z,-38.32,0.0,176.27,0.0,5.0,0.0,ML,,,,2.2,0.2,5,,,
2676871,2007-01-01T13:04:48Z,-38.33,0.0,176.28,0.0,5.0,0.0,ML,,,,1.6,nan,1,,,
2676888,2007-01-01T14:07:37Z,-39.93,0.0,174.63,0.0,112.0,3.0,ML,,,,2.7,0.2,7,,,
2676892,2007-01-01T14:20:56Z,-38.42,0.0,179.06,0.0,12.0,0.0,ML,,,,2.2,0.0,3,,,
2921342,2007-01-01T14:22:12Z,-41.05,0.0,172.48,0.0,5.0,0.0,ML,,,,2.3,0.4,6,,,
2676893,2007-01-01T14:24:28Z,-40.16,0.0,176.48,0.0,59.0,3.0,ML,,,,2.2,0.1,3,,,
2921347,2007-01-01T14:27:44Z,-45.13,0.0,166.94,0.0,23.0,1.0,ML,,,,2.3,0.1,4,,,
2676924,2007-01-01T16:15:45Z,-45.29,0.0,167.28,0.0,72.0,1.0,ML,,,,3.2,0.1,7,,,
2676926,2007-01-01T16:18:56Z,-39.15,0.0,177.76,0.0,20.0,1.0,ML,,,,2.0,0.3,3,,,
2676937,2007-01-01T16:58:56Z,-45.21,0.0,167.36,0.0,115.0,2.0,ML,,,,2.7,0.3,8,,,
2676952,2007-01-01T17:43:43Z,-38.15,0.1,176.05,0.0,217.0,14.0,ML,,,,3.7,0.2,7,,,
2676960,2007-01-01T18:03:17Z,-45.08,0.0,167.44,0.0,123.0,3.0,ML,,,,2.9,0.2,11,,,
2921354,2007-01-01T18:04:33Z,-45.08,0.0,167.5,0.0,84.0,2.0,ML,,,,2.6,0.2,8,,,
2676978,2007-01-01T19:08:14Z,-44.15,0.0,168.66,0.0,5.0,0.0,ML,,,,2.2,0.2,7,,,
2676985,2007-01-01T19:32:05Z,-37.84,0.0,176.8,0.0,5.0,0.0,ML,,,,2.1,0.1,3,,,
2677011,2007-01-01T21:01:54Z,-39.26,0.0,175.19,0.0,12.0,0.0,ML,,,,2.4,0.2,17,,,
2677012,2007-01-01T21:04:21Z,-37.93,0.0,176.4,0.0,132.0,2.0,ML,,,,3.1,0.3,4,,,
2921392,2007-01-01T21:04:30Z,-43.06,0.0,171.38,0.0,5.0,0.0,ML,,,,2.3,0.4,8,,,
2921386,2007-01-01T21:06:00Z,-41.41,0.0,173.68,0.0,61.0,3.0,ML,,,,2.9,0.1,9,,,
2677024,2007-01-01T21:45:03Z,-37.83,0.0,176.81,0.0,5.0,0.0,ML,,,,1.9,0.2,2,,,
2677049,2007-01-01T22:57:23Z,-39.74,0.0,175.6,0.0,22.0,1.0,ML,,,,2.4,0.1,13,,,
2677067,2007-01-01T23:56:04Z,-44.73,0.0,167.95,0.0,96.0,4.0,ML,,,,2.5,0.2,7,,,
2677070,2007-01-02T00:09:30Z,-38.92,0.0,175.79,0.0,8.0,1.0,ML,,,,1.5,0.1,3,,,
2677093,2007-01-02T01:19:35Z,-41.62,0.0,174.67,0.0,33.0,0.0,ML,,,,2.3,0.1,6,,,
2677121,2007-01-02T02:43:11Z,-40.19,0.0,173.64,0.0,167.0,4.0,ML,,,,3.5,0.3,8,,,
2677134,2007-01-02T03:27:44Z,-38.75,0.0,175.76,0.0,117.0,1.0,Mw,4.4,nan,0,5.0,0.2,23,,,
2677150,2007-01-02T04:23:35Z,-46.02,0.0,167.22,0.0,31.0,2.0,ML,,,,2.1,0.4,2,,,
2677166,2007-01-02T05:15:55Z,-45.56,0.0,167.51,0.0,17.0,1.0,ML,,,,1.8,0.1,3,,,
2677185,2007-01-02T06:07:17Z,-37.02,0.0,177.04,0.1,199.0,3.0,ML,,,,3.8,0.2,12,,,
2677200,2007-01-02T06:55:32Z,-37.85,0.0,176.8,0.0,5.0,0.0,ML,,,,1.7,0.2,2,,,
2677240,2007-01-02T09:08:05Z,-37.74,0.0,176.39,0.0,133.0,3.0,ML,,,,2.4,0.2,4,,,
2677254,2007-01-02T09:57:13Z,-44.25,0.0,168.51,0.0,5.0,0.0,ML,,,,1.9,0.2,3,,,
2677263,2007-01-02T10:38:42Z,-38.36,0.1,176.15,0.2,177.0,8.0,ML,,,,2.7,0.1,6,,,
2677280,2007-01-02T11:32:20Z,-40.39,0.0,174.12,0.0,81.0,4.0,ML,,,,2.4,0.1,3,,,
2677287,2007-01-02T11:56:52Z,-40.71,0.0,174.63,0.0,43.0,2.0,ML,,,,2.2,0.2,6,,,
2677300,2007-01-02T12:41:19Z,-41.86,0.0,174.16,0.0,30.0,2.0,ML,,,,2.5,0.1,15,,,
2677304,2007-01-02T12:56:32Z,-45.16,0.0,166.96,0.0,12.0,0.0,ML,,,,2.1,0.2,6,,,
2677309,2007-01-02T13:11:22Z,-47.59,0.2,164.89,0.1,33.0,0.0,ML,,,,2.5,nan,1,,,
2677311,2007-01-02T13:22:57Z,-38.03,0.1,176.33,0.3,173.0,13.0,ML,,,,2.7,0.1,4,,,
2677319,2007-01-02T13:53:37Z,-44.88,0.0,166.64,0.0,5.0,0.0,ML,,,,2.3,0.2,8,,,
2677323,2007-01-02T14:06:48Z,-37.53,0.1,177.21,0.2,244.0,6.0,ML,,,,3.2,0.2,6,,,
2677327,2007-01-02T14:27:32Z,-38.67,0.0,178.37,0.1,33.0,0.0,ML,,,,2.3,0.5,3,,,
2677330,2007-01-02T14:40:46Z,-37.48,0.0,178.24,0.0,33.0,0.0,ML,,,,2.7,0.3,6,,,
2677336,2007-01-02T14:57:42Z,-39.91,0.0,176.69,0.0,47.0,2.0,ML,,,,2.6,0.1,6,,,
2677339,2007-01-02T15:03:20Z,-41.18,0.0,174.56,0.0,34.0,1.0,ML,,,,2.2,0.1,7,,,
2677355,2007-01-02T15:53:16Z,-38.19,0.0,178.89,0.1,33.0,0.0,ML,,,,2.9,0.2,5,,,
2677364,2007-01-02T16:27:31Z,-38.48,0.0,178.26,0.0,27.0,1.0,ML,,,,3.4,0.3,5,,,
2677373,2007-01-02T17:03:36Z,-39.28,0.0,175.56,0.0,0.0,0.0,ML,,,,1.2,0.2,4,,,
2677394,2007-01-02T18:17:36Z,-40.92,0.0,174.98,0.0,55.0,1.0,ML,,,,2.3,0.2,6,,,
2677401,2007-01-02T18:38:38Z,-38.85,0.0,178.11,0.0,27.0,3.0,ML,,,,2.4,0.1,3,,,
2677427,2007-01-02T20:03:26Z,-38.43,0.0,177.9,0.0,25.0,3.0,ML,,,,2.8,0.2,4,,,
2677438,2007-01-02T20:40:47Z,-41.19,0.0,174.63,0.0,32.0,1.0,ML,,,,1.8,0.2,5,,,
2677450,2007-01-02T21:22:02Z,-37.4,0.0,177.56,0.0,76.0,5.0,ML,,,,3.3,0.2,4,,,
2677453,2007-01-02T21:32:35Z,-45.53,0.0,167.01,0.0,80.0,2.0,ML,,,,2.2,0.3,2,,,
2677461,2007-01-02T22:06:48Z,-45.88,0.0,166.7,0.0,33.0,0.0,ML,,,,2.6,0.3,2,,,
2677479,2007-01-02T23:01:28Z,-40.76,0.0,176.26,0.0,26.0,1.0,ML,,,,2.6,0.2,3,,,
2677486,2007-01-02T23:22:41Z,-37.96,0.1,176.26,0.1,179.0,9.0,ML,,,,3.6,0.2,9,,,
2920525,2007-01-02T23:23:36Z,-41.29,0.0,173.35,0.0,99.0,1.0,ML,,,,2.3,nan,1,,,
2677491,2007-01-02T23:39:37Z,-41.21,0.0,172.57,0.0,5.0,0.0,ML,,,,2.5,0.2,9,,,
2677494,2007-01-02T23:51:55Z,-40.79,0.0,174.73,0.0,41.0,1.0,ML,,,,2.3,0.2,6,,,
2677500,2007-01-03T00:15:11Z,-45.73,0.0,167.14,0.0,5.0,0.0,ML,,,,2.3,0.2,3,,,
2677501,2007-01-03T00:21:33Z,-40.3,0.0,176.14,0.0,55.0,3.0,ML,,,,3.0,0.2,9,,,
2677522,2007-01-03T01:39:39Z,-40.93,0.0,174.63,0.0,61.0,1.0,ML,,,,2.0,0.1,3,,,
2677553,2007-01-03T03:06:06Z,-39.54,0.0,175.68,0.0,16.0,1.0,ML,,,,2.0,0.1,8,,,
2677576,2007-01-03T04:03:47Z,-41.08,0.0,175.13,0.0,29.0,1.0,ML,,,,2.0,0.1,7,,,
2677586,2007-01-03T04:32:07Z,-35.6,0.1,178.3,0.1,215.0,8.0,ML,,,,3.9,0.2,6,,,
2677602,2007-01-03T05:29:24Z,-38.44,0.0,177.96,0.0,25.0,2.0,ML,,,,2.9,0.2,4,,,
2677603,2007-01-03T05:33:46Z,-41.63,0.0,173.88,0.0,36.0,3.0,ML,,,,2.5,0.2,11,,,
2677606,2007-01-03T05:47:41Z,-37.76,0.0,177.65,0.0,54.0,6.0,ML,,,,2.7,0.2,4,,,
2677625,2007-01-03T06:56:11Z,-39.99,0.0,176.63,0.0,39.0,6.0,ML,,,,2.5,0.2,5,,,
2677639,2007-01-03T07:37:01Z,-39.81,0.0,176.69,0.1,56.0,8.0,ML,,,,2.5,0.1,2,,,
2920487,2007-01-03T07:39:07Z,-39.16,0.0,175.63,0.0,1.0,0.0,ML,,,,1.3,0.0,1,,,
2920488,2007-01-03T07:40:13Z,-45.27,0.0,167.34,0.0,78.0,5.0,ML,,,,2.4,0.2,6,,,
2677640,2007-01-03T07:46:45Z,-40.21,0.0,176.48,0.0,42.0,4.0,ML,,,,2.8,0.2,5,,,
2677659,2007-01-03T08:52:20Z,-40.58,0.0,174.41,0.0,61.0,3.0,ML,,,,2.1,0.2,6,,,
2677661,2007-01-03T08:56:21Z,-40.31,0.0,176.36,0.0,31.0,2.0,ML,,,,2.5,0.3,7,,,
2677670,2007-01-03T09:22:47Z,-39.16,0.0,175.63,0.0,1.0,0.0,ML,,,,1.3,0.1,2,,,
2920497,2007-01-03T09:23:15Z,-45.32,0.0,170.06,0.0,12.0,0.0,ML,,,,1.9,0.2,5,,,
2677673,2007-01-03T09:33:07Z,-45.2,0.0,167.3,0.0,91.0,1.0,ML,,,,2.3,0.1,2,,,
2677694,2007-01-03T10:43:04Z,-39.31,0.0,174.84,0.0,33.0,0.0,ML,,,,1.8,0.1,7,,,
2677698,2007-01-03T11:03:07Z,-41.74,0.0,173.97,0.0,16.0,1.0,ML,,,,1.5,0.1,5,,,
2677699,2007-01-03T11:06:38Z,-41.57,0.0,172.87,0.0,82.0,2.0,ML,,,,1.5,nan,1,,,
2677703,2007-01-03T11:14:48Z,-40.8,0.0,176.0,0.0,45.0,1.0,ML,,,,2.4,0.2,9,,,
2677705,2007-01-03T11:22:53Z,-41.61,0.0,173.99,0.0,15.0,2.0,ML,,,,2.2,0.2,14,,,
2677715,2007-01-03T12:04:04Z,-42.28,0.0,173.01,0.0,12.0,0.0,ML,,,,1.6,0.1,3,,,
2677717,2007-01-03T12:09:01Z,-39.16,0.0,175.63,0.0,1.0,0.0,ML,,,,1.1,0.1,1,,,
2920547,2007-01-03T12:11:52Z,-40.59,0.0,174.86,0.0,12.0,0.0,ML,,,,1.7,0.2,5,,,
2677719,2007-01-03T12:18:12Z,-37.95,0.0,177.23,0.0,53.0,6.0,ML,,,,2.2,0.2,3,,,
2677721,2007-01-03T12:23:55Z,-47.62,0.1,165.57,0.1,33.0,0.0,ML,,,,2.8,0.3,3,,,
2677724,2007-01-03T12:35:24Z,-43.6,0.0,169.49,0.0,5.0,0.0,ML,,,,2.8,0.3,15,,,
2677732,2007-01-03T13:03:35Z,-46.17,0.0,166.53,0.0,57.0,10.0,ML,,,,2.3,0.3,3,,,
2677733,2007-01-03T13:07:59Z,-45.32,0.0,166.9,0.0,12.0,0.0,ML,,,,3.1,0.1,5,,,
2677734,2007-01-03T13:11:04Z,-41.93,0.0,173.99,0.0,15.0,3.0,ML,,,,2.0,0.2,10,,,
2677735,2007-01-03T13:13:43Z,-44.34,0.0,169.59,0.0,5.0,0.0,ML,,,,1.5,0.1,4,,,
2677745,2007-01-03T13:53:31Z,-39.47,0.0,175.73,0.0,11.0,1.0,ML,,,,2.2,0.1,11,,,
2677757,2007-01-03T14:40:56Z,-43.08,0.0,173.9,0.0,12.0,0.0,ML,,,,2.4,0.2,6,,,
2677770,2007-01-03T15:39:30Z,-39.38,0.1,178.51,0.1,33.0,0.0,ML,,,,2.8,0.1,3,,,
2677773,2007-01-03T15:46:50Z,-38.56,0.0,177.16,0.0,28.0,2.0,ML,,,,2.4,0.3,4,,,
2677777,2007-01-03T16:01:36Z,-36.59,0.1,178.24,0.1,217.0,9.0,ML,,,,2.8,0.2,4,,,
2677779,2007-01-03T16:07:58Z,-38.36,0.0,177.21,0.0,40.0,4.0,ML,,,,2.1,0.2,3,,,
2677783,2007-01-03T16:27:02Z,-41.93,0.0,174.88,0.0,12.0,0.0,ML,,,,2.2,0.2,7,,,
2677784,2007-01-03T16:31:49Z,-41.18,0.0,175.2,0.0,24.0,1.0,ML,,,,2.4,0.1,12,,,
2920882,2007-01-03T16:32:17Z,-45.28,0.0,166.9,0.0,24.0,1.0,ML,,,,2.2,0.2,3,,,
2677798,2007-01-03T17:30:03Z,-38.66,0.0,176.05,0.0,5.0,0.0,ML,,,,1.4,0.2,2,,,
2677799,2007-01-03T17:32:51Z,-41.63,0.0,173.98,0.0,19.0,1.0,ML,,,,1.7,0.2,4,,,
2677820,2007-01-03T18:31:44Z,-41.85,0.0,174.08,0.0,14.0,1.0,ML,,,,2.7,0.2,11,,,
2677821,2007-01-03T18:34:40Z,-38.05,0.1,176.89,0.0,33.0,0.0,ML,,,,2.9,0.3,2,,,
2677823,2007-01-03T18:44:12Z,-45.75,0.0,167.11,0.0,5.0,0.0,ML,,,,2.2,0.2,2,,,
2921438,2007-01-03T18:46:21Z,-40.09,0.0,176.44,0.0,28.0,1.0,ML,,,,2.1,0.2,5,,,
2677832,2007-01-03T19:22:52Z,-45.14,0.0,167.49,0.0,75.0,2.0,ML,,,,1.9,0.2,4,,,
2677833,2007-01-03T19:27:53Z,-41.1,0.0,175.05,0.0,29.0,1.0,ML,,,,2.2,0.1,9,,,
2677837,2007-01-03T19:40:09Z,-44.06,0.0,169.56,0.0,12.0,0.0,ML,,,,1.5,0.2,3,,,
2677852,2007-01-03T20:32:11Z,-36.36,0.0,178.12,0.1,33.0,0.0,ML,,,,3.5,0.2,5,,,
2677853,2007-01-03T20:35:48Z,-36.85,0.1,179.24,0.1,33.0,0.0,ML,,,,3.5,0.1,4,,,
2921461,2007-01-03T21:17:00Z,-39.5,0.0,175.65,0.0,20.0,1.0,ML,,,,1.7,0.1,9,,,
2677868,2007-01-03T21:30:09Z,-37.89,0.0,176.76,0.0,5.0,0.0,ML,,,,2.0,0.2,3,,,
2677882,2007-01-03T22:29:47Z,-45.79,0.0,166.55,0.1,5.0,0.0,ML,,,,2.7,0.2,8,,,
2677886,2007-01-03T22:44:51Z,-35.49,0.1,178.13,0.1,172.0,17.0,ML,,,,3.4,0.2,3,,,
