PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1545399,1956-03-10T20:15:45Z,-44.68,0.3,167.47,0.3,33.0,0.0,ML,,,,4.8,0.3,4,,,,,,
1545400,1956-03-13T17:26:26Z,-43.5,0.2,167.63,0.2,33.0,0.0,ML,,,,4.6,0.2,3,,,,,,
1545401,1956-03-14T11:29:17Z,-36.71,0.0,178.01,0.1,12.0,0.0,ML,,,,5.3,nan,1,,,,,,
1545402,1956-03-14T14:19:12Z,-36.47,0.2,177.48,0.2,12.0,0.0,ML,,,,5.6,nan,1,,,,,,
1545403,1956-03-14T14:39:34Z,-36.75,0.7,177.55,0.8,12.0,0.0,ML,,,,5.2,nan,1,,,,,,
1545404,1956-03-14T15:38:46Z,-36.51,0.2,177.34,0.3,12.0,0.0,ML,,,,5.5,0.4,3,,,,,,
1545405,1956-03-14T15:43:25Z,-36.23,0.2,177.15,0.3,12.0,0.0,ML,,,,5.9,0.6,3,,,,,,
1545406,1956-03-14T15:48:35Z,-37.36,0.1,178.01,0.3,12.0,0.0,ML,,,,4.4,0.6,2,,,,,,
1545407,1956-03-14T16:14:02Z,-36.42,0.3,176.96,0.7,12.0,0.0,ML,,,,5.3,0.3,3,,,,,,
1545408,1956-03-14T16:17:13Z,-36.7,0.0,177.7,0.0,12.0,0.0,ML,,,,5.0,nan,1,,,,,,
1545409,1956-03-14T19:29:54Z,-40.39,0.0,176.11,0.1,33.0,0.0,ML,,,,4.4,0.3,3,,,,,,
1545410,1956-03-15T08:47:04Z,-37.68,0.1,178.1,0.3,100.0,0.0,ML,,,,4.7,nan,1,,,,,,
1545411,1956-03-15T17:58:42Z,-36.91,0.2,177.52,0.6,12.0,0.0,ML,,,,5.3,0.4,4,,,,,,
1545412,1956-03-16T08:40:50Z,-36.51,0.1,177.72,0.2,12.0,0.0,ML,,,,5.4,0.7,6,,,,,,
1545413,1956-03-16T09:58:54Z,-41.59,0.2,175.18,0.2,12.0,0.0,ML,,,,4.2,0.5,5,,,,,,
1545414,1956-03-16T13:44:10Z,-36.65,0.1,177.77,0.1,12.0,0.0,ML,,,,5.2,0.7,6,,,,,,
1545415,1956-03-16T14:07:01Z,-36.39,0.2,177.79,0.2,12.0,0.0,ML,,,,4.9,0.6,6,,,,,,
1545416,1956-03-17T02:09:32Z,-36.49,0.2,177.57,0.2,12.0,0.0,ML,,,,5.5,0.7,4,,,,,,
1545417,1956-03-17T19:24:50Z,-36.7,0.0,177.7,0.0,12.0,0.0,ML,,,,5.3,0.8,3,,,,,,
1545418,1956-03-19T03:44:35Z,-39.81,0.1,173.94,0.1,132.0,18.0,ML,,,,4.5,0.1,2,,,,,,
1545419,1956-03-21T15:32:44Z,-38.81,0.0,175.7,0.1,12.0,0.0,ML,,,,4.2,0.3,6,,,,,,
1545420,1956-03-21T18:31:59Z,-38.87,0.1,175.83,0.1,12.0,0.0,ML,,,,3.6,0.2,3,,,,,,
1545421,1956-03-24T16:12:29Z,-37.97,0.0,176.65,0.0,33.0,0.0,ML,,,,3.6,nan,1,,,,,,
1545422,1956-03-25T23:18:02Z,-38.22,0.2,175.51,0.5,203.0,34.0,ML,,,,4.3,nan,1,,,,,,
1545423,1956-03-27T02:38:52Z,-40.98,0.0,174.27,0.0,33.0,0.0,ML,,,,5.6,0.3,5,,,,,,
1545425,1956-03-31T03:26:20Z,-40.9,0.1,174.54,0.1,39.0,29.0,ML,,,,3.8,0.8,2,,,,,,
1545426,1956-04-04T17:10:24Z,-38.08,0.1,175.76,0.1,112.0,14.0,ML,,,,4.0,nan,1,,,,,,
1545427,1956-04-05T20:24:41Z,-39.84,0.1,177.87,0.2,12.0,0.0,ML,,,,4.1,0.2,5,,,,,,
1545428,1956-04-07T18:04:48Z,-36.47,0.2,177.01,0.2,12.0,0.0,ML,,,,5.9,0.1,2,,,,,,
1545429,1956-04-07T18:43:18Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.7,nan,1,,,,,,
1545430,1956-04-07T18:50:15Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.6,nan,1,,,,,,
1545431,1956-04-07T19:11:41Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.7,nan,1,,,,,,
1545432,1956-04-07T19:44:37Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.6,nan,1,,,,,,
1545433,1956-04-07T21:30:59Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.6,nan,1,,,,,,
1545434,1956-04-07T21:48:57Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.6,nan,1,,,,,,
1545435,1956-04-07T22:21:24Z,-36.52,0.1,176.87,0.1,12.0,0.0,ML,,,,4.9,0.3,4,,,,,,
1545436,1956-04-08T13:52:17Z,-36.6,0.1,177.11,0.3,12.0,0.0,ML,,,,5.0,nan,1,,,,,,
1545437,1956-04-08T18:28:36Z,-39.95,0.0,174.38,0.1,117.0,11.0,ML,,,,5.0,0.2,2,,,,,,
1545438,1956-04-08T20:37:45Z,-36.0,0.0,177.0,0.0,12.0,0.0,ML,,,,4.8,0.4,2,,,,,,
1545439,1956-04-11T09:28:41Z,-38.92,0.1,178.03,0.1,33.0,0.0,ML,,,,4.3,0.4,3,,,,,,
1545440,1956-04-13T21:06:28Z,-40.28,0.1,174.31,0.1,86.0,28.0,ML,,,,4.0,nan,1,,,,,,
1545441,1956-04-14T03:12:28Z,-38.45,0.0,175.86,0.1,158.0,6.0,ML,,,,3.8,0.1,2,,,,,,
1545442,1956-04-16T02:19:39Z,-37.64,0.3,177.51,0.5,318.0,28.0,ML,,,,5.0,nan,1,,,,,,
1545443,1956-04-18T19:10:37Z,-37.9,0.1,178.34,0.5,137.0,33.0,ML,,,,4.7,0.1,2,,,,,,
1545444,1956-04-19T09:30:38Z,-37.69,0.1,178.73,0.1,33.0,0.0,ML,,,,5.0,0.2,8,,,,,,
1545445,1956-04-20T18:43:51Z,-41.93,0.0,172.92,0.0,12.0,0.0,ML,,,,4.3,0.2,5,,,,,,
1545446,1956-04-25T13:22:54Z,-38.12,0.1,176.2,0.1,166.0,11.0,ML,,,,4.2,0.2,2,,,,,,
1545448,1956-04-29T01:11:46Z,-41.42,0.0,174.69,0.0,33.0,0.0,ML,,,,3.8,0.1,2,,,,,,
1545449,1956-05-01T18:19:46Z,-40.08,0.0,175.17,0.1,12.0,0.0,ML,,,,4.3,0.3,5,,,,,,
1545450,1956-05-05T11:24:50Z,-38.93,0.0,177.39,0.1,73.0,7.0,ML,,,,4.4,nan,1,,,,,,
1545451,1956-05-07T10:11:51Z,-41.08,0.0,174.36,0.0,55.0,7.0,ML,,,,4.2,nan,1,,,,,,
