PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Mb,Mb_Uncertainty,Mb_StationCount
2425736,2005-07-01T00:43:25Z,-36.34,0.0,177.88,0.0,221.0,4.0,ML,,,,4.3,0.3,19,,,
2425751,2005-07-01T01:29:56Z,-37.53,0.0,175.73,0.0,9.0,2.0,ML,,,,2.9,0.1,8,,,
2425754,2005-07-01T01:37:56Z,-37.54,0.0,175.73,0.0,12.0,0.0,ML,,,,2.3,0.2,2,,,
2425764,2005-07-01T02:05:17Z,-38.97,0.0,176.73,0.0,45.0,2.0,ML,,,,2.8,0.2,6,,,
2425766,2005-07-01T02:12:11Z,-37.42,0.1,176.49,0.1,317.0,5.0,ML,,,,3.6,0.4,9,,,
2425782,2005-07-01T02:48:12Z,-37.53,0.0,175.72,0.0,10.0,1.0,ML,,,,2.9,0.2,10,,,
2425784,2005-07-01T02:52:00Z,-41.93,0.0,173.87,0.0,12.0,0.0,ML,,,,2.3,0.2,11,,,
2425793,2005-07-01T03:17:42Z,-41.08,0.0,175.07,0.0,29.0,1.0,ML,,,,1.8,0.1,4,,,
2653071,2005-07-01T03:18:49Z,-37.54,0.0,175.73,0.0,12.0,0.0,ML,,,,2.1,0.1,2,,,
2425801,2005-07-01T03:28:23Z,-41.55,0.0,174.39,0.0,12.0,0.0,ML,,,,1.9,0.1,8,,,
2425802,2005-07-01T03:32:17Z,-41.14,0.0,174.81,0.0,28.0,1.0,ML,,,,2.1,0.1,8,,,
2425811,2005-07-01T03:51:38Z,-37.14,0.0,175.02,0.0,9.0,2.0,ML,,,,2.2,0.2,6,,,
2425813,2005-07-01T03:57:42Z,-39.55,0.0,175.67,0.0,18.0,2.0,ML,,,,1.4,0.1,4,,,
2425830,2005-07-01T04:35:36Z,-39.85,0.0,176.76,0.0,52.0,3.0,ML,,,,2.7,0.2,8,,,
