PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2014p489195,2014-07-01T00:03:42Z,-40.61,0.7,175.71,1.1,30.0,1.0,M,,,,2.5,0.2,7,2.3,nan,8,,,,2.3,0.4,8
2014p489409,2014-07-01T01:57:14Z,-41.9,1.2,174.51,1.6,37.0,2.0,M,,,,3.0,0.2,17,2.8,nan,17,,,,2.8,0.3,17
2014p490200,2014-07-01T08:58:42Z,-40.3,2.6,173.48,4.4,173.0,5.0,M,,,,,,,2.7,nan,12,,,,2.7,0.4,12
2014p490413,2014-07-01T10:52:31Z,-38.1,1.2,177.88,1.4,70.0,2.0,M,,,,3.0,0.2,28,2.8,nan,28,,,,2.8,0.2,28
2014p490567,2014-07-01T12:14:11Z,-38.19,3.3,175.9,12.3,181.0,7.0,M,,,,,,,2.6,nan,13,,,,2.6,0.3,13
2014p490857,2014-07-01T14:48:46Z,-40.97,4.3,172.79,5.7,229.0,5.0,M,,,,,,,2.6,nan,12,,,,2.6,0.3,12
2014p491439,2014-07-01T19:58:44Z,-38.3,2.0,176.1,2.2,155.0,4.0,M,,,,,,,3.0,nan,40,,,,3.0,0.2,40
2014p491807,2014-07-01T23:14:53Z,-43.6,8.7,172.38,5.6,5.0,0.0,M,,,,2.6,0.3,6,2.5,nan,6,,,,2.5,0.3,6
2014p492027,2014-07-02T01:12:26Z,-36.61,11.6,177.4,19.1,195.0,15.0,M,,,,,,,2.6,nan,10,,,,2.6,0.2,10
2014p492310,2014-07-02T03:42:57Z,-40.13,1.0,175.31,1.1,21.0,2.0,M,,,,3.1,0.2,25,2.8,nan,25,,,,2.8,0.3,25
2014p492587,2014-07-02T06:10:29Z,-36.17,4.7,179.5,8.3,33.0,0.0,M,,,,3.6,0.3,13,3.4,nan,13,,,,3.4,0.3,13
2014p492845,2014-07-02T08:28:15Z,-38.64,4.4,178.7,3.0,33.0,0.0,M,,,,2.8,0.1,13,2.6,nan,17,,,,2.6,0.3,17
2014p492846,2014-07-02T08:28:31Z,-36.8,5.8,177.5,5.4,170.0,7.0,M,,,,,,,3.0,nan,15,,,,3.0,0.3,15
2014p493470,2014-07-02T14:01:38Z,-39.02,9.5,175.64,4.2,111.0,7.0,M,,,,1.2,0.5,2,1.6,nan,7,,,,1.6,0.7,7
2014p493529,2014-07-02T14:32:18Z,-40.61,0.8,176.37,1.6,22.0,1.0,M,,,,3.4,0.2,14,3.2,nan,14,,,,3.2,0.2,14
2014p493745,2014-07-02T16:27:51Z,-38.22,5.6,176.03,11.4,175.0,9.0,M,,,,2.7,0.2,9,2.5,nan,12,,,,2.5,0.4,12
2014p493776,2014-07-02T16:44:13Z,-40.09,1.6,174.16,2.8,102.0,4.0,M,,,,2.9,0.3,12,2.4,nan,8,,,,2.4,0.2,8
2014p493814,2014-07-02T17:04:11Z,-36.39,13.1,179.89,21.9,33.0,0.0,M,,,,3.4,0.2,10,3.2,nan,10,,,,3.2,0.3,10
2014p494119,2014-07-02T19:46:57Z,-39.38,4.2,175.8,3.5,31.0,7.0,M,,,,1.2,0.3,7,1.3,nan,7,,,,1.3,0.3,7
2014p494318,2014-07-02T21:32:52Z,-40.91,0.7,175.02,1.0,36.0,1.0,M,,,,3.0,0.3,15,2.8,nan,15,,,,2.8,0.3,15
2014p494442,2014-07-02T22:38:51Z,-38.77,4.2,175.33,8.0,244.0,8.0,M,,,,,,,2.4,nan,13,,,,2.4,0.6,13
2014p494452,2014-07-02T22:44:19Z,-39.64,1.0,176.26,1.7,37.0,2.0,M,,,,3.4,0.3,15,3.1,nan,15,,,,3.1,0.2,15
2014p494667,2014-07-03T00:38:31Z,-36.83,7.4,177.49,9.2,202.0,8.0,M,,,,3.1,0.2,6,3.0,nan,17,,,,3.0,0.3,17
2014p495150,2014-07-03T04:56:20Z,-36.77,4.7,177.17,5.7,261.0,4.0,M,4.7,nan,1,,,,3.6,nan,31,3.9,0.4,1,3.6,0.4,31
2014p495216,2014-07-03T05:31:21Z,-39.26,0.9,175.22,1.0,21.0,1.0,M,,,,1.8,0.3,10,1.5,nan,10,,,,1.5,0.3,10
2014p495429,2014-07-03T07:25:00Z,-41.32,2.0,173.45,2.8,93.0,3.0,M,,,,2.5,0.2,13,2.4,nan,13,,,,2.4,0.2,13
2014p496026,2014-07-03T12:42:42Z,-46.27,4.4,166.0,5.4,12.0,0.0,M,,,,3.2,0.2,7,3.1,nan,7,,,,3.1,0.1,7
2014p496030,2014-07-03T12:45:02Z,-41.2,2.4,172.68,4.5,171.0,4.0,M,,,,,,,2.6,nan,15,,,,2.6,0.3,15
