PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1566234,1985-01-01T00:02:04Z,-36.92,0.1,177.36,0.0,12.0,0.0,ML,,,,,,,4.0,0.2,4,,,
1566235,1985-01-01T00:12:31Z,-37.01,0.1,177.36,0.0,12.0,0.0,ML,,,,,,,3.7,0.2,4,,,
1566236,1985-01-01T00:57:58Z,-37.01,0.0,177.42,0.0,12.0,0.0,ML,,,,,,,4.5,0.2,4,,,
1566237,1985-01-01T01:02:46Z,-38.31,0.0,176.11,0.1,161.0,7.0,ML,,,,,,,4.1,0.3,6,,,
1566238,1985-01-01T01:14:48Z,-37.05,0.1,177.4,0.0,12.0,0.0,ML,,,,,,,3.9,0.1,4,,,
1566239,1985-01-01T01:56:40Z,-37.05,0.0,177.23,0.0,12.0,0.0,ML,,,,,,,3.8,0.2,4,,,
1566240,1985-01-01T02:26:10Z,-36.73,0.1,177.46,0.1,12.0,0.0,ML,,,,,,,3.8,0.1,4,,,
1566241,1985-01-01T03:54:10Z,-37.34,0.0,177.23,0.0,12.0,0.0,ML,,,,,,,3.4,0.1,4,,,
1566242,1985-01-01T04:14:35Z,-36.8,0.1,177.46,0.0,12.0,0.0,ML,,,,,,,4.1,0.2,4,,,
1566243,1985-01-01T04:37:23Z,-36.69,0.1,177.48,0.1,12.0,0.0,ML,,,,,,,4.4,0.1,4,,,
1566244,1985-01-01T05:12:46Z,-36.58,0.1,177.5,0.1,12.0,0.0,ML,,,,,,,5.1,0.3,6,,,
1566245,1985-01-01T05:50:23Z,-37.02,0.1,177.35,0.0,12.0,0.0,ML,,,,,,,3.7,0.2,4,,,
1566246,1985-01-01T06:07:49Z,-37.05,0.1,177.41,0.1,12.0,0.0,ML,,,,,,,3.7,0.2,4,,,
1566247,1985-01-01T06:11:57Z,-37.25,0.1,177.34,0.0,12.0,0.0,ML,,,,,,,4.0,0.2,4,,,
1566248,1985-01-01T06:21:43Z,-37.25,0.0,177.32,0.0,12.0,0.0,ML,,,,,,,3.8,0.1,4,,,
1687575,1985-01-01T06:48:19Z,-41.54,0.0,174.08,0.0,45.0,1.0,ML,,,,,,,2.8,0.1,7,2.4,0.1,2
1566249,1985-01-01T07:22:46Z,-36.39,0.1,177.56,0.1,12.0,0.0,ML,,,,,,,4.2,0.2,4,,,
1566250,1985-01-01T07:29:42Z,-37.28,0.0,177.33,0.0,12.0,0.0,ML,,,,,,,4.2,0.2,4,,,
1566251,1985-01-01T07:35:06Z,-36.94,0.1,177.53,0.0,12.0,0.0,ML,,,,,,,4.5,0.2,4,,,
1566252,1985-01-01T07:55:38Z,-36.84,0.1,177.39,0.0,12.0,0.0,ML,,,,,,,4.1,0.1,4,,,
1566253,1985-01-01T09:32:04Z,-36.79,0.1,177.62,0.0,12.0,0.0,ML,,,,,,,4.5,0.3,4,,,
1566254,1985-01-01T09:38:53Z,-36.74,0.1,177.56,0.0,12.0,0.0,ML,,,,,,,4.2,0.4,4,,,
