PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount
1544205,1951-07-02T00:38:18Z,-40.32,0.1,173.92,0.1,100.0,0.0,ML,3.8,nan,1
1544206,1951-07-02T06:36:50Z,-41.84,0.1,174.51,0.1,12.0,0.0,ML,2.9,nan,1
1544207,1951-07-02T18:29:40Z,-39.39,0.0,176.2,0.0,33.0,0.0,ML,4.2,0.4,4
1544208,1951-07-03T21:30:06Z,-39.37,0.0,176.27,0.1,33.0,0.0,ML,4.1,0.3,3
1544209,1951-07-04T06:20:47Z,-39.26,0.0,176.14,0.0,33.0,0.0,ML,5.0,0.3,7
1544210,1951-07-06T09:57:10Z,-42.85,0.0,173.23,0.0,12.0,0.0,ML,3.7,0.2,4
1544211,1951-07-06T20:52:27Z,-46.0,0.0,170.0,0.0,33.0,0.0,ML,4.5,nan,1
1544212,1951-07-07T03:39:11Z,-41.42,0.1,-179.63,0.1,33.0,0.0,ML,4.5,nan,2
1544213,1951-07-07T10:15:23Z,-44.89,0.0,167.26,0.0,33.0,0.0,ML,5.7,0.3,7
1544214,1951-07-08T09:27:13Z,-40.59,0.1,173.92,0.1,33.0,0.0,ML,3.4,0.6,2
1544215,1951-07-08T17:39:48Z,-38.76,0.1,177.4,0.1,33.0,0.0,ML,4.3,0.2,3
1544216,1951-07-09T07:47:30Z,-40.61,0.1,175.07,0.1,12.0,0.0,ML,3.8,0.2,3
1544217,1951-07-10T03:05:25Z,-37.77,0.3,176.19,0.2,200.0,0.0,ML,5.2,0.7,2
1544218,1951-07-11T12:13:27Z,-41.81,0.1,174.07,0.1,33.0,0.0,ML,3.3,0.3,2
1544219,1951-07-11T22:20:10Z,-42.01,0.1,173.91,0.1,33.0,0.0,ML,4.1,0.2,3
1544220,1951-07-15T07:47:15Z,-42.48,0.0,172.97,0.1,33.0,0.0,ML,4.2,0.2,4
1544221,1951-07-15T09:32:42Z,-38.59,0.1,175.74,0.1,156.0,12.0,ML,4.5,0.3,2
1544222,1951-07-20T10:05:02Z,-36.98,0.1,176.53,0.2,288.0,11.0,ML,5.0,nan,2
1544223,1951-07-26T06:47:16Z,-40.69,0.1,173.8,0.1,107.0,16.0,ML,3.8,nan,1
