PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2018p489640,2018-07-01T04:00:15Z,-42.74,2.3,175.18,2.5,33.0,0.0,M,,,,3.5,0.4,43,3.1,nan,26,,,,3.1,0.3,26
2018p489981,2018-07-01T07:01:55Z,-44.4,3.4,168.32,3.6,5.0,0.0,M,,,,2.6,0.1,7,2.5,nan,4,,,,2.5,0.3,4
2018p490357,2018-07-01T10:22:34Z,-37.07,7.4,176.73,8.6,239.0,10.0,M,,,,,,,2.9,nan,10,,,,2.9,0.4,10
2018p490529,2018-07-01T11:54:17Z,-39.28,2.4,173.92,3.0,17.0,3.0,M,,,,2.0,0.3,7,1.7,nan,3,,,,1.7,0.4,3
2018p490598,2018-07-01T12:30:42Z,-45.09,3.6,167.51,4.2,81.0,8.0,M,,,,3.8,0.2,13,3.6,nan,11,,,,3.6,0.2,11
2018p490716,2018-07-01T13:33:33Z,-42.37,3.8,173.46,4.3,9.0,7.0,M,,,,2.7,0.2,7,2.3,nan,4,,,,2.3,0.1,4
2018p490799,2018-07-01T14:17:50Z,-40.39,3.7,177.22,4.8,38.0,6.0,M,,,,3.0,0.2,14,2.7,nan,12,,,,2.7,0.2,12
2018p491001,2018-07-01T16:05:23Z,-43.23,1.9,172.01,1.5,5.0,2.0,M,,,,3.5,0.2,17,3.4,nan,14,,,,3.4,0.2,14
2018p491349,2018-07-01T19:11:15Z,-42.41,1.7,172.93,2.3,11.0,3.0,M,,,,3.7,0.2,15,3.6,nan,15,,,,3.6,0.1,15
2018p491398,2018-07-01T19:36:50Z,-37.69,5.9,176.39,5.7,173.0,8.0,M,,,,2.7,0.2,6,2.8,nan,15,,,,2.8,0.3,15
2018p491916,2018-07-02T00:13:04Z,-42.54,3.0,173.29,3.1,7.0,3.0,M,,,,2.8,0.2,12,2.5,nan,6,,,,2.5,0.2,6
2018p492429,2018-07-02T04:46:14Z,-37.14,7.1,177.35,8.3,107.0,11.0,M,,,,3.2,0.2,18,2.8,nan,15,,,,2.8,0.2,15
2018p492528,2018-07-02T05:38:57Z,-39.46,6.6,174.34,7.0,121.0,9.0,M,,,,,,,2.6,nan,3,,,,2.6,0.7,3
2018p492655,2018-07-02T06:46:38Z,-37.93,5.4,176.96,8.6,54.0,13.0,M,,,,2.4,0.2,15,2.1,nan,8,,,,2.1,0.2,8
2018p493214,2018-07-02T11:44:56Z,-42.24,2.9,173.81,4.2,5.0,0.0,M,,,,2.7,0.2,10,2.4,nan,6,,,,2.4,0.2,6
2018p493220,2018-07-02T11:47:50Z,-42.33,4.0,173.94,5.8,12.0,0.0,M,,,,2.7,0.3,13,2.7,nan,4,,,,2.7,0.8,4
2018p493427,2018-07-02T13:38:21Z,-39.11,1.6,175.31,2.2,11.0,3.0,M,,,,2.7,0.3,31,2.4,nan,26,,,,2.4,0.3,26
2018p493436,2018-07-02T13:43:32Z,-37.45,22.6,177.23,17.3,77.0,33.0,M,,,,2.7,0.2,19,2.6,nan,14,,,,2.6,0.2,14
2018p494190,2018-07-02T20:24:45Z,-42.52,2.5,172.86,3.7,39.0,6.0,M,,,,3.1,0.2,27,2.8,nan,16,,,,2.8,0.1,16
2018p494414,2018-07-02T22:23:47Z,-42.35,3.2,173.98,3.9,8.0,4.0,M,,,,2.8,0.2,20,2.6,nan,11,,,,2.6,0.2,11
