PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1679919,1978-07-01T04:50:57Z,-41.25,0.0,174.95,0.0,21.0,1.0,ML,,,,1.6,0.1,8,,,
1582975,1978-07-01T07:03:24Z,-44.36,0.0,169.53,0.0,8.0,1.0,ML,,,,1.7,0.2,7,,,
1559403,1978-07-01T09:47:54Z,-39.93,0.0,174.0,0.1,126.0,9.0,ML,,,,3.8,0.4,5,,,
1679920,1978-07-01T12:20:41Z,-41.08,0.0,174.68,0.0,34.0,0.0,ML,,,,2.2,0.1,3,,,
1679921,1978-07-01T17:12:07Z,-40.77,0.0,174.67,0.0,32.0,1.0,ML,,,,3.1,0.1,2,2.9,0.1,7
1679922,1978-07-01T20:32:34Z,-40.74,0.0,174.37,0.0,78.0,1.0,ML,,,,2.1,0.3,6,,,
1582977,1978-07-01T23:19:06Z,-44.35,0.0,170.23,0.0,6.0,1.0,ML,,,,2.0,0.2,9,,,
1559405,1978-07-02T08:55:12Z,-35.16,0.2,178.72,0.3,341.0,17.0,ML,,,,4.6,0.3,5,,,
1559406,1978-07-02T12:24:14Z,-37.18,0.1,177.35,0.1,187.0,10.0,ML,,,,3.7,0.3,6,,,
1679923,1978-07-02T15:14:20Z,-41.37,0.0,175.12,0.0,26.0,1.0,ML,,,,1.6,0.2,8,,,
1679924,1978-07-02T15:41:37Z,-41.41,0.0,174.46,0.0,18.0,1.0,ML,,,,2.2,0.1,3,2.4,0.1,6
1582978,1978-07-02T15:45:43Z,-43.71,0.1,170.25,0.1,0.0,0.0,ML,,,,2.0,0.1,6,,,
1559407,1978-07-03T02:30:21Z,-38.24,0.1,175.97,0.1,133.0,14.0,ML,,,,3.8,0.3,5,,,
1679925,1978-07-03T03:33:31Z,-41.92,0.0,173.92,0.1,26.0,3.0,ML,,,,3.2,0.2,3,3.3,0.1,3
1679926,1978-07-03T05:19:13Z,-40.86,0.0,174.72,0.0,15.0,1.0,ML,,,,1.7,0.2,7,,,
1679927,1978-07-03T06:53:28Z,-40.87,0.0,174.63,0.0,46.0,2.0,ML,,,,1.8,0.2,5,,,
1559408,1978-07-03T11:51:02Z,-36.44,0.1,177.55,0.2,257.0,12.0,ML,,,,3.9,0.2,4,,,
1679928,1978-07-03T15:37:22Z,-40.87,0.0,174.72,0.0,15.0,1.0,ML,,,,1.8,0.2,7,,,
1559409,1978-07-04T01:44:16Z,-38.74,0.0,176.35,0.1,12.0,0.0,ML,,,,3.0,0.1,1,,,
1559410,1978-07-04T09:02:13Z,-36.66,0.1,177.89,0.1,12.0,0.0,ML,,,,4.7,0.3,10,,,
1582979,1978-07-04T09:31:13Z,-43.88,0.0,170.68,0.0,8.0,2.0,ML,,,,2.2,0.1,5,,,
1679929,1978-07-04T11:58:20Z,-41.25,0.0,174.69,0.0,34.0,1.0,ML,,,,2.2,0.1,2,2.4,0.1,2
1559411,1978-07-04T20:00:59Z,-45.02,0.0,167.7,0.1,101.0,7.0,ML,,,,4.5,0.1,2,,,
1679930,1978-07-04T21:09:42Z,-41.52,0.0,173.96,0.0,21.0,2.0,ML,,,,2.2,0.3,7,,,
1582980,1978-07-04T23:37:42Z,-44.48,0.0,169.53,0.0,5.0,1.0,ML,,,,2.8,0.2,7,,,
1679931,1978-07-05T01:14:40Z,-41.23,0.0,175.2,0.0,27.0,1.0,ML,,,,1.8,0.3,7,,,
1679932,1978-07-05T01:19:17Z,-41.12,0.0,174.13,0.0,59.0,2.0,ML,,,,2.4,0.1,6,,,
1679933,1978-07-05T07:57:26Z,-40.87,0.0,174.72,0.0,15.0,1.0,ML,,,,1.9,0.1,5,,,
1559412,1978-07-05T08:32:15Z,-40.95,0.0,174.04,0.0,33.0,0.0,ML,,,,3.6,0.3,5,,,
