PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount
1547508,1963-07-01T08:27:07Z,-37.88,0.1,176.84,0.1,33.0,0.0,ML,,,,3.9,0.1,3
1547509,1963-07-09T19:02:06Z,-37.22,0.1,176.75,0.1,187.0,14.0,ML,,,,4.2,0.1,2
1547510,1963-07-10T04:57:52Z,-41.71,0.0,173.64,0.0,33.0,0.0,ML,,,,3.5,0.2,8
1547511,1963-07-10T10:02:50Z,-36.3,0.1,178.04,0.3,371.0,28.0,ML,,,,4.5,0.3,2
1547512,1963-07-10T17:43:57Z,-39.03,0.0,176.03,0.0,106.0,6.0,ML,,,,4.5,0.5,3
1547513,1963-07-11T03:00:37Z,-41.55,0.0,174.26,0.0,12.0,0.0,ML,,,,3.7,0.4,6
1547514,1963-07-12T01:25:48Z,-39.01,0.1,175.13,0.1,218.0,14.0,ML,,,,4.2,0.2,2
1547515,1963-07-12T01:38:54Z,-37.88,0.1,176.45,0.2,187.0,20.0,ML,,,,4.1,0.1,2
1547516,1963-07-14T17:06:32Z,-39.52,0.1,174.72,0.1,167.0,12.0,ML,,,,5.5,0.5,3
1547517,1963-07-17T06:21:04Z,-38.3,0.1,176.02,0.1,203.0,14.0,ML,,,,4.5,0.1,2
1547518,1963-07-18T11:20:33Z,-42.48,0.1,174.75,0.1,33.0,0.0,ML,,,,4.0,0.3,7
1547519,1963-07-19T13:44:52Z,-39.84,0.1,174.03,0.1,56.0,35.0,ML,,,,3.6,nan,1
1547520,1963-07-19T16:21:06Z,-40.62,0.1,173.31,0.1,159.0,13.0,ML,,,,3.9,0.6,1
1547521,1963-07-21T03:36:08Z,-41.39,0.1,172.31,0.2,12.0,0.0,ML,,,,4.0,0.1,5
1547523,1963-07-22T09:35:02Z,-44.83,0.1,167.56,0.1,12.0,0.0,ML,,,,3.9,0.4,2
1547524,1963-07-22T14:27:22Z,-37.56,0.0,176.73,0.0,12.0,0.0,ML,,,,3.9,0.1,4
1547525,1963-07-23T01:35:50Z,-37.65,0.5,-179.22,0.7,12.0,0.0,ML,,,,4.2,0.1,2
1547526,1963-07-23T05:19:22Z,-41.72,0.1,171.68,0.2,5.0,0.0,ML,,,,3.7,0.3,8
1547528,1963-07-26T11:00:46Z,-40.57,0.0,176.18,0.0,12.0,0.0,ML,,,,3.4,0.2,5
1547529,1963-07-31T05:08:14Z,-41.07,0.1,175.83,0.1,12.0,0.0,ML,,,,4.7,0.5,11
1547530,1963-07-31T05:33:59Z,-41.26,0.1,175.8,0.1,33.0,0.0,ML,,,,3.8,0.3,6
1547531,1963-08-01T04:41:51Z,-41.81,0.1,171.51,0.1,12.0,0.0,ML,,,,4.4,0.3,9
1547532,1963-08-01T11:39:08Z,-37.89,0.1,176.79,0.1,12.0,0.0,ML,,,,3.9,0.3,5
1547534,1963-08-04T13:29:53Z,-44.86,0.0,169.64,0.1,12.0,0.0,ML,,,,4.1,0.5,4
1547535,1963-08-05T00:39:14Z,-36.52,0.1,177.45,0.1,251.0,10.0,ML,,,,5.3,0.2,3
1547537,1963-08-06T02:43:59Z,-46.41,0.3,165.15,0.4,12.0,0.0,ML,,,,4.3,0.4,2
1547538,1963-08-06T10:48:34Z,-41.6,0.1,175.27,0.1,12.0,0.0,ML,,,,3.5,0.3,5
1547539,1963-08-07T08:32:02Z,-45.26,0.1,166.89,0.3,33.0,0.0,ML,,,,4.3,0.2,6
1547540,1963-08-07T15:31:29Z,-35.65,0.1,178.48,0.1,286.0,24.0,ML,,,,4.5,0.2,3
1547541,1963-08-08T23:13:50Z,-39.37,0.0,177.0,0.0,12.0,0.0,ML,,,,3.2,0.4,4
1547542,1963-08-13T19:50:12Z,-38.16,0.0,177.64,0.0,33.0,0.0,ML,,,,4.8,0.3,12
1547543,1963-08-14T03:41:07Z,-38.14,0.0,177.43,0.0,12.0,0.0,ML,,,,4.1,0.2,10
1547544,1963-08-14T10:54:03Z,-38.41,0.0,177.06,0.0,33.0,0.0,ML,,,,4.0,0.3,7
1547545,1963-08-14T13:24:12Z,-47.3,0.0,165.0,0.0,12.0,0.0,ML,,,,5.0,0.3,9
1547546,1963-08-14T13:45:48Z,-44.53,0.1,168.05,0.2,33.0,0.0,ML,,,,4.1,0.3,3
1547547,1963-08-16T15:56:17Z,-37.58,0.1,177.56,0.1,12.0,0.0,ML,,,,4.1,0.2,7
1547548,1963-08-16T16:34:12Z,-39.41,0.0,173.82,0.1,12.0,0.0,ML,,,,3.6,0.4,6
1547550,1963-08-17T10:55:02Z,-38.29,0.1,176.33,0.1,12.0,0.0,ML,,,,3.1,0.3,3
1547551,1963-08-17T11:19:13Z,-40.54,0.0,174.04,0.0,33.0,0.0,ML,,,,3.4,0.2,5
1547553,1963-08-18T13:55:02Z,-39.22,0.1,174.77,0.1,222.0,6.0,ML,,,,4.1,0.3,3
1547554,1963-08-18T15:10:06Z,-37.44,0.2,178.19,0.1,291.0,13.0,ML,,,,4.0,0.4,1
1547555,1963-08-18T17:07:51Z,-39.0,0.1,174.93,0.1,221.0,9.0,ML,,,,4.4,0.3,3
1547556,1963-08-21T15:40:27Z,-37.14,0.1,177.28,0.0,162.0,7.0,ML,,,,4.3,0.3,3
1547557,1963-08-22T08:54:02Z,-36.63,0.1,177.87,0.1,234.0,11.0,ML,,,,4.4,0.2,3
1547558,1963-08-22T15:00:37Z,-38.05,0.1,176.44,0.1,160.0,12.0,ML,,,,3.9,0.3,2
1547559,1963-08-23T13:58:13Z,-38.4,0.1,176.38,0.1,123.0,18.0,ML,,,,3.6,0.4,3
1547560,1963-08-24T06:25:05Z,-39.62,0.1,175.85,0.1,12.0,0.0,ML,,,,3.3,0.3,7
1547561,1963-08-24T12:50:35Z,-37.44,0.1,178.82,0.1,12.0,0.0,ML,,,,4.7,0.3,11
1547562,1963-08-28T23:25:51Z,-37.37,0.2,175.83,0.3,12.0,0.0,ML,,,,4.0,0.2,3
1547563,1963-08-29T04:33:10Z,-35.82,0.1,178.59,0.2,12.0,0.0,ML,,,,4.9,0.4,8
1547564,1963-08-29T05:01:20Z,-35.71,0.2,178.0,0.2,12.0,0.0,ML,,,,4.6,0.2,7
1547565,1963-08-29T16:46:25Z,-41.03,0.1,175.47,0.1,12.0,0.0,ML,,,,3.7,0.5,7
1547566,1963-08-30T07:53:20Z,-38.05,0.0,176.34,0.0,172.0,4.0,ML,,,,3.9,0.2,3
1547567,1963-09-02T03:58:14Z,-37.58,0.1,177.26,0.1,109.0,19.0,ML,,,,4.7,0.5,3
1547568,1963-09-02T22:37:27Z,-38.83,0.1,178.82,0.2,12.0,0.0,ML,,,,4.6,0.5,10
1547569,1963-09-02T23:16:55Z,-38.49,0.1,179.37,0.1,12.0,0.0,ML,,,,3.8,0.2,4
1547570,1963-09-03T02:57:38Z,-39.34,0.1,176.25,0.0,33.0,0.0,ML,,,,3.7,0.4,7
1547571,1963-09-03T16:17:15Z,-38.4,0.1,176.51,0.1,12.0,0.0,ML,,,,4.8,0.3,9
1547572,1963-09-04T07:57:04Z,-41.75,0.0,172.25,0.0,33.0,0.0,ML,,,,2.6,0.1,2
1547575,1963-09-08T00:33:29Z,-41.24,0.1,174.91,0.1,73.0,7.0,ML,,,,3.7,nan,1
1547576,1963-09-08T19:09:05Z,-36.17,0.1,179.39,0.2,12.0,0.0,ML,,,,3.8,0.2,3
1547578,1963-09-11T05:01:09Z,-40.2,0.0,174.98,0.1,12.0,0.0,ML,,,,3.8,0.5,7
1547583,1963-09-13T21:20:19Z,-41.5,0.0,173.52,0.0,12.0,0.0,ML,,,,4.0,0.2,7
1547584,1963-09-14T11:42:57Z,-44.02,0.0,170.48,0.0,33.0,0.0,ML,,,,3.2,0.2,3
1547585,1963-09-15T08:44:37Z,-38.75,0.0,176.0,0.0,12.0,0.0,ML,,,,2.0,0.4,2
1547593,1963-09-21T06:04:59Z,-36.38,0.3,177.88,0.3,33.0,0.0,ML,,,,4.5,0.4,6
1547594,1963-09-23T14:37:07Z,-37.6,0.1,178.75,0.1,33.0,0.0,ML,,,,4.1,0.2,4
1547595,1963-09-25T08:57:48Z,-38.55,0.1,177.2,0.1,12.0,0.0,ML,,,,4.2,0.3,10
1547596,1963-09-27T09:00:06Z,-41.57,0.0,173.7,0.1,12.0,0.0,ML,,,,4.6,0.4,12
1547597,1963-09-27T15:57:05Z,-41.44,0.0,172.26,0.1,12.0,0.0,ML,,,,4.1,0.3,7
1547598,1963-09-30T03:22:51Z,-38.65,0.0,176.1,0.0,12.0,0.0,ML,,,,2.3,nan,1
1547599,1963-09-30T05:12:12Z,-39.66,0.0,176.24,0.0,12.0,0.0,ML,,,,4.3,0.3,12
1547600,1963-09-30T07:47:04Z,-37.77,0.0,176.43,0.0,203.0,3.0,ML,,,,4.8,0.4,3
1547601,1963-09-30T20:50:31Z,-44.68,0.1,167.51,0.1,12.0,0.0,ML,,,,3.9,0.1,2
1547603,1963-10-03T14:11:53Z,-44.15,0.1,168.75,0.1,12.0,0.0,ML,,,,4.3,0.4,6
1547604,1963-10-03T15:45:19Z,-38.7,0.1,175.18,0.1,286.0,10.0,ML,,,,4.3,0.2,3
1547605,1963-10-03T20:32:26Z,-44.93,0.0,167.58,0.1,33.0,0.0,ML,,,,3.6,0.4,2
1547606,1963-10-07T16:21:07Z,-36.93,0.1,177.56,0.1,141.0,13.0,ML,,,,4.0,0.3,3
1547607,1963-10-09T09:58:16Z,-37.63,0.0,176.25,0.0,292.0,6.0,ML,,,,4.7,0.1,3
1547608,1963-10-10T02:41:55Z,-38.05,0.1,176.49,0.0,169.0,9.0,ML,,,,4.6,0.2,3
1547609,1963-10-10T07:43:31Z,-38.73,0.0,175.74,0.1,161.0,11.0,ML,,,,3.7,0.2,3
1547610,1963-10-10T11:43:19Z,-38.4,0.1,175.7,0.1,197.0,32.0,ML,,,,3.8,0.2,2
1547611,1963-10-10T20:02:14Z,-38.23,0.1,177.08,0.0,12.0,0.0,ML,,,,4.1,0.3,9
1547612,1963-10-11T10:34:04Z,-37.99,0.1,176.85,0.1,181.0,17.0,ML,,,,4.2,0.2,3
1547613,1963-10-12T14:47:41Z,-38.75,0.0,176.0,0.0,12.0,0.0,ML,,,,2.3,nan,1
1547614,1963-10-12T16:06:35Z,-44.62,0.3,167.1,0.5,33.0,0.0,ML,,,,3.4,0.2,2
1547615,1963-10-13T00:01:12Z,-45.4,0.1,166.71,0.1,33.0,0.0,ML,,,,3.9,0.3,2
1547616,1963-10-13T19:37:47Z,-38.26,0.0,176.24,0.0,148.0,3.0,ML,,,,3.9,0.2,3
1547618,1963-10-19T03:12:21Z,-38.91,0.1,176.35,0.1,124.0,10.0,ML,,,,3.4,0.5,3
1547619,1963-10-20T01:19:10Z,-45.17,0.1,167.16,0.3,12.0,0.0,ML,,,,4.1,0.1,4
1547620,1963-10-21T05:12:26Z,-38.93,0.1,175.07,0.1,219.0,8.0,ML,,,,4.8,0.4,3
1547621,1963-10-23T03:51:18Z,-44.81,0.1,167.49,0.2,33.0,0.0,ML,,,,3.8,0.3,2
1547622,1963-10-23T05:53:41Z,-35.36,0.2,179.14,0.1,266.0,31.0,ML,,,,4.2,0.4,1
1547623,1963-10-25T22:50:29Z,-36.48,0.1,176.1,0.1,12.0,0.0,ML,,,,4.9,0.3,5
1547624,1963-10-26T21:19:15Z,-37.34,0.0,177.33,0.0,164.0,4.0,ML,,,,4.4,0.4,3
1547625,1963-10-27T01:10:56Z,-45.57,0.1,166.49,0.2,33.0,0.0,ML,,,,4.2,0.3,4
1547626,1963-10-27T13:21:54Z,-40.86,0.0,175.09,0.1,33.0,0.0,ML,,,,4.3,0.2,9
1547627,1963-10-28T06:54:16Z,-41.6,0.1,174.36,0.1,12.0,0.0,ML,,,,4.1,0.4,8
1547628,1963-10-28T16:26:23Z,-37.49,0.0,176.57,0.0,230.0,5.0,ML,,,,4.3,0.3,3
1547629,1963-10-31T19:19:36Z,-36.07,0.1,178.2,0.1,141.0,35.0,ML,,,,4.3,0.2,3
1547630,1963-11-02T02:31:52Z,-39.21,0.0,175.49,0.0,131.0,4.0,ML,,,,3.8,0.3,3
1547631,1963-11-03T03:09:06Z,-40.24,0.1,176.4,0.1,12.0,0.0,ML,,,,3.9,0.3,8
1547632,1963-11-03T22:31:34Z,-42.76,0.0,171.69,0.0,12.0,0.0,ML,,,,2.6,nan,1
1547633,1963-11-06T06:36:58Z,-37.16,0.1,176.7,0.1,331.0,17.0,ML,,,,5.5,0.2,2
1547634,1963-11-06T15:47:12Z,-44.24,0.1,166.96,0.3,12.0,0.0,ML,,,,4.4,0.3,4
1547636,1963-11-06T19:10:33Z,-41.7,0.0,171.6,0.0,33.0,0.0,ML,,,,3.1,nan,1
1547637,1963-11-06T21:09:27Z,-40.15,0.0,174.55,0.1,12.0,0.0,ML,,,,4.0,0.4,9
1547638,1963-11-07T03:19:11Z,-41.82,0.0,174.39,0.0,12.0,0.0,ML,,,,4.3,0.4,10
