PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount
1468898,2000-01-01T00:04:49Z,-41.13,0.0,174.73,0.0,30.0,1.0,ML,,,,1.9,0.1,5
1468906,2000-01-01T02:41:34Z,-40.99,0.0,174.32,0.0,54.0,3.0,ML,,,,2.1,0.2,5
1468917,2000-01-01T04:29:06Z,-39.94,0.0,173.94,0.0,161.0,5.0,ML,,,,3.6,0.3,14
1468933,2000-01-01T07:16:58Z,-40.97,0.0,174.74,0.0,33.0,0.0,ML,,,,2.0,0.2,7
1468935,2000-01-01T07:37:23Z,-38.17,0.0,176.64,0.0,5.0,0.0,ML,,,,1.8,0.3,4
1468940,2000-01-01T08:12:08Z,-40.37,0.0,176.37,0.0,54.0,2.0,ML,,,,3.2,0.3,14
1468941,2000-01-01T08:41:25Z,-41.24,0.0,174.69,0.0,33.0,1.0,ML,,,,1.9,0.1,8
1468943,2000-01-01T08:57:41Z,-39.24,0.0,175.22,0.0,12.0,0.0,ML,,,,2.7,0.7,5
1468944,2000-01-01T09:12:08Z,-48.95,0.1,165.46,0.2,33.0,0.0,ML,,,,4.5,0.3,4
1468945,2000-01-01T09:25:18Z,-39.51,0.0,174.57,0.0,103.0,5.0,ML,,,,3.2,nan,1
1468946,2000-01-01T09:29:20Z,-39.32,0.0,177.97,0.0,24.0,2.0,ML,,,,3.6,0.3,31
1481329,2000-01-01T10:06:27Z,-36.22,0.1,179.78,0.1,12.0,0.0,ML,,,,3.4,0.7,2
1468947,2000-01-01T11:09:32Z,-43.14,0.0,171.39,0.0,12.0,0.0,ML,,,,2.4,0.1,2
1468948,2000-01-01T11:42:46Z,-40.9,0.0,174.75,0.0,42.0,1.0,ML,,,,2.3,0.2,7
1487174,2000-01-01T11:43:01Z,-44.54,0.0,168.79,0.0,12.0,0.0,ML,,,,2.4,0.1,4
1468950,2000-01-01T12:07:48Z,-41.41,0.0,175.0,0.0,25.0,1.0,ML,,,,2.1,0.2,9
1468958,2000-01-01T13:06:28Z,-40.14,0.0,174.92,0.0,5.0,0.0,ML,,,,2.4,0.3,7
1468965,2000-01-01T15:42:21Z,-41.22,0.0,175.21,0.0,20.0,1.0,ML,,,,1.8,0.1,4
1468968,2000-01-01T16:13:04Z,-39.46,0.0,175.68,0.0,12.0,0.0,ML,,,,2.2,0.2,5
1468970,2000-01-01T16:35:03Z,-40.89,0.0,175.78,0.1,33.0,3.0,ML,,,,2.1,0.2,5
1489006,2000-01-01T16:57:45Z,-41.39,0.0,175.03,0.0,22.0,2.0,ML,,,,1.5,0.3,6
1468974,2000-01-01T16:57:48Z,-41.42,0.0,175.01,0.0,24.0,1.0,ML,,,,2.2,0.2,8
1468990,2000-01-01T18:55:22Z,-41.67,0.0,174.49,0.0,40.0,3.0,ML,,,,2.3,0.3,9
1468994,2000-01-01T19:15:40Z,-41.32,0.0,174.35,0.0,59.0,2.0,ML,,,,1.9,0.3,5
1469007,2000-01-01T20:49:49Z,-39.79,0.0,176.98,0.0,32.0,1.0,ML,,,,2.9,0.2,4
1469014,2000-01-01T22:35:43Z,-41.38,0.0,174.76,0.0,72.0,3.0,ML,,,,2.1,0.2,4
1469021,2000-01-01T23:34:14Z,-40.91,0.0,175.49,0.0,19.0,3.0,ML,,,,2.0,0.2,6
1469028,2000-01-02T01:09:56Z,-40.64,0.0,176.47,0.0,22.0,2.0,ML,,,,2.6,0.2,7
1481222,2000-01-02T01:15:38Z,-39.54,0.0,175.65,0.0,12.0,0.0,ML,,,,2.3,0.2,4
1469031,2000-01-02T01:44:09Z,-40.03,0.0,174.25,0.0,94.0,4.0,ML,,,,2.8,0.3,8
1469032,2000-01-02T01:56:30Z,-39.14,0.0,175.58,0.0,0.0,0.0,ML,,,,0.9,0.2,3
1469035,2000-01-02T02:14:55Z,-41.47,0.0,174.42,0.0,56.0,1.0,ML,,,,2.7,0.1,11
1469037,2000-01-02T03:17:35Z,-39.28,0.0,175.59,0.0,0.0,0.0,ML,,,,1.3,0.6,2
1469056,2000-01-02T05:39:32Z,-41.22,0.0,173.18,0.0,119.0,4.0,ML,,,,3.2,0.2,11
1480970,2000-01-02T07:23:23Z,-40.12,0.0,176.47,0.0,20.0,1.0,ML,,,,2.8,0.2,6
1469075,2000-01-02T08:40:08Z,-40.08,0.0,175.05,0.0,18.0,3.0,ML,,,,3.6,0.4,30
1469086,2000-01-02T10:19:31Z,-40.88,0.0,175.15,0.0,29.0,1.0,ML,,,,2.1,0.1,6
1469106,2000-01-02T14:05:12Z,-41.13,0.1,173.54,0.1,140.0,4.0,ML,,,,2.3,0.2,5
1469109,2000-01-02T14:48:59Z,-41.78,0.0,174.37,0.0,31.0,3.0,ML,,,,2.3,0.2,8
1469111,2000-01-02T15:10:59Z,-39.23,0.0,173.71,0.0,10.0,2.0,ML,,,,2.7,0.5,7
1481730,2000-01-02T16:47:14Z,-45.37,0.1,167.41,0.1,109.0,4.0,ML,,,,2.5,0.1,4
1481138,2000-01-02T16:58:17Z,-38.4,0.0,177.93,0.0,30.0,7.0,ML,,,,2.3,0.4,4
1469113,2000-01-02T17:01:12Z,-40.42,0.0,173.99,0.0,96.0,6.0,ML,,,,2.7,0.3,6
1481243,2000-01-02T17:32:20Z,-45.95,0.0,167.0,0.1,89.0,3.0,ML,,,,2.5,0.3,4
1469114,2000-01-02T17:45:49Z,-41.24,0.0,174.06,0.0,47.0,0.0,ML,,,,2.4,0.3,6
1469121,2000-01-02T20:21:10Z,-40.57,0.1,175.88,0.0,36.0,3.0,ML,,,,2.6,0.3,7
1469127,2000-01-02T20:59:17Z,-39.13,0.0,175.18,0.0,12.0,0.0,ML,,,,3.2,0.3,17
1469131,2000-01-02T22:01:06Z,-37.39,0.0,177.19,0.0,5.0,0.0,ML,,,,3.7,0.2,8
1469134,2000-01-02T23:30:46Z,-40.65,0.0,174.58,0.0,51.0,8.0,ML,,,,2.2,0.1,5
1469142,2000-01-03T02:33:45Z,-41.3,0.0,175.27,0.0,25.0,1.0,ML,,,,2.2,0.1,6
1469148,2000-01-03T03:56:51Z,-40.42,0.0,174.21,0.0,94.0,4.0,ML,,,,3.2,0.3,11
1482022,2000-01-03T05:28:47Z,-37.48,0.1,177.11,0.1,5.0,0.0,ML,,,,2.5,0.3,2
1469167,2000-01-03T07:02:26Z,-41.01,0.0,174.18,0.0,56.0,3.0,ML,,,,2.6,0.2,6
1469172,2000-01-03T07:36:59Z,-37.91,0.0,176.86,0.0,5.0,0.0,ML,,,,3.1,0.3,5
1469177,2000-01-03T09:19:52Z,-40.91,0.0,175.7,0.0,23.0,1.0,ML,,,,3.1,0.2,13
1469178,2000-01-03T09:26:25Z,-41.71,0.0,173.75,0.0,16.0,2.0,ML,,,,2.4,0.3,6
1469179,2000-01-03T09:38:22Z,-40.89,0.0,175.84,0.0,30.0,2.0,ML,,,,2.3,0.2,6
1481733,2000-01-03T10:46:35Z,-46.33,0.0,166.67,0.0,5.0,0.0,ML,,,,2.4,0.3,3
1469184,2000-01-03T11:28:59Z,-37.75,0.0,176.13,0.0,194.0,3.0,ML,,,,3.8,0.2,14
1487781,2000-01-03T11:31:13Z,-41.2,0.0,173.64,0.0,77.0,9.0,ML,,,,2.6,0.2,6
1487779,2000-01-03T11:31:14Z,-37.92,0.0,176.82,0.0,5.0,0.0,ML,,,,2.8,0.3,5
1469189,2000-01-03T11:53:51Z,-39.15,0.0,174.89,0.0,218.0,2.0,ML,,,,4.3,0.3,20
1469191,2000-01-03T12:45:51Z,-37.9,0.0,176.87,0.0,5.0,0.0,ML,,,,2.0,0.2,4
1469192,2000-01-03T13:43:10Z,-39.76,0.0,175.66,0.0,12.0,0.0,ML,,,,2.6,0.1,4
1485719,2000-01-03T17:40:06Z,-39.1,0.0,175.6,0.0,0.0,0.0,ML,,,,1.2,0.4,2
1481735,2000-01-03T17:55:29Z,-45.25,0.2,167.52,0.2,116.0,8.0,ML,,,,2.7,0.1,3
1469200,2000-01-03T18:30:37Z,-40.17,0.0,174.79,0.1,29.0,1.0,ML,,,,2.5,0.1,2
1486511,2000-01-03T19:04:46Z,-39.47,0.0,175.71,0.0,18.0,2.0,ML,,,,1.9,0.2,3
1469203,2000-01-03T19:44:52Z,-40.9,0.0,175.27,0.0,48.0,3.0,ML,,,,2.3,0.4,5
1482026,2000-01-03T20:25:04Z,-37.46,0.0,178.37,0.0,43.0,1.0,ML,,,,2.7,0.1,3
1486512,2000-01-03T21:33:23Z,-39.48,0.0,175.66,0.1,21.0,4.0,ML,,,,1.6,0.1,3
1469211,2000-01-03T22:34:02Z,-38.27,0.0,176.41,0.0,5.0,0.0,ML,,,,2.3,0.1,3
1469212,2000-01-03T23:11:23Z,-38.28,0.0,176.42,0.0,5.0,0.0,ML,,,,2.3,0.3,6
1469215,2000-01-03T23:18:41Z,-38.3,0.0,176.43,0.0,5.0,0.0,ML,,,,2.2,0.2,3
1469216,2000-01-03T23:20:42Z,-38.27,0.0,176.42,0.0,8.0,1.0,ML,,,,2.6,0.3,5
1469217,2000-01-03T23:24:17Z,-38.28,0.0,176.42,0.0,8.0,3.0,ML,,,,2.5,0.3,6
1469218,2000-01-03T23:28:22Z,-38.32,0.0,176.45,0.0,9.0,1.0,ML,,,,2.1,0.2,5
1469221,2000-01-03T23:39:46Z,-37.91,0.0,176.85,0.0,5.0,0.0,ML,,,,2.8,0.3,7
1469222,2000-01-04T00:14:18Z,-38.28,0.0,176.42,0.0,5.0,0.0,ML,,,,2.5,0.1,4
1469223,2000-01-04T00:18:36Z,-38.33,0.0,176.47,0.0,5.0,0.0,ML,,,,1.9,0.2,4
1469232,2000-01-04T05:00:29Z,-38.32,0.0,177.92,0.0,26.0,2.0,ML,,,,3.5,0.2,12
1487204,2000-01-04T05:24:55Z,-37.62,0.0,177.33,0.0,124.0,3.0,ML,,,,3.6,0.1,4
1469234,2000-01-04T05:25:04Z,-42.02,0.0,172.9,0.0,57.0,3.0,ML,,,,2.7,nan,1
1469247,2000-01-04T08:47:13Z,-39.0,0.0,175.75,0.0,7.0,2.0,ML,,,,1.6,0.1,5
1469251,2000-01-04T09:12:09Z,-41.81,0.0,172.63,0.0,73.0,6.0,ML,,,,3.5,0.3,7
1484764,2000-01-04T09:22:25Z,-39.01,0.0,175.76,0.0,5.0,0.0,ML,,,,1.7,nan,1
1469254,2000-01-04T09:44:27Z,-40.44,0.0,174.9,0.0,29.0,2.0,ML,,,,3.1,0.3,15
1469256,2000-01-04T09:52:05Z,-38.16,0.0,176.94,0.0,5.0,0.0,ML,,,,2.0,0.1,5
1484458,2000-01-04T10:13:26Z,-45.19,0.0,166.84,0.1,5.0,0.0,ML,,,,2.7,0.2,4
1484824,2000-01-04T10:16:41Z,-45.17,0.0,166.88,0.1,25.0,7.0,ML,,,,2.2,0.1,3
1469258,2000-01-04T11:30:24Z,-41.27,0.0,172.11,0.0,5.0,0.0,ML,,,,2.4,0.1,3
1469259,2000-01-04T11:36:20Z,-45.13,0.0,167.36,0.0,5.0,0.0,ML,,,,3.0,0.1,4
1469263,2000-01-04T12:21:34Z,-41.41,0.0,174.61,0.0,21.0,2.0,ML,,,,2.2,0.1,10
1469264,2000-01-04T13:33:49Z,-40.27,0.0,174.09,0.0,81.0,4.0,ML,,,,2.8,0.4,3
1469266,2000-01-04T14:32:31Z,-37.91,0.0,176.87,0.0,5.0,0.0,ML,,,,2.8,0.3,6
1482036,2000-01-04T14:53:57Z,-38.19,0.0,178.43,0.1,12.0,0.0,ML,,,,2.2,0.2,3
1481287,2000-01-04T15:23:54Z,-45.34,0.0,166.74,0.0,12.0,0.0,ML,,,,2.0,0.2,3
1469270,2000-01-04T17:11:55Z,-37.91,0.0,176.87,0.0,5.0,0.0,ML,,,,2.9,0.2,10
1469275,2000-01-04T18:42:20Z,-40.91,0.0,175.19,0.0,28.0,3.0,ML,,,,2.5,0.3,8
1479602,2000-01-04T18:44:46Z,-37.71,0.0,177.25,0.0,65.0,2.0,ML,,,,4.4,0.2,5
1469277,2000-01-04T18:48:30Z,-41.17,0.0,174.51,0.0,36.0,1.0,ML,,,,2.2,0.2,5
1483670,2000-01-04T19:03:44Z,-39.28,0.0,174.86,0.1,161.0,5.0,ML,,,,3.7,0.2,17
1480973,2000-01-04T20:30:49Z,-38.1,0.0,176.35,0.0,141.0,4.0,ML,,,,3.8,0.2,12
1469292,2000-01-04T20:35:26Z,-40.42,0.0,176.77,0.1,33.0,0.0,ML,,,,2.8,0.1,2
1469298,2000-01-04T22:09:20Z,-43.92,0.0,172.44,0.0,33.0,0.0,ML,,,,2.7,0.1,3
1479606,2000-01-04T22:17:00Z,-37.46,0.0,178.21,0.0,44.0,1.0,ML,,,,3.2,0.2,3
1469302,2000-01-04T23:35:13Z,-41.76,0.0,174.58,0.0,27.0,4.0,ML,,,,2.3,0.1,8
1469310,2000-01-05T01:54:32Z,-41.33,0.0,172.33,0.0,12.0,0.0,ML,,,,2.5,0.3,3
1469316,2000-01-05T03:33:59Z,-41.23,0.0,175.04,0.0,21.0,1.0,ML,,,,2.1,0.2,7
