minimum_mt_Mw,earthquakes_retained,cells_retained,pct_final_earthquakes_retained,pct_cells_retained
5,125,146420,27.654867256637168,55.95255382404867
5.25,78,96962,17.256637168141594,37.052803741889136
5.5,60,86899,13.274336283185841,33.20735538011204
5.75,34,43073,7.522123893805309,16.459802969971644
6,22,32698,4.867256637168142,12.49512774852304
6.5,7,19686,1.5486725663716814,7.522756280427688
7,4,16426,0.8849557522123894,6.2769884518086565
