publicid,cell_id,total_reports_from_counts,mean_mmi,median_mmi,max_mode_count,n_modes,mode_mmi,skewness,reported_mmi,report_count,mean_minus_median,api_median_minus_reconstructed,mode_is_tied
2026p576643,2026p576643_cell_156,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1560,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1561,2,5,5,1,2,NA,0,4,2,0,-1,TRUE
2026p576643,2026p576643_cell_1562,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1563,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1564,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1565,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1566,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1567,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1568,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1569,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_157,3,3.3333333333333335,3,2,1,3,0.7071067811865465,3,3,0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1570,4,3,3,4,1,3,NA,3,4,0,0,FALSE
2026p576643,2026p576643_cell_1571,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1572,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1573,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1574,3,3.6666666666666665,4,2,1,4,-0.7071067811865465,4,3,-0.3333333333333335,0,FALSE
2026p576643,2026p576643_cell_1575,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1576,1,8,8,1,1,8,NA,8,1,0,0,FALSE
2026p576643,2026p576643_cell_1577,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1578,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1579,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_158,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1580,1,3,3,1,1,3,NA,3,1,0,0,FALSE
