minimum_reports_per_cell,cells_retained,pct_cells_retained,earthquakes_retained,median_within_cell_sd,mean_within_cell_sd,median_estimated_mean_se,mean_estimated_mean_se
1,261686,100,452,0.6242642728467979,0.6191593540252811,0.24494897427831783,0.2956983591838177
2,119533,45.67802633690759,266,0.6242642728467979,0.6191593540252811,0.24494897427831783,0.2956983591838177
3,79835,30.507936993190313,220,0.6028541607561798,0.6816152472575421,0.24494897427831777,0.26919536504439506
5,49925,19.078208234296063,195,0.6875516509523286,0.709747084938603,0.19999999999999998,0.22233708687464682
6,42153,16.108236588888975,192,0.6900655593423543,0.7141043589573198,0.18298126367784995,0.20675682719958408
10,24997,9.552287856438632,166,0.6978091363053193,0.7209221830583536,0.1532712089469627,0.16751958005234374
20,10598,4.04989185512408,133,0.717590404492841,0.7305031118773558,0.1230769230769231,0.1271075771086236
