publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p821313,earthquake,2019-10-31T21:15:01Z,2019-11-22T01:42:19Z,179.3115845,-34.69063187,3.680276128,285.4698181,ML,NA,LOCSAT,confirmed,manual,iasp91,14,9,5,3.205065489,346.977005,0.5154295605,0.1525017594
2019p821181,earthquake,2019-10-31T20:05:37Z,2019-10-31T20:16:41Z,178.2064667,-37.65155411,3.429235769,29.66577721,M,NA,LOCSAT,confirmed,manual,iasp91,27,19,48,0.1194709465,123.3018036,0.4549350881,0
2019p820673,earthquake,2019-10-31T15:34:15Z,2019-11-22T01:26:01Z,178.182724,-35.31736374,3.121189772,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,6,2.242642403,336.4572449,0.6927572127,0
2019p818881,earthquake,2019-10-30T23:39:55Z,2019-11-21T22:03:57Z,172.634552,-43.40066147,3.092468378,19.41715431,M,NA,LOCSAT,confirmed,manual,iasp91,63,48,10,0.03223024309,92.52950668,0.4447863303,0
2019p815800,earthquake,2019-10-29T20:18:26Z,2019-10-29T20:25:19Z,175.9696503,-39.27344131,3.322693237,44.52638626,M,NA,LOCSAT,confirmed,manual,iasp91,40,30,79,0.2144581378,31.93035889,0.4352347093,0
2019p815147,earthquake,2019-10-29T14:30:52Z,2019-11-21T03:31:46Z,166.1066437,-46.17212296,4.213078992,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,36,24,13,0.3989781141,282.4567413,1.15798936,0
2019p814002,earthquake,2019-10-29T04:20:35Z,2019-11-21T02:06:27Z,166.0014801,-46.25975037,3.264690901,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,10,6,0.4808266163,286.7152939,1.17731359,0
2019p813653,earthquake,2019-10-29T01:13:46Z,2019-11-21T02:04:18Z,165.9592438,-46.27685165,3.529250867,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,7,0.5129659772,288.5945702,0.7703280416,0
2019p813170,earthquake,2019-10-28T20:57:24Z,2019-11-21T01:20:06Z,166.0170288,-46.22575378,3.928072874,11.91120625,M,NA,LOCSAT,confirmed,manual,iasp91,19,14,9,0.4648147523,286.4472084,0.8685789098,0
2019p812475,earthquake,2019-10-28T14:47:01Z,2019-10-28T14:56:46Z,167.0489044,-45.59632111,4.514049591,57.17320251,M,NA,LOCSAT,confirmed,manual,iasp91,35,27,34,0.1507746726,139.0856171,0.350950814,0
2019p812393,earthquake,2019-10-28T14:03:19Z,2019-11-21T01:04:42Z,179.1228943,-37.1766777,3.046305391,14.28825283,M,NA,LOCSAT,confirmed,manual,iasp91,44,37,20,0.755679965,273.584549,0.7265635614,0
2019p812026,earthquake,2019-10-28T10:47:21Z,2019-10-28T10:52:22Z,165.8818817,-47.35858154,4.267483217,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,15,8,1.313118815,314.0443058,0.5577788289,0
2019p811718,earthquake,2019-10-28T08:03:29Z,2019-11-21T00:44:51Z,177.5296021,-36.65953445,3.216636438,185.3571777,M,NA,LOCSAT,confirmed,manual,iasp91,38,29,19,1.094407201,212.5764465,0.4555389682,0
2019p811706,earthquake,2019-10-28T07:57:23Z,2019-11-20T21:07:58Z,172.4557037,-41.35261536,3.042824679,177.2908783,M,NA,LOCSAT,confirmed,manual,iasp91,35,20,13,0.2319314778,74.18557835,0.4377663986,0
2019p811668,earthquake,2019-10-28T07:37:11Z,2019-11-20T20:57:56Z,176.9249115,-37.84802246,3.207509454,3.856018782,M,NA,LOCSAT,confirmed,manual,iasp91,23,16,10,0.04022264481,126.5722885,0.2421414804,0
2019p811385,earthquake,2019-10-28T05:06:24Z,2019-11-20T20:41:32Z,176.9273987,-37.85230637,3.09393768,2.951711178,M,NA,LOCSAT,confirmed,manual,iasp91,34,24,19,0.03766822815,126.083046,0.3503176843,0
2019p811138,earthquake,2019-10-28T02:54:32Z,2019-11-20T20:26:09Z,-179.5922089,-34.71950912,3.920656895,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,18,9,3.307411671,301.6241608,1.423919849,0
2019p810990,earthquake,2019-10-28T01:35:59Z,2019-10-28T01:44:04Z,165.7898865,-47.47781754,3.06488293,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,9,6,1.447662473,316.4232006,0.8880363671,0.1034798468
2019p809993,earthquake,2019-10-27T16:44:41Z,2019-11-18T22:42:34Z,176.0878906,-37.87695694,5.024724974,275.6353455,M,NA,LOCSAT,confirmed,manual,iasp91,80,54,123,0.1199412197,57.49303055,0.6190001798,0
2019p809529,earthquake,2019-10-27T12:37:09Z,2019-10-27T12:42:16Z,176.0226593,-38.79903793,3.11095593,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,39,32,70,0.1064471081,45.38368225,0.2971177247,0
2019p809015,earthquake,2019-10-27T08:03:40Z,2019-11-18T22:28:07Z,177.6816711,-41.95264816,3.599044362,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,27,20,14,1.588425517,245.3237185,1.047981062,0
2019p807955,earthquake,2019-10-26T22:38:25Z,2019-11-18T21:21:50Z,167.4597168,-44.6989975,3.052612839,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,11,7,0.3338789046,221.4001579,0.4907824142,0
2019p807797,earthquake,2019-10-26T21:14:16Z,2019-10-26T21:17:28Z,174.2368622,-41.64572906,3.213758341,11.38743496,M,NA,LOCSAT,confirmed,manual,iasp91,41,30,26,0.07678508759,104.8690948,0.4206001895,0
2019p807154,earthquake,2019-10-26T15:31:42Z,2019-10-26T15:41:02Z,170.8848114,-43.23854828,3.332938874,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,18,19,0.1966607869,61.49841499,0.4115337979,0
2019p806531,earthquake,2019-10-26T09:59:51Z,2019-10-26T10:11:57Z,173.7143555,-42.03070068,3.125090576,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,40,27,30,0.1738632321,114.0014954,0.47165938,0
2019p806310,earthquake,2019-10-26T08:02:04Z,2019-11-18T20:53:34Z,179.3464508,-36.94799423,3.527683558,61.69835663,M,NA,LOCSAT,confirmed,manual,iasp91,25,18,12,0.9756488204,281.3474884,0.7349899721,0
2019p804878,earthquake,2019-10-25T19:19:29Z,2019-10-25T19:23:19Z,174.4785309,-40.11385727,3.987135377,84.69509888,M,NA,LOCSAT,confirmed,manual,iasp91,61,44,101,0.4728850424,92.829422,0.312720217,0
2019p804589,earthquake,2019-10-25T16:45:06Z,2019-11-18T04:31:45Z,178.3565216,-35.58246994,3.062980497,175.4954376,M,NA,LOCSAT,confirmed,manual,iasp91,24,14,6,1.976305723,335.5670166,0.7353525279,0
2019p803053,earthquake,2019-10-25T03:07:06Z,2019-10-25T03:12:38Z,167.2033539,-45.10221863,3.182347386,52.88299942,M,NA,LOCSAT,confirmed,manual,iasp91,26,16,7,0.3642135561,209.4209862,0.4245159739,0
2019p803030,earthquake,2019-10-25T02:51:39Z,2019-11-18T04:15:10Z,-179.8572083,-33.06784821,4.361191818,127.535141,M,NA,LOCSAT,confirmed,manual,iasp91,30,18,10,4.141118526,171.5380192,1.325569302,0
2019p802680,earthquake,2019-10-24T23:47:57Z,2019-11-18T02:55:35Z,174.5602112,-40.00089645,3.436356022,20.67473221,M,NA,LOCSAT,confirmed,manual,iasp91,33,22,17,0.4094082713,76.51066589,0.537356841,0
2019p802482,earthquake,2019-10-24T22:02:55Z,2019-11-18T01:17:04Z,172.4177094,-41.59848022,3.045626163,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,18,8,0.2735389769,74.77046204,0.5249246498,0
2019p801104,earthquake,2019-10-24T09:48:37Z,2019-11-18T00:43:08Z,176.5513458,-37.43334579,3.365246826,203.1931152,M,NA,LOCSAT,confirmed,manual,iasp91,47,41,31,0.2907269299,132.7341766,0.3881035097,0
2019p801015,earthquake,2019-10-24T09:00:57Z,2019-10-24T09:07:13Z,167.4819489,-44.68238831,4.030422233,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,20,14,0.317206949,216.8320885,0.5740615682,0
2019p801001,earthquake,2019-10-24T08:53:37Z,2019-10-24T09:14:46Z,167.4391632,-44.6741333,5.62728772,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,42,26,53,0.3476275802,205.3230324,0.7178225377,0
2019p800637,earthquake,2019-10-24T05:39:23Z,2019-11-18T03:09:38Z,167.468811,-44.66698456,3.460293507,3.945417166,M,NA,LOCSAT,confirmed,manual,iasp91,27,17,7,0.3265553117,216.8543167,0.501280617,0
2019p799590,earthquake,2019-10-23T20:21:33Z,2019-11-17T21:57:28Z,174.0007019,-39.0214386,3.511775599,8.021964073,M,NA,LOCSAT,confirmed,manual,iasp91,37,25,18,0.06984739751,210.2804451,0.3419493681,0
2019p798258,earthquake,2019-10-23T08:31:56Z,2019-11-17T21:33:45Z,166.7566681,-45.37728119,3.727513581,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,15,10,0.2928623557,219.5994949,0.7177660901,0
2019p797991,earthquake,2019-10-23T06:10:14Z,2019-11-17T20:36:01Z,179.4404755,-37.24865341,3.667482972,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,32,27,18,0.9556282163,280.5138855,0.5380826727,0
2019p797840,earthquake,2019-10-23T04:49:37Z,2019-10-23T05:09:09Z,174.5643921,-40.39243317,3.156821564,69.88668823,M,NA,LOCSAT,confirmed,manual,iasp91,72,49,26,0.5097493529,80.49938965,0.4187070478,0
2019p797481,earthquake,2019-10-23T01:38:20Z,2019-11-15T04:01:56Z,167.5118103,-45.10687256,3.177527047,100.6048737,M,NA,LOCSAT,confirmed,manual,iasp91,29,18,8,0.3426674604,179.2277298,0.4775831031,0
2019p796508,earthquake,2019-10-22T16:58:59Z,2019-11-15T03:55:06Z,-179.9060974,-35.33153915,4.205230248,162.7771301,M,NA,LOCSAT,confirmed,manual,iasp91,56,38,23,2.651848793,294.6028442,0.791849129,0
