publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p989119,earthquake,2016-12-31T23:22:48Z,2017-01-27T02:16:40Z,173.622836,-42.13936742,3.006017198,11.09375,M,NA,NonLinLoc,confirmed,manual,nz3drx,22,17,10,0.2755812157,122.9986539,0.3906302902,0
2016p988858,earthquake,2016-12-31T21:03:35Z,2017-01-01T17:12:47Z,178.3697815,-35.60454178,3.719125062,193.2993011,M,NA,LOCSAT,confirmed,manual,iasp91,31,25,17,1.954535007,264.8299561,0.4830921809,0
2016p988589,earthquake,2016-12-31T18:40:19Z,2017-01-27T01:59:11Z,173.7968331,-42.20034047,3.280745561,5.234375,M,NA,NonLinLoc,confirmed,manual,nz3drx,17,11,7,0.243162252,165.8833724,0.4998299832,0
2016p988032,earthquake,2016-12-31T13:43:31Z,2017-01-27T01:47:44Z,173.5300576,-42.21342673,3.233909523,17.65625,M,NA,NonLinLoc,confirmed,manual,nz3drx,26,19,12,0.2026038894,100.0425599,0.4094945315,0
2016p987304,earthquake,2016-12-31T07:15:59Z,2017-01-27T01:35:25Z,173.99839,-41.86084195,3.002907844,14.609375,M,NA,NonLinLoc,confirmed,manual,nz3drx,21,14,8,0.09587209954,132.6062081,0.4306463309,0
2016p987072,earthquake,2016-12-31T05:12:20Z,2017-01-27T01:27:25Z,173.7447358,-42.29393552,3.283744848,23.046875,M,NA,NonLinLoc,confirmed,manual,nz3drx,27,21,11,0.1417238787,142.0403856,0.5184860503,0
2016p986665,earthquake,2016-12-31T01:35:58Z,2017-01-27T01:21:39Z,174.3619995,-41.58915009,3.223638878,10.0390625,M,NA,NonLinLoc,confirmed,manual,nz3drx,44,31,16,0.1970911197,126.5282752,0.70980992490000006,0
2016p986655,earthquake,2016-12-31T01:30:10Z,2017-01-27T01:12:03Z,174.3405147,-41.5989445,3.196585451,12.265625,M,NA,NonLinLoc,confirmed,manual,nz3drx,40,33,19,0.1799360847,124.8640816,0.6568216457,0
2016p986550,earthquake,2016-12-31T00:33:56Z,2017-01-27T01:05:55Z,174.3927307,-41.67385483,3.18582594,9.336120605,M,NA,LOCSAT,confirmed,manual,iasp91,28,20,11,0.1535696536,139.2360764,0.5793860004,0
2016p986310,earthquake,2016-12-30T22:25:59Z,2017-01-26T09:16:59Z,173.3775177,-42.53726578,4.056910133,14.89725876,M,NA,LOCSAT,confirmed,manual,iasp91,46,42,111,0.1701728851,127.2039833,0.7790503758,0
2016p986245,earthquake,2016-12-30T21:51:29Z,2017-01-26T09:24:40Z,174.2576752,-41.79162598,3.762417338,11.88951015,M,NA,LOCSAT,confirmed,manual,iasp91,57,53,100,0.0537487492,140.0996399,0.6739086436,0
2016p984173,earthquake,2016-12-30T03:27:45Z,2017-01-26T09:57:30Z,178.9827576,-37.19710541,3.69853848,13.52651691,M,NA,LOCSAT,confirmed,manual,iasp91,21,16,13,0.6503453851,306.6449585,0.8316283422,0
2016p984172,earthquake,2016-12-30T03:27:02Z,2017-01-26T10:06:32Z,174.1321106,-41.85440826,3.574544134,8.1498661040000009,M,NA,LOCSAT,confirmed,manual,iasp91,41,37,78,0.1217490807,138.5818863,0.6174347661,0
2016p984119,outside of network interest,2016-12-30T02:58:16Z,2017-01-26T09:35:15Z,-177.696,-33.71,5.174132402,55,M,NA,NA,NA,manual,NA,0,0,13,0,0,5.685662411,0
2016p984111,earthquake,2016-12-30T02:54:49Z,2017-01-26T09:47:11Z,173.6418915,-42.20922089,3.188067468,13.80245686,M,NA,LOCSAT,confirmed,manual,iasp91,45,34,52,0.2202767283,133.0107079,0.9991449754,0
2016p984103,earthquake,2016-12-30T02:50:28Z,2017-01-26T10:21:24Z,177.2596588,-36.98153305,3.283432137,214.490387,M,NA,LOCSAT,confirmed,manual,iasp91,42,35,83,0.8782817125,209.3869781,0.3411590849,0
2016p983939,earthquake,2016-12-30T01:23:05Z,2017-01-26T10:15:09Z,174.4500885,-41.57128143,3.344073065,9.852711678,M,NA,LOCSAT,confirmed,manual,iasp91,61,49,72,0.2507610917,126.4402008,0.6961416677,0
2016p983857,earthquake,2016-12-30T00:39:26Z,2017-01-26T10:45:08Z,173.7540436,-42.27454758,3.107994059,9.851173401,M,NA,LOCSAT,confirmed,manual,iasp91,38,30,45,0.1602915078,140.8341331,0.885027582,0
2016p983748,earthquake,2016-12-29T23:41:26Z,2017-01-26T04:56:56Z,173.5559387,-42.21943665,3.386002619,4.47413826,M,NA,LOCSAT,confirmed,manual,iasp91,8,6,6,0.1968196034,137.22332,0.2293344585,0
2016p982793,earthquake,2016-12-29T15:12:16Z,2017-01-26T04:46:23Z,173.7574814,-42.25259035,3.323669801,13.671875,M,NA,NonLinLoc,confirmed,manual,nz3drx,20,14,6,0.1840115644,163.6239652,0.5032650127,0
2016p982499,earthquake,2016-12-29T12:35:28Z,2017-01-26T04:30:02Z,173.3826614,-42.46781599,3.366909387,5.9375,M,NA,NonLinLoc,confirmed,manual,nz3drx,20,13,6,0.1267053397,113.3867137,0.2740124309,0
2016p982317,earthquake,2016-12-29T10:58:54Z,2017-01-26T04:27:40Z,176.1799011,-38.35152435,3.865874926,144.3906403,M,NA,LOCSAT,confirmed,manual,iasp91,35,29,116,0.05505045876,46.65274048,0.3637921827,0
2016p982113,earthquake,2016-12-29T09:10:05Z,2017-01-26T03:58:54Z,172.7576158,-42.71761328,3.36321857,15.078125,M,NA,NonLinLoc,confirmed,manual,nz3drx,31,23,16,0.1997747222,54.06894291,0.4333653751,0
2016p981667,earthquake,2016-12-29T05:12:14Z,2017-01-26T03:51:22Z,174.4392427,-41.53512232,3.715393367,10.859375,M,NA,NonLinLoc,confirmed,manual,nz3drx,37,22,67,0.275507513,124.284587,0.6644182022,0
2016p981419,earthquake,2016-12-29T03:00:20Z,2017-01-26T03:41:54Z,174.4342439,-41.54832026,4.64433068,13.203125,M,NA,NonLinLoc,confirmed,manual,nz3drx,43,32,9,0.2627677286,127.535821,0.6088010352,0
2016p981412,earthquake,2016-12-29T02:56:26Z,2017-01-26T03:32:19Z,174.4293131,-41.53983448,3.823985705,10.390625,M,NA,NonLinLoc,confirmed,manual,nz3drx,41,28,13,0.2671606901,124.6022378,0.6186588308,0
2016p981383,earthquake,2016-12-29T02:41:24Z,2017-01-26T03:27:58Z,174.4367097,-41.55256315,3.27901481,13.90625,M,NA,NonLinLoc,confirmed,manual,nz3drx,32,26,15,0.2606651755,126.3921712,0.5506338953,0
2016p981371,earthquake,2016-12-29T02:34:33Z,2017-01-26T03:24:55Z,174.4618657,-41.54913308,5.559761479,16.015625,MLv,NA,NonLinLoc,confirmed,manual,nz3drx,56,42,78,0.2758088169,126.6631614,0.6414700778,0.1488699659
2016p980159,outside of network interest,2016-12-28T15:48:27Z,2017-01-26T03:10:50Z,-179.3327942,-34.54323578,3.651222364,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,15,6,3.74235034,304.6495514,0.7788253462,0
2016p979819,earthquake,2016-12-28T12:47:52Z,2016-12-28T19:54:05Z,173.7623749,-42.35443497,3.042791929,11.8913641,M,NA,LOCSAT,confirmed,manual,iasp91,38,36,20,0.1765741855,145.0846596,0.6473643454,0
2016p979719,earthquake,2016-12-28T11:53:54Z,2017-01-26T03:01:52Z,178.184967,-41.85614395,3.077685234,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,26,9,1.973759055,313.0639038,0.4188783104,0
2016p979576,earthquake,2016-12-28T10:38:19Z,2017-01-26T02:53:29Z,174.5587463,-39.2842598,3.095652064,235.5924072,M,NA,LOCSAT,confirmed,manual,iasp91,33,24,16,0.2133170664,58.29244614,0.6283182345,0
2016p979398,earthquake,2016-12-28T09:03:16Z,2017-01-26T02:46:38Z,174.2095007,-41.79528796,4.136148792,12.734375,M,NA,NonLinLoc,confirmed,manual,nz3drx,41,34,78,0.04475678762,142.7227457,0.6706854662,0
2016p979385,earthquake,2016-12-28T08:56:26Z,2017-01-26T02:40:17Z,173.8283021,-42.0585932,3.302747385,6.40625,M,NA,NonLinLoc,confirmed,manual,nz3drx,28,20,12,0.1539469367,148.7590232,0.4684447583,0
2016p978521,earthquake,2016-12-28T01:16:21Z,2017-01-26T02:31:44Z,173.7086043,-42.36463738,3.258148181,8.984375,M,NA,NonLinLoc,confirmed,manual,nz3drx,22,16,8,0.06600373426,165.882815,0.4528832693,0
2016p978491,earthquake,2016-12-28T01:00:24Z,2017-01-26T02:24:50Z,173.7134165,-41.97931341,3.071505889,10.390625,M,NA,NonLinLoc,confirmed,manual,nz3drx,26,20,12,0.200543675,100.2003974,0.3679742274,0
2016p977928,earthquake,2016-12-27T20:00:22Z,2017-01-26T01:17:44Z,167.3211975,-45.17943573,3.150166785,112.4291382,M,NA,LOCSAT,confirmed,manual,iasp91,18,13,7,0.3088432252,196.3223076,0.3067521777,0
2016p977471,earthquake,2016-12-27T15:56:54Z,2017-01-26T01:12:46Z,173.6700976,-42.25338364,3.105539129,15.546875,M,NA,NonLinLoc,confirmed,manual,nz3drx,18,13,6,0.1742399384,138.380046,0.4143878089,0
2016p977395,earthquake,2016-12-27T15:16:26Z,2017-01-26T01:02:59Z,174.1519268,-41.67389626,3.364129524,14.2578125,M,NA,NonLinLoc,confirmed,manual,nz3drx,35,26,15,0.08914130667,66.57950135,0.5609994786,0
2016p977224,earthquake,2016-12-27T13:45:08Z,2017-01-26T00:59:43Z,172.718828,-42.68811135,3.02123819,10.859375,M,NA,NonLinLoc,confirmed,manual,nz3drx,24,16,7,0.1823435852,43.59557081,0.3937866067,0
2016p977108,earthquake,2016-12-27T12:43:09Z,2017-01-26T00:53:25Z,173.4435435,-42.34358217,4.163340604,9.453125,M,NA,NonLinLoc,confirmed,manual,nz3drx,27,22,15,0.1007650836,59.03605572,0.5130834162,0
2016p977011,earthquake,2016-12-27T11:51:53Z,2017-01-26T00:46:15Z,173.7212527,-42.38336029,3.047304121,11.328125,M,NA,NonLinLoc,confirmed,manual,nz3drx,13,8,6,0.05299564363,203.2495456,0.3976403801,0
