publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2020p162010,earthquake,2020-02-29T22:38:26Z,2020-03-30T20:33:19Z,179.2953644,-35.51660156,3.683876823,250.6095734,M,NA,LOCSAT,confirmed,manual,iasp91,23,14,4,2.191370487,328.2597046,0.6966781719,0
2020p160710,earthquake,2020-02-29T11:05:46Z,2020-03-30T02:51:40Z,-178.6811829,-33.43086243,4.404576697,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,23,12,4.206638813,195.6746569,0.994606497,0
2020p160439,earthquake,2020-02-29T08:42:16Z,2020-03-30T02:17:56Z,168.3163605,-44.59235764,3.508812426,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,18,8,0.2795084119,129.0684357,0.4591034361,0
2020p159127,earthquake,2020-02-28T21:03:16Z,2020-02-28T21:14:41Z,165.9718933,-47.87105942,4.175035641,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,8,1.720953465,316.6890202,0.8116303917,0
2020p157275,earthquake,2020-02-28T04:36:23Z,2020-03-24T21:48:49Z,178.2285919,-37.07739639,3.786035367,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,35,25,16,0.4879728556,233.7957764,0.7090815025,0
2020p152546,earthquake,2020-02-26T10:36:02Z,2020-03-20T04:27:48Z,178.8376465,-34.32968903,3.540054444,289.6594849,M,NA,LOCSAT,confirmed,manual,iasp91,22,14,7,3.498954058,344.1519165,0.6548342211,0
2020p152060,earthquake,2020-02-26T06:17:44Z,2020-03-20T03:58:20Z,-179.1807709,-35.74790192,4.711033155,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,39,27,16,2.713023186,253.876297,0.5112101509,0.1520013274
2020p151208,earthquake,2020-02-25T22:44:02Z,2020-03-20T03:14:31Z,-179.6783905,-36.10228348,3.59069347,195.3344116,M,NA,LOCSAT,confirmed,manual,iasp91,21,16,7,2.176356077,198.7226305,1.581911784,0
2020p150812,earthquake,2020-02-25T19:12:34Z,2020-03-19T22:45:28Z,-179.2802582,-35.68583679,3.670734936,107.527565,M,NA,LOCSAT,confirmed,manual,iasp91,26,17,10,2.697180033,298.5738068,0.6314451377,0
2020p148557,earthquake,2020-02-24T23:11:00Z,2020-03-19T02:39:42Z,-179.663559,-33.4229126,4.285753055,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,11,7,4.407866955,178.0326252,1.305927081,0
2020p147906,earthquake,2020-02-24T17:24:48Z,2020-03-17T22:54:23Z,177.8063507,-38.90248871,3.860595754,28.49081993,M,NA,LOCSAT,confirmed,manual,iasp91,53,44,31,0.06328968704,69.7477417,0.4522033915,0
2020p147312,earthquake,2020-02-24T12:07:20Z,2020-02-24T12:37:56Z,179.4924927,-34.72739029,3.558606283,251.8223572,M,NA,LOCSAT,confirmed,manual,iasp91,23,17,7,3.205877781,347.1727142,0.5448021609,0
2020p147099,earthquake,2020-02-24T10:14:22Z,2020-02-24T10:31:07Z,167.4463806,-44.71028137,5.152573398,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,43,29,15,0.3443587422,211.1111069,0.7735627559,0
2020p144626,earthquake,2020-02-23T12:16:30Z,2020-03-17T03:56:30Z,179.5960236,-35.43490982,3.782066792,189.4401855,M,NA,LOCSAT,confirmed,manual,iasp91,26,21,11,2.363641024,315.8882294,0.6459516772,0
2020p143185,earthquake,2020-02-22T23:28:04Z,2020-03-16T04:31:05Z,-177.7571869,-33.68085861,4.997887899,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,38,26,8,4.407542706,156.0792313,2.582246845,0.06179526338
2020p142122,earthquake,2020-02-22T14:01:49Z,2020-03-16T04:08:33Z,179.4470215,-32.3788681,4.111527432,168.473587,mB,NA,LOCSAT,confirmed,manual,iasp91,15,8,2,3.844455719,199.3989563,0.537721596,0.09801400665
2020p140782,earthquake,2020-02-22T02:08:03Z,2020-03-16T03:41:41Z,179.7583313,-32.47520065,4.189544114,401.2206726,MLv,NA,LOCSAT,confirmed,manual,iasp91,21,17,9,5.213086605,320.5691833,0.8556056061,0.1376215212
2020p137292,earthquake,2020-02-20T19:09:11Z,2020-03-13T02:59:44Z,179.9226837,-33.69282532,4.107330261,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,16,11,4.079101086,303.7160339,0.9218546324,0.09482449205
2020p136369,earthquake,2020-02-20T10:56:42Z,2020-03-13T02:37:19Z,-179.2970428,-33.92221069,3.833618759,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,14,6,4.474382401,307.6257629,0.9078999755,0.405808906
2020p135878,earthquake,2020-02-20T06:35:29Z,2020-03-13T02:18:43Z,-178.440155,-34.35491562,5.253571421,147.6123047,M,NA,LOCSAT,confirmed,manual,iasp91,60,38,25,4.14786768,166.8265729,1.554624675,0
2020p135192,earthquake,2020-02-20T00:30:44Z,2020-02-20T00:55:33Z,174.0895233,-38.74240494,3.670834011,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,51,40,89,0.3198100924,143.9100342,0.409899357,0
2020p131068,earthquake,2020-02-18T11:53:08Z,2020-03-11T03:42:13Z,175.3614502,-40.04866409,3.598739807,11.20453262,M,NA,LOCSAT,confirmed,manual,iasp91,98,84,64,0.1607339978,49.19688416,0.5412548034,0
2020p128705,earthquake,2020-02-17T14:54:01Z,2020-03-10T04:27:04Z,178.8829803,-35.37759781,3.697833548,207.3461609,M,NA,LOCSAT,confirmed,manual,iasp91,45,28,18,2.229249001,307.6126556,0.6631392707,0
2020p128408,earthquake,2020-02-17T12:16:41Z,2020-03-10T04:10:20Z,176.3466187,-38.00074387,3.797594649,138.9559326,MLv,NA,LOCSAT,confirmed,manual,iasp91,45,35,105,0.2270097136,110.9083061,0.4600023708,0.495742631
2020p127080,earthquake,2020-02-17T00:28:12Z,2020-03-10T03:14:28Z,-179.2092438,-33.28053665,5.997481828,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,40,29,18,4.155210495,168.5588341,1.336415558,0.4
2020p125658,earthquake,2020-02-16T11:49:56Z,2020-03-09T22:18:02Z,-178.4441528,-34.29253387,4.785447934,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,37,24,19,4.194660664,206.300364,1.180363019,0
2020p125586,earthquake,2020-02-16T11:11:32Z,2020-03-09T22:08:29Z,-178.4799347,-34.4849472,3.907429427,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,15,6,4.373254776,342.9233093,0.8334256147,0
2020p124190,earthquake,2020-02-15T22:47:52Z,2020-03-09T02:38:49Z,-179.2152405,-33.62545013,3.982100438,189.4625092,M,NA,LOCSAT,confirmed,manual,iasp91,33,21,12,4.416537762,317.8921814,1.006534781,0
2020p122422,earthquake,2020-02-15T07:06:27Z,2020-03-09T01:55:17Z,174.681076,-40.16563416,3.705437473,52.33171844,M,NA,LOCSAT,confirmed,manual,iasp91,54,40,26,0.364717871,72.83601379,0.5610622535,0
2020p122292,earthquake,2020-02-15T05:56:58Z,2020-03-09T01:40:31Z,178.692749,-35.22458267,4.24226413,233.5095215,M,NA,LOCSAT,confirmed,manual,iasp91,31,23,15,2.353690863,276.2550049,0.6474729291,0
2020p120943,earthquake,2020-02-14T17:58:33Z,2020-03-08T22:33:17Z,165.5693665,-47.55271149,4.145003814,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,17,9,1.582822442,319.5172424,0.5849283588,0
2020p119178,earthquake,2020-02-14T02:17:17Z,2020-03-08T21:24:34Z,179.7046661,-33.84410477,4.17080406,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,19,10,3.880546093,311.1124115,1.352644293,0
2020p118387,earthquake,2020-02-13T19:16:39Z,2020-03-06T02:13:17Z,174.1826477,-41.69593811,3.716487155,10.32502651,M,NA,LOCSAT,confirmed,manual,iasp91,37,28,18,0.04672605917,80.52070618,0.6157374364,0
2020p118012,earthquake,2020-02-13T15:57:17Z,2020-03-06T02:02:55Z,174.2716064,-41.64831161,4.280005043,10.64996719,M,NA,LOCSAT,confirmed,manual,iasp91,40,26,14,0.1018453911,126.0144806,0.4652962238,0
2020p117860,earthquake,2020-02-13T14:35:56Z,2020-02-13T14:55:29Z,173.7506409,-40.08209229,3.80653479,153.5236206,M,NA,LOCSAT,confirmed,manual,iasp91,72,43,93,0.6363940835,125.3235102,0.7321687906,0
2020p117396,earthquake,2020-02-13T10:27:37Z,2020-03-06T01:41:18Z,179.1397552,-32.68610001,4.067611989,334.1788025,mB,NA,LOCSAT,confirmed,manual,iasp91,22,13,2,5.1556077,348.7824554,1.02873096,0.162502131
2020p116237,earthquake,2020-02-13T00:11:22Z,2020-03-05T22:54:19Z,178.7298889,-35.1987381,3.712087596,252.6813049,M,NA,LOCSAT,confirmed,manual,iasp91,24,19,12,2.383368015,340.3675995,0.6309512926,0
2020p114727,earthquake,2020-02-12T10:47:15Z,2020-03-04T01:41:46Z,-179.9019623,-36.12088013,4.228204873,137.6125641,M,NA,LOCSAT,confirmed,manual,iasp91,41,35,20,2.033372641,244.9224243,0.7487081634,0
2020p112506,earthquake,2020-02-11T15:02:14Z,2020-03-04T00:54:54Z,-178.1899109,-33.01377106,5.058708222,0,M,NA,LOCSAT,confirmed,manual,iasp91,34,22,15,3.747172356,203.5912364,2.227712485,0
2020p112402,earthquake,2020-02-11T14:08:17Z,2020-02-11T14:12:43Z,177.7348785,-36.5933342,4.122956976,182.8807373,M,NA,LOCSAT,confirmed,manual,iasp91,70,62,72,1.069772482,223.8907928,0.6440869523,0
