publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2020p738534,earthquake,2020-09-30T06:11:11Z,2020-10-28T03:00:07Z,166.048233,-46.28092957,3.732703299,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,18,9,0.4538302422,284.0037994,0.7484016517,0.2691651395
2020p737975,earthquake,2020-09-30T01:12:08Z,2020-10-28T02:20:28Z,-179.0783234,-33.48061371,4.07124581,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,14,10,4.596964359,347.8024902,0.847811531,0
2020p735902,earthquake,2020-09-29T06:48:07Z,2020-10-27T21:33:50Z,-178.6387024,-33.80606461,4.816605754,12,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,33,19,7,4.665244102,311.1224365,0.9867827653,0.1182172414
2020p735790,earthquake,2020-09-29T05:48:44Z,2020-10-22T04:14:35Z,-178.9604797,-33.84548187,5.264928507,12,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,36,29,8,4.324074268,158.942894,5.218456743,0.1099319709
2020p735170,earthquake,2020-09-29T00:17:38Z,2020-10-22T02:24:32Z,-178.3202515,-33.57656479,5.316671207,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,30,21,13,4.314879417,168.382803,1.855606808,0.0994969697
2020p732510,earthquake,2020-09-28T00:41:37Z,2020-10-21T22:43:52Z,168.3240051,-44.49847794,3.920836299,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,35,26,14,0.3335984647,147.6751957,0.8009119365,0
2020p730811,earthquake,2020-09-27T09:36:14Z,2020-10-21T21:49:59Z,167.42745970000001,-45.00188446,3.736490889,72.50254059,M,NA,LOCSAT,confirmed,manual,iasp91,32,20,8,0.4279686213,169.9944687,0.3723501019,0
2020p730156,earthquake,2020-09-27T03:47:23Z,2020-10-21T20:37:24Z,174.9134827,-39.19163132,5.154200548,22.60039139,M,NA,LOCSAT,confirmed,manual,iasp91,28,19,123,0.1379984617,61.38330078,0.2216346394,0
2020p728197,earthquake,2020-09-26T10:23:44Z,2020-10-21T02:50:26Z,165.6374512,-47.67780304,3.887965033,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,13,3,1.67270422,319.916069,0.9620809265,0
2020p727019,earthquake,2020-09-25T23:55:51Z,2020-10-21T01:23:19Z,179.5093689,-33.99929047,3.984048867,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,41,29,14,3.687285662,167.2205639,1.681445761,0.173804168
2020p727011,earthquake,2020-09-25T23:51:09Z,2020-10-21T00:43:12Z,177.7657928,-34.08095932,3.706727427,316.6978149,MLv,NA,LOCSAT,confirmed,manual,iasp91,20,12,7,3.66740942,342.0527802,0.7502105855,0.2432024256
2020p726019,earthquake,2020-09-25T15:02:42Z,2020-10-20T04:19:21Z,178.9886627,-35.04587555,4.17785732,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,40,26,19,2.57098484,303.0191193,1.269696758,0
2020p725194,earthquake,2020-09-25T07:42:48Z,2020-10-20T03:36:59Z,-177.4594727,-32.98751068,5.146932163,12,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,32,22,7,3.734797239,183.3890858,2.880279032,0.2367657336
2020p724486,earthquake,2020-09-25T01:25:19Z,2020-10-20T02:51:51Z,-179.2384796,-32.38367462,4.431015526,321.1595154,M,NA,LOCSAT,confirmed,manual,iasp91,34,25,18,3.311809301,177.8251648,1.071313229,0
2020p722696,earthquake,2020-09-24T09:31:36Z,2020-10-20T01:09:56Z,-178.38058470000001,-34.03356171,4.493210788,227.6513062,mB,NA,LOCSAT,confirmed,manual,iasp91,28,15,5,4.432249069,349.1664581,0.8561965204,0.1964940225
