publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p083386,earthquake,2022-01-31T20:28:27Z,2022-02-17T02:32:39Z,176.1161194,-37.77587509,3.873920777,249.0789948,M,NA,LOCSAT,confirmed,manual,iasp91,29,23,69,0.4889558554,100.8342743,0.4763386882,0
2022p082258,earthquake,2022-01-31T10:27:29Z,2022-02-17T02:16:59Z,176.7694702,-39.93021774,3.758683927,31.80418968,M,NA,LOCSAT,confirmed,manual,iasp91,53,40,96,0.1221631169,95.51996231,0.3203727683,0
2022p081022,earthquake,2022-01-30T23:28:08Z,2022-02-16T04:39:15Z,-179.2442474,-32.61195755,4.596458843,100,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,16,24,3.527698755,179.6459999,1.585951017,0
2022p080349,earthquake,2022-01-30T17:30:15Z,2022-02-16T04:33:15Z,177.9758911,-35.98513031,3.864007432,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,20,46,1.596338868,248.445343,1.587235639,0
2022p080298,earthquake,2022-01-30T17:02:53Z,2022-02-16T04:29:10Z,178.0702972,-35.82007217,3.742495576,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,17,18,1.946065545,254.1896515,1.376171164,0.129398706
2022p080097,outside of network interest,2022-01-30T15:15:21Z,2022-01-30T15:22:41Z,179.3169556,-34.03327179,3.880688504,100,M,operator assigned,LOCSAT,preliminary,manual,iasp91,21,16,7,3.615885735,296.3975677,0.9852164999,0
2022p079048,earthquake,2022-01-30T05:56:58Z,2022-02-16T03:22:20Z,-178.256073,-34.9774437,4.102946112,100,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,7,3.790249348,304.3364716,0.5796822833,0
2022p078917,earthquake,2022-01-30T04:47:00Z,2022-02-16T03:15:12Z,-178.9278107,-33.30425262,5.10002559,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,22,36,4.120945454,191.0585537,0.893084005,0.2079193917
2022p076544,earthquake,2022-01-29T07:40:03Z,2022-02-16T02:38:39Z,-178.0296783,-33.21846008,4.738770615,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,10,6,4,3.945281744,209.5342022,0.8092143808,0.4817180985
2022p076006,not locatable,2022-01-29T02:56:29Z,2022-01-29T05:16:42Z,173.899295,-40.91771582,4.65762619,115.625,M,NA,NonLinLoc,NA,automatic,nz3drx,22,22,11,0.4961466428,167.5341037,2.029095233,0
2022p075538,earthquake,2022-01-28T22:46:05Z,2022-02-15T21:38:58Z,179.3798828,-34.8393364,3.987647592,177.5835419,MLv,NA,LOCSAT,confirmed,manual,iasp91,27,19,17,2.85257268,317.8313904,0.5693063548,0.209525496
2022p074130,earthquake,2022-01-28T10:16:29Z,2022-01-28T10:20:06Z,173.3764687,-40.67519784,3.885746584,134.375,M,NA,NonLinLoc,NA,automatic,nz3drx,12,12,2,0.4769461204,138.162109,1.324162294,0
2022p073463,earthquake,2022-01-28T04:21:20Z,2022-02-15T21:53:13Z,175.2272491,-38.71517181,3.522681215,221.1199646,M,NA,LOCSAT,confirmed,manual,iasp91,41,33,77,0.3542754948,61.32048035,0.4407862133,0
2022p072324,earthquake,2022-01-27T18:13:24Z,2022-02-14T02:36:05Z,-179.2186584,-33.79677963,4.046449944,200,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,2,4.262972355,308.7271729,0.8069889803,0.1839599247
2022p071541,earthquake,2022-01-27T11:16:05Z,2022-02-14T02:15:33Z,179.1542053,-32.55847549,3.956309459,418.9261475,M,NA,LOCSAT,confirmed,manual,iasp91,17,13,1,5.283437729,348.8249664,0.7700501693,0
2022p071447,earthquake,2022-01-27T10:27:29Z,2022-02-14T02:13:28Z,175.7294464,-40.2449913,3.706918802,33.01901627,M,NA,LOCSAT,confirmed,manual,iasp91,44,34,79,0.1123407483,51.76904297,0.4982493609,0
2022p067102,earthquake,2022-01-25T19:51:09Z,2022-02-14T00:23:43Z,-178.1774445,-33.14377594,3.968317251,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,4,5.430043697,352.2644653,0.9214248119,0.09115054809
2022p067072,earthquake,2022-01-25T19:35:10Z,2022-02-14T00:09:59Z,-179.3155212,-33.88799667,3.66468161,200,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,9,2,4.497570038,350.3441315,0.8902398662,0
2022p066651,earthquake,2022-01-25T15:51:46Z,2022-02-13T22:23:09Z,-179.7809753,-35.21990204,3.770253349,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,22,13,2.973261356,296.4024353,0.8417723753,0.1138582492
2022p066556,earthquake,2022-01-25T15:00:12Z,2022-02-13T22:13:25Z,179.6755676,-33.48240662,3.984822024,296.5879211,MLv,NA,LOCSAT,confirmed,manual,iasp91,21,16,5,4.447278023,344.1804199,0.7330328766,0.150914471
2022p064462,earthquake,2022-01-24T20:25:48Z,2022-02-01T22:52:05Z,179.897583,-37.475811,5.297735055,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,46,34,96,1.225759387,290.4862213,0.5020438561,0.1925669583
