publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p240747,earthquake,2022-03-31T01:49:15Z,2022-04-13T19:30:38Z,179.6836243,-32.97259903,3.924790836,299.8117065,MLv,NA,LOCSAT,confirmed,manual,iasp91,15,12,3,4.945399284,345.1340027,0.5943442747,0.2320555905
2022p240413,earthquake,2022-03-30T22:52:47Z,2022-04-07T21:52:39Z,176.1851196,-37.69573975,3.823098532,264.6072998,MLv,NA,LOCSAT,confirmed,manual,iasp91,32,23,100,0.06852187961,87.07692862,0.3927564909,0.5917983527
2022p239759,earthquake,2022-03-30T17:03:24Z,2022-04-07T21:39:37Z,-178.3145752,-34.1603241,4.467711317,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,20,13,4.364684582,273.9311066,0.6344317486,0.1020900056
2022p237743,earthquake,2022-03-29T23:08:33Z,2022-04-07T21:26:19Z,-178.6703949,-32.69256592,4.619656355,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,7,3.479851007,193.3322515,0.8943881118,0.086718067
2022p237061,earthquake,2022-03-29T17:05:56Z,2022-04-07T21:21:02Z,-178.1259766,-34.26699829,3.983392604,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,4,4.7264509200000004,315.8716278,0.6852868693,0.172291065
2022p236165,earthquake,2022-03-29T09:08:44Z,2022-04-07T21:07:07Z,-179.1602783,-36.66638184,4.190976345,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,28,21,12,2.213456869,258.005249,0.4798463153,0.2022006489
2022p234536,earthquake,2022-03-28T18:40:35Z,2022-04-07T21:00:08Z,179.3508148,-33.87533188,4.485321245,243.7011719,MLv,NA,LOCSAT,confirmed,manual,iasp91,21,15,20,3.775748253,333.8107758,0.8944084091,0.264953516
2022p234193,earthquake,2022-03-28T15:36:46Z,2022-03-28T15:44:41Z,178.3121643,-34.48693085,4.270320007,282.0415955,MLv,NA,LOCSAT,confirmed,manual,iasp91,13,13,2,3.087678194,285.1234741,0.6627494503,0.2010174814
2022p233467,earthquake,2022-03-28T09:10:09Z,2022-03-28T22:11:56Z,-178.3057098,-32.54831314,5.133747767,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,32,24,24,3.29258132,198.0659895,1.58538808,0.2226076541
2022p231792,earthquake,2022-03-27T18:18:39Z,2022-04-07T20:06:31Z,-179.8940277,-34.19483185,3.870977689,310.9605408,MLv,NA,LOCSAT,confirmed,manual,iasp91,18,14,1,3.867664576,336.1498413,0.6097081161,0
