publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p239271,earthquake,2023-03-30T12:43:52Z,2023-04-26T04:35:37Z,177.732666,-38.57107925,3.76419353,23.62226295,MLv,NA,LOCSAT,confirmed,manual,iasp91,38,23,86,0.1364927143,46.07588196,0.3720783278,0.1801338743
2023p238323,earthquake,2023-03-30T04:18:42Z,2023-04-26T04:24:33Z,175.3454742,-40.1852684,3.542793703,19.70342255,MLv,NA,LOCSAT,confirmed,manual,iasp91,46,28,66,0.03088660724,88.77354431,0.6999815809,0.1718256055
2023p237572,earthquake,2023-03-29T21:38:30Z,2023-04-26T04:17:25Z,178.0334167,-37.46445084,3.701462041,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,32,27,43,0.2381820232,174.6581039,0.5968490949,0.2037497817
2023p236682,earthquake,2023-03-29T13:44:37Z,2023-04-26T03:54:43Z,175.3588257,-40.21519089,3.550437764,23.13588524,MLv,NA,LOCSAT,confirmed,manual,iasp91,30,22,67,0.03483327478,78.14067078,0.5090641209,0.194470311
2023p235224,earthquake,2023-03-29T00:47:29Z,2023-04-26T03:47:48Z,167.1191864,-45.44627762,3.581072365,41.71011734,MLv,NA,LOCSAT,confirmed,manual,iasp91,29,17,7,0.03040425852,95.27949524,0.6211584674,0.2295486054
2023p234580,earthquake,2023-03-28T19:03:40Z,2023-04-26T03:35:43Z,-178.6678467,-33.60871124,4.623296564,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,5,4.380198956,198.0097122,0.8974133405,0.4
2023p232029,earthquake,2023-03-27T20:25:02Z,2023-04-26T01:34:56Z,178.8586578,-35.82756042,3.687602879,162.8536377,MLv,NA,LOCSAT,confirmed,manual,iasp91,32,22,12,1.787274241,274.3933716,0.4530725824,0.1805917264
2023p230456,earthquake,2023-03-27T06:24:12Z,2023-04-26T00:25:46Z,-178.7528687,-32.37054443,4.139876584,198.422348,mB,NA,LOCSAT,confirmed,manual,iasp91,17,13,2,3.180296898,189.2087336,1.051105341,0.03372731383
2023p229809,earthquake,2023-03-27T00:42:15Z,2023-04-25T23:56:02Z,174.4224243,-40.21088028,4.879868574,90.22136688,MLv,NA,LOCSAT,confirmed,manual,iasp91,59,39,124,0.5541757941,76.664505,0.5732340243,0.2827440699
2023p225831,earthquake,2023-03-25T13:23:04Z,2023-04-21T02:33:51Z,-178.9169769,-41.86492538,4.262144819,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,25,22,1,2.521744013,169.3513794,1.563427113,0.4
2023p225176,earthquake,2023-03-25T07:33:23Z,2023-04-21T02:27:36Z,179.1289673,-32.54418564,3.79403654,300,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,13,11,5,5.315597534,345.1871643,0.423445414,0.1530765859
2023p222539,earthquake,2023-03-24T08:09:01Z,2023-03-24T12:39:26Z,175.9113159,-38.45176697,3.631200894,162.1651459,MLv,NA,LOCSAT,confirmed,manual,iasp91,68,54,108,0.07850158215,31.15438843,0.4706489723,0.5130324902
2023p222098,earthquake,2023-03-24T04:14:00Z,2023-04-21T01:29:45Z,176.7204895,-37.30205536,3.794717473,202.4923859,MLv,NA,LOCSAT,confirmed,manual,iasp91,43,34,101,0.3830268979,146.481926,0.4752613292,0.4520078751
2023p219402,earthquake,2023-03-23T04:17:32Z,2023-04-21T01:03:24Z,179.863739,-37.43238068,3.985108988,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,20,47,1.245204568,289.5774689,0.4922458985,0.1783099481
2023p214175,earthquake,2023-03-21T05:51:14Z,2023-03-21T05:54:48Z,-178.6054993,-32.52186203,4.346706253,217.6965332,M,NA,LOCSAT,preliminary,manual,iasp91,8,7,2,6.001601219,352.4772644,0.6447586534,0
2023p213729,earthquake,2023-03-21T01:54:28Z,2023-04-19T21:12:52Z,178.5872803,-35.18143463,3.846801785,243.8374329,MLv,NA,LOCSAT,confirmed,manual,iasp91,17,11,7,2.386806726,344.4836578,0.3778281779,0.07454898166
2023p213377,earthquake,2023-03-20T22:47:54Z,2023-04-19T01:47:03Z,179.1408081,-37.12333298,4.183810353,12.18239689,MLv,NA,LOCSAT,confirmed,manual,iasp91,29,24,57,0.7962109447,273.9710693,0.6399399225,0.2429309465
2023p212590,earthquake,2023-03-20T15:48:28Z,2023-04-19T00:58:21Z,176.7447662,-38.03915787,4.142699343,3.248811007,MLv,NA,LOCSAT,confirmed,manual,iasp91,35,31,92,0.05239623412,82.57575989,0.3831899345,0.2080022384
2023p211869,earthquake,2023-03-20T09:24:17Z,2023-04-19T00:45:26Z,177.5625458,-37.33945847,3.58205203,34.81952667,MLv,NA,LOCSAT,confirmed,manual,iasp91,34,26,69,0.4511900842,168.6804581,0.5378749208,0.2381617533
2023p210994,earthquake,2023-03-20T01:36:43Z,2023-04-11T04:13:04Z,-178.1601105,-32.84215927,4.048499819,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,3,3.574827194,203.3177247,0.8837682327,0.4
