publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p653695,outside of network interest,2017-08-30T20:48:32Z,2017-09-12T22:27:52Z,165.0137634,-48.7364769,4.367927636,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,6,2.766891003,332.1506767,0.68674697,0
2017p653655,outside of network interest,2017-08-30T20:25:53Z,2017-09-12T22:29:02Z,165.0217896,-48.53497314,4.980090741,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,13,2.630919695,312.2728157,0.5522561353,0
2017p650027,outside of network interest,2017-08-29T12:14:36Z,2017-09-11T03:17:35Z,179.3227234,-33.99543762,3.992573054,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,15,6,3.955472469,297.7826843,1.340383795,0
2017p649226,earthquake,2017-08-29T05:08:01Z,2017-09-11T03:04:27Z,172.5311737,-41.25289536,3.648417452,152.0649261,M,NA,LOCSAT,confirmed,manual,iasp91,23,14,43,0.2245326638,132.0463104,0.2533162205,0
2017p648381,outside of network interest,2017-08-28T21:37:28Z,2017-09-11T02:21:32Z,179.8648987,-34.21944046,4.002610462,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,12,3,3.779429674,325.5753632,1.032346485,0
2017p645141,earthquake,2017-08-27T16:50:58Z,2017-09-10T22:05:20Z,178.4064636,-35.58803558,3.56585145,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,10,2.221204996,277.0533905,0.7194112064,0
2017p641197,earthquake,2017-08-26T05:50:16Z,2017-09-08T02:48:45Z,177.4216766,-37.38737488,4.119303462,81.9214325,M,NA,LOCSAT,confirmed,manual,iasp91,43,38,90,0.2312046438,159.0212326,0.3777154599,0
2017p641078,outside of network interest,2017-08-26T04:46:23Z,2017-09-08T02:47:07Z,179.1533356,-34.34516907,4.336201573,274.33255,M,NA,LOCSAT,confirmed,manual,iasp91,25,21,30,3.282958269,164.4554081,1.26781711,0
2017p640615,outside of network interest,2017-08-26T00:39:02Z,2017-09-08T02:37:17Z,-178.43972779999999,-33.19853973,5.300686765,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,24,58,3.949431181,198.7865815,1.788424108,0
2017p640476,outside of network interest,2017-08-25T23:24:56Z,2017-09-08T01:55:54Z,-179.0204315,-33.13319397,4.459292243,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,8,6,3.97253108,189.371253,0.8690676403,0
