publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p322952,earthquake,2023-04-30T11:48:19Z,2023-04-30T11:59:34Z,-178.9919128,-34.18000031,4.063306056,206.5040894,MLv,NA,LOCSAT,confirmed,manual,iasp91,20,16,3,4.42435503,351.7852783,0.6073130339,0.1616637272
2023p322794,earthquake,2023-04-30T10:24:29Z,2023-05-09T23:39:36Z,-179.8944397,-35.13639069,3.859200599,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,15,6,3.21590662,299.8603058,0.5231324091,0.1091696176
2023p321880,earthquake,2023-04-30T02:18:03Z,2023-04-30T02:23:32Z,172.7533875,-41.20366287,3.740698898,166.8695374,MLv,NA,LOCSAT,confirmed,manual,iasp91,38,28,55,0.1952192336,103.2336884,0.5119596989,0.242710646
2023p321172,earthquake,2023-04-29T20:00:10Z,2023-04-29T20:12:26Z,-179.9512024,-34.94285965,4.346728074,181.1210327,MLv,NA,LOCSAT,confirmed,manual,iasp91,20,17,24,3.350780249,319.8892517,0.5119821355,0.1603893027
2023p319039,earthquake,2023-04-29T01:03:03Z,2023-04-29T01:41:41Z,179.9217072,-32.37075043,4.335951199,100,MLv,operator assigned,LOCSAT,preliminary,manual,iasp91,15,12,7,5.346343517,351.6605988,0.4805823739,0.1770781834
2023p319014,earthquake,2023-04-29T00:50:53Z,2023-04-29T01:01:04Z,174.4845428,-41.23601913,3.898046257,26.80751228,MLv,NA,LOCSAT,confirmed,manual,iasp91,58,40,88,0.159146592,80.84579468,0.5288706864,0.1741741146
2023p318705,earthquake,2023-04-28T22:05:54Z,2023-04-28T22:16:54Z,-178.3471375,-33.80235672,4.034501301,300,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,12,8,5,5.045569897,351.5297852,0.8865790496,0.1053336861
2023p316588,earthquake,2023-04-28T03:18:21Z,2023-04-28T03:26:20Z,176.6135101,-40.24872589,3.932410623,13.86770725,MLv,NA,LOCSAT,confirmed,manual,iasp91,28,21,12,0.02419766411,95.48369598,0.2993972972,0.1660090898
2023p316449,earthquake,2023-04-28T02:04:07Z,2023-04-28T02:07:56Z,169.6825256,-44.48014069,3.614313592,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,15,19,0.3717935979,55.28230286,0.6112457524,0.2430446282
2023p316032,earthquake,2023-04-27T22:20:54Z,2023-04-27T22:29:43Z,164.7796783,-48.57653427,4.912671654,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,17,13,2.735697985,151.3717918,1.179230729,0.07065328181
2023p314984,earthquake,2023-04-27T13:03:51Z,2023-04-27T13:07:54Z,174.9314728,-39.02667999,4.367540958,201.9325867,MLv,NA,LOCSAT,confirmed,manual,iasp91,48,40,121,0.1662774831,86.71542358,0.3895517011,0.4082069217
2023p313915,earthquake,2023-04-27T03:33:58Z,2023-04-27T03:43:53Z,176.5544281,-40.2780838,3.524139274,15.9388628,MLv,NA,LOCSAT,confirmed,manual,iasp91,41,30,61,0.06288129836,119.1535034,0.4481176633,0.1854194335
2023p313442,earthquake,2023-04-26T23:22:06Z,2023-04-26T23:28:25Z,169.6856537,-44.46555328,4.184969343,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,35,25,30,0.3634828925,45.10367584,0.7343067179,0.1959671805
2023p313423,earthquake,2023-04-26T23:11:16Z,2023-04-26T23:19:54Z,-179.7466125,-33.14632797,3.709341879,281.5292969,Mw(mB),NA,LOCSAT,confirmed,manual,iasp91,22,16,6,4.684279442,339.9658508,0.9641816655,0.4
2023p312072,earthquake,2023-04-26T11:11:26Z,2023-04-26T13:45:22Z,178.7749939,-35.4006424,3.524248274,198.1632538,MLv,NA,LOCSAT,confirmed,manual,iasp91,18,16,3,2.190090179,307.5960999,0.4983324588,0.04284879248
2023p311814,earthquake,2023-04-26T08:54:29Z,2023-04-26T09:03:38Z,176.5331116,-40.27019501,3.944837513,16.27408791,MLv,NA,LOCSAT,confirmed,manual,iasp91,31,23,86,0.07819052786,105.9365463,0.372533454,0.1814522866
2023p311531,earthquake,2023-04-26T06:23:58Z,2023-04-26T06:33:18Z,176.5233459,-40.2628746,3.651746341,13.07371235,MLv,NA,LOCSAT,confirmed,manual,iasp91,29,22,67,0.08564510196,98.24093628,0.2754713096,0.2180732422
2023p311490,earthquake,2023-04-26T06:01:56Z,2023-04-26T06:04:44Z,176.5326538,-40.25870132,4.169381199,14.13950348,M,NA,LOCSAT,confirmed,manual,iasp91,25,16,81,0.0788269043,96.73537445,0.5136007983,0
2023p310946,earthquake,2023-04-26T01:12:24Z,2023-04-26T01:15:01Z,176.6371307,-40.28272629,4.16070754,17.74323845,MLv,NA,LOCSAT,confirmed,manual,iasp91,36,29,77,0.01640722342,173.2765274,0.4748233973,0.1906435889
2023p310689,earthquake,2023-04-25T22:55:20Z,2023-04-26T02:56:56Z,176.5708466,-40.26701736,3.521618382,15.00578594,MLv,NA,LOCSAT,confirmed,manual,iasp91,30,20,58,0.04922909662,111.5197983,0.2767353408,0.1979697877
2023p310638,earthquake,2023-04-25T22:28:11Z,2023-04-26T02:44:48Z,176.5569763,-40.27877808,4.311904002,14.73095417,MLv,NA,LOCSAT,confirmed,manual,iasp91,29,22,86,0.06110334396,120.7515564,0.2672427466,0.1868975693
2023p310621,earthquake,2023-04-25T22:19:03Z,2023-04-25T23:04:08Z,176.5203247,-40.26909256,5.439800973,13.39922428,MLv,NA,LOCSAT,confirmed,manual,iasp91,44,29,6,0.08792390674,102.0167313,0.54716392170000006,0.126867
2023p310616,earthquake,2023-04-25T22:16:14Z,2023-04-27T04:08:22Z,176.619812,-40.28248215,5.887213472,20.70372009,MLv,NA,LOCSAT,confirmed,manual,iasp91,42,31,40,0.01993139833,169.617424,0.5945146164,0.2261936346
2023p310463,earthquake,2023-04-25T20:53:46Z,2023-04-25T22:39:43Z,-178.8968353,-33.65176392,3.979312932,250.2904663,M,NA,LOCSAT,preliminary,manual,iasp91,13,11,6,4.905950069,351.0927582,0.7259136464,0
2023p310070,earthquake,2023-04-25T17:25:47Z,2023-04-25T17:37:32Z,167.1462555,-46.30687332,4.015580439,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,18,10,0.3524318933,160.957428,0.4822849817,0.1321848032
2023p309944,earthquake,2023-04-25T16:18:06Z,2023-04-25T17:50:55Z,179.5368652,-35.23951721,3.753904087,209.3998566,MLv,NA,LOCSAT,confirmed,manual,iasp91,18,13,3,2.52156496,330.2474823,0.5749301992,0.1214212386
2023p309208,earthquake,2023-04-25T09:46:16Z,2023-04-25T09:54:41Z,176.9318237,-39.86464691,3.743241868,21.33003426,M,NA,LOCSAT,confirmed,manual,iasp91,50,33,82,0.08219919354,150.8802681,0.4560320858,0
2023p307170,earthquake,2023-04-24T15:40:17Z,2023-04-24T17:46:59Z,176.3875427,-37.66049194,3.52238291,199.1945801,MLv,NA,LOCSAT,confirmed,manual,iasp91,57,47,76,0.1214648336,104.020546,0.3416367779,0.527703934
2023p306530,earthquake,2023-04-24T09:59:33Z,2023-04-24T11:15:40Z,173.4641876,-40.36407471,3.79377723,145.4289093,MLv,NA,LOCSAT,confirmed,manual,iasp91,50,42,79,0.5590289831,122.7593203,0.4949394976,0.1991911685
2023p305255,earthquake,2023-04-23T22:40:01Z,2023-04-23T22:43:26Z,177.50737,-36.95146561,3.709553316,134.1380005,MLv,NA,LOCSAT,confirmed,manual,iasp91,31,24,61,0.8325959444,196.4989471,0.3855214864,0.3266881119
2023p304853,earthquake,2023-04-23T19:06:11Z,2023-04-23T19:09:21Z,176.5913391,-40.08096313,3.914252511,28.00518227,M,NA,LOCSAT,confirmed,manual,iasp91,27,21,18,0.1168919206,93.2399826,0.3760565862,0
2023p302906,earthquake,2023-04-23T01:48:26Z,2023-05-05T03:22:56Z,-179.1625519,-35.74974442,4.248308982,114.1074219,MLv,NA,LOCSAT,confirmed,manual,iasp91,25,21,37,2.722708702,300.5815125,0.3536167318,0.1642113643
2023p301287,earthquake,2023-04-22T11:25:08Z,2023-05-05T02:16:16Z,-179.8188324,-43.55437851,3.849551158,33,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,13,12,2,4.100719452,336.7111511,0.1923775302,0.1330032195
2023p300579,earthquake,2023-04-22T05:08:51Z,2023-05-05T02:07:43Z,168.2132416,-44.60742188,4.088999551,58.36459351,MLv,NA,LOCSAT,confirmed,manual,iasp91,26,17,25,0.2151217312,135.9014988,0.3724494544,0.2261196139
2023p297864,earthquake,2023-04-21T05:01:59Z,2023-05-05T01:24:42Z,-179.0935516,-35.40609741,4.415756925,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,17,19,3.003178358,258.1433258,0.5244957412,0.1224029363
2023p296804,earthquake,2023-04-20T19:37:36Z,2023-04-20T21:02:59Z,172.7839966,-43.47298431,4.445952862,7.529037952,MLv,NA,LOCSAT,confirmed,manual,iasp91,41,32,24,0.05118705705,112.0978737,0.4111353076,0.2072544578
2023p296792,earthquake,2023-04-20T19:31:09Z,2023-04-20T19:41:13Z,172.7826233,-43.47497177,3.579130476,9.919352531,MLv,NA,LOCSAT,confirmed,manual,iasp91,40,30,37,0.0491265431,109.3943233,0.2859851655,0.1928986773
2023p296239,earthquake,2023-04-20T14:36:17Z,2023-05-04T04:58:34Z,177.4524384,-37.09181213,3.603835681,127.4028091,MLv,NA,LOCSAT,confirmed,manual,iasp91,32,25,69,0.7133004665,201.3715515,0.4964353013,0.4191339373
2023p296210,earthquake,2023-04-20T14:21:09Z,2023-05-04T04:52:39Z,172.7628632,-43.47076797,4.02354576,8.851059914,MLv,NA,LOCSAT,confirmed,manual,iasp91,31,24,67,0.04091220349,107.5544147,0.2017869128,0.2015963084
2023p295612,earthquake,2023-04-20T09:02:15Z,2023-05-04T04:42:17Z,176.2974243,-39.2840271,3.997227168,49.92229843,MLv,NA,LOCSAT,confirmed,manual,iasp91,55,39,108,0.1702647656,26.06970215,0.5166336679,0.2019361364
2023p295436,earthquake,2023-04-20T07:28:05Z,2023-05-04T04:35:19Z,179.2458954,-34.9969101,3.634122539,230.4150085,MLv,NA,LOCSAT,confirmed,manual,iasp91,22,16,6,2.996070147,287.5349731,0.5242909384,0.2124193211
2023p294868,earthquake,2023-04-20T02:25:31Z,2023-05-04T04:29:31Z,-178.8896942,-35.45861435,3.848734686,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,13,6,3.470949888,348.2872009,0.8228775481,0.05484502711
2023p293493,earthquake,2023-04-19T14:13:36Z,2023-05-04T04:21:25Z,167.035965,-45.04663086,3.80212207,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,16,9,0.2271679044,217.4961281,0.9559294053,0.1549300992
2023p291323,earthquake,2023-04-18T18:56:40Z,2023-05-04T04:03:14Z,-179.1254272,-35.47278595,4.170913731,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,20,13,2.9371094700000002,257.241806,0.5886069483,0.1201329164
2023p291205,earthquake,2023-04-18T17:54:02Z,2023-05-04T04:00:37Z,172.6909637,-41.23436737,3.794204983,121.2741241,MLv,NA,LOCSAT,confirmed,manual,iasp91,33,26,55,0.1720161736,111.0109711,0.3298772428,0.2219731212
2023p290508,earthquake,2023-04-18T11:42:29Z,2023-05-04T02:24:39Z,176.719696,-37.18059921,3.654538424,210.3668213,MLv,NA,LOCSAT,confirmed,manual,iasp91,28,20,60,0.6753653884,160.4154358,0.4331637889,0.4393004004
2023p288280,earthquake,2023-04-17T15:55:34Z,2023-05-03T23:44:26Z,178.6523743,-35.66233826,3.66987465,223.5576477,MLv,NA,LOCSAT,confirmed,manual,iasp91,20,17,6,2.2034688,317.1898499,0.6043351657,0.2882685461
2023p287522,earthquake,2023-04-17T09:11:08Z,2023-05-03T22:52:47Z,-179.7802429,-33.19274521,3.737525745,185.9494629,Mw(mB),NA,LOCSAT,confirmed,manual,iasp91,25,21,8,4.229833603,174.0135441,0.8229216724,0.4
2023p286717,earthquake,2023-04-17T02:01:43Z,2023-05-03T21:17:34Z,-179.333786,-35.29889297,4.021532508,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,8,2.953336716,332.8471222,0.8145112105,0.08063185621
2023p285853,earthquake,2023-04-16T18:22:50Z,2023-05-03T21:15:02Z,177.0351868,-36.76666641,3.851232122,263.3042908,MLv,NA,LOCSAT,confirmed,manual,iasp91,36,28,67,1.055752516,198.3668213,0.4451615975,0.3758740248
2023p283772,earthquake,2023-04-15T23:53:54Z,2023-05-03T01:48:28Z,178.6474915,-36.52098846,3.646763716,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,22,24,1.074520826,286.2928467,0.7719186628,0.1552067979
2023p283740,earthquake,2023-04-15T23:36:07Z,2023-05-03T01:44:35Z,-179.2469025,-34.02347946,4.186420789,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,19,16,3,4.517226696,307.5094757,0.5258848704,0.4356321007
2023p282832,earthquake,2023-04-15T15:32:52Z,2023-05-03T01:37:30Z,178.7671051,-35.6728363,4.225098828,168.8693237,MLv,NA,LOCSAT,confirmed,manual,iasp91,33,27,45,1.921767473,274.2815399,0.4606559786,0.2613626172
2023p282684,earthquake,2023-04-15T14:13:51Z,2023-05-03T01:32:36Z,-179.1475983,-35.02394104,3.967351553,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,32,20,6,3.262660503,262.0428925,0.8236303811,0.09422840956
2023p282426,earthquake,2023-04-15T11:56:12Z,2023-05-03T00:11:22Z,-178.9863892,-35.30581665,4.452925223,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,23,25,3.136062622,305.1210022,0.4736608213,0.1538552528
2023p281655,earthquake,2023-04-15T05:05:37Z,2023-05-02T23:47:34Z,-179.0619049,-35.19760895,3.914002728,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,10,4,3.58812356,348.8800659,0.6884244019,0.1096218076
2023p280164,earthquake,2023-04-14T15:51:51Z,2023-05-02T23:33:47Z,175.979538,-40.33507538,3.646886669,22.89570427,MLv,NA,LOCSAT,confirmed,manual,iasp91,38,23,72,0.08394429088,60.50762939,0.4129610436,0.1772315279
2023p280074,earthquake,2023-04-14T15:03:34Z,2023-05-02T23:14:07Z,-179.1127014,-34.84831238,3.821594556,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,1,3.834952593,349.2492676,0.6370154903,0
2023p279762,earthquake,2023-04-14T12:17:19Z,2023-04-14T12:37:11Z,-178.856781,-35.01282883,4.307398974,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,11,4,3.423892498,205.5928192,0.7474298471,0.6952387486
2023p279760,earthquake,2023-04-14T12:15:06Z,2023-05-02T23:03:22Z,-178.9803772,-34.98469925,4.152007585,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,21,20,2,3.379469395,159.6527691,0.9008906706,0.4
2023p273765,earthquake,2023-04-12T07:02:08Z,2023-05-02T03:45:00Z,166.8241425,-45.34996414,3.542744892,12.78320503,MLv,NA,LOCSAT,confirmed,manual,iasp91,18,13,8,0.1231280714,219.9523201,0.7100189572,0.2040625447
2023p273056,earthquake,2023-04-12T00:43:45Z,2023-05-02T03:21:13Z,-178.0936584,-33.09806442,4.83090717,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,21,19,6,3.822115898,204.5959129,1.092738041,0.4
2023p261116,earthquake,2023-04-07T14:42:45Z,2023-05-01T04:57:49Z,179.2743073,-36.00054169,3.595241251,156.9471588,M,NA,LOCSAT,confirmed,manual,iasp91,17,14,3,1.741574407,341.7955475,0.4248439226,0
2023p259322,earthquake,2023-04-06T22:47:04Z,2023-05-01T04:47:04Z,179.7705536,-36.294197080000004,4.390873527,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,24,42,1.725645423,288.9241638,0.4742788012,0.2775430292
2023p258866,earthquake,2023-04-06T18:43:49Z,2023-05-01T04:43:46Z,177.4811554,-36.95913696,4.617500227,114.7588654,MLv,NA,LOCSAT,confirmed,manual,iasp91,32,25,106,0.8310039639,194.9466095,0.2834205322,0.3516266556
2023p257272,earthquake,2023-04-06T04:34:19Z,2023-04-06T04:50:14Z,179.8986359,-34.80152893,3.837805847,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,11,7,3.041120052,297.263382,0.4741204504,0
2023p255677,earthquake,2023-04-05T14:24:25Z,2023-04-30T23:31:41Z,179.7506866,-33.92536545,3.676377851,280.3432312,Mw(mB),NA,LOCSAT,confirmed,manual,iasp91,16,11,1,4.143274307,335.4635925,0.7152574522,0.4
2023p254834,earthquake,2023-04-05T06:55:59Z,2023-04-30T23:26:05Z,177.8623962,-38.92339325,3.598747995,14.8968792,MLv,NA,LOCSAT,confirmed,manual,iasp91,26,21,74,0.01631426997,84.18704224,0.347985777,0.1982167541
2023p252520,earthquake,2023-04-04T10:22:50Z,2023-04-30T22:22:28Z,179.5497284,-35.92574692,3.550455935,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,15,9,2.312281847,285.8409424,0.6052700041,0.05703456922
2023p250342,earthquake,2023-04-03T15:02:30Z,2023-04-30T22:06:06Z,177.5752716,-36.51982117,3.76426655,188.0533905,MLv,NA,LOCSAT,confirmed,manual,iasp91,26,20,44,1.19375658,220.1623993,0.4927831018,0.3759375145
2023p249836,earthquake,2023-04-03T10:32:21Z,2023-04-03T11:45:50Z,179.1091614,-34.88479996,3.695500611,197.2301025,MLv,NA,LOCSAT,confirmed,manual,iasp91,14,11,4,2.749624729,339.3209534,0.4509085215,0.2595528697
