publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2021p407301,earthquake,2021-05-31T16:48:45Z,2021-05-31T16:53:56Z,-177.4861603,-32.79852676,4.657644147,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,17,6,3.545015097,216.6468811,1.367431493,0
2021p406603,earthquake,2021-05-31T10:38:10Z,2021-05-31T10:45:43Z,-179.8791809,-37.43173599,3.552292701,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,48,32,19,1.408583879,293.9340973,0.4226538872,0
2021p406507,earthquake,2021-05-31T09:47:24Z,2021-05-31T09:55:05Z,172.8644409,-43.44456863,4.155208201,8.718459129,MLv,NA,LOCSAT,confirmed,manual,iasp91,38,28,28,0.1151988879,122.2903633,0.2712728049,0.1530943746
2021p405872,earthquake,2021-05-31T04:09:00Z,2021-06-28T03:30:26Z,166.7803192,-45.26531219,5.514803039,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,54,44,25,0.1208732203,218.9357834,0.8400718644,0
2021p405503,earthquake,2021-05-31T00:50:08Z,2021-06-28T03:27:37Z,-177.8296814,-33.21365738,4.59932119,10,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,17,9,5.364629269,318.9411163,2.138381019,0
2021p403873,earthquake,2021-05-30T10:22:31Z,2021-06-27T23:31:34Z,-178.7708893,-32.89935684,4.568879361,359.5759583,mB,NA,LOCSAT,confirmed,manual,iasp91,18,14,4,5.420196056,343.3210754,0.6577280888,0.09669335756
2021p403370,earthquake,2021-05-30T05:55:40Z,2021-06-27T22:58:30Z,176.6797028,-40.02908707,4.283950768,33.37594604,M,NA,LOCSAT,confirmed,manual,iasp91,41,30,19,0.1123228297,97.48574066,0.4156230434,0
2021p402420,earthquake,2021-05-29T21:29:53Z,2021-06-26T01:24:45Z,179.8537292,-37.66051483,3.539376799,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,28,19,13,1.151599169,295.5743866,0.3442903741,0
2021p396552,earthquake,2021-05-27T17:23:20Z,2021-06-23T05:31:13Z,176.3147888,-40.34375,3.6100498,21.5587616,M,NA,LOCSAT,confirmed,manual,iasp91,33,19,15,0.1218434647,60.88956451,0.4901656413,0
2021p394513,earthquake,2021-05-26T23:15:59Z,2021-06-23T02:18:34Z,179.3964996,-32.47227859,3.837614672,562.3748779,M,NA,LOCSAT,confirmed,manual,iasp91,22,17,6,5.434957504,329.9682617,0.6902632253,0
2021p394364,earthquake,2021-05-26T21:56:11Z,2021-06-23T02:11:36Z,-178.4745178,-32.72292328,4.97977594,10,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,3,5.853535175,353.6730042,1.048493528,0.2513464421
2021p393084,earthquake,2021-05-26T10:34:17Z,2021-06-23T23:21:37Z,177.3929596,-34.02462387,3.893000583,10,M,operator assigned,LOCSAT,confirmed,manual,iasp91,28,18,7,3.736982346,336.1663513,1.310692399,0
2021p391502,earthquake,2021-05-25T20:31:24Z,2021-06-22T21:56:42Z,179.3219299,-33.31690598,4.384107424,393.0868225,MLv,NA,LOCSAT,confirmed,manual,iasp91,20,11,3,6.115803242,350.1513977,1.418957935,0.1448745542
2021p390898,earthquake,2021-05-25T15:09:17Z,2021-06-22T05:21:13Z,-178.336792,-33.1509552,4.482412265,285,M,operator assigned,LOCSAT,confirmed,manual,iasp91,40,26,11,5.358423233,346.612854,1.272602963,0
2021p387938,earthquake,2021-05-24T12:53:48Z,2021-06-22T01:53:06Z,-179.9528503,-36.44754791,4.064195487,123.4404373,M,NA,LOCSAT,confirmed,manual,iasp91,41,36,22,1.782997847,290.2112122,0.7614850088,0
2021p385743,earthquake,2021-05-23T17:24:02Z,2021-06-20T23:58:22Z,179.9420166,-37.36787796,3.567561556,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,24,18,10,1.293949246,290.5348663,0.6235693612,0
2021p382093,earthquake,2021-05-22T08:56:35Z,2021-06-18T23:57:48Z,-178.7839661,-33.44890594,4.981375313,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,9,3,4.238835812,196.4362688,1.540695876,0
2021p381477,earthquake,2021-05-22T03:30:32Z,2021-06-18T23:28:59Z,-179.1284943,-35.50365829,4.019514031,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,14,9,2.913283587,345.1351166,0.5540971758,0.1384763778
2021p379490,earthquake,2021-05-21T09:52:25Z,2021-06-18T05:00:48Z,179.9157867,-37.32038879,3.577137364,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,18,11,1.292300582,294.007019,0.6117137259,0.1298531367
2021p378111,earthquake,2021-05-20T21:37:37Z,2021-06-18T04:46:04Z,-179.874054,-37.41130829,3.590897805,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,23,18,1.418393254,293.8733368,0.4975322213,0
2021p375738,earthquake,2021-05-20T00:33:05Z,2021-05-20T00:39:35Z,177.7583466,-36.95991516,3.988965879,97.33435822,M,NA,LOCSAT,confirmed,manual,iasp91,35,29,81,0.7252642512,208.1055603,0.5436761883,0
2021p375373,earthquake,2021-05-19T21:18:50Z,2021-06-17T22:10:43Z,179.9408417,-37.32625961,3.764813236,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,31,22,15,1.308435559,290.267807,0.5288895244,0.1419715101
2021p374210,earthquake,2021-05-19T10:59:15Z,2021-06-15T21:14:09Z,-179.9921722,-37.41314697,3.519380091,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,24,16,1.328241944,296.6767273,0.355217517,0.162709734
2021p373726,earthquake,2021-05-19T06:40:46Z,2021-06-15T20:31:49Z,-178.1614227,-35.03780746,3.946881644,170.9813843,M,NA,LOCSAT,confirmed,manual,iasp91,30,17,6,3.805698872,319.2542419,0.5214779899,0
2021p373535,earthquake,2021-05-19T04:59:59Z,2021-05-19T05:05:15Z,179.8694,-37.30741119,3.629523969,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,36,29,18,1.263640523,288.9237061,0.6576290017,0.1030648642
2021p372646,earthquake,2021-05-18T21:06:15Z,2021-05-18T21:36:57Z,166.7210083,-45.39071274,3.615526502,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,17,6,0.2050355375,224.1562042,0.7656353737,0.1391875807
2021p371505,outside of network interest,2021-05-18T10:56:48Z,2021-06-16T21:26:10Z,179.0396881,-32.59061432,4.281687195,349.9196167,M,NA,LOCSAT,confirmed,manual,iasp91,32,22,6,4.996487617,345.8112793,0.6024714707,0
2021p371284,earthquake,2021-05-18T08:59:33Z,2021-06-16T21:16:49Z,-179.0695038,-33.40715408,5.9182117,10,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,88,69,34,4.247653008,188.5126696,4.728067939,0.1832212488
2021p369150,earthquake,2021-05-17T14:03:06Z,2021-05-17T14:07:23Z,176.5368042,-40.24239731,3.996411888,14.64827251,MLv,NA,LOCSAT,confirmed,manual,iasp91,26,20,94,0.07900293916,57.86758041,0.4000601731,0.2104845477
2021p365268,earthquake,2021-05-16T03:34:11Z,2021-05-16T03:43:46Z,-179.1355286,-33.58770752,4.220210705,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,3,4.668785572,310.201355,0.8645892647,0.2044882974
2021p364565,earthquake,2021-05-15T21:20:25Z,2021-06-10T02:48:45Z,172.6815796,-41.19346237,3.533702922,171.2093964,MLv,NA,LOCSAT,confirmed,manual,tab,62,51,10,0.2132343054,112.7141876,0.5846938983,0.2485284284
2021p364503,earthquake,2021-05-15T20:47:11Z,2021-06-10T02:49:30Z,178.3418427,-35.7296257,4.052937518,189.6300964,MLv,NA,LOCSAT,confirmed,manual,tab,36,31,22,1.829280376,262.3028412,0.6290782106,0.3782587841
2021p363564,earthquake,2021-05-15T12:27:10Z,2021-06-10T01:23:26Z,179.8618011,-37.54851913,3.953628142,33,M,operator assigned,LOCSAT,confirmed,manual,tab,30,28,18,1.052475095,290.4092865,0.6413030497,0
2021p360933,earthquake,2021-05-14T13:05:00Z,2021-06-09T23:09:39Z,179.8674164,-37.3045311,3.6299629,33,M,operator assigned,LOCSAT,confirmed,manual,tab,25,18,13,1.263385177,317.6342316,0.3601336192,0
2021p360414,earthquake,2021-05-14T08:28:55Z,2021-06-09T22:54:24Z,171.9949951,-43.21026993,3.533863657,2,M,operator assigned,LOCSAT,confirmed,manual,tab,29,20,6,0.1198318079,75.70216751,0.3922026444,0
2021p360296,earthquake,2021-05-14T07:25:45Z,2021-06-09T22:31:24Z,179.933548,-37.39023972,3.521862117,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,35,24,13,1.279839158,290.5291138,0.5844417814,0.1830719705
2021p360210,earthquake,2021-05-14T06:39:31Z,2021-06-09T21:40:46Z,-179.3796387,-36.6075325,3.702287163,90.25453186,M,NA,LOCSAT,confirmed,manual,tab,28,16,9,2.081156969,344.0996704,0.6836559313,0
2021p359187,earthquake,2021-05-13T21:35:04Z,2021-06-09T20:57:05Z,179.7734222,-37.77836609,3.650202314,33,M,operator assigned,LOCSAT,confirmed,manual,tab,17,10,8,1.076919317,319.7726898,0.5178455257,0
2021p356951,earthquake,2021-05-13T01:42:31Z,2021-06-09T03:53:40Z,-179.1379089,-33.55148697,4.977956415,10,mB,operator assigned,LOCSAT,confirmed,manual,tab,34,23,6,4.40110302,188.8467245,2.769995223,0.1710821688
2021p355949,earthquake,2021-05-12T16:50:45Z,2021-06-09T02:44:23Z,174.5352478,-40.22634888,3.556504794,12,M,operator assigned,LOCSAT,confirmed,manual,tab,35,24,19,0.5845065713,79.85900879,0.4674272749,0
2021p355713,earthquake,2021-05-12T14:44:20Z,2021-06-09T02:30:44Z,-179.9050751,-37.47724915,3.509488432,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,36,27,18,1.376477122,319.1039276,0.4646466323,0.1541322463
2021p355384,earthquake,2021-05-12T11:48:52Z,2021-06-09T01:51:18Z,179.980545,-37.47558975,3.636789358,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,14,10,7,1.333762288,317.8419037,0.3753542839,0.1630087299
2021p354338,earthquake,2021-05-12T02:31:39Z,2021-06-08T22:59:18Z,-179.9526978,-37.45540237,3.846776386,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,32,24,17,1.345791817,292.9042664,0.3307278169,0.1365236783
2021p353744,earthquake,2021-05-11T21:15:06Z,2021-06-08T04:37:25Z,-179.9397736,-37.44120789,3.758860256,33,M,operator assigned,LOCSAT,confirmed,manual,tab,28,22,14,1.359655619,293.0155334,0.4635394407,0
2021p353059,earthquake,2021-05-11T15:10:21Z,2021-06-08T04:06:53Z,179.759552,-37.55796051,3.511087055,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,33,27,19,1.098127723,288.332901,0.6112120551,0.1471839338
2021p349969,earthquake,2021-05-10T11:43:03Z,2021-06-08T00:04:13Z,-179.5770569,-33.62691116,4.10609585,344.5529785,mB,NA,LOCSAT,confirmed,manual,tab,22,14,4,4.288509369,350.6215668,0.9870182917,0.3454870029
2021p348749,earthquake,2021-05-10T00:54:00Z,2021-06-07T23:14:43Z,-179.963913,-37.34209442,3.50273392,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,30,24,15,1.373163104,296.2081299,0.3618743717,0.1512170668
2021p348258,earthquake,2021-05-09T20:32:13Z,2021-05-09T20:36:17Z,167.0441437,-45.42631531,4.361861996,40.99501038,M,NA,LOCSAT,confirmed,manual,iasp91,22,13,19,0.08605206758,114.0208435,0.3654208371,0
2021p345184,earthquake,2021-05-08T17:14:15Z,2021-06-07T22:37:48Z,-179.8799286,-37.46686172,3.617235345,33,M,operator assigned,LOCSAT,confirmed,manual,tab,25,15,12,1.398483872,319.6190491,0.5831291412,0
2021p345142,earthquake,2021-05-08T16:50:40Z,2021-05-09T06:59:55Z,-177.7750397,-33.10551834,4.708081796,12,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,22,15,7,3.833553076,210.7343903,1.853705151,0.1543413074
2021p344717,earthquake,2021-05-08T13:05:45Z,2021-05-08T13:14:07Z,175.8978729,-38.49560165,3.640278415,131.1113129,M,NA,LOCSAT,confirmed,manual,iasp91,70,62,95,0.05887532979,37.32354736,0.3895446045,0
2021p342482,earthquake,2021-05-07T17:14:51Z,2021-05-07T17:19:38Z,172.77565,-43.53695297,3.715758247,6.3278570179999996,M,NA,LOCSAT,confirmed,manual,iasp91,36,28,14,0.03503540903,98.12441063,0.358020494,0
2021p341804,earthquake,2021-05-07T11:13:13Z,2021-05-07T11:16:36Z,173.0400391,-42.52377319,3.975164471,7.783590794,M,NA,LOCSAT,confirmed,manual,iasp91,47,34,62,0.09614610672,75.29316711,0.7695298083,0
2021p341014,earthquake,2021-05-07T04:11:35Z,2021-05-07T04:16:35Z,179.3902283,-34.59430313,3.754759216,240.6309509,M,NA,LOCSAT,confirmed,manual,iasp91,28,20,7,3.3133955,345.8868866,0.5683364159,0
2021p340097,earthquake,2021-05-06T20:03:50Z,2021-06-03T22:21:16Z,-179.9522705,-37.47824097,3.559313073,33,M,operator assigned,LOCSAT,confirmed,manual,tab,28,24,14,1.339958787,293.0808716,0.4037644538,0
2021p338401,earthquake,2021-05-06T04:59:28Z,2021-06-03T22:52:50Z,-179.0356598,-32.94593048,4.083579375,294.2613525,M,NA,LOCSAT,confirmed,manual,tab,11,7,4,5.093031406,342.3876648,0.8803017798,0
2021p337956,earthquake,2021-05-06T01:02:28Z,2021-06-03T22:38:08Z,179.1005096,-34.43193817,3.980434324,245.6758575,M,NA,LOCSAT,confirmed,manual,iasp91,28,20,11,3.18937397,290.5292358,0.7054025201,0
2021p337299,earthquake,2021-05-05T19:13:21Z,2021-06-03T22:25:28Z,-179.9263763,-37.32153702,3.614747405,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,28,22,17,1.40844512,297.6496582,0.5228298735,0.1580401996
2021p336478,earthquake,2021-05-05T11:55:38Z,2021-05-05T12:00:12Z,170.8272858,-43.27178955,4.209219239,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,39,34,58,0.208168909,39.73693848,0.3709247776,0
2021p336219,earthquake,2021-05-05T09:38:01Z,2021-06-03T22:45:07Z,170.7999725,-43.26660538,3.865139948,5,M,operator assigned,LOCSAT,confirmed,manual,tab,28,19,5,0.1976574659,48.40028858,0.5307531862,0
2021p335046,earthquake,2021-05-04T23:13:03Z,2021-06-03T04:18:56Z,-179.8761292,-37.51514435,3.678967591,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,26,22,16,1.389667511,297.1774292,0.7147468446,0.1032565395
2021p330345,earthquake,2021-05-03T05:28:09Z,2021-06-01T22:38:21Z,179.9061432,-37.38627243,3.609648458,94.92475891,M,NA,LOCSAT,confirmed,manual,tab,14,11,9,1.260730624,328.6219025,0.4512801001,0
2021p330332,earthquake,2021-05-03T05:20:55Z,2021-06-01T22:33:14Z,-179.9371643,-37.46869659,3.736681537,33,M,operator assigned,LOCSAT,confirmed,manual,tab,30,23,17,1.354069591,293.2593231,0.4017869699,0
2021p330044,earthquake,2021-05-03T02:47:57Z,2021-06-01T20:57:16Z,179.9257965,-37.56112671,3.623788213,65.93822479,MLv,NA,LOCSAT,confirmed,manual,tab,48,26,19,1.225946784,295.6238098,0.7652012442,0.1771176118
2021p329523,earthquake,2021-05-02T22:10:28Z,2021-05-02T22:14:00Z,179.8763733,-37.55149078,3.739977938,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,26,36,1.189839005,290.6967468,0.5820474469,0.1891217966
2021p329150,earthquake,2021-05-02T18:51:20Z,2021-05-02T18:55:23Z,179.9607697,-37.50454712,3.840767159,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,30,23,31,1.266347766,291.809021,0.6468748689,0.1633338281
2021p329106,earthquake,2021-05-02T18:28:04Z,2021-05-02T18:35:08Z,-179.9904785,-37.46878433,3.523649156,12,MLv,operator assigned,LOCSAT,preliminary,manual,iasp91,16,13,7,1.313208461,301.5991821,0.4874692154,0.1066471713
2021p329103,earthquake,2021-05-02T18:26:23Z,2021-05-02T18:30:55Z,-179.9753418,-37.48577881,3.92764723,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,22,53,1.320276856,292.7527466,0.4049177247,0.160597658
2021p329064,earthquake,2021-05-02T18:05:52Z,2021-05-02T18:16:04Z,179.9036407,-37.49655533,3.618965493,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,20,12,1.22461307,295.0149994,0.5545652376,0.1157977165
2021p329040,earthquake,2021-05-02T17:52:54Z,2021-06-01T05:34:31Z,-179.9395905,-37.46688461,4.49377264,33,M,operator assigned,LOCSAT,confirmed,manual,tab,38,28,21,1.352693439,293.2057953,0.3709802101,0
2021p329024,earthquake,2021-05-02T17:44:08Z,2021-06-01T04:41:05Z,-179.8078003,-37.46561813,4.061386433,33,MLv,operator assigned,LOCSAT,confirmed,manual,tab,30,28,22,1.454281211,295.3124084,0.3073986656,0.1462950755
2021p328997,earthquake,2021-05-02T17:30:03Z,2021-06-01T03:56:12Z,179.8484497,-37.36254501,4.521999847,33,M,operator assigned,LOCSAT,confirmed,manual,tab,18,11,7,1.210116267,304.1192322,1.139287926,0
2021p328996,earthquake,2021-05-02T17:29:08Z,2021-06-01T03:44:45Z,-179.9924469,-37.4916153,4.632253642,33,M,operator assigned,LOCSAT,confirmed,manual,tab,35,31,25,1.3056252,311.366333,0.353101673,0
2021p327785,earthquake,2021-05-02T06:43:23Z,2021-05-31T23:37:05Z,179.6832581,-33.24208832,3.670636745,243.742691,M,NA,LOCSAT,confirmed,manual,tab,36,26,8,4.454683781,340.0070038,0.8691582005,0
2021p327657,earthquake,2021-05-02T05:35:22Z,2021-05-06T23:38:16Z,179.3040009,-35.19364548,3.824280926,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,18,12,2.497084141,296.5199738,2.407879839,0
2021p327041,earthquake,2021-05-02T00:07:03Z,2021-05-31T21:55:46Z,178.5323029,-35.12088394,4.483215953,5,M,operator assigned,LOCSAT,confirmed,manual,tab,24,22,17,2.694511652,286.6205139,1.039347152,0
2021p326852,earthquake,2021-05-01T22:27:01Z,2021-05-31T01:42:47Z,179.3793182,-34.97628403,3.526090347,204.6630096,M,NA,LOCSAT,confirmed,manual,iasp91,28,17,7,2.722360134,344.5150146,0.5912687714,0
2021p326616,earthquake,2021-05-01T20:21:03Z,2021-05-13T02:44:24Z,178.6205902,-35.3951149,3.919992752,212.8427277,M,NA,LOCSAT,confirmed,manual,iasp91,27,20,35,2.177587509,272.8616638,0.6278252985,0
2021p326549,earthquake,2021-05-01T19:44:16Z,2021-05-30T23:43:53Z,-177.852066,-32.36748886,4.440815403,10,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,3,3.096128702,209.2416382,2.100807486,0.067086767
