publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p063145,outside of network interest,2019-01-24T08:42:49Z,2019-02-10T22:51:20Z,-177.90271,-33.02761459,5.162178259,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,40,23,9,3.75387311,209.1809082,2.443756899,0.08600945687
2019p060263,outside of network interest,2019-01-23T07:06:56Z,2019-02-08T05:09:12Z,-178.0365448,-33.36169052,5.390941592,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,30,21,10,4.088225842,208.1532061,0.8245581351,0.2124184546
2019p058909,earthquake,2019-01-22T19:05:56Z,2019-01-22T19:19:24Z,-179.6612701,-32.3775444,5.002390719,311.742157,MLv,NA,LOCSAT,confirmed,manual,iasp91,44,27,19,3.447738886,177.6329613,1.117424855,0.2435385399
2019p023322,outside of network interest,2019-01-09T15:05:08Z,2019-01-31T04:20:47Z,-179.2429199,-32.7488327,5.467142729,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,34,23,14,3.656551838,159.0470409,1.755326496,0.1860417037
