publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p078917,earthquake,2022-01-30T04:47:00Z,2022-02-16T03:15:12Z,-178.9278107,-33.30425262,5.10002559,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,22,36,4.120945454,191.0585537,0.893084005,0.2079193917
2022p064462,earthquake,2022-01-24T20:25:48Z,2022-02-01T22:52:05Z,179.897583,-37.475811,5.297735055,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,46,34,96,1.225759387,290.4862213,0.5020438561,0.1925669583
2022p063590,earthquake,2022-01-24T12:40:04Z,2022-02-01T22:33:07Z,-178.9476471,-34.14297485,5.629543639,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,29,26,13,4.07594347,196.6397982,0.8515397384,0.4183207025
2022p055878,earthquake,2022-01-21T16:11:54Z,2022-02-01T03:54:52Z,179.5612488,-34.066963199999996,5.171423321,200,M,operator assigned,LOCSAT,confirmed,manual,iasp91,28,22,57,3.633733511,298.3808594,1.026120794,0
2022p048851,earthquake,2022-01-19T01:47:51Z,2022-01-26T20:53:54Z,-177.4046173,-32.58456039,5.013457791,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,10,6,3.341519356,217.8048859,1.101728556,0.1489973672
2022p032808,earthquake,2022-01-13T03:20:23Z,2022-01-21T00:28:33Z,166.5959015,-45.68945312,5.022010189,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,15,31,0.4515605271,231.7438622,0.4996003455,0
2022p030948,earthquake,2022-01-12T10:49:36Z,2022-01-20T23:38:49Z,174.5572052,-39.32933044,5.816731316,188.7716675,MLv,NA,LOCSAT,confirmed,manual,iasp91,57,38,128,0.06924607605,42.81812382,0.5755889774,0.4081949874
2022p030077,earthquake,2022-01-12T03:04:24Z,2022-01-20T22:44:52Z,-178.5867462,-33.01008224,5.691834175,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,23,51,3.779780388,163.5039759,1.259921537,0.2052091869
2022p024338,earthquake,2022-01-10T00:06:34Z,2022-01-10T00:32:31Z,179.4198761,-33.68403625,6.337927744,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,17,94,3.97454977,155.8174419,1.403133828,0
2022p017460,earthquake,2022-01-07T11:02:49Z,2022-01-07T11:07:03Z,-179.6249542,-32.7934494,5.083752279,300.33258059999997,mB,NA,LOCSAT,confirmed,manual,iasp91,31,25,57,3.812181473,173.638073,0.9005522015,0.2224027711
