publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2015p732795,earthquake,2015-09-29T03:12:03Z,2015-09-29T19:27:37Z,-177.2840729,-32.90399933,5.228384641,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,16,12,5.883071423,348.2374725,0.8741385356,0
2015p721459,outside of network interest,2015-09-24T22:30:37Z,2015-10-01T22:55:26Z,-178.2126617,-32.94869995,5.078518846,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,59,33,13,3.683687449,203.9054546,1.98941409,0
2015p718332,earthquake,2015-09-23T18:47:51Z,2015-09-23T18:57:29Z,176.1426392,-38.32137299,5.050475972,167.1242523,M,NA,LOCSAT,confirmed,manual,iasp91,136,126,96,0.03821167722,47.23306274,0.5772025852,0
2015p693570,outside of network interest,2015-09-14T14:53:21Z,2015-09-22T02:30:10Z,-177.8760529,-33.19389343,5.100471879,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,36,22,18,3.91985178,210.5247192,1.241092906,0
2015p688801,outside of network interest,2015-09-12T20:32:25Z,2015-09-16T04:34:26Z,-177.57547,-32.79323196,5.572262536,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,113,87,64,3.532521963,213.6012726,2.103787157,0
2015p676987,outside of network interest,2015-09-08T11:37:25Z,2015-09-14T03:50:45Z,-178.349,-32.768,5.08561271,10,M,NA,NA,NA,manual,NA,0,0,20,0,0,2.942659059,0
2015p676619,outside of network interest,2015-09-08T08:19:53Z,2015-09-14T03:49:56Z,-178.218,-33.135,5.54317634,11,M,NA,NA,NA,manual,NA,0,0,17,0,0,2.864590668,0
2015p676443,outside of network interest,2015-09-08T06:48:33Z,2015-09-14T03:50:25Z,-178.545,-33.039,5.707364323,10,M,NA,NA,NA,manual,NA,0,0,30,0,0,2.395827201,0
2015p675998,outside of network interest,2015-09-08T02:50:57Z,2015-09-25T01:58:42Z,-178.438,-32.728,5.015708811,10,M,NA,NA,NA,manual,NA,0,0,33,0,0,2.129091986,0
2015p675283,outside of network interest,2015-09-07T20:28:28Z,2015-09-14T05:12:34Z,-179.2742157,-32.56093216,5.298017732,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,46,30,10,3.488178015,179.346756,2.870224446,0
2015p675273,outside of network interest,2015-09-07T20:24:57Z,2015-09-14T05:01:41Z,-178.1066895,-32.96545792,5.100073494,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,49,31,25,3.695315599,203.9384077,1.490624485,0
2015p674563,outside of network interest,2015-09-07T14:06:26Z,2015-09-14T04:24:48Z,-177.8951111,-32.88363266,5.774617791,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,38,20,16,3.610322475,208.7657623,1.31897729,0
2015p674056,outside of network interest,2015-09-07T09:34:26Z,2015-09-11T04:04:17Z,-178.6946869,-32.61026001,5.093756379,147.1947327,M,NA,LOCSAT,confirmed,manual,iasp91,36,19,9,3.403300524,190.9595079,1.823530768,0
2015p674024,outside of network interest,2015-09-07T09:19:44Z,2015-09-11T03:53:28Z,-178.1332397,-32.70273972,5.414094575,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,62,36,16,3.43474102,203.187906,2.998709961,0
